Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];OuterWidth[mm];InnerWidth[mm]
0;0;-0.0035;0;0;1.022;20;10.01
0.4665;0.000459021;-0.0066;-0.000491349;0;0;0;0
0.9665;0.001453509;-0.0006;0.000322755;0;0;0;0
1.4665;0.000508641;0.001;0.000164899;0;0;0;0
1.9666;0.00158045;-0.0009;-0.000731847;0;0;0;0
2.4664;-0.001637609;0.0048;-0.000819634;0;0;0;0
2.9664;-0.00120629;0.0029;-0.000981183;0;0;0;0
3.4664;-0.001478231;0.0048;-0.001288549;0;0;0;0
3.9664;-0.000769887;-0.0003;-0.000496615;0;0;0;0
4.4664;-0.001863788;0.007;-0.001002256;0;0;0;0
4.9664;0.000230387;0;-0.000415876;0;0;0;0
5.4664;0.002365415;0.0025;-0.000793297;0;0;0;0
5.9664;0.00030017;-0.0047;-0.001365845;0;0;0;0
6.4665;-0.00043991;0.0048;-0.001659271;0;0;0;0
6.9664;0.000852118;0.0139;-0.001562624;0;0;0;0
7.4663;0.000656271;0.0022;-0.001165591;0;0;0;0
7.9665;-7.01331E-07;0.0063;-0.001332466;0;0;0;0
8.4664;4.62879E-05;0.0421;-0.001465986;0;0;0;0
8.9663;0.002199726;0.0689;-0.000933769;0;0;0;0
9.4663;0.003661651;0.129;-0.001379899;0;0;0;0
9.9663;0.006242025;0.1776;-0.001009281;0;0;0;0
10.4663;0.007423593;0.2111;-0.00113222;0;0;0;0
10.9663;0.008460511;0.2617;-0.00115154;0;0;0;0
11.4663;0.009806191;0.2825;-0.000700245;0;0;0;0
11.9663;0.01487068;0.3277;-0.001297332;0;0;0;0
12.4664;0.014103248;0.365;-0.001385169;0;0;0;0
12.9664;0.019571354;0.4007;-0.001162078;0;0;0;0
13.4664;0.019025367;0.4586;-0.001501126;0;0;0;0
13.9662;0.02113357;0.4741;-0.001374629;0;0;0;0
14.4662;0.021201949;0.5316;-0.001269226;0;0;0;0
14.9662;0.025778137;0.5385;-0.001188425;0;0;0;0
15.4662;0.026364801;0.5809;-0.001083042;0;0;0;0
15.9662;0.028172307;0.6216;-0.001320169;0;0;0;0
16.4663;0.030074844;0.6472;-0.001483556;0;0;0;0
16.9663;0.036210967;0.6874;-0.000770472;0;0;0;0
17.4661;0.029758192;0.7193;-0.001230581;0;0;0;0
17.9661;0.035317822;0.7591;-0.000781007;0;0;0;0
18.4661;0.037747409;0.7822;-0.001411522;0;0;0;0
18.9661;0.039230374;0.8169;-0.001295576;0;0;0;0
19.4661;0.042203844;0.8545;-0.000665133;0;0;0;0
19.9661;0.040811877;0.8808;-0.001033868;0;0;0;0
20.4662;0.04267847;0.9076;-0.001068992;0;0;0;0
20.9661;0.044946751;0.9484;-0.000891625;0;0;0;0
21.4661;0.049734039;0.981;-0.001364088;0;0;0;0
21.9661;0.049132823;1.0113;-0.000349184;0;0;0;0
22.466;0.053668508;1.0388;-0.000838948;0;0;0;0
22.9662;0.055400096;1.0723;-0.001221799;0;0;0;0
23.4662;0.056591482;1.0875;-0.000145625;0;0;0;0
23.966;0.057011755;1.1178;-0.001202477;0;0;0;0
24.466;0.06184726;1.1557;-0.001146271;0;0;0;0
24.9661;0.062014352;1.1823;-0.000257928;0;0;0;0
25.466;0.064713075;1.1883;-0.000447469;0;0;0;0
25.966;0.065830822;1.2256;-0.000603691;0;0;0;0
26.4659;0.068461341;1.2477;-0.000766961;0;0;0;0
26.9659;0.07109712;1.2739;-0.000252663;0;0;0;0
27.4661;0.074538728;1.284;-0.000222832;0;0;0;0
27.9659;0.078974299;1.3074;0.000364846;0;0;0;0
28.4659;0.078702357;1.339;0.000815457;0;0;0;0
28.9659;0.082961017;1.3479;0.000592807;0;0;0;0
29.466;0.083798056;1.3649;0.001087128;0;0;0;0
29.9659;0.085262962;1.3602;0.000808445;0;0;0;0
30.4659;0.088092483;1.3769;0.000305217;0;0;0;0
30.9659;0.091599491;1.4209;0.000943414;0;0;0;0
31.4658;0.091586166;1.4303;0.001197528;0;0;0;0
31.9658;0.098031051;1.4259;0.001185262;0;0;0;0
32.466;0.097328843;1.4398;0.001151968;0;0;0;0
32.9658;0.102876549;1.4272;0.002199334;0;0;0;0
33.4658;0.106310268;1.4433;0.003950083;0;0;0;0
33.9658;0.11071007;1.4294;0.004086376;0;0;0;0
34.4658;0.115535581;1.4496;0.003514868;0;0;0;0
34.9658;0.11184009;1.4537;0.004657558;0;0;0;0
35.4658;0.116704174;1.449;0.00413355;0;0;0;0
35.9657;0.118928622;1.4645;0.0039728;0;0;0;0
36.4657;0.124461601;1.4632;0.004767564;0;0;0;0
36.9657;0.129364433;1.4411;0.004510863;0;0;0;0
37.4657;0.129742626;1.4569;0.005980328;0;0;0;0
37.9657;0.134459781;1.4679;0.006083214;0;0;0;0
38.4657;0.13806217;1.4616;0.007256067;0;0;0;0
38.9658;0.140030281;1.4632;0.008055189;0;0;0;0
39.4657;0.145947064;1.4654;0.008323161;0;0;0;0
39.9658;0.148545847;1.4619;0.008883234;0;0;0;0
40.4657;0.151777407;1.4714;0.008888451;0;0;0;0
40.9656;0.152968092;1.4642;0.008587582;0;0;0;0
41.4656;0.160086781;1.4604;0.009469062;0;0;0;0
41.9656;0.161124927;1.4433;0.0093335;0;0;0;0
42.4656;0.164814632;1.4569;0.010445258;0;0;0;0
42.9656;0.168600594;1.46;0.010255999;0;0;0;0
43.4656;0.170974601;1.4553;0.011593933;0;0;0;0
