Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];Width[mm];Inner width
0;0;0.0022;0;0;1.022;19.99;0
0.4761;0.000413371;0.0007;0;0;0;0;0
0.9761;4.54E-04;0.0029;0;0;0;0;0
1.4761;0.001287552;0.0051;0;0;0;0;0
1.9761;0.001131595;0.0041;0;0;0;0;0
2.4761;0.000921758;0.0029;0;0;0;0;0
2.9761;0.000972728;0.0029;0;0;0;0;0
3.4764;0.000357692;0.0054;0;0;0;0;0
3.9763;1.14E-03;0.0057;0;0;0;0;0
4.4763;0.002097536;0.0025;0;0;0;0;0
4.976;0.0020091;0.0003;0;0;0;0;0
5.476;2.25E-03;0.0057;0;0;0;0;0
5.976;0.001959999;0.0104;0;0;0;0;0
6.476;0.002392069;0.0101;0;0;0;0;0
6.976;0.004944251;0.0253;0;0;0;0;0
7.4763;0.008447139;0.0376;0;0;0;0;0
7.9763;0.009889956;0.0534;0;0;0;0;0
8.4763;0.012216789;0.0648;0;0;0;0;0
8.976;0.01571289;0.079;0;0;0;0;0
9.4762;0.018105582;0.097;0;0;0;0;0
9.976;0.020585741;0.1059;0;0;0;0;0
10.4762;0.023732183;0.1195;0;0;0;0;0
10.9762;0.025706379;0.1252;0;0;0;0;0
11.4762;0.028946105;0.1444;0;0;0;0;0
11.976;0.030637056;0.1587;0;0;0;0;0
12.4759;0.033675187;0.1729;0;0;0;0;0
12.9759;0.036805424;0.1881;0;0;0;0;0
13.4759;0.039426443;0.1997;0;0;0;0;0
13.9759;0.041800645;0.2171;0;0;0;0;0
14.4759;0.045906726;0.2231;0;0;0;0;0
14.9759;0.047551902;0.2399;0;0;0;0;0
15.4759;0.051307286;0.2516;0;0;0;0;0
15.9759;0.052675518;0.2661;0;0;0;0;0
16.4759;5.65E-02;0.2784;0;0;0;0;0
16.9759;0.059118751;0.2895;0;0;0;0;0
17.4759;0.06096753;0.3002;0;0;0;0;0
17.9761;0.065131368;0.3148;0;0;0;0;0
18.4758;0.067444696;0.3274;0;0;0;0;0
18.9758;0.070483658;0.3366;0;0;0;0;0
19.4761;7.27E-02;0.347;0;0;0;0;0
19.9761;0.076317118;0.3578;0;0;0;0;0
20.476;0.078635432;0.3736;0;0;0;0;0
20.9758;0.080721472;0.3774;0;0;0;0;0
21.476;0.083632108;0.389;0;0;0;0;0
21.976;0.086736098;0.3992;0;0;0;0;0
22.4758;0.090024993;0.4061;0;0;0;0;0
22.9758;9.27E-02;0.4178;0;0;0;0;0
23.4758;0.096252365;0.4213;0;0;0;0;0
23.976;0.099132737;0.4336;0;0;0;0;0
24.4757;0.101629585;0.4491;0;0;0;0;0
24.9757;1.05E-01;0.4554;0;0;0;0;0
25.4757;0.107381119;0.4681;0;0;0;0;0
25.9757;0.110822856;0.4725;0;0;0;0;0
26.4757;0.112268582;0.481;0;0;0;0;0
26.9757;0.116380066;0.4839;0;0;0;0;0
27.4757;1.19E-01;0.4965;0;0;0;0;0
27.9758;1.22E-01;0.5009;0;0;0;0;0
28.4757;0.125193276;0.512;0;0;0;0;0
28.9757;0.128145879;0.5158;0;0;0;0;0
29.4757;0.132051265;0.5199;0;0;0;0;0
29.9759;1.34E-01;0.5281;0;0;0;0;0
30.4757;0.138026209;0.5332;0;0;0;0;0
30.9756;0.142100364;0.5369;0;0;0;0;0
31.4759;1.44E-01;0.5474;0;0;0;0;0
31.9756;0.147064145;0.5534;0;0;0;0;0
32.4759;0.150250892;0.5483;0;0;0;0;0
32.9756;0.152963603;0.5543;0;0;0;0;0
33.4756;0.156866981;0.5606;0;0;0;0;0
33.9758;1.59E-01;0.5689;0;0;0;0;0
34.4756;1.63E-01;0.5752;0;0;0;0;0
34.9756;1.65E-01;0.5799;0;0;0;0;0
35.4756;1.68E-01;0.5831;0;0;0;0;0
35.9756;1.72E-01;0.591;0;0;0;0;0
36.4756;0.175540091;0.5938;0;0;0;0;0
36.9755;1.78E-01;0.5938;0;0;0;0;0
37.4758;0.181024585;0.6001;0;0;0;0;0
37.9755;0.184680314;0.6039;0;0;0;0;0
38.4755;0.187777309;0.608;0;0;0;0;0
38.9755;1.91E-01;0.6058;0;0;0;0;0
39.4755;0.19289774;0.6166;0;0;0;0;0
