Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];OuterWidth[mm];InnerWidth[mm]
0;0;0.04551;0;0;1.015;0;0
0.4761;-0.001720924;0.00162;0;0;0;0;0
0.9761;0.000424764;0.04911;0;0;0;0;0
1.4761;-0.00022997;0.01281;0;0;0;0;0
1.9761;-6.64E-04;0.03168;0;0;0;0;0
2.4761;4.01E-04;0.03585;0;0;0;0;0
2.976;-0.001406312;0.01329;0;0;0;0;0
3.476;0.000691701;0.04608;0;0;0;0;0
3.976;-0.002024497;0.00456;0;0;0;0;0
4.476;0.000401508;0.04323;0;0;0;0;0
4.9763;-0.001192664;0.01308;0;0;0;0;0
5.476;-1.00E-03;0.02931;0;0;0;0;0
5.9759;0.000129673;0.033;0;0;0;0;0
6.4759;-1.53E-03;0.01611;0;0;0;0;0
6.9759;0.000424064;0.04344;0;0;0;0;0
7.4759;-0.001716906;0.01215;0;0;0;0;0
7.9759;0.000200681;0.04704;0;0;0;0;0
8.4759;-0.000100422;0.02628;0;0;0;0;0
8.9759;0.002765187;0.06003;0;0;0;0;0
9.4758;0.007606978;0.07917;0;0;0;0;0
9.9758;0.008275238;0.06921;0;0;0;0;0
10.4758;0.013967714;0.12534;0;0;0;0;0
10.9758;0.015133869;0.09681;0;0;0;0;0
11.4758;0.018647256;0.14298;0;0;0;0;0
11.9758;0.022030917;0.14391;0;0;0;0;0
12.4757;0.023809518;0.14877;0;0;0;0;0
12.9757;0.029516508;0.1956;0;0;0;0;0
13.4757;0.029583926;0.16734;0;0;0;0;0
13.9757;0.034394081;0.22158;0;0;0;0;0
14.4757;0.036669682;0.20433;0;0;0;0;0
14.9757;0.03919297;0.22905;0;0;0;0;0
15.4757;0.044641482;0.25512;0;0;0;0;0
15.9756;0.044180761;0.23571;0;0;0;0;0
16.4756;0.049984132;0.29163;0;0;0;0;0
16.9756;0.051270594;0.26337;0;0;0;0;0
17.4756;0.054760931;0.30264;0;0;0;0;0
17.9756;0.058402754;0.30954;0;0;0;0;0
18.4756;0.059248661;0.3015;0;0;0;0;0
18.9756;0.065231444;0.35175;0;0;0;0;0
19.4755;0.065720809;0.32103;0;0;0;0;0
19.9755;0.069804104;0.36576;0;0;0;0;0
20.4755;0.072849488;0.36027;0;0;0;0;0
20.9755;0.074503455;0.3633;0;0;0;0;0
21.4755;0.079810474;0.40482;0;0;0;0;0
21.9755;0.080073659;0.37185;0;0;0;0;0
22.4755;0.085822286;0.42351;0;0;0;0;0
22.9754;0.087627727;0.41544;0;0;0;0;0
23.4754;0.090414222;0.41973;0;0;0;0;0
23.9754;0.094677802;0.44361;0;0;0;0;0
24.4754;0.096133565;0.42948;0;0;0;0;0
24.9754;0.10158489;0.47499;0;0;0;0;0
25.4754;0.101937007;0.43896;0;0;0;0;0
25.9754;0.107406849;0.48825;0;0;0;0;0
26.4753;0.109773059;0.46398;0;0;0;0;0
26.9753;0.111684889;0.48657;0;0;0;0;0
27.4753;0.11639509;0.49974;0;0;0;0;0
27.9753;0.117479497;0.47859;0;0;0;0;0
28.4753;0.123301526;0.52941;0;0;0;0;0
28.9753;0.123194127;0.48939;0;0;0;0;0
29.4752;0.128563378;0.53196;0;0;0;0;0
29.9752;0.131620046;0.51945;0;0;0;0;0
30.4752;0.133429631;0.52134;0;0;0;0;0
30.9752;0.138893532;0.5553;0;0;0;0;0
31.4752;0.139383396;0.51945;0;0;0;0;0
31.9752;0.144886523;0.56277;0;0;0;0;0
32.4752;0.146736496;0.53793;0;0;0;0;0
32.9752;0.149377918;0.55386;0;0;0;0;0
33.4751;0.15456077;0.57492;0;0;0;0;0
33.9751;0.154431015;0.54447;0;0;0;0;0
34.4751;0.16036696;0.58923;0;0;0;0;0
34.9751;0.162385788;0.55701;0;0;0;0;0
35.4751;0.165475551;0.57822;0;0;0;0;0
35.975;0.170075898;0.58818;0;0;0;0;0
36.475;0.170717552;0.56733;0;0;0;0;0
36.975;0.176915432;0.61266;0;0;0;0;0
37.475;0.177417025;0.57474;0;0;0;0;0
37.975;0.182488014;0.60849;0;0;0;0;0
38.475;0.186469589;0.59937;0;0;0;0;0
38.975;0.187042771;0.58791;0;0;0;0;0
39.4749;0.192772572;0.62802;0;0;0;0;0
39.9749;0.192996884;0.58848;0;0;0;0;0
40.4749;0.198666505;0.63141;0;0;0;0;0
40.9749;0.201065457;0.60837;0;0;0;0;0
41.4749;0.203572309;0.61368;0;0;0;0;0
41.9749;0.208772911;0.6393;0;0;0;0;0
42.4749;0.208969807;0.61227;0;0;0;0;0
42.9749;0.215228063;0.65769;0;0;0;0;0
43.4748;0.216590338;0.62013;0;0;0;0;0
43.9748;0.220607447;0.65172;0;0;0;0;0
44.4748;0.224660758;0.64299;0;0;0;0;0
44.9748;0.225979962;0.63351;0;0;0;0;0
45.4748;0.231882485;0.66963;0;0;0;0;0
45.9747;0.232333823;0.63039;0;0;0;0;0
46.4747;0.237024894;0.67257;0;0;0;0;0
46.9747;0.239688395;0.65172;0;0;0;0;0
47.4747;0.241877268;0.65817;0;0;0;0;0
47.9747;0.247431583;0.68223;0;0;0;0;0
48.4747;0.248179501;0.6426;0;0;0;0;0
48.9747;0.2536022;0.68763;0;0;0;0;0
49.4746;0.25567795;0.65691;0;0;0;0;0
49.9746;0.258583252;0.67143;0;0;0;0;0
50.4746;0.264077659;0.69228;0;0;0;0;0
50.9746;0.264826858;0.65769;0;0;0;0;0
51.4746;0.270692637;0.70017;0;0;0;0;0
51.9746;0.272346185;0.67113;0;0;0;0;0
52.4746;0.27492702;0.68139;0;0;0;0;0
52.9746;0.280081441;0.70632;0;0;0;0;0
53.4745;0.280477616;0.6666;0;0;0;0;0
53.9745;0.286895014;0.71211;0;0;0;0;0
54.4745;0.288077046;0.68214;0;0;0;0;0
54.9745;0.291286486;0.69618;0;0;0;0;0
55.4745;0.296478498;0.71475;0;0;0;0;0
55.9745;0.296911104;0.67542;0;0;0;0;0
56.4744;0.302874529;0.72528;0;0;0;0;0
56.9744;0.304265794;0.68754;0;0;0;0;0
57.4744;0.307792675;0.70782;0;0;0;0;0
57.9744;0.313185993;0.71988;0;0;0;0;0
58.4744;0.313011419;0.69399;0;0;0;0;0
58.9744;0.319581708;0.73581;0;0;0;0;0
59.4744;0.320230078;0.6996;0;0;0;0;0
59.9743;0.324705466;0.73941;0;0;0;0;0
60.4743;0.328280684;0.72252;0;0;0;0;0
60.9743;0.329332772;0.71655;0;0;0;0;0
61.4743;0.335077473;0.74973;0;0;0;0;0
61.9743;0.336020799;0.71211;0;0;0;0;0
62.4743;0.341352763;0.75219;0;0;0;0;0
62.9742;0.343796687;0.72396;0;0;0;0;0
63.4742;0.346467539;0.73884;0;0;0;0;0
63.9742;0.351967534;0.75324;0;0;0;0;0
64.4742;0.352479514;0.71826;0;0;0;0;0
64.9742;0.358139779;0.76482;0;0;0;0;0
65.4742;0.360313606;0.72681;0;0;0;0;0
65.9741;0.363566648;0.75192;0;0;0;0;0
66.4741;0.368001636;0.75648;0;0;0;0;0
66.9741;0.368547321;0.73401;0;0;0;0;0
67.4741;0.374828154;0.77478;0;0;0;0;0
67.9741;0.375902771;0.73485;0;0;0;0;0
68.4741;0.379839028;0.76329;0;0;0;0;0
68.9741;0.383872031;0.76443;0;0;0;0;0
69.4741;0.385249081;0.74463;0;0;0;0;0
69.974;0.391377056;0.78246;0;0;0;0;0
70.474;0.392058549;0.74376;0;0;0;0;0
70.974;0.396476748;0.77733;0;0;0;0;0
71.474;0.40051253;0.76908;0;0;0;0;0
71.974;0.402649911;0.74955;0;0;0;0;0
72.474;0.406821138;0.79194;0;0;0;0;0
72.9739;0.408254171;0.75495;0;0;0;0;0
73.4739;0.413176374;0.78822;0;0;0;0;0
73.9739;0.416142942;0.77364;0;0;0;0;0
74.4741;0.417849455;0.76623;0;0;0;0;0
74.9739;0.423956231;0.79677;0;0;0;0;0
75.4739;0.424365662;0.75921;0;0;0;0;0
75.9739;0.430022859;0.79989;0;0;0;0;0
76.4738;0.431700631;0.77031;0;0;0;0;0
76.9738;0.435119238;0.79419;0;0;0;0;0
77.4738;0.439812057;0.79515;0;0;0;0;0
77.9738;0.440504595;0.77961;0;0;0;0;0
78.4738;0.446399657;0.81591;0;0;0;0;0
78.9738;0.448042335;0.77592;0;0;0;0;0
79.4738;0.451868434;0.81249;0;0;0;0;0
79.9737;0.455894449;0.79704;0;0;0;0;0
80.4737;0.457640546;0.78672;0;0;0;0;0
80.9737;0.463608782;0.82227;0;0;0;0;0
81.4737;0.463852099;0.78159;0;0;0;0;0
81.9737;0.468585127;0.82017;0;0;0;0;0
82.4737;0.47230033;0.80076;0;0;0;0;0
82.9737;0.473835918;0.79941;0;0;0;0;0
83.4736;0.479464473;0.831;0;0;0;0;0
83.9736;0.4804548;0.7905;0;0;0;0;0
84.4736;0.486104509;0.82881;0;0;0;0;0
84.9736;0.487836179;0.80313;0;0;0;0;0
85.4736;0.490593683;0.80889;0;0;0;0;0
85.9736;0.496498481;0.83061;0;0;0;0;0
86.4735;0.496787882;0.79317;0;0;0;0;0
86.9735;0.502551392;0.83904;0;0;0;0;0
87.4735;0.50441052;0.80709;0;0;0;0;0
87.9735;0.50727646;0.81507;0;0;0;0;0
88.4735;0.512370869;0.83811;0;0;0;0;0
88.9735;0.513113324;0.79932;0;0;0;0;0
89.4735;0.519291885;0.84483;0;0;0;0;0
89.9734;0.520690898;0.81174;0;0;0;0;0
90.4734;0.52376334;0.82491;0;0;0;0;0
90.9734;0.528830642;0.84549;0;0;0;0;0
91.4734;0.529543266;0.80739;0;0;0;0;0
91.9734;0.534967343;0.85119;0;0;0;0;0
92.4734;0.537206905;0.82311;0;0;0;0;0
92.9733;0.540093848;0.83118;0;0;0;0;0
93.4733;0.545404136;0.85356;0;0;0;0;0
93.9734;0.546191845;0.8145;0;0;0;0;0
94.4733;0.55140284;0.86265;0;0;0;0;0
94.9733;0.554366726;0.83241;0;0;0;0;0
95.4733;0.555795246;0.83649;0;0;0;0;0
95.9733;0.561779023;0.86589;0;0;0;0;0
96.4733;0.562253341;0.82503;0;0;0;0;0
96.9732;0.567088322;0.86379;0;0;0;0;0
97.4733;0.571241773;0.84777;0;0;0;0;0
97.9732;0.571878115;0.83166;0;0;0;0;0
98.4732;0.577933269;0.87177;0;0;0;0;0
98.9732;0.578887493;0.83307;0;0;0;0;0
99.4732;0.583152713;0.8637;0;0;0;0;0
99.9731;0.587962852;0.86247;0;0;0;0;0
100.4731;0.588580261;0.831;0;0;0;0;0
100.9731;0.594428186;0.87726;0;0;0;0;0
101.4731;0.596023618;0.84351;0;0;0;0;0
101.9731;0.599088485;0.85572;0;0;0;0;0
102.4731;0.604151009;0.87924;0;0;0;0;0
102.9731;0.604823819;0.83745;0;0;0;0;0
103.4731;0.611207898;0.8802;0;0;0;0;0
103.973;0.613232857;0.85707;0;0;0;0;0
104.473;0.615289445;0.85014;0;0;0;0;0
