Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.61000000,0.00000000,-0.00900000,0.00000000,-0.89284651,0.00000000,-0.89284651,0.00000000,0.00053687,272.17328374,0.00017471,-0.00071157,0.61634689,1.00600000,10.02000000,75726.56219582
1.11000000,0.00018900,-0.01100000,0.00001733,-1.09125685,0.00001733,-1.09127577,0.00003467,0.00064152,277.10232200,0.00016273,-0.00080425,0.00000000,0.00000000,0.00000000,0.00000000
1.61000000,0.00203800,-0.01300000,0.00003433,-1.28966719,0.00003433,-1.28971147,0.00003400,0.00083855,280.75858918,0.00011431,-0.00095286,0.00000000,0.00000000,0.00000000,0.00000000
2.12000000,0.00430900,0.01000000,0.00013878,0.99205168,0.00013877,0.99218936,0.00020478,0.00120101,284.96434738,-0.00016710,-0.00103391,0.00000000,0.00000000,0.00000000,0.00000000
2.62000000,0.00733300,0.12400000,0.00019144,12.30144086,0.00019143,12.30379590,0.00010532,0.00144113,287.23569164,-0.00028703,-0.00115411,0.00000000,0.00000000,0.00000000,0.00000000
3.12000000,0.01010100,0.19200000,0.00030178,19.04739229,0.00030173,19.05314037,0.00022061,0.00159953,291.38730638,-0.00030087,-0.00129866,0.00000000,0.00000000,0.00000000,0.00000000
3.62000000,0.01183400,0.31200000,0.00036622,30.95201248,0.00036616,30.96334779,0.00012885,0.00200551,293.30958292,-0.00062742,-0.00137809,0.00000000,0.00000000,0.00000000,0.00000000
4.12000000,0.01382900,0.38300000,0.00040567,37.99557942,0.00040558,38.01099296,0.00007886,0.00231555,296.50808324,-0.00080917,-0.00150638,0.00000000,0.00000000,0.00000000,0.00000000
4.62000000,0.01752600,0.46800000,0.00051911,46.42801871,0.00051898,46.45212001,0.00022678,0.00251443,298.87325844,-0.00086622,-0.00164821,0.00000000,0.00000000,0.00000000,0.00000000
5.12000000,0.01956000,0.51700000,0.00061044,51.28907196,0.00061026,51.32038108,0.00018256,0.00282580,302.27655674,-0.00108552,-0.00174028,0.00000000,0.00000000,0.00000000,0.00000000
5.62000000,0.02154700,0.61700000,0.00064489,61.20958877,0.00064468,61.24906216,0.00006885,0.00318736,303.89143654,-0.00135644,-0.00183092,0.00000000,0.00000000,0.00000000,0.00000000
6.11000000,0.02492600,0.66500000,0.00075000,65.97143685,0.00074972,66.02091543,0.00021436,0.00345230,306.58201386,-0.00149620,-0.00195610,0.00000000,0.00000000,0.00000000,0.00000000
6.62000000,0.02774500,0.74700000,0.00091967,74.10626064,0.00091924,74.17441370,0.00033240,0.00380816,308.59948975,-0.00172290,-0.00208526,0.00000000,0.00000000,0.00000000,0.00000000
7.12000000,0.02985500,0.81200000,0.00091433,80.55459657,0.00091392,80.62825033,-0.00001066,0.00403507,311.08049155,-0.00188227,-0.00215279,0.00000000,0.00000000,0.00000000,0.00000000
7.62000000,0.03275500,0.91000000,0.00097033,90.27670306,0.00096986,90.36430155,0.00011189,0.00435648,312.88912748,-0.00206495,-0.00229153,0.00000000,0.00000000,0.00000000,0.00000000
8.12000000,0.03560900,0.95900000,0.00120278,95.13775630,0.00120206,95.25218588,0.00046438,0.00479314,315.23808306,-0.00238513,-0.00240801,0.00000000,0.00000000,0.00000000,0.00000000
8.62000000,0.03829300,1.04000000,0.00123922,103.17337492,0.00123846,103.30122966,0.00007280,0.00510102,316.94467162,-0.00257813,-0.00252289,0.00000000,0.00000000,0.00000000,0.00000000
9.12000000,0.04182900,1.10600000,0.00122722,109.72091602,0.00122647,109.85556797,-0.00002397,0.00531811,319.02570130,-0.00266970,-0.00264841,0.00000000,0.00000000,0.00000000,0.00000000
9.61000000,0.04382400,1.18700000,0.00141089,117.75653464,0.00140989,117.92267603,0.00037434,0.00574179,320.67113839,-0.00296183,-0.00277996,0.00000000,0.00000000,0.00000000,0.00000000
10.12000000,0.04688500,1.25200000,0.00158722,124.20487058,0.00158596,124.40201131,0.00034523,0.00612813,322.60796662,-0.00323843,-0.00288971,0.00000000,0.00000000,0.00000000,0.00000000
10.61000000,0.05066100,1.33400000,0.00151611,132.33969437,0.00151496,132.54033605,-0.00014490,0.00642588,324.21529303,-0.00343680,-0.00298908,0.00000000,0.00000000,0.00000000,0.00000000
11.12000000,0.05262600,1.39900000,0.00162533,138.78803030,0.00162401,139.01360711,0.00021383,0.00679847,326.04964579,-0.00368938,-0.00310909,0.00000000,0.00000000,0.00000000,0.00000000
11.62000000,0.05454000,1.48100000,0.00184844,146.92285409,0.00184674,147.19443283,0.00044545,0.00711773,327.16222360,-0.00387899,-0.00323874,0.00000000,0.00000000,0.00000000,0.00000000
12.11000000,0.05854800,1.54600000,0.00185400,153.37119003,0.00185228,153.65554021,0.00001132,0.00749089,329.20088584,-0.00413428,-0.00335661,0.00000000,0.00000000,0.00000000,0.00000000
12.61000000,0.06144100,1.62600000,0.00186922,161.30760348,0.00186748,161.60912324,0.00003039,0.00793181,330.35563345,-0.00446668,-0.00346513,0.00000000,0.00000000,0.00000000,0.00000000
13.12000000,0.06386200,1.69100000,0.00214311,167.75593941,0.00214082,168.11545903,0.00053596,0.00817101,332.15065297,-0.00455036,-0.00362065,0.00000000,0.00000000,0.00000000,0.00000000
13.62000000,0.06697100,1.77200000,0.00221844,175.79155804,0.00221599,176.18154184,0.00015034,0.00854251,333.18327791,-0.00481125,-0.00373126,0.00000000,0.00000000,0.00000000,0.00000000
14.12000000,0.06983000,1.82000000,0.00218322,180.55340611,0.00218084,180.94759432,-0.00007029,0.00899450,335.15278353,-0.00511296,-0.00388153,0.00000000,0.00000000,0.00000000,0.00000000
14.62000000,0.07300400,1.91500000,0.00236022,189.97789709,0.00235744,190.42628714,0.00035320,0.00930788,336.06668099,-0.00528685,-0.00402103,0.00000000,0.00000000,0.00000000,0.00000000
15.11000000,0.07601500,1.96200000,0.00252267,194.64053999,0.00251949,195.13155320,0.00033071,0.00964712,337.59640626,-0.00550471,-0.00414241,0.00000000,0.00000000,0.00000000,0.00000000
15.62000000,0.07848100,2.05800000,0.00252500,204.16423614,0.00252182,204.67975084,0.00000456,0.01004235,338.74174878,-0.00575944,-0.00428291,0.00000000,0.00000000,0.00000000,0.00000000
16.11000000,0.08200900,2.10500000,0.00262900,208.82687905,0.00262555,209.37588491,0.00021170,0.01041386,340.28456529,-0.00597763,-0.00443624,0.00000000,0.00000000,0.00000000,0.00000000
16.61000000,0.08658400,2.19700000,0.00282378,217.95375452,0.00281980,218.56920749,0.00038850,0.01080188,341.42935482,-0.00625114,-0.00455074,0.00000000,0.00000000,0.00000000,0.00000000
17.11000000,0.08894200,2.24400000,0.00291322,222.61639742,0.00290899,223.26492846,0.00017838,0.01115983,342.86843073,-0.00646681,-0.00469301,0.00000000,0.00000000,0.00000000,0.00000000
17.61000000,0.09244000,2.32000000,0.00295833,230.15599021,0.00295397,230.83686834,0.00008996,0.01148830,343.99448199,-0.00664647,-0.00484183,0.00000000,0.00000000,0.00000000,0.00000000
18.11000000,0.09701500,2.37900000,0.00313800,236.00909513,0.00313309,236.74969167,0.00035824,0.01192074,345.35999616,-0.00692589,-0.00499485,0.00000000,0.00000000,0.00000000,0.00000000
18.61000000,0.10094800,2.45200000,0.00328700,243.25107241,0.00328161,244.05063868,0.00029705,0.01230079,346.50566627,-0.00719361,-0.00510718,0.00000000,0.00000000,0.00000000,0.00000000
19.11000000,0.10627500,2.50900000,0.00339000,248.90576699,0.00338427,249.74955754,0.00020531,0.01260838,347.82971290,-0.00735669,-0.00525169,0.00000000,0.00000000,0.00000000,0.00000000
19.61000000,0.11132500,2.57600000,0.00358778,255.55251326,0.00358136,256.46937889,0.00039418,0.01298948,348.87601123,-0.00756607,-0.00542341,0.00000000,0.00000000,0.00000000,0.00000000
20.11000000,0.11558100,2.62800000,0.00375822,260.71118201,0.00375118,261.69099257,0.00033964,0.01340038,350.13656160,-0.00784693,-0.00555345,0.00000000,0.00000000,0.00000000,0.00000000
20.61000000,0.12250000,2.68700000,0.00391944,266.56428693,0.00391178,267.60907085,0.00032121,0.01376552,350.97581589,-0.00807292,-0.00569260,0.00000000,0.00000000,0.00000000,0.00000000
21.11000000,0.12989300,2.73200000,0.00422378,271.02851950,0.00421488,272.17328374,0.00060620,0.01412557,352.42333411,-0.00826582,-0.00585975,0.00000000,0.00000000,0.00000000,0.00000000
21.61000000,0.13738000,2.78100000,0.00439578,275.88957274,0.00438614,277.10232200,0.00034252,0.01449063,353.26396107,-0.00848172,-0.00600891,0.00000000,0.00000000,0.00000000,0.00000000
22.11000000,0.14592900,2.81700000,0.00464333,279.46095880,0.00463259,280.75858918,0.00049288,0.01485818,354.71602283,-0.00872619,-0.00613199,0.00000000,0.00000000,0.00000000,0.00000000
22.61000000,0.15404700,2.85800000,0.00506467,283.52837069,0.00505188,284.96434738,0.00083860,0.01528607,355.47880541,-0.00898554,-0.00630054,0.00000000,0.00000000,0.00000000,0.00000000
23.11000000,0.16409900,2.88000000,0.00533689,285.71088439,0.00532270,287.23569164,0.00054163,0.01564255,356.92885022,-0.00918317,-0.00645939,0.00000000,0.00000000,0.00000000,0.00000000
23.61000000,0.17318400,2.92100000,0.00555256,289.77829629,0.00553720,291.38730638,0.00042900,0.01595290,357.65085680,-0.00933012,-0.00662278,0.00000000,0.00000000,0.00000000,0.00000000
24.11000000,0.18386200,2.93900000,0.00598700,291.56398932,0.00596915,293.30958292,0.00086390,0.01635903,358.91691020,-0.00962623,-0.00673281,0.00000000,0.00000000,0.00000000,0.00000000
24.61000000,0.19347100,2.97000000,0.00634244,294.63934953,0.00632242,296.50808324,0.00070653,0.01677045,359.77840859,-0.00984430,-0.00692616,0.00000000,0.00000000,0.00000000,0.00000000
25.11000000,0.20342100,2.99300000,0.00657478,296.92106840,0.00655326,298.87325844,0.00046168,0.01709941,361.01831592,-0.01004370,-0.00705571,0.00000000,0.00000000,0.00000000,0.00000000
25.61000000,0.21324200,3.02600000,0.00693456,300.19483895,0.00691062,302.27655674,0.00071473,0.01748339,361.97322378,-0.01032127,-0.00716211,0.00000000,0.00000000,0.00000000,0.00000000
26.11000000,0.22289200,3.04100000,0.00732067,301.68291647,0.00729400,303.89143654,0.00076676,0.01787234,363.13463510,-0.01053414,-0.00733820,0.00000000,0.00000000,0.00000000,0.00000000
26.61000000,0.23393300,3.06700000,0.00762422,304.26225085,0.00759530,306.58201386,0.00060261,0.01827215,363.99480066,-0.01078464,-0.00748751,0.00000000,0.00000000,0.00000000,0.00000000
27.11000000,0.24382400,3.08600000,0.00801033,306.14714904,0.00797842,308.59948975,0.00076623,0.01864574,365.15223011,-0.01102256,-0.00762319,0.00000000,0.00000000,0.00000000,0.00000000
27.61000000,0.25537100,3.11000000,0.00827289,308.52807308,0.00823886,311.08049155,0.00052087,0.01901102,366.10321534,-0.01123896,-0.00777206,0.00000000,0.00000000,0.00000000,0.00000000
28.11000000,0.26536700,3.12700000,0.00862167,310.21456094,0.00858471,312.88912748,0.00069171,0.01935265,367.14830234,-0.01143577,-0.00791687,0.00000000,0.00000000,0.00000000,0.00000000
28.61000000,0.27658000,3.14900000,0.00909422,312.39707464,0.00905312,315.23808306,0.00093681,0.01977976,368.12352102,-0.01173795,-0.00804180,0.00000000,0.00000000,0.00000000,0.00000000
29.11000000,0.28688200,3.16500000,0.00942822,313.98435733,0.00938405,316.94467162,0.00066187,0.02015408,369.18219144,-0.01196108,-0.00819300,0.00000000,0.00000000,0.00000000,0.00000000
29.61000000,0.29779100,3.18500000,0.00967578,315.96846069,0.00962927,319.02570130,0.00049043,0.02051049,369.92812767,-0.01218105,-0.00832944,0.00000000,0.00000000,0.00000000,0.00000000
30.11000000,0.30910800,3.20000000,0.01012611,317.45653822,0.01007519,320.67113839,0.00089184,0.02088498,371.19290390,-0.01242039,-0.00846458,0.00000000,0.00000000,0.00000000,0.00000000
30.61000000,0.32022600,3.21800000,0.01054289,319.24223124,0.01048770,322.60796662,0.00082503,0.02125001,371.84090851,-0.01265550,-0.00859450,0.00000000,0.00000000,0.00000000,0.00000000
31.11000000,0.33208700,3.23300000,0.01086578,320.73030877,0.01080717,324.21529303,0.00063894,0.02164291,373.11420318,-0.01291135,-0.00873156,0.00000000,0.00000000,0.00000000,0.00000000
31.61000000,0.34316800,3.25000000,0.01126756,322.41679663,0.01120455,326.04964579,0.00079476,0.02200386,373.76180125,-0.01314639,-0.00885747,0.00000000,0.00000000,0.00000000,0.00000000
32.11000000,0.35520000,3.26000000,0.01160567,323.40884831,0.01153884,327.16222360,0.00066858,0.02237941,374.92774000,-0.01340148,-0.00897793,0.00000000,0.00000000,0.00000000,0.00000000
32.62000000,0.36584500,3.27900000,0.01201111,325.29374650,0.01193955,329.20088584,0.00078571,0.02275310,375.68373438,-0.01363910,-0.00911400,0.00000000,0.00000000,0.00000000,0.00000000
33.12000000,0.37801900,3.28900000,0.01247322,326.28579818,0.01239607,330.35563345,0.00091304,0.02314924,376.65388821,-0.01390879,-0.00924045,0.00000000,0.00000000,0.00000000,0.00000000
33.61000000,0.38880200,3.30600000,0.01274000,327.97228604,0.01265953,332.15065297,0.00053767,0.02347678,377.59873752,-0.01410818,-0.00936860,0.00000000,0.00000000,0.00000000,0.00000000
34.12000000,0.40090400,3.31500000,0.01313044,328.86513256,0.01304499,333.18327791,0.00075580,0.02385069,378.56183557,-0.01434176,-0.00950894,0.00000000,0.00000000,0.00000000,0.00000000
34.62000000,0.41192900,3.33300000,0.01361544,330.65082559,0.01352359,335.15278353,0.00095720,0.02426725,379.33651111,-0.01461112,-0.00965612,0.00000000,0.00000000,0.00000000,0.00000000
35.12000000,0.42450300,3.34100000,0.01394567,331.44446693,0.01384932,336.06668099,0.00065147,0.02462196,380.39634378,-0.01483675,-0.00978521,0.00000000,0.00000000,0.00000000,0.00000000
