Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.6,0,-0.019569,0,0,1.5223,20,4.9589
1.11,0.000127,-0.021248,-4.0001e-05,2e-06,0,0,0
1.6,1.6e-05,-0.022137,6.0998e-05,-0.00018802,0,0,0
2.11,0.000362,-0.0072654,0.00017998,-8.9004e-05,0,0,0
2.61,0.000472,0.019846,0.00014799,1.6e-05,0,0,0
3.11,0.000582,0.05444,0.00014899,2.4e-05,0,0,0
3.6,0.00068,0.087133,0.00010599,-0.00040308,0,0,0
4.11,0.000608,0.11972,0.00012999,-0.00020902,0,0,0
4.61,0.000675,0.14771,0.00021498,1e-06,0,0,0
5.11,0.000695,0.17543,0.00018298,-0.00020802,0,0,0
5.61,0.000995,0.19928,0.00022597,-0.00020502,0,0,0
6.11,0.000854,0.221,0.00019798,-0.00029004,0,0,0
6.61,0.000922,0.23942,0.00014199,-0.00026003,0,0,0
7.11,0.000857,0.25829,-9.5005e-05,-0.00021602,0,0,0
7.61,0.000709,0.27485,0.00015199,-0.00033906,0,0,0
8.11,0.000752,0.29272,-6.8002e-05,-0.00012401,0,0,0
8.61,0.000777,0.30956,8.5996e-05,-0.00021002,0,0,0
9.11,0.000852,0.32758,-0.00025403,-0.00013701,0,0,0
9.61,0.000947,0.34457,-0.00032705,-8.1003e-05,0,0,0
10.11,0.000994,0.36343,-0.00023803,5.6998e-05,0,0,0
10.61,0.000983,0.38185,-0.00037107,-0.00029004,0,0,0
11.11,0.000926,0.40086,-0.00013701,2.8e-05,0,0,0
11.61,0.001183,0.41771,-0.00021402,-0.00012801,0,0,0
12.11,0.001208,0.43572,-0.00025803,-8.4004e-05,0,0,0
12.61,0.001328,0.45442,3e-06,0.00016099,0,0,0
13.11,0.001244,0.47443,-4.7001e-05,0.00028896,0,0,0
13.61,0.001445,0.49285,0.00012199,0,0,0,0
14.11,0.00135,0.51215,0.00016599,4.9999e-05,0,0,0
14.61,0.001513,0.52942,0.00016899,3.9999e-05,0,0,0
15.11,0.001394,0.54658,0.00041991,-0.00012601,0,0,0
15.61,0.001377,0.56385,0.00034394,-6.9002e-05,0,0,0
16.11,0.001655,0.58458,0.00022198,-0.00017502,0,0,0
16.61,0.001675,0.60428,0.00018898,-0.00031405,0,0,0
17.11,0.001705,0.62472,0.00037093,-7.6003e-05,0,0,0
17.61,0.001672,0.64356,0.00032795,-3.3001e-05,0,0,0
18.11,0.001672,0.66329,0.00015599,-0.00022202,0,0,0
18.61,0.001586,0.68185,0.00017498,-0.00022803,0,0,0
19.11,0.001635,0.70243,0.00014599,-0.00015201,0,0,0
19.61,0.001791,0.72228,3.9999e-05,-0.00018502,0,0,0
20.11,0.001851,0.74272,-5.3001e-05,-3e-06,0,0,0
20.61,0.001755,0.76114,6.9998e-05,-8.9004e-05,0,0,0
21.11,0.001751,0.78129,-7.3003e-05,5.5998e-05,0,0,0
21.61,0.001669,0.80185,-0.00012201,-3e-06,0,0,0
22.11,0.00187,0.82372,-0.00025203,-0.00010901,0,0,0
22.61,0.002132,0.84328,-0.00014601,-8.6004e-05,0,0,0
23.11,0.002063,0.86372,-0.00019202,-4.3001e-05,0,0,0
23.61,0.002132,0.88214,-4.0001e-05,0.00025797,0,0,0
24.11,0.002301,0.90086,4.5999e-05,-8.9004e-05,0,0,0
24.61,0.002307,0.91957,0.00025797,7.8997e-05,0,0,0
25.11,0.002595,0.94186,0.0004439,-0.00011601,0,0,0
25.61,0.002543,0.96299,0.00045989,-7.6003e-05,0,0,0
26.11,0.002804,0.98501,0.00060282,-0.00010901,0,0,0
26.61,0.002774,1.005,0.00059582,-0.00012601,0,0,0
27.11,0.002622,1.0256,0.00049988,-0.00013901,0,0,0
27.61,0.002602,1.0443,0.00054285,-0.00015201,0,0,0
28.11,0.002801,1.0647,0.00061181,-0.00016201,0,0,0
28.61,0.002731,1.0849,0.00059582,-0.00013901,0,0,0
29.11,0.00286,1.1061,0.0004469,-0.00021802,0,0,0
29.61,0.002837,1.1254,0.00028496,-3.6001e-05,0,0,0
30.11,0.002596,1.146,0.00032095,-0.00022803,0,0,0
30.61,0.002744,1.1671,0.00013899,-0.00012901,0,0,0
31.11,0.002788,1.1891,0.00024497,-0.00019902,0,0,0
31.61,0.002917,1.2091,-7.6003e-05,-7e-06,0,0,0
32.1,0.002986,1.2301,6.5998e-05,-0.00021502,0,0,0
32.6,0.0029,1.2494,6.2998e-05,-0.00020502,0,0,0
33.1,0.003138,1.2686,0.00010899,-0.00027804,0,0,0
33.6,0.003453,1.2876,0.00029096,-7e-06,0,0,0
34.1,0.003599,1.3099,0.00018898,7.8997e-05,0,0,0
34.6,0.00384,1.331,0.00033095,-0.00016201,0,0,0
35.1,0.003873,1.3527,0.00038393,0.00022198,0,0,0
35.6,0.004039,1.372,0.00067177,0.00011299,0,0,0
36.11,0.004178,1.3919,0.00053985,0.00014199,0,0,0
36.6,0.004036,1.4109,0.00064879,0.00022198,0,0,0
37.1,0.004032,1.4321,0.0008966,-7.0002e-05,0,0,0
37.6,0.004238,1.4529,0.00073473,-0.00013201,0,0,0
38.1,0.004122,1.4741,0.00088661,-5.0001e-05,0,0,0
38.6,0.004095,1.4934,0.00076471,-2.6e-05,0,0,0
