Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.00000000,0.00000000,-0.02060000,0.00000000,-1.36873186,0.00000000,-1.36873186,0.00000000,0.00058552,398.82559605,0.00000218,-0.00058770,0.80054807,1.50750000,9.98370000,215240.87023015
0.50000000,0.00100300,-0.02060000,0.00000767,-1.36873186,0.00000767,-1.36874236,0.00001533,0.00066780,402.79625880,-0.00001825,-0.00064955,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,0.00170300,0.15490000,0.00003733,10.29206628,0.00003733,10.29245052,0.00005933,0.00066977,406.31449657,0.00004895,-0.00071873,0.00000000,0.00000000,0.00000000,0.00000000
1.50000000,0.00205800,0.28730000,0.00007478,19.08915845,0.00007477,19.09058589,0.00007488,0.00064977,411.30562806,0.00018110,-0.00083087,0.00000000,0.00000000,0.00000000,0.00000000
2.00000000,0.00292500,0.38930000,0.00011378,25.86637446,0.00011377,25.86931748,0.00007799,0.00078674,414.77340102,0.00010706,-0.00089379,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,0.00366800,0.52010000,0.00011489,34.55715735,0.00011488,34.56112759,0.00000222,0.00088538,419.23436827,-0.00003546,-0.00084992,0.00000000,0.00000000,0.00000000,0.00000000
3.00000000,0.00384400,0.62220000,0.00012578,41.34101770,0.00012577,41.34621748,0.00002178,0.00085582,423.16124121,-0.00004278,-0.00081304,0.00000000,0.00000000,0.00000000,0.00000000
3.50000000,0.00453300,0.74340000,0.00013489,49.39394497,0.00013488,49.40060766,0.00001822,0.00086113,427.58370762,-0.00006030,-0.00080083,0.00000000,0.00000000,0.00000000,0.00000000
4.00000000,0.00564600,0.84710000,0.00019122,56.28411458,0.00019120,56.29487736,0.00011265,0.00101505,431.48303614,-0.00018229,-0.00083276,0.00000000,0.00000000,0.00000000,0.00000000
4.50000000,0.00641300,0.97470000,0.00019422,64.76227893,0.00019420,64.77485721,0.00000600,0.00113720,435.74389636,-0.00024888,-0.00088832,0.00000000,0.00000000,0.00000000,0.00000000
5.00000000,0.00668700,1.07040000,0.00021333,71.12090219,0.00021331,71.13607465,0.00003821,0.00114983,439.36984769,-0.00014751,-0.00100232,0.00000000,0.00000000,0.00000000,0.00000000
5.50000000,0.00759400,1.18920000,0.00024533,79.01436556,0.00024530,79.03375041,0.00006399,0.00123057,442.81246541,-0.00012108,-0.00110948,0.00000000,0.00000000,0.00000000,0.00000000
6.00000000,0.00910900,1.28250000,0.00029044,85.21352491,0.00029040,85.23827471,0.00009020,0.00135858,447.34597381,-0.00015751,-0.00120107,0.00000000,0.00000000,0.00000000,0.00000000
