PlasticStrain,PlasticStress,YoungModulus
0.00206438,474.69910124,207746.01101160332
0.00219981,477.66742091,0
0.00224683,481.12634697,0
0.00241067,485.18161662,0
0.00266322,488.64142109,0
0.00277932,492.51447146,0
0.00276551,495.41367298,0
0.00302963,499.5780636,0
0.00330241,502.66969058,0
0.00335444,505.87380465,0
0.00349883,509.28070172,0
0.0038103,512.07923278,0
0.00401976,515.90050672,0
0.0040549,518.72105224,0
0.00437668,522.44158464,0
0.00453206,525.05659717,0
0.00476207,528.46211711,0
0.00493919,531.19891941,0
0.00513899,534.652046,0
0.00535743,537.3051656,0
0.00562422,539.97889058,0
0.00576992,543.0279872,0
0.00594395,545.60631187,0
0.00621145,548.88003795,0
0.00653411,551.4886352,0
0.00663569,554.40955225,0
0.00687524,557.24565973,0
0.00726,560.04951155,0
0.00743433,562.52663487,0
0.00756205,564.59860957,0
0.00784043,567.84179827,0
0.0081177,570.48926022,0
0.00836235,572.95660976,0
0.00862916,575.43798195,0
0.00880555,578.18736875,0
0.00906566,580.50441145,0
0.00938584,583.40122185,0
0.0095862,585.74025757,0
0.00973513,587.99556088,0
0.01013529,590.40029945,0
0.0103827,592.93373772,0
0.01052223,595.56727887,0
0.01080095,597.74082134,0
0.01119625,600.31242295,0
0.01138747,602.16355759,0
0.01165895,605.04465522,0
0.01187969,606.86105692,0
0.01214428,608.81404399,0
0.01249045,611.47237072,0
0.01275533,613.37339544,0
0.01294658,615.88464978,0
0.01328056,617.93968571,0
0.01361606,620.4337562,0
0.01379944,622.28840808,0
0.01409515,624.54180757,0
0.01447686,626.57738204,0
0.01474751,628.66059309,0
0.01494035,630.79820635,0
0.01523697,632.78380092,0
0.01558092,634.91011209,0
0.01588062,637.00957229,0
0.01615789,639.15064623,0
0.01641536,640.78734254,0
0.01678652,643.26503639,0
0.01706514,645.08870223,0
0.01730983,647.0489235,0
0.01759959,648.76530728,0
0.01796242,650.58519122,0
0.01820008,652.44101371,0
0.01851084,654.39371051,0
0.01882127,656.3473807,0
0.01911407,658.12584829,0
0.01944891,660.31770602,0
0.01979346,661.97477703,0
0.02006082,663.62965086,0
0.02035964,665.63630812,0
0.02073487,666.93207636,0
0.021013,669.36731913,0
0.02130046,670.59928608,0
0.02161717,672.56741525,0
0.02196283,673.84720162,0
0.02227801,676.09203231,0
0.02257755,677.77646356,0
0.02291998,678.89150534,0
0.02325079,680.87489542,0
0.02360839,682.54686073,0
0.02388595,684.17192154,0
0.02417906,685.58081627,0
0.02455038,687.43101284,0
0.02489421,688.82842816,0
0.02519264,690.57525234,0
0.02554567,692.30573268,0
0.02583524,693.55766552,0
0.02622813,695.31800992,0
0.02654688,696.53661638,0
0.02686229,698.41104596,0
0.02720236,699.70165838,0
0.02755801,701.49574831,0
0.0278784,703.044489,0
0.02821763,704.39264629,0
0.02853806,705.8877955,0
0.0289165,707.37648668,0
0.0292736,708.73309591,0
0.0295949,710.01651486,0
0.02994641,711.70410898,0
0.03027956,712.66433815,0
0.03061589,714.50975096,0
0.03095164,715.64009601,0
0.03127803,717.20239078,0
0.0316454,718.51700958,0
0.03206367,719.76491296,0
0.03237616,721.10426938,0
0.03267586,722.09397677,0
0.03308706,723.94524801,0
0.03343292,725.08842212,0
0.03376325,726.38827619,0
0.03415307,728.11588361,0
0.03452023,729.22127918,0
0.03488335,730.42910725,0
0.03522967,731.2973014,0
0.03551106,732.89340716,0
0.0358935,733.73357497,0
0.03633047,735.22249686,0
0.03664489,736.62899844,0
0.03700358,737.83832558,0
0.03739525,738.85601876,0
0.03775373,740.07372198,0
0.03810026,741.44436561,0
0.03845985,742.32833254,0
0.03876223,743.83577734,0
0.03919297,744.88635719,0
0.03956336,746.39039707,0
0.03983679,747.15636755,0
0.04027583,748.55225629,0
0.04064072,749.71794101,0
0.04096879,750.9760256,0
0.04135175,751.9953049,0
0.04168614,752.63421807,0
0.04208573,753.89221933,0
0.04250171,755.43784792,0
0.04281637,756.35186256,0
0.04317016,757.35244048,0
0.04356305,758.37634748,0
0.04394883,760.07879179,0
0.04429406,760.56767541,0
0.04467878,761.70023376,0
0.04504966,762.66078246,0
0.04547372,763.77558542,0
0.04577652,764.73460834,0
0.04617054,766.05371248,0
0.04656307,766.92058754,0
0.04698661,767.91791934,0
0.04730331,768.8971295,0
0.04766207,770.02252051,0
0.04810327,770.97900471,0
0.04843853,771.74797867,0
0.04888659,772.71811765,0
0.04915602,773.71315085,0
0.0495305,774.40073786,0
0.04997411,775.42600892,0
0.05039405,776.93702476,0
0.05069724,777.51395058,0
0.05107509,778.83062125,0
0.05150546,779.50785848,0
0.05189887,780.49036675,0
0.05228731,781.64723599,0
0.05265913,782.62127804,0
0.05307374,783.50872895,0
0.05345534,784.54861731,0
0.05381223,785.5697104,0
0.05421636,786.28706417,0
0.05462594,787.34387911,0
0.05498374,788.0826332,0
0.0553656,788.95489412,0
0.05577171,789.8469426,0
0.05619133,790.85729849,0
0.05653769,791.70312461,0
0.05689867,792.33265725,0
0.05730194,793.73171642,0
0.0577088,794.34169833,0
0.05811697,795.41047882,0
0.05851615,796.07244417,0
0.05888988,796.82889972,0
0.05928796,797.65539873,0
0.0596853,798.60353093,0
0.06006721,799.8263488,0
0.06045636,800.19616356,0
0.06085048,801.02163924,0
0.06125402,801.97711823,0
0.0616448,802.69343737,0
0.0620369,803.75567968,0
0.06247674,804.45520986,0
0.06284837,805.38014863,0
0.06327096,805.89430273,0
0.06365276,806.77821736,0
0.06407238,807.8659213,0
0.06446899,808.58325346,0
0.06484121,809.92166166,0
0.06525064,810.08183989,0
0.06563592,810.85613558,0
0.06610514,811.64165402,0
0.06646557,812.38947604,0
0.06686845,813.06423048,0
0.06724698,813.60408576,0
0.06766569,814.58120979,0
0.06806651,815.54436541,0
0.0684909,815.94967969,0
0.0688593,817.05352315,0
0.06929723,817.47064506,0
0.06965343,818.16796631,0
0.07008899,818.98880173,0
0.07054935,819.7148136,0
0.07092073,820.76626765,0
0.07130532,821.19912305,0
0.07171647,821.88598486,0
0.07211921,822.85629917,0
0.07257071,823.7515676,0
0.07297877,824.26324049,0
0.07338639,824.83289766,0
0.07382673,825.77131261,0
0.07422466,826.10127279,0
0.07462718,826.90031973,0
0.07502487,827.9867118,0
0.07540146,828.29981489,0
0.07583497,831.21458469,0
0.07622311,829.79140576,0
0.07658472,830.26749615,0
0.07704651,830.76908623,0
0.077463,832.04951126,0
0.07791341,832.65920858,0
0.07832217,833.29279873,0
0.0787714,834.07013491,0
0.07921487,834.61682695,0
0.07962344,835.13457012,0
0.08004504,835.83893185,0
0.08043206,836.45620744,0
0.08090168,837.14326306,0
0.08130687,838.24489885,0
0.0817976,838.71656662,0
0.08215347,839.24332803,0
0.08254338,839.80638761,0
0.08309687,840.74237308,0
0.08349004,841.25032211,0
0.08390113,841.65631287,0
0.08435,842.68162981,0
0.08476165,842.85375486,0
0.08516922,843.84519411,0
0.08561761,844.16638188,0
0.08610122,844.98079336,0
0.08650658,845.61900596,0
0.08700641,846.51451414,0
0.087348,847.45278768,0
0.08783715,847.69231356,0
0.08824844,848.33721417,0
0.0887044,848.90262014,0
0.08913295,849.50399639,0
0.08957851,850.00218163,0
0.09002049,850.54927261,0
0.09047877,851.17708447,0
0.09085801,851.9150175,0
0.09133116,852.20156987,0
0.0917881,853.00679468,0
0.09221482,853.66830885,0
0.09268689,854.13225641,0
0.09307873,854.88306122,0
0.0935604,855.29661587,0
0.09401639,856.10339597,0
0.09441547,856.61706929,0
0.09487475,857.3683001,0
0.09529199,857.60881945,0
0.09579785,858.4603735,0
0.09625751,858.97555356,0
0.09667606,859.51500314,0
0.09708972,860.34794903,0
0.09754046,860.43987613,0
0.09800452,861.31720552,0
0.09842996,861.68523633,0
0.09888143,862.2547233,0
0.09935652,862.78539925,0
0.09976386,863.25765915,0
0.10024082,864.02177472,0
0.10067452,864.57722699,0
0.10113849,865.09957086,0
0.10161306,865.51191958,0
0.1020423,866.18396216,0
0.10246845,866.73411059,0
0.10288531,867.096997,0
0.1034004,868.02450764,0
0.10380693,868.31903142,0
0.10426792,869.20040705,0
0.10473866,869.37158781,0
0.10518059,869.93739573,0
0.10567521,870.66958291,0
0.10609119,870.91330043,0
0.10655619,871.44016314,0
0.10703303,872.2105271,0
0.10752795,872.70422366,0
0.10792137,873.28961713,0
0.10843198,873.91801467,0
0.10892264,874.40890992,0
0.10935561,875.03006677,0
0.10979048,875.23151403,0
0.1102291,875.97877625,0
0.1107391,876.48781343,0
0.11120056,877.25610212,0
0.11170938,877.88556011,0
0.11216983,878.83514746,0
0.11259801,878.72972382,0
0.11313402,879.14238161,0
0.11358653,879.48148845,0
0.11400123,880.02933798,0
0.1145378,880.80636387,0
0.11496191,881.36328048,0
0.11546336,881.74661975,0
0.11597656,882.3830458,0
0.11637762,882.7915687,0
0.11693386,883.40619959,0
0.11743268,884.09171151,0
0.11788362,884.37066973,0
0.11835964,884.91507686,0
0.11885509,885.47708546,0
0.11938343,886.06870941,0
0.1199114,886.66037503,0
0.1203076,887.07412872,0
0.12080189,887.69734142,0
0.12126447,887.92695391,0
0.12179192,888.45839025,0
0.12228556,889.08199158,0
0.12271394,889.46456215,0
0.12324158,889.75277149,0
0.12380011,890.43530777,0
0.12426092,890.84747424,0
0.1247861,891.50095931,0
0.12524732,891.66918834,0
0.12577052,892.62768398,0
0.12629644,892.97673614,0
0.12672213,893.54244238,0
0.12724735,893.89123593,0
0.12777104,894.54555002,0
0.12829581,894.89433414,0
0.1287865,895.45827419,0
0.12930898,896.17407076,0
0.12986554,896.55215136,0
0.13035613,896.99398449,0
0.13087778,897.71023147,0
0.13143327,898.14959473,0
0.13195464,898.80485124,0
0.1325107,898.99867023,0
0.13296748,899.34949863,0
0.13348775,900.06638903,0
0.13404207,900.44411036,0
0.13456403,900.73091201,0
0.13511501,901.6621695,0
0.13560262,902.1656741,0
0.13615537,902.6047612,0
0.13677247,903.16433788,0
0.13726024,903.48299175,0
0.13781246,903.86024659,0
0.13836408,904.2991132,0
0.13897903,905.04394613,0
0.13949663,905.70080858,0
0.13998179,906.20435333,0
0.00200636,472.71287742,0
0.00217476,475.84342808,0
0.0021925,479.96895033,0
0.0023017,482.95883284,0
0.0025705,486.19489765,0
0.0026942,490.0526646,0
0.00271072,492.89896084,0
0.00288858,496.35579346,0
0.00318554,499.92732902,0
0.00327409,504.0941672,0
0.00328775,505.98110177,0
0.00364932,509.26777405,0
0.0038478,512.31854553,0
0.00389737,515.28694923,0
0.0040569,518.69591963,0
0.00434634,521.42115226,0
0.0044921,524.54988387,0
0.00460379,527.02273785,0
0.0048417,530.36365266,0
0.00503752,533.15220174,0
0.00520671,536.03526045,0
0.00543616,538.73651877,0
0.00569283,541.23838615,0
0.00578301,544.2366378,0
0.00603338,546.46799246,0
0.00632681,549.7482938,0
0.0064351,552.11929707,0
0.0065489,554.81067945,0
0.00691319,557.27195706,0
0.00719427,560.01203512,0
0.0072282,562.29049785,0
0.00745598,564.51699877,0
0.00779455,567.61734601,0
0.00802491,570.00985074,0
0.00816853,572.67102774,0
0.00845917,574.93832626,0
0.00862635,577.29761584,0
0.00890957,579.45489732,0
0.00917727,582.52357668,0
0.0093395,584.39628593,0
0.00952665,586.44654985,0
0.00983576,589.32714348,0
0.01010996,590.99799424,0
0.01024249,593.6141301,0
0.01047375,595.64025703,0
0.01086843,598.41534696,0
0.01109386,600.11523467,0
0.0112715,602.54578482,0
0.01154304,604.70893554,0
0.01181159,606.60708943,0
0.01203766,608.90746804,0
0.01225867,610.71752266,0
0.01248843,613.02216198,0
0.01274571,614.91060212,0
0.01307426,617.38711092,0
0.01335808,619.13129912,0
0.01352211,621.18215653,0
0.01378157,623.40205295,0
0.01412383,625.19259748,0
0.0143314,627.38220294,0
0.01455279,628.92880829,0
0.01485294,631.06995023,0
0.01515969,633.27098064,0
0.01540213,635.92229643,0
0.01569269,636.81555301,0
0.01594071,638.92804547,0
0.01620189,640.66865684,0
0.01650733,642.27517928,0
0.01680619,644.5326243,0
0.01696446,646.10720747,0
0.01732986,648.19190602,0
0.01765487,649.54235435,0
0.0178756,651.86257868,0
0.01814422,653.45774652,0
0.01847307,655.3595752,0
0.01876359,656.90955292,0
0.01904993,658.51911991,0
0.01935187,660.73440686,0
0.01960302,661.98766324,0
0.01992441,663.88994778,0
0.02019262,665.38173594,0
0.02047058,667.20236442,0
0.02074795,668.96884666,0
0.02110685,670.63368799,0
0.02142942,672.15874416,0
0.02163252,673.43960913,0
0.02198614,675.32308633,0
0.02228485,676.45082866,0
0.02260451,678.52594372,0
0.02289507,679.7114195,0
0.02320581,681.34357115,0
0.02348249,683.1798333,0
0.02384552,684.46540119,0
0.02412783,685.80617651,0
0.0244527,687.40372993,0
0.02473348,689.07486277,0
0.02505866,690.56458402,0
0.02538387,692.04836368,0
0.02567605,693.51007088,0
0.02601225,694.95511618,0
0.02632355,696.21159743,0
0.02662468,698.01942559,0
0.02699756,699.32073413,0
0.02728504,700.2390666,0
0.02763605,702.1882355,0
0.02797977,703.42336085,0
0.02830157,704.69205244,0
0.02860113,705.95265107,0
0.02895977,707.80115931,0
0.02927037,708.96079168,0
0.02955695,710.64960165,0
0.02995277,711.42938291,0
0.03028761,712.82271747,0
0.03062193,714.27877736,0
0.03093306,715.21419527,0
0.0312888,716.74263867,0
0.03159535,717.8974974,0
0.03192075,719.62050424,0
0.03223121,720.67581442,0
0.03261619,721.95197582,0
0.03297538,723.36972818,0
0.03330669,724.4977372,0
0.03353466,725.37781483,0
0.03397566,726.92001507,0
0.03433985,728.0116887,0
0.03461521,729.37928389,0
0.03490864,730.75389681,0
0.03531632,731.66432436,0
0.03567433,733.09491616,0
0.03608444,734.16850393,0
0.03634645,735.25184722,0
0.03668099,736.22231832,0
0.03707638,738.01101231,0
0.03745167,738.7903639,0
0.03773448,739.88465898,0
0.03814245,741.24680262,0
0.03849045,742.27946316,0
0.03879451,743.45431254,0
0.03920335,744.54069652,0
0.0395227,745.49809593,0
0.03987726,746.54524621,0
0.04020227,747.787352,0
0.04057231,748.56807438,0
0.04093273,749.84519479,0
0.04130406,751.12438291,0
0.04166944,752.01530107,0
0.04202278,753.17752094,0
0.04240934,754.13466254,0
0.04276309,755.24261985,0
0.04310797,756.56166327,0
0.04349132,757.30121837,0
0.04380561,758.26905918,0
0.04417985,759.39530904,0
0.0446004,760.55063833,0
0.04494081,761.20348257,0
0.04528176,762.47481652,0
0.04561727,763.28634358,0
0.04596262,764.33769316,0
0.04637502,765.55363982,0
0.04675694,766.34628899,0
0.0471084,767.51684893,0
0.0474909,768.14926188,0
0.04788865,769.29353797,0
0.04825105,770.36199271,0
0.04855328,771.21550909,0
0.048937,772.18195085,0
0.04933284,772.93992005,0
0.04967978,774.11168408,0
0.05009263,774.88399209,0
0.05041814,776.03339225,0
0.05086141,777.00000569,0
0.05118462,777.87357803,0
0.05157021,778.95890235,0
0.05193239,779.80753655,0
0.05232208,780.67823516,0
0.05272338,781.5020299,0
0.05309525,782.40939675,0
0.05344588,783.25109196,0
0.05382131,784.16944812,0
0.05420048,784.86465842,0
0.05457803,785.89208276,0
0.0549775,786.77443297,0
0.0553092,787.88747361,0
0.05576543,788.63860688,0
0.05608414,789.34519484,0
0.05650759,790.24882503,0
0.05688427,790.54767584,0
0.05722208,793.13941427,0
0.05762305,792.77626822,0
0.05805923,793.8061897,0
0.05842774,794.2706312,0
0.05879182,795.63567228,0
0.05921244,796.14256131,0
0.05955176,796.75567456,0
0.05994693,797.41382795,0
0.06037104,798.55179094,0
0.06070483,799.49686774,0
0.06109547,800.26701619,0
0.06151049,801.00015507,0
0.06185286,801.5039592,0
0.0622696,802.63929012,0
0.06268994,803.65687289,0
0.06296997,803.94000199,0
0.06339329,804.96817357,0
0.06382252,805.54401914,0
0.06416532,806.50828593,0
0.06460492,806.97166502,0
0.06502289,808.34174799,0
0.06535486,808.55385256,0
0.06578095,809.58791937,0
0.06614448,810.44991872,0
0.06654067,811.0592642,0
0.06692267,811.65741093,0
0.06732878,812.33299535,0
0.06769854,813.26661272,0
0.06813594,813.96870039,0
0.06846746,814.74997695,0
0.06883913,815.16908073,0
0.06928197,815.99195032,0
0.06963112,816.73858615,0
0.07005043,817.31283869,0
0.07048613,818.13137987,0
0.07089289,819.03476712,0
0.07125964,819.62470968,0
0.07161616,819.97580739,0
0.0720286,821.12334522,0
0.07244981,821.81706273,0
0.07279763,822.56612713,0
0.07321695,822.85469436,0
0.07361508,823.9278833,0
0.07401238,824.43006595,0
0.07438141,824.96695594,0
0.07477582,825.98815332,0
0.07523131,826.48175216,0
0.07560288,827.07971945,0
0.07603102,828.23930781,0
0.07635809,828.68521923,0
0.07675792,829.13391154,0
0.07724025,829.6515425,0
0.07762739,830.49643547,0
0.07798521,830.91095782,0
0.07842393,831.79981284,0
0.07880848,832.40430019,0
0.07919216,833.07380531,0
0.07957552,833.80158891,0
0.08000425,834.45147222,0
0.08046351,835.12735975,0
0.08084722,835.74030222,0
0.08128891,836.40228192,0
0.08164806,836.9880313,0
0.08212419,837.62146111,0
0.08251315,838.47359082,0
0.08290439,838.68630939,0
0.08334183,839.40500985,0
0.08371025,840.06596167,0
0.0841672,840.80201854,0
0.08460863,841.29165852,0
0.08501449,841.86845391,0
0.085417,842.49394032,0
0.08586799,842.99256912,0
0.08626982,843.6254945,0
0.08675028,844.26687966,0
0.08717523,845.03741146,0
0.08757387,845.61021924,0
0.08797592,846.06895404,0
0.08840634,846.96277539,0
0.08882147,847.43328059,0
0.08924697,847.96424623,0
0.08969619,848.40555066,0
0.09011367,849.05515432,0
0.09055511,849.66679205,0
0.09097932,850.20526808,0
0.0913924,851.02882091,0
0.09186963,851.8488996,0
0.09230482,852.10338724,0
0.092758,852.90376847,0
0.09320903,853.34907629,0
0.09364198,854.01507254,0
0.09408584,854.50642791,0
0.09453192,855.12542108,0
0.09498178,855.68898178,0
0.09535219,856.48004073,0
0.09576316,856.53795743,0
0.09624065,857.59932134,0
0.0967003,858.05439577,0
0.09710913,858.46590502,0
0.09755007,859.20142681,0
0.0980695,859.82743281,0
0.0984637,860.28639745,0
0.09900794,861.28304743,0
0.0994004,861.33327119,0
0.09984816,861.83192193,0
0.10031225,862.41179937,0
0.10080925,863.19881213,0
0.10117933,863.57908885,0
0.10168395,864.01678089,0
0.10212867,864.93819073,0
0.10261555,865.53974461,0
0.10306904,865.9339742,0
0.10347309,866.1066369,0
0.10393425,866.92504876,0
0.10440955,867.63708935,0
0.10483514,868.06762614,0
0.10536095,868.7051656,0
0.10576539,869.22972049,0
0.106211,869.61875435,0
0.10665217,870.12363592,0
0.10714721,870.67588077,0
0.10760199,871.07358981,0
0.10802661,871.50493998,0
0.10846919,872.19175495,0
0.10893636,872.84065541,0
0.10940711,873.25336048,0
0.10983278,873.92653308,0
0.11033713,874.24925951,0
0.11080376,874.65901718,0
0.11131262,875.34628181,0
0.1117344,876.01751869,0
0.11218832,876.17648565,0
0.11265715,876.64921475,0
0.11308238,877.20411968,0
0.11354113,877.60832162,0
0.11401544,878.26730049,0
0.11452701,878.65834999,0
0.11500123,879.25771284,0
0.11547254,879.67396083,0
0.1159301,880.13858418,0
0.11639287,880.78914448,0
0.11688916,881.40185999,0
0.1174195,881.8185208,0
0.11788349,882.16904117,0
0.11827988,882.69414673,0
0.11877423,883.49551482,0
0.1193035,883.90467736,0
0.11976584,884.43630654,0
0.12029409,884.90561392,0
0.12075568,885.43715876,0
0.12128379,885.90687744,0
0.12171147,886.53019975,0
0.12223869,886.99969915,0
0.12273374,887.258534,0
0.12322615,888.00129848,0
0.12375209,888.65287911,0
0.12424707,888.79050152,0
0.12467336,889.3536882,0
0.12523157,889.97419805,0
0.12569172,890.32462743,0
0.12621538,891.15875549,0
0.1267734,891.65829714,0
0.12723245,892.06945433,0
0.12772397,892.5098992,0
0.12828027,893.25303261,0
0.12870714,893.33045162,0
0.12926211,894.1342493,0
0.12975223,894.63565002,0
0.13030884,895.07466582,0
0.13079912,895.51549149,0
0.13128936,895.83393577,0
0.13181024,896.54792764,0
0.13233143,897.20135555,0
0.13285419,897.54975902,0
0.13331014,898.02225317,0
0.13386379,898.58315503,0
0.13445036,898.98971278,0
0.13500309,899.55038978,0
0.13545902,899.90084589,0
0.13601215,900.27775093,0
0.13649914,900.77976975,0
0.13705043,901.40190981,0
0.13763453,901.99252131,0
0.13812014,902.61763429,0
0.00201306,471.95466359,0
0.00221914,475.74581375,0
0.00230569,478.77722868,0
0.00236841,482.0726536,0
0.00257587,486.34441823,0
0.0028224,489.45660415,0
0.00281411,493.51799684,0
0.00294222,496.41960049,0
0.0032179,500.46308879,0
0.00338835,503.06605025,0
0.00338595,506.70348331,0
0.00361145,509.49735743,0
