"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E17",,,,"E18",,,,"E19",,,,"E2",,,,"E20",,,,"E21",,,,"E22",,,,"E23",,,,"E24",,,,"E25",,,,"E26",,,,"E27",,,,"E28",,,,"E29",,,,"E3",,,,"E30",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.08806,6.08806,0,0,0.202948,0.202948,0,0,1.01466,1.01466,0,0,0.202907,0.202907,0,0,0.202949,0.202949,0,0,0.405897,0.405897,0,0,0.405855,0.405855,0,0,0.608804,0.608804,0,0,0.608804,0.608804,0,0,0.811711,0.811711,0,0,0.811752,0.811752,0,0,1.0147,1.0147,0,0,0.202949,0.202949,0,0,1.01466,1.01466,0,0,0.202949,0.202949,0,0,0.202907,0.202907,0,0,0.405855,0.405855,0,0,0.405897,0.405897,0,0,0.608804,0.608804,0,0,0.608804,0.608804,0,0,0.811752,0.811752,0,0,0.811711,0.811711,0,0,1.01466,1.01466,0,0,0.405855,0.405855,0,0,1.0147,1.0147,0,0,0.405855,0.405855,0,0,0.608804,0.608804,0,0,0.608804,0.608804,0,0,0.811753,0.811753,0,0,0.811753,0.811753,0,0,1.01466,1.01466
1,-2.51762e-05,-0.000153275,6.08791,6.08806,-5.24237e-05,-1.06393e-05,0.202938,0.202948,-7.94208e-06,-8.0585e-06,1.01465,1.01466,0.000230274,4.67243e-05,0.202954,0.202907,-0.000199085,-4.0404e-05,0.202908,0.202949,-1.40208e-05,-5.69098e-06,0.405891,0.405897,1.31697e-05,5.34498e-06,0.405861,0.405855,-0.00011263,-6.85696e-05,0.608735,0.608804,-2.18911e-06,-1.33274e-06,0.608803,0.608804,-5.89789e-05,-4.78738e-05,0.811663,0.811711,-2.41869e-05,-1.96338e-05,0.811733,0.811752,-4.94533e-05,-5.01803e-05,1.01465,1.0147,0.000122799,2.49219e-05,0.202973,0.202949,4.46939e-05,4.53492e-05,1.01471,1.01466,4.47224e-05,9.07634e-06,0.202958,0.202949,0.000221137,4.48702e-05,0.202952,0.202907,-1.60285e-05,-6.50526e-06,0.405849,0.405855,-1.33526e-05,-5.41978e-06,0.405892,0.405897,5.07661e-05,3.09067e-05,0.608835,0.608804,-7.01937e-05,-4.27342e-05,0.608761,0.608804,7.68062e-05,6.23476e-05,0.811815,0.811752,-0.000136532,-0.000110825,0.8116,0.811711,-4.79521e-05,-4.8655e-05,1.01461,1.01466,0.000165656,6.72326e-05,0.405923,0.405855,4.86267e-05,4.93415e-05,1.01475,1.0147,0.000220296,8.94084e-05,0.405945,0.405855,-3.35427e-05,-2.04209e-05,0.608783,0.608804,-4.94881e-05,-3.01286e-05,0.608774,0.608804,-3.67464e-05,-2.9829e-05,0.811723,0.811753,-4.82668e-05,-3.91807e-05,0.811714,0.811753,-1.77431e-05,-1.80032e-05,1.01464,1.01466
2,-1.42536e-05,-8.67769e-05,6.08797,6.08806,-1.11282e-05,-2.25845e-06,0.202946,0.202948,-2.04747e-05,-2.07748e-05,1.01464,1.01466,0.000103682,2.10377e-05,0.202928,0.202907,8.42789e-06,1.71043e-06,0.20295,0.202949,-0.000150462,-6.1072e-05,0.405836,0.405897,2.67595e-05,1.08605e-05,0.405866,0.405855,-0.000112659,-6.85873e-05,0.608735,0.608804,-3.50874e-06,-2.13614e-06,0.608802,0.608804,-2.27616e-05,-1.84759e-05,0.811692,0.811711,-3.08744e-05,-2.50624e-05,0.811727,0.811752,-4.18842e-05,-4.24999e-05,1.01466,1.0147,0.000242787,4.92732e-05,0.202998,0.202949,-2.74461e-05,-2.78485e-05,1.01463,1.01466,-0.000130049,-2.63933e-05,0.202922,0.202949,0.000295703,6.00002e-05,0.202967,0.202907,-8.59398e-05,-3.48791e-05,0.405821,0.405855,4.49084e-05,1.82282e-05,0.405915,0.405897,4.28484e-05,2.60863e-05,0.608831,0.608804,4.04597e-05,2.4632e-05,0.608829,0.608804,-2.44616e-06,-1.98567e-06,0.81175,0.811752,-7.59592e-05,-6.16569e-05,0.811649,0.811711,-4.11814e-05,-4.17851e-05,1.01462,1.01466,7.85801e-05,3.18922e-05,0.405887,0.405855,-1.15949e-05,-1.17653e-05,1.01469,1.0147,0.000158779,6.44415e-05,0.40592,0.405855,-0.000104387,-6.35511e-05,0.60874,0.608804,-4.48605e-05,-2.73112e-05,0.608777,0.608804,-1.37129e-05,-1.11314e-05,0.811742,0.811753,-3.77371e-06,-3.06332e-06,0.81175,0.811753,-7.4426e-05,-7.5517e-05,1.01458,1.01466
3,-1.77616e-05,-0.000108134,6.08795,6.08806,-6.37723e-05,-1.29425e-05,0.202936,0.202948,2.661e-05,2.70001e-05,1.01469,1.01466,9.81346e-05,1.99122e-05,0.202927,0.202907,0.000220222,4.46938e-05,0.202993,0.202949,-4.73613e-05,-1.92238e-05,0.405878,0.405897,2.95812e-05,1.20057e-05,0.405867,0.405855,-6.77591e-05,-4.1252e-05,0.608763,0.608804,-2.09346e-05,-1.27451e-05,0.608792,0.608804,4.00444e-06,3.25044e-06,0.811714,0.811711,2.49204e-05,2.02292e-05,0.811773,0.811752,-9.3231e-05,-9.46015e-05,1.01461,1.0147,0.00012438,2.52428e-05,0.202974,0.202949,-3.24998e-05,-3.29762e-05,1.01463,1.01466,0.000127445,2.58647e-05,0.202974,0.202949,0.000334901,6.79537e-05,0.202975,0.202907,-3.72242e-05,-1.51077e-05,0.40584,0.405855,-1.94269e-05,-7.88531e-06,0.405889,0.405897,0.000172809,0.000105207,0.60891,0.608804,0.000154528,9.40774e-05,0.608898,0.608804,1.98718e-05,1.6131e-05,0.811768,0.811752,-0.000126574,-0.000102742,0.811608,0.811711,-5.24074e-05,-5.31757e-05,1.01461,1.01466,-3.0204e-06,-1.22585e-06,0.405854,0.405855,1.58657e-05,1.60989e-05,1.01472,1.0147,0.000200569,8.14019e-05,0.405937,0.405855,-0.000129516,-7.88501e-05,0.608725,0.608804,5.80406e-05,3.53353e-05,0.608839,0.608804,-7.46609e-05,-6.06062e-05,0.811692,0.811753,-3.27712e-05,-2.66021e-05,0.811726,0.811753,-1.10696e-05,-1.12319e-05,1.01465,1.01466
4,-6.80279e-06,-4.14158e-05,6.08802,6.08806,-6.78604e-05,-1.37722e-05,0.202935,0.202948,4.52383e-05,4.59015e-05,1.01471,1.01466,0.000466238,9.4603e-05,0.203001,0.202907,0.000129632,2.63086e-05,0.202975,0.202949,4.58221e-05,1.85991e-05,0.405916,0.405897,-8.70628e-05,-3.53349e-05,0.40582,0.405855,-5.96099e-05,-3.62907e-05,0.608768,0.608804,0.000100179,6.09894e-05,0.608865,0.608804,-4.26338e-06,-3.46063e-06,0.811707,0.811711,-6.72549e-05,-5.45943e-05,0.811698,0.811752,-5.5485e-05,-5.63007e-05,1.01464,1.0147,0.000515214,0.000104562,0.203053,0.202949,-6.76705e-05,-6.86625e-05,1.01459,1.01466,0.000173396,3.51905e-05,0.202984,0.202949,0.000184347,3.74053e-05,0.202944,0.202907,0.000125968,5.11249e-05,0.405907,0.405855,-5.30405e-05,-2.1529e-05,0.405875,0.405897,0.000176692,0.000107571,0.608912,0.608804,2.28339e-05,1.39014e-05,0.608818,0.608804,3.57978e-05,2.9059e-05,0.811781,0.811752,-0.000133561,-0.000108413,0.811602,0.811711,9.02328e-06,9.15556e-06,1.01467,1.01466,-7.12853e-06,-2.89315e-06,0.405853,0.405855,1.80034e-05,1.8268e-05,1.01472,1.0147,0.00012626,5.12433e-05,0.405907,0.405855,-2.1641e-06,-1.31751e-06,0.608803,0.608804,-1.75988e-05,-1.07142e-05,0.608793,0.608804,-6.19308e-05,-5.02725e-05,0.811703,0.811753,-7.32313e-06,-5.94457e-06,0.811747,0.811753,-1.66239e-05,-1.68676e-05,1.01464,1.01466
5,-1.31398e-05,-7.9996e-05,6.08798,6.08806,-1.7779e-05,-3.60823e-06,0.202945,0.202948,-2.83532e-05,-2.87688e-05,1.01463,1.01466,5.7637e-05,1.16949e-05,0.202919,0.202907,0.000263136,5.3403e-05,0.203002,0.202949,-9.64695e-05,-3.91567e-05,0.405858,0.405897,2.63281e-05,1.06854e-05,0.405866,0.405855,1.00673e-05,6.129e-06,0.60881,0.608804,2.84793e-05,1.73383e-05,0.608822,0.608804,-6.52506e-06,-5.29646e-06,0.811705,0.811711,-9.54379e-05,-7.7472e-05,0.811675,0.811752,-1.00651e-06,-1.02131e-06,1.0147,1.0147,0.000336627,6.83179e-05,0.203017,0.202949,-8.36146e-05,-8.48404e-05,1.01458,1.01466,1.87675e-05,3.80883e-06,0.202952,0.202949,0.000219072,4.44512e-05,0.202951,0.202907,0.000205436,8.33774e-05,0.405939,0.405855,3.91865e-05,1.59057e-05,0.405913,0.405897,0.000120723,7.34966e-05,0.608878,0.608804,0.000150893,9.1864e-05,0.608896,0.608804,3.79144e-05,3.07771e-05,0.811783,0.811752,-0.00015746,-0.000127812,0.811583,0.811711,-0.000122877,-0.000124678,1.01454,1.01466,-1.94431e-05,-7.89109e-06,0.405848,0.405855,4.4822e-05,4.54809e-05,1.01475,1.0147,2.40493e-05,9.76054e-06,0.405865,0.405855,-0.000116687,-7.10394e-05,0.608733,0.608804,-7.84345e-05,-4.77512e-05,0.608756,0.608804,-5.24904e-05,-4.26092e-05,0.81171,0.811753,-3.60028e-05,-2.92254e-05,0.811724,0.811753,4.09284e-05,4.15284e-05,1.0147,1.01466
6,-7.87514e-07,-4.79443e-06,6.08806,6.08806,8.07073e-05,1.63794e-05,0.202965,0.202948,4.03116e-05,4.09026e-05,1.0147,1.01466,0.000358698,7.27823e-05,0.20298,0.202907,9.9408e-05,2.01747e-05,0.202969,0.202949,-7.59419e-05,-3.08246e-05,0.405866,0.405897,0.000135532,5.50063e-05,0.40591,0.405855,-5.7384e-05,-3.49356e-05,0.608769,0.608804,0.000144752,8.81258e-05,0.608893,0.608804,-1.81451e-05,-1.47286e-05,0.811696,0.811711,-2.36366e-05,-1.91871e-05,0.811733,0.811752,-2.82581e-05,-2.86736e-05,1.01467,1.0147,0.000338788,6.87565e-05,0.203017,0.202949,-1.46664e-05,-1.48814e-05,1.01464,1.01466,0.000117326,2.38112e-05,0.202972,0.202949,0.000607535,0.000123273,0.20303,0.202907,-0.000101471,-4.11825e-05,0.405814,0.405855,-8.06857e-05,-3.27501e-05,0.405864,0.405897,0.000128336,7.81318e-05,0.608883,0.608804,0.000190843,0.000116186,0.60892,0.608804,9.49659e-05,7.70888e-05,0.811829,0.811752,-0.000102952,-8.35673e-05,0.811627,0.811711,-4.19598e-05,-4.25749e-05,1.01462,1.01466,2.35585e-05,9.56135e-06,0.405865,0.405855,8.36932e-05,8.49235e-05,1.01479,1.0147,0.000124649,5.05894e-05,0.405906,0.405855,-8.09943e-05,-4.93096e-05,0.608755,0.608804,6.23552e-06,3.79621e-06,0.608808,0.608804,-2.72829e-05,-2.2147e-05,0.811731,0.811753,4.14281e-05,3.36294e-05,0.811786,0.811753,5.4603e-05,5.54034e-05,1.01471,1.01466
7,1.0904e-05,6.63842e-05,6.08813,6.08806,3.77943e-05,7.6703e-06,0.202956,0.202948,2.12235e-05,2.15346e-05,1.01468,1.01466,0.000306965,6.22853e-05,0.202969,0.202907,0.000104342,2.11761e-05,0.20297,0.202949,-6.75819e-05,-2.74313e-05,0.40587,0.405897,-0.000106473,-4.32126e-05,0.405812,0.405855,-0.000133585,-8.13269e-05,0.608723,0.608804,8.01946e-05,4.88228e-05,0.608853,0.608804,6.17748e-05,5.01433e-05,0.811761,0.811711,4.95112e-05,4.01908e-05,0.811793,0.811752,-9.65198e-05,-9.79388e-05,1.0146,1.0147,-0.000180957,-3.67249e-05,0.202912,0.202949,8.69915e-06,8.82667e-06,1.01467,1.01466,-4.94148e-05,-1.00287e-05,0.202938,0.202949,1.72516e-05,3.50048e-06,0.20291,0.202907,1.00277e-05,4.0698e-06,0.40586,0.405855,-8.16957e-05,-3.316e-05,0.405864,0.405897,8.98516e-05,5.4702e-05,0.608859,0.608804,3.78943e-05,2.30702e-05,0.608827,0.608804,2.05205e-05,1.66575e-05,0.811769,0.811752,-0.000184948,-0.000150124,0.811561,0.811711,-6.29943e-05,-6.39178e-05,1.0146,1.01466,-3.41963e-05,-1.38787e-05,0.405842,0.405855,7.72315e-05,7.83668e-05,1.01478,1.0147,0.000253489,0.00010288,0.405958,0.405855,-0.000186373,-0.000113464,0.60869,0.608804,-2.48565e-05,-1.51327e-05,0.608789,0.608804,-1.6e-06,-1.2988e-06,0.811752,0.811753,9.07505e-05,7.3667e-05,0.811827,0.811753,2.64535e-05,2.68413e-05,1.01469,1.01466
8,-2.14659e-06,-1.30686e-05,6.08805,6.08806,0.000314834,6.38952e-05,0.203012,0.202948,-8.32831e-06,-8.4504e-06,1.01465,1.01466,6.50751e-05,1.32042e-05,0.20292,0.202907,0.000319955,6.49345e-05,0.203013,0.202949,-0.000224489,-9.11195e-05,0.405806,0.405897,-4.02378e-05,-1.63307e-05,0.405839,0.405855,-7.53293e-05,-4.58608e-05,0.608758,0.608804,-2.58891e-05,-1.57614e-05,0.608789,0.608804,1.32084e-05,1.07214e-05,0.811722,0.811711,-1.44593e-05,-1.17374e-05,0.811741,0.811752,-2.98342e-05,-3.02727e-05,1.01467,1.0147,0.000347054,7.04342e-05,0.203019,0.202949,-9.61674e-05,-9.75772e-05,1.01456,1.01466,0.000486555,9.87455e-05,0.203047,0.202949,2.0518e-05,4.16323e-06,0.202911,0.202907,-0.000152956,-6.2078e-05,0.405793,0.405855,-7.2078e-05,-2.92562e-05,0.405868,0.405897,0.000180441,0.000109853,0.608914,0.608804,0.000161338,9.82233e-05,0.608902,0.608804,-4.23335e-05,-3.43643e-05,0.811718,0.811752,-0.000105577,-8.56976e-05,0.811625,0.811711,-9.13393e-05,-9.26783e-05,1.01457,1.01466,7.00155e-05,2.84162e-05,0.405884,0.405855,2.95969e-05,3.0032e-05,1.01473,1.0147,7.95415e-05,3.22824e-05,0.405888,0.405855,-5.62549e-05,-3.42482e-05,0.60877,0.608804,-0.000113097,-6.8854e-05,0.608735,0.608804,-0.00011286,-9.16144e-05,0.811661,0.811753,3.25904e-05,2.64554e-05,0.811779,0.811753,2.57405e-05,2.61178e-05,1.01469,1.01466
9,1.75401e-05,0.000106785,6.08817,6.08806,9.98486e-07,2.02641e-07,0.202949,0.202948,3.20387e-05,3.25084e-05,1.01469,1.01466,0.00016761,3.40092e-05,0.202941,0.202907,0.000651138,0.000132147,0.203081,0.202949,-0.000196885,-7.99149e-05,0.405817,0.405897,2.85508e-05,1.15875e-05,0.405867,0.405855,-0.000171381,-0.000104338,0.6087,0.608804,-0.000130717,-7.95814e-05,0.608725,0.608804,6.5653e-05,5.32912e-05,0.811764,0.811711,-1.22501e-05,-9.94408e-06,0.811742,0.811752,-2.97461e-05,-3.01834e-05,1.01467,1.0147,0.000250423,5.08231e-05,0.202999,0.202949,-4.43576e-05,-4.50079e-05,1.01461,1.01466,-6.32984e-05,-1.28463e-05,0.202936,0.202949,0.000275152,5.58303e-05,0.202963,0.202907,-0.000257494,-0.000104505,0.405751,0.405855,-0.000164129,-6.66193e-05,0.40583,0.405897,0.000315459,0.000192053,0.608996,0.608804,0.000165336,0.000100657,0.608905,0.608804,9.83874e-05,7.98662e-05,0.811832,0.811752,-0.000124721,-0.000101237,0.81161,0.811711,2.5378e-05,2.575e-05,1.01469,1.01466,1.55223e-05,6.2998e-06,0.405862,0.405855,6.89944e-05,7.00086e-05,1.01477,1.0147,0.00015686,6.36625e-05,0.405919,0.405855,-0.000152498,-9.28411e-05,0.608711,0.608804,-4.95823e-05,-3.01859e-05,0.608774,0.608804,-0.000141499,-0.000114862,0.811638,0.811753,6.63901e-05,5.38924e-05,0.811807,0.811753,-5.95153e-05,-6.03877e-05,1.0146,1.01466
