Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/08/21;DP600Large;CH;00;3;0.0798;0.28305;4;1;0;6;0.20003;0.19999;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0
0.501;-0.00022717;-2.6577e-06;-6.3821e-06;0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0
1.001;0.00022007;-5.7472e-05;2.4597e-07;0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0
1.503;-6.2413e-05;-3.7162e-05;-7.3279e-06;0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0
2;0.0004826;-2.43e-05;1.9996e-05;0.0002058;0;0;0;0;0;0;0;0;0;0;0;0;0
2.501;-0.00018591;-6.1252e-05;-3.2812e-05;0.0002548;0;0;0;0;0;0;0;0;0;0;0;0;0
3.001;0.00030363;-2.4567e-05;6.7569e-05;0.000392;0;0;0;0;0;0;0;0;0;0;0;0;0
3.501;0.00023199;-1.4968e-05;5.9136e-05;0.0006958;0;0;0;0;0;0;0;0;0;0;0;0;0
4.002;0.00015331;-2.8617e-05;1.4335e-06;0.0011858;0;0;0;0;0;0;0;0;0;0;0;0;0
4.501;0.00030496;2.0255e-05;2.6326e-05;0.0017444;0;0;0;0;0;0;0;0;0;0;0;0;0
5.001;0.00034802;9.4851e-06;0.00010253;0.0025578;0;0;0;0;0;0;0;0;0;0;0;0;0
5.501;0.00024497;2.7519e-05;1.0413e-05;0.0035084;0;0;0;0;0;0;0;0;0;0;0;0;0
6.001;0.00036758;4.0399e-05;0.00010627;0.0044296;0;0;0;0;0;0;0;0;0;0;0;0;0
6.501;0.00035951;2.6135e-05;2.6364e-05;0.0057036;0;0;0;0;0;0;0;0;0;0;0;0;0
7.001;0.00041495;1.4968e-05;9.769e-05;0.0067228;0;0;0;0;0;0;0;0;0;0;0;0;0
7.501;0.00040765;2.0801e-05;3.6813e-05;0.0080458;0;0;0;0;0;0;0;0;0;0;0;0;0
8.001;0.00056723;3.9248e-05;0.00011705;0.0092218;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0.00056126;2.0863e-05;8.3553e-05;0.0103;0;0;0;0;0;0;0;0;0;0;0;0;0
9.001;0.00052597;0.00010794;8.4491e-05;0.011378;0;0;0;0;0;0;0;0;0;0;0;0;0
9.5;0.00052619;6.5411e-05;6.0771e-05;0.012593;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0.00058011;6.1161e-05;4.8338e-05;0.013661;0;0;0;0;0;0;0;0;0;0;0;0;0
10.501;0.00061597;3.9154e-05;5.7202e-05;0.014984;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.00069379;5.0312e-05;0.00010324;0.016356;0;0;0;0;0;0;0;0;0;0;0;0;0
11.5;0.00077406;5.9407e-05;8.8778e-05;0.017679;0;0;0;0;0;0;0;0;0;0;0;0;0
12.001;0.00077044;6.7407e-05;2.0893e-05;0.019159;0;0;0;0;0;0;0;0;0;0;0;0;0
12.501;0.00088022;0.00011683;8.5653e-05;0.020678;0;0;0;0;0;0;0;0;0;0;0;0;0
13.001;0.00091286;0.0001008;5.8429e-05;0.022119;0;0;0;0;0;0;0;0;0;0;0;0;0
13.501;0.00086709;0.00015251;0.00012228;0.023608;0;0;0;0;0;0;0;0;0;0;0;0;0
14.001;0.0009244;0.00013287;3.6199e-05;0.025255;0;0;0;0;0;0;0;0;0;0;0;0;0
14.502;0.00098598;0.00018152;2.0194e-05;0.026803;0;0;0;0;0;0;0;0;0;0;0;0;0
