"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,7.79999,7.79999,0,0,0.260024,0.260024,0,0,0.519998,0.519998,0,0,0.780002,0.780002,0,0,1.04,1.04,0,0,1.3,1.3,0,0,1.56,1.56,0,0,1.82,1.82,0,0,2.08,2.08,0,0,0.519998,0.519998,0,0,0.779971,0.779971,0,0,1.04,1.04,0,0,1.30002,1.30002,0,0,1.55999,1.55999,0,0,1.81997,1.81997,0,0,2.07999,2.07999,0,0,0.260004,0.260004
1,-1.4346e-05,-0.000111898,7.79987,7.79999,0.000149098,3.8769e-05,0.260063,0.260024,-1.21991e-05,-6.34351e-06,0.519992,0.519998,-3.47451e-05,-2.71012e-05,0.779975,0.780002,-9.36466e-05,-9.73921e-05,1.0399,1.04,9.25028e-05,0.000120254,1.30012,1.3,-2.07831e-06,-3.24217e-06,1.56,1.56,-1.99008e-05,-3.62194e-05,1.81996,1.82,2.04154e-05,4.24641e-05,2.08004,2.08,0.0002368,0.000123135,0.520121,0.519998,-7.90723e-05,-6.16741e-05,0.779909,0.779971,-2.32183e-05,-2.41469e-05,1.03997,1.04,2.0713e-05,2.69273e-05,1.30005,1.30002,2.57014e-06,4.00939e-06,1.56,1.55999,4.8381e-06,8.80518e-06,1.81997,1.81997,1.87487e-05,3.89971e-05,2.08003,2.07999,5.71694e-05,1.48643e-05,0.260019,0.260004
2,2.6539e-07,2.07004e-06,7.79999,7.79999,-0.000147116,-3.82537e-05,0.259986,0.260024,-6.35627e-05,-3.30525e-05,0.519965,0.519998,-1.91013e-05,-1.4899e-05,0.779987,0.780002,4.36665e-05,4.5413e-05,1.04004,1.04,1.93207e-06,2.51168e-06,1.3,1.3,1.54428e-06,2.40907e-06,1.56001,1.56,-3.75037e-05,-6.82567e-05,1.81993,1.82,4.43575e-05,9.22637e-05,2.08009,2.08,-2.71399e-05,-1.41127e-05,0.519984,0.519998,5.75465e-06,4.48846e-06,0.779975,0.779971,-3.67523e-05,-3.82222e-05,1.03996,1.04,-2.5306e-06,-3.28983e-06,1.30002,1.30002,-3.54434e-05,-5.52914e-05,1.55994,1.55999,3.43761e-05,6.25632e-05,1.82003,1.81997,1.88136e-05,3.9132e-05,2.08003,2.07999,5.25694e-05,1.36683e-05,0.260018,0.260004
3,-2.27035e-05,-0.000177087,7.79981,7.79999,-0.000204935,-5.3288e-05,0.259971,0.260024,1.8474e-05,9.60643e-06,0.520008,0.519998,-3.246e-05,-2.53188e-05,0.779977,0.780002,4.19947e-05,4.36743e-05,1.04004,1.04,3.6742e-05,4.77646e-05,1.30005,1.3,9.56006e-05,0.000149137,1.56015,1.56,-1.72652e-05,-3.14226e-05,1.81997,1.82,5.64883e-05,0.000117496,2.08012,2.08,0.00023765,0.000123578,0.520121,0.519998,6.31065e-05,4.92212e-05,0.78002,0.779971,3.45255e-05,3.59064e-05,1.04003,1.04,2.10216e-05,2.73285e-05,1.30005,1.30002,7.78019e-05,0.00012137,1.56011,1.55999,4.13438e-05,7.52443e-05,1.82004,1.81997,3.96414e-05,8.24538e-05,2.08007,2.07999,-0.000107195,-2.78712e-05,0.259976,0.260004
4,-7.61148e-06,-5.93694e-05,7.79993,7.79999,-5.14318e-05,-1.33735e-05,0.260011,0.260024,-5.07781e-06,-2.64045e-06,0.519995,0.519998,-3.18292e-05,-2.48268e-05,0.779977,0.780002,0.000105315,0.000109527,1.04011,1.04,1.87083e-05,2.43207e-05,1.30002,1.3,-1.59027e-05,-2.48083e-05,1.55998,1.56,-4.33583e-05,-7.8912e-05,1.81992,1.82,5.01588e-05,0.00010433,2.08011,2.08,0.000220573,0.000114698,0.520112,0.519998,-2.88915e-06,-2.25345e-06,0.779969,0.779971,-6.39232e-05,-6.64798e-05,1.03993,1.04,-1.76335e-05,-2.29239e-05,1.3,1.30002,-3.79899e-05,-5.9264e-05,1.55993,1.55999,3.19027e-05,5.80617e-05,1.82002,1.81997,5.29415e-05,0.000110118,2.0801,2.07999,0.000390394,0.000101504,0.260105,0.260004
5,-7.57483e-06,-5.90836e-05,7.79993,7.79999,-0.000245756,-6.39026e-05,0.259961,0.260024,8.84491e-06,4.59934e-06,0.520003,0.519998,-5.7707e-05,-4.50115e-05,0.779957,0.780002,1.03023e-05,1.07143e-05,1.04001,1.04,4.66008e-05,6.0581e-05,1.30006,1.3,-6.39861e-05,-9.98185e-05,1.5599,1.56,-4.61328e-05,-8.39616e-05,1.81991,1.82,3.28291e-05,6.82845e-05,2.08007,2.08,-4.77655e-05,-2.48379e-05,0.519973,0.519998,-3.00742e-05,-2.3457e-05,0.779947,0.779971,-2.78949e-05,-2.90105e-05,1.03997,1.04,1.99697e-05,2.5961e-05,1.30005,1.30002,2.01502e-05,3.14341e-05,1.56002,1.55999,5.62627e-05,0.000102396,1.82007,1.81997,4.29136e-05,8.92599e-05,2.08008,2.07999,0.000116196,3.02115e-05,0.260034,0.260004
6,-5.08282e-06,-3.96459e-05,7.79995,7.79999,-0.000293487,-7.63139e-05,0.259948,0.260024,-0.000209431,-0.000108904,0.519889,0.519998,-5.75108e-05,-4.48585e-05,0.779957,0.780002,-4.86964e-06,-5.06441e-06,1.03999,1.04,2.52533e-05,3.28293e-05,1.30003,1.3,8.42274e-06,1.31395e-05,1.56002,1.56,-6.0072e-05,-0.000109331,1.81989,1.82,2.00244e-05,4.16508e-05,2.08004,2.08,3.3149e-05,1.72374e-05,0.520015,0.519998,2.53047e-05,1.97369e-05,0.77999,0.779971,3.26094e-05,3.39136e-05,1.04003,1.04,3.82885e-06,4.97759e-06,1.30002,1.30002,2.9887e-05,4.66235e-05,1.56004,1.55999,0.000107687,0.000195986,1.82016,1.81997,7.32489e-05,0.000152357,2.08014,2.07999,-0.000105792,-2.75063e-05,0.259976,0.260004
7,5.45069e-07,4.25153e-06,7.79999,7.79999,-0.000475993,-0.00012377,0.259901,0.260024,5.91012e-06,3.07325e-06,0.520001,0.519998,-7.46944e-05,-5.82618e-05,0.779944,0.780002,0.000119012,0.000123772,1.04012,1.04,6.93442e-05,9.01475e-05,1.30009,1.3,-4.88355e-05,-7.61835e-05,1.55993,1.56,-8.90137e-05,-0.000162005,1.81984,1.82,5.7161e-05,0.000118895,2.08012,2.08,1.45843e-05,7.58381e-06,0.520005,0.519998,5.28304e-06,4.12061e-06,0.779975,0.779971,-1.31824e-05,-1.37097e-05,1.03998,1.04,7.94629e-05,0.000103303,1.30012,1.30002,-2.40094e-05,-3.74546e-05,1.55996,1.55999,6.06382e-05,0.000110359,1.82008,1.81997,1.09916e-05,2.28623e-05,2.08001,2.07999,0.000233487,6.07075e-05,0.260065,0.260004
8,1.91936e-05,0.00014971,7.80014,7.79999,-0.000316561,-8.23136e-05,0.259942,0.260024,-0.000234066,-0.000121714,0.519876,0.519998,-7.07692e-05,-5.52001e-05,0.779947,0.780002,3.94964e-05,4.10761e-05,1.04004,1.04,8.89924e-06,1.1569e-05,1.30001,1.3,5.71477e-05,8.91505e-05,1.56009,1.56,-3.89187e-05,-7.08319e-05,1.81993,1.82,-1.04121e-06,-2.16571e-06,2.08,2.08,1.70422e-05,8.86189e-06,0.520006,0.519998,-5.61882e-05,-4.38251e-05,0.779927,0.779971,5.75093e-05,5.98094e-05,1.04006,1.04,-2.00738e-05,-2.60963e-05,1.29999,1.30002,1.45455e-05,2.26909e-05,1.56002,1.55999,4.64794e-05,8.45908e-05,1.82005,1.81997,-4.28231e-06,-8.90716e-06,2.07998,2.07999,6.01334e-05,1.56349e-05,0.26002,0.260004
9,3.02124e-05,0.000235657,7.80022,7.79999,-0.000243433,-6.32986e-05,0.259961,0.260024,6.05244e-05,3.14725e-05,0.520029,0.519998,-0.000165846,-0.00012936,0.779872,0.780002,6.54484e-05,6.8066e-05,1.04006,1.04,-3.58803e-05,-4.66444e-05,1.29995,1.3,-8.5251e-07,-1.32992e-06,1.56,1.56,-8.1015e-05,-0.000147447,1.81985,1.82,-2.48284e-05,-5.16431e-05,2.07995,2.08,-0.000155207,-8.07071e-05,0.519917,0.519998,8.80625e-05,6.86862e-05,0.780039,0.779971,5.11134e-05,5.31577e-05,1.04005,1.04,-2.38275e-05,-3.09762e-05,1.29999,1.30002,-1.08339e-05,-1.69008e-05,1.55998,1.55999,9.80851e-05,0.000178512,1.82014,1.81997,-8.18873e-08,-1.70325e-07,2.07999,2.07999,0.000298081,7.75022e-05,0.260081,0.260004
10,6.58237e-05,0.000513424,7.8005,7.79999,-2.6445e-05,-6.87635e-06,0.260018,0.260024,6.83473e-05,3.55404e-05,0.520034,0.519998,-9.76306e-05,-7.6152e-05,0.779926,0.780002,-1.74527e-05,-1.81508e-05,1.03998,1.04,-3.11599e-05,-4.05079e-05,1.29996,1.3,-5.88111e-05,-9.17456e-05,1.55991,1.56,-5.44806e-05,-9.91545e-05,1.8199,1.82,-2.89526e-05,-6.02213e-05,2.07994,2.08,-2.19594e-05,-1.14188e-05,0.519986,0.519998,-2.60926e-05,-2.03514e-05,0.77995,0.779971,9.88325e-05,0.000102785,1.0401,1.04,6.01181e-05,7.81547e-05,1.3001,1.30002,1.27746e-05,1.99282e-05,1.56001,1.55999,0.000109402,0.000199108,1.82017,1.81997,4.35871e-05,9.06608e-05,2.08008,2.07999,6.37022e-05,1.65628e-05,0.260021,0.260004
11,7.41986e-05,0.000578748,7.80056,7.79999,-3.45804e-05,-8.99174e-06,0.260015,0.260024,-4.17336e-07,-2.17014e-07,0.519998,0.519998,-1.12765e-05,-8.79572e-06,0.779993,0.780002,1.05871e-05,1.10106e-05,1.04001,1.04,-3.67881e-05,-4.78245e-05,1.29995,1.3,2.73059e-05,4.25973e-05,1.56005,1.56,-8.03978e-05,-0.000146324,1.81985,1.82,-1.7432e-05,-3.62585e-05,2.07996,2.08,8.85178e-05,4.6029e-05,0.520044,0.519998,7.37884e-05,5.75528e-05,0.780028,0.779971,8.17402e-05,8.50095e-05,1.04008,1.04,1.74966e-07,2.27459e-07,1.30002,1.30002,2.01036e-05,3.13615e-05,1.56002,1.55999,0.000152358,0.000277287,1.82024,1.81997,3.95401e-05,8.22431e-05,2.08007,2.07999,3.57938e-05,9.30654e-06,0.260013,0.260004
12,7.92556e-05,0.000618193,7.8006,7.79999,-0.000100532,-2.61409e-05,0.259998,0.260024,-0.000153567,-7.98545e-05,0.519918,0.519998,-3.83564e-05,-2.99181e-05,0.779972,0.780002,-5.51998e-05,-5.74075e-05,1.03994,1.04,-5.17583e-05,-6.72857e-05,1.29993,1.3,-6.1099e-05,-9.53146e-05,1.55991,1.56,-0.000115813,-0.000210778,1.81979,1.82,-1.87235e-05,-3.89449e-05,2.07996,2.08,-4.96628e-05,-2.58245e-05,0.519972,0.519998,0.000117543,9.16798e-05,0.780062,0.779971,9.91978e-05,0.000103165,1.0401,1.04,9.47605e-05,0.000123191,1.30014,1.30002,9.0537e-05,0.000141237,1.56013,1.55999,0.000154056,0.000280377,1.82025,1.81997,0.00011991,0.000249411,2.08024,2.07999,9.87021e-05,2.56629e-05,0.26003,0.260004
13,0.000100396,0.000783088,7.80077,7.79999,0.000486518,0.000126507,0.260151,0.260024,-0.000114112,-5.93381e-05,0.519939,0.519998,-8.01201e-05,-6.24938e-05,0.779939,0.780002,-3.5573e-05,-3.69958e-05,1.03996,1.04,3.48049e-05,4.52463e-05,1.30004,1.3,-5.62038e-05,-8.76781e-05,1.55992,1.56,-6.61778e-05,-0.000120443,1.81988,1.82,-1.91033e-05,-3.97348e-05,2.07996,2.08,-3.96481e-05,-2.06169e-05,0.519977,0.519998,0.000214329,0.000167171,0.780138,0.779971,0.000226234,0.000235282,1.04023,1.04,3.46084e-05,4.49916e-05,1.30006,1.30002,3.50199e-05,5.46307e-05,1.56005,1.55999,0.000187139,0.000340586,1.82031,1.81997,-1.66014e-06,-3.45308e-06,2.07999,2.07999,0.000207586,5.39731e-05,0.260058,0.260004
14,9.25766e-05,0.000722096,7.80071,7.79999,0.000325806,8.47176e-05,0.260109,0.260024,4.938e-05,2.56775e-05,0.520024,0.519998,-0.000122055,-9.5203e-05,0.779907,0.780002,4.26851e-06,4.43923e-06,1.04,1.04,-1.45822e-05,-1.89569e-05,1.29998,1.3,-6.35166e-05,-9.90862e-05,1.5599,1.56,-0.000127266,-0.000231624,1.81977,1.82,-2.44038e-05,-5.076e-05,2.07995,2.08,0.000133278,6.93041e-05,0.520067,0.519998,0.000116485,9.08547e-05,0.780062,0.779971,0.000139975,0.000145573,1.04014,1.04,4.12768e-05,5.36607e-05,1.30007,1.30002,4.28979e-05,6.69204e-05,1.56006,1.55999,0.000144245,0.000262521,1.82023,1.81997,2.67437e-06,5.56266e-06,2.08,2.07999,0.000176712,4.59459e-05,0.26005,0.260004
15,0.000125499,0.000978892,7.80096,7.79999,-1.21379e-05,-3.15616e-06,0.260021,0.260024,8.19938e-05,4.26366e-05,0.520041,0.519998,-8.52893e-05,-6.65258e-05,0.779935,0.780002,9.63486e-05,0.000100202,1.0401,1.04,-1.08203e-05,-1.40664e-05,1.29999,1.3,-5.92811e-05,-9.24787e-05,1.55991,1.56,-0.000132023,-0.000240282,1.81976,1.82,-1.19115e-05,-2.47759e-05,2.07998,2.08,5.58045e-05,2.90182e-05,0.520027,0.519998,0.000223745,0.000174515,0.780145,0.779971,6.88593e-05,7.16133e-05,1.04007,1.04,7.50049e-05,9.75079e-05,1.30012,1.30002,7.17453e-07,1.11922e-06,1.55999,1.55999,0.000195189,0.000355238,1.82032,1.81997,1.4612e-05,3.03928e-05,2.08002,2.07999,0.000220144,5.72384e-05,0.260061,0.260004
16,0.000127185,0.000992042,7.80098,7.79999,0.000460893,0.000119843,0.260144,0.260024,8.17208e-05,4.24947e-05,0.520041,0.519998,-0.000105052,-8.19409e-05,0.77992,0.780002,1.828e-06,1.90111e-06,1.04,1.04,-1.83315e-05,-2.38309e-05,1.29998,1.3,-8.86681e-05,-0.000138323,1.55987,1.56,-0.00011786,-0.000214505,1.81978,1.82,3.28411e-05,6.83096e-05,2.08007,2.08,0.000162461,8.44795e-05,0.520082,0.519998,0.000186321,0.000145325,0.780116,0.779971,4.90015e-05,5.09614e-05,1.04005,1.04,5.61729e-05,7.30258e-05,1.30009,1.30002,8.36793e-05,0.000130539,1.56012,1.55999,0.000198275,0.000360854,1.82033,1.81997,-6.31337e-06,-1.31317e-05,2.07998,2.07999,0.000178578,4.64311e-05,0.26005,0.260004
