Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;NT6;00;2;0.0798;0.28843;2;4;0;6;0.2;0.4;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.0001862;0;0;0;0;0;0;0;0;0;0;0;0;0
0.5;-3.0774e-05;-7.8832e-05;-5.8396e-05;0.0001862;0;0;0;0;0;0;0;0;0;0;0;0;0
1;-0.00016888;-9.1115e-05;-6.3835e-05;0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0
1.5;0.00034503;-2.6239e-05;1.9457e-05;0.0002254;0;0;0;0;0;0;0;0;0;0;0;0;0
2;-8.3649e-05;-3.9804e-05;-7.2451e-05;0.0003332;0;0;0;0;0;0;0;0;0;0;0;0;0
2.501;9.2654e-05;-4.2439e-05;-2.7405e-05;0.0005096;0;0;0;0;0;0;0;0;0;0;0;0;0
3.001;0.00025632;-0.00011111;3.1027e-05;0.0008624;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;0.00051079;-0.00010585;3.623e-05;0.0014406;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.00035341;-0.00014293;-3.4299e-05;0.0022246;0;0;0;0;0;0;0;0;0;0;0;0;0
4.5;0.00050335;-9.1736e-05;-3.9199e-05;0.003136;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0.00060535;-0.00014948;-1.4505e-05;0.0041944;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00044069;-0.00010547;-1.9715e-05;0.005488;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0.00074571;-9.1465e-05;1.0426e-05;0.006762;0;0;0;0;0;0;0;0;0;0;0;0;0
6.499;0.00053671;-3.9934e-05;-1.2364e-05;0.0082124;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.00060776;-2.5814e-05;4.3287e-06;0.0096726;0;0;0;0;0;0;0;0;0;0;0;0;0
7.5;0.00059521;-3.315e-06;-3.5703e-05;0.010996;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.0007469;-6.459e-05;-3.3331e-05;0.012299;0;0;0;0;0;0;0;0;0;0;0;0;0
8.5;0.00075241;-4.7447e-05;-3.2771e-05;0.013691;0;0;0;0;0;0;0;0;0;0;0;0;0
