Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
07/27/21;DP600Large;UT;00;1;0.24;0.29122;2;0;0;6;1.8;1.8;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];Uarfdgasdfg2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px];exx;exy;eyy;e1;e2
0;0;0;0;-0.000637;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.1549e-17;-3.3233e-17;2.2428e-21;1.8386e-18;-5.6621e-17
0.5;-0.00023;-9.185e-05;-6.1602e-06;-0.000637;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.2285e-05;-1.1782e-05;-6.1248e-06;8.1725e-05;-0.00010579
0.999;-0.00011821;-1.5752e-05;4.2098e-05;-0.000637;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.9962e-07;-5.9074e-06;2.8023e-06;9.2265e-05;-9.8872e-05
1.499;-3.8431e-05;-2.6816e-05;-4.4254e-05;-0.000637;0;0;0;0;0;0;0;0;0;0;0;0;0;-5.0324e-08;-1.7551e-06;2.2954e-06;9.4994e-05;-9.6799e-05
2;-0.00012149;-1.3604e-05;1.3273e-05;-0.0006272;0;0;0;0;0;0;0;0;0;0;0;0;0;-4.4554e-07;-9.8537e-06;1.7472e-06;9.1262e-05;-0.00010156
2.5;-0.00011965;-2.8757e-05;3.2536e-05;-0.0006272;0;0;0;0;0;0;0;0;0;0;0;0;0;6.5641e-06;1.1413e-06;5.9218e-06;0.00010059;-9.2886e-05
2.999;-0.00010469;4.166e-06;3.6028e-05;-0.0006174;0;0;0;0;0;0;0;0;0;0;0;0;0;4.1104e-07;-1.0167e-05;2.7813e-06;9.4897e-05;-0.00010465
3.499;-2.1153e-05;5.4382e-06;1.9681e-05;-0.0006076;0;0;0;0;0;0;0;0;0;0;0;0;0;1.1351e-05;-1.3303e-05;5.4007e-06;9.8106e-05;-0.00010006
3.999;7.9385e-05;3.1992e-06;-5.128e-05;-0.000539;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4646e-05;-1.9131e-05;1.1352e-06;0.00013961;-0.0001241
4.5;0.00010672;8.8857e-05;2.1759e-05;-0.000196;0;0;0;0;0;0;0;0;0;0;0;0;0;4.0266e-05;-2.4121e-05;-9.0687e-07;0.00013784;-0.0001217
5;0.00031503;1.9203e-05;-2.0412e-06;0.0003528;0;0;0;0;0;0;0;0;0;0;0;0;0;6.3719e-05;-1.9084e-05;-3.5644e-08;0.00016057;-0.00011594
5.5;0.00035929;-5.2715e-06;6.1604e-06;0.0008428;0;0;0;0;0;0;0;0;0;0;0;0;0;7.3717e-05;-2.2154e-05;-1.0212e-06;0.00017297;-0.0001214
6;0.00037285;8.998e-05;7.5898e-05;0.0015092;0;0;0;0;0;0;0;0;0;0;0;0;0;7.3966e-05;-2.3062e-05;5.2651e-06;0.00017375;-0.00012284
6.5;0.00043576;0.00017767;4.4247e-05;0.002303;0;0;0;0;0;0;0;0;0;0;0;0;0;7.9764e-05;-2.0104e-05;7.735e-06;0.00018715;-0.00012749
6.999;0.00032829;9.021e-05;4.4642e-05;0.0032438;0;0;0;0;0;0;0;0;0;0;0;0;0;9.2758e-05;-2.8979e-05;4.9035e-06;0.00018748;-0.0001237
7.5;0.00068563;0.00017866;0.00010609;0.0045178;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00013446;-3.0436e-05;4.8771e-07;0.00021768;-0.00011366
8;0.00086552;0.0002441;6.3298e-05;0.0060368;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00015084;-4.0205e-05;-4.3494e-07;0.00023689;-0.00012626
8.499;0.00098608;0.00039749;2.5329e-05;0.0076832;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00018327;-4.2147e-05;5.107e-06;0.00026655;-0.00012543
9;0.0011267;0.00044343;1.2989e-05;0.0096432;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00020692;-4.7916e-05;1.3569e-06;0.00029483;-0.00013583
9.499;0.001363;0.00034891;2.8681e-05;0.011682;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00024353;-6.0687e-05;-2.7401e-06;0.00032784;-0.00014499
10;0.0017345;0.00049902;7.3537e-05;0.014582;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00028644;-5.3598e-05;-4.7348e-06;0.00037345;-0.00014061
10.5;0.0019254;0.00044801;-4.6753e-05;0.018042;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00031205;-9.9373e-05;-9.1929e-06;0.00039556;-0.00018289
10.999;0.0021294;0.00067239;-9.2857e-05;0.021746;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00036491;-9.9804e-05;-5.2981e-06;0.00044556;-0.00018045
11.5;0.0023302;0.00066485;-2.2447e-05;0.026068;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00039528;-0.00010778;-4.9768e-06;0.0004754;-0.0001879
11.999;0.0026605;0.00083742;-0.00010841;0.030821;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00044835;-0.00012769;-6.1106e-06;0.00052317;-0.00020251
12.5;0.0028205;0.00082953;-0.00015778;0.035623;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0004817;-0.00014065;-1.2036e-05;0.0005549;-0.00021385
13;0.0031244;0.0010293;-8.0403e-05;0.040739;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00052955;-0.00014233;-4.307e-06;0.00060599;-0.00021877
13.5;0.0034004;0.0010568;-0.00010477;0.04607;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00057317;-0.00017474;3.578e-06;0.00064766;-0.00024924
14;0.0037052;0.0010801;-0.00016417;0.052018;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00062593;-0.00017931;5.4741e-07;0.00069904;-0.00025242
14.499;0.0040184;0.0011179;-0.0001941;0.058055;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00066894;-0.00019853;-3.2686e-06;0.00073977;-0.00026937
15;0.0042194;0.0012329;-0.00026377;0.063671;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0007077;-0.0002188;-9.0696e-07;0.00077524;-0.00028634
15.5;0.0045959;0.0015369;-0.00025142;0.069717;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00077366;-0.00022485;1.882e-06;0.00084153;-0.00029273
15.999;0.0048764;0.0014211;-0.00023719;0.075734;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00080749;-0.00023801;1.2555e-06;0.00087536;-0.00030587
16.499;0.0051431;0.0016044;-0.00018959;0.081203;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00085946;-0.00024574;2.8279e-06;0.0009249;-0.00031117
17;0.0054065;0.0016861;-0.00023198;0.086583;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00090596;-0.00026226;5.4086e-06;0.00097051;-0.00032682
17.499;0.0057266;0.0018885;-0.00026385;0.092306;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00094987;-0.0002711;3.0051e-06;0.0010172;-0.0003384
18;0.006023;0.0019185;-0.00029095;0.097912;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010007;-0.00028862;3.1043e-06;0.001064;-0.00035185
18.499;0.0062908;0.0019878;-0.00033116;0.10257;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010422;-0.0002994;5.9496e-06;0.0011027;-0.00035984
19;0.0066052;0.0019816;-0.00035678;0.10796;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001106;-0.0003092;7.8746e-06;0.0011659;-0.00036912
19.5;0.006838;0.0020536;-0.00039113;0.11326;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0011358;-0.00033453;3.3154e-06;0.0011918;-0.00039053
20;0.0071349;0.0021819;-0.00042287;0.11808;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0011923;-0.00035092;-2.7668e-07;0.0012451;-0.0004037
20.499;0.0075121;0.0023584;-0.00049833;0.12284;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0012513;-0.00037046;2.8363e-06;0.0013025;-0.00042166
21;0.0078488;0.0024333;-0.00049453;0.12834;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0013171;-0.0003841;-5.8936e-07;0.0013634;-0.00043047
21.5;0.0082579;0.0025845;-0.00044496;0.13301;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0013769;-0.00041166;8.0488e-07;0.0014217;-0.00045647
21.999;0.0085543;0.0026938;-0.00048283;0.13765;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0014349;-0.00043383;6.3239e-07;0.0014767;-0.00047565
22.5;0.0090254;0.0027557;-0.00057414;0.14267;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0015085;-0.0004461;5.0666e-06;0.0015493;-0.00048684
23;0.0094139;0.0028214;-0.00068621;0.14769;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0015669;-0.00048432;-5.9329e-06;0.0016072;-0.00052463
23.5;0.0099749;0.0030466;-0.00074288;0.15233;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0016553;-0.00051797;-2.0596e-07;0.001691;-0.00055364
23.999;0.010395;0.003116;-0.00079186;0.15656;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001737;-0.00053625;2.7827e-06;0.0017715;-0.00057074
24.499;0.010909;0.0033435;-0.00081622;0.16155;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0018307;-0.00057059;-2.1726e-06;0.0018636;-0.00060359
25;0.011512;0.0034765;-0.00087868;0.16689;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0019294;-0.00062071;9.6337e-07;0.0019613;-0.00065255
25.5;0.012135;0.0037224;-0.00096613;0.17103;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0020294;-0.0006704;-4.292e-06;0.0020603;-0.0007013
25.999;0.012891;0.0038081;-0.0010425;0.17584;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0021357;-0.00071179;-8.4075e-07;0.0021661;-0.00074223
26.499;0.013506;0.0039861;-0.0011884;0.18054;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0022548;-0.00076673;-2.4225e-06;0.0022835;-0.00079542
26.999;0.014158;0.0042195;-0.001329;0.18473;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0023703;-0.00082999;-4.5468e-06;0.0023978;-0.00085754
27.5;0.015027;0.0044976;-0.0013919;0.18911;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0025061;-0.00089209;-1.092e-05;0.0025336;-0.0009196
28;0.015873;0.0048402;-0.0014585;0.19298;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0026462;-0.0009523;-9.4792e-06;0.002672;-0.00097808
28.499;0.016676;0.0050862;-0.0016626;0.1967;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0027893;-0.0010171;-9.8666e-06;0.0028145;-0.0010423
28.999;0.01745;0.0053067;-0.0017695;0.20052;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0029316;-0.0010732;-1.1595e-05;0.0029566;-0.0010983
29.499;0.018473;0.0055441;-0.0019187;0.20413;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0030869;-0.0011679;-1.2448e-05;0.003112;-0.001193
30;0.019458;0.0058087;-0.0020351;0.20758;0;0;0;0;0;0;0;0;0;0;0;0;0;0.003252;-0.0012309;-1.5136e-05;0.0032768;-0.0012558
30.5;0.020446;0.0061155;-0.0021964;0.21059;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0034111;-0.0013205;-9.6487e-06;0.0034349;-0.0013443
30.999;0.021285;0.0064936;-0.0023597;0.21369;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0035825;-0.0013939;-2.9326e-06;0.0036064;-0.0014178
31.5;0.022366;0.0067703;-0.0025685;0.21639;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0037427;-0.0014958;-1.2956e-05;0.003766;-0.001519
31.999;0.023319;0.0071243;-0.0027014;0.21896;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0039138;-0.0015554;-8.1841e-06;0.0039363;-0.0015779
32.499;0.024408;0.0074347;-0.002839;0.22161;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00409;-0.0016504;-9.6086e-06;0.0041121;-0.0016725
32.999;0.025517;0.0077588;-0.0029526;0.22411;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0042676;-0.001725;-8.2841e-06;0.0042888;-0.0017462
33.5;0.02656;0.0079822;-0.0030529;0.22613;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0044505;-0.0018041;-1.6691e-06;0.004472;-0.0018256
34;0.027712;0.0084397;-0.0032577;0.22838;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0046373;-0.001901;-3.1219e-06;0.0046586;-0.0019223
34.499;0.028868;0.0087932;-0.0034174;0.23052;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0048251;-0.0019979;-1.2023e-06;0.0048466;-0.0020194
35;0.029921;0.0091276;-0.003607;0.23255;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0050063;-0.0020887;-9.2639e-07;0.0050269;-0.0021093
35.499;0.031028;0.0095116;-0.0037903;0.23419;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0051986;-0.002193;9.9538e-07;0.0052198;-0.0022142
36;0.032243;0.0097361;-0.0039059;0.23604;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0053877;-0.0022644;4.4708e-06;0.0054076;-0.0022843
36.499;0.033379;0.010139;-0.0041187;0.23783;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0055868;-0.0023624;1.4506e-06;0.0056064;-0.002382
36.999;0.034614;0.01048;-0.0042996;0.23951;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0057774;-0.0024628;5.0124e-06;0.0057967;-0.0024821
37.5;0.03582;0.010934;-0.0044472;0.24088;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0059835;-0.0025563;7.1832e-06;0.0060029;-0.0025757
37.999;0.037092;0.011256;-0.0046116;0.24255;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0061947;-0.0026402;3.5988e-06;0.0062135;-0.002659
38.5;0.038124;0.011624;-0.004722;0.24392;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0063748;-0.0027414;1.6876e-05;0.006394;-0.0027606
39;0.039379;0.011917;-0.0049905;0.24524;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0065705;-0.0028381;1.3476e-05;0.0065895;-0.0028571
39.499;0.040592;0.012309;-0.00515;0.2465;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0067862;-0.0029272;1.5553e-05;0.0068048;-0.0029458
40;0.041881;0.012673;-0.0053131;0.24782;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0069862;-0.0030351;1.7891e-05;0.0070048;-0.0030537
40.5;0.043068;0.013075;-0.005528;0.24909;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0071763;-0.0031295;2.3005e-05;0.0071952;-0.0031485
40.999;0.04442;0.013382;-0.0056823;0.25021;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0073945;-0.0032282;2.1835e-05;0.0074129;-0.0032466
41.499;0.045656;0.013719;-0.0058567;0.2514;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0076075;-0.0033234;2.4575e-05;0.0076258;-0.0033417
41.999;0.046882;0.014131;-0.0059852;0.25247;0;0;0;0;0;0;0;0;0;0;0;0;0;0.007818;-0.0034139;2.09e-05;0.0078364;-0.0034324
42.499;0.048244;0.014525;-0.0062357;0.2535;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0080266;-0.0035147;3.5644e-05;0.0080449;-0.003533
42.999;0.04933;0.0149;-0.0063604;0.25457;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0082304;-0.0036175;3.0712e-05;0.0082488;-0.0036359
43.499;0.050629;0.015294;-0.006516;0.25561;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0084446;-0.0036875;2.227e-05;0.008463;-0.003706
43.999;0.051888;0.01571;-0.0067517;0.25655;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0086409;-0.0038072;3.2872e-05;0.0086598;-0.003826
44.499;0.053063;0.016135;-0.0069179;0.25747;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0088557;-0.0039056;3.8072e-05;0.008874;-0.003924
44.999;0.054346;0.01642;-0.0071769;0.25842;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0090586;-0.0040088;4.1809e-05;0.0090772;-0.0040274
45.499;0.055625;0.016755;-0.0072381;0.25936;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009271;-0.0040985;4.653e-05;0.0092897;-0.0041171
46;0.056965;0.01714;-0.0075002;0.26019;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00948;-0.0042011;4.8996e-05;0.0094987;-0.0042198
46.499;0.058239;0.017541;-0.0076081;0.26109;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0096939;-0.0042846;3.5748e-05;0.0097123;-0.0043029
46.999;0.0595;0.017868;-0.0078761;0.26197;0;0;0;0;0;0;0;0;0;0;0;0;0;0.009898;-0.0043943;4.5534e-05;0.0099165;-0.0044128
47.499;0.060668;0.018253;-0.0080562;0.26278;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0101;-0.0045153;6.2234e-05;0.010118;-0.0045339
47.999;0.062058;0.018729;-0.0082315;0.26356;0;0;0;0;0;0;0;0;0;0;0;0;0;0.01031;-0.0045839;5.6117e-05;0.01033;-0.004603
48.499;0.063275;0.019066;-0.008381;0.26441;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010525;-0.0046736;5.7462e-05;0.010543;-0.0046923
49;0.064525;0.019344;-0.0085594;0.26524;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010728;-0.0047695;6.1648e-05;0.010746;-0.0047881
49.5;0.065823;0.01981;-0.008726;0.26591;0;0;0;0;0;0;0;0;0;0;0;0;0;0.010938;-0.004851;6.7644e-05;0.010957;-0.0048702
