"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.57052,6.57052,0,0,1.97116,1.97116,0,0,3.94231,3.94231,0,0,1.97116,1.97116,0,0,0.657052,0.657052,0,0,1.09509,1.09509,0,0,1.53312,1.53312
1,2.41344e-05,0.000158576,6.57068,6.57052,1.8472e-05,3.64112e-05,1.97119,1.97116,6.88718e-06,2.71514e-05,3.94234,3.94231,5.30626e-05,0.000104595,1.97126,1.97116,0.000167801,0.000110254,0.657162,0.657052,5.21078e-05,5.70626e-05,1.09514,1.09509,4.36133e-05,6.68644e-05,1.53319,1.53312
2,0.000130226,0.000855654,6.57138,6.57052,0.000194646,0.000383677,1.97154,1.97116,0.000133655,0.00052691,3.94284,3.94231,5.01128e-05,9.87801e-05,1.97125,1.97116,6.76697e-05,4.44625e-05,0.657096,0.657052,-9.22628e-07,-1.01036e-06,1.09509,1.09509,4.99795e-05,7.66246e-05,1.5332,1.53312
3,-1.7223e-05,-0.000113164,6.57041,6.57052,-9.05195e-06,-1.78428e-05,1.97114,1.97116,-5.3227e-05,-0.000209837,3.9421,3.94231,-1.26579e-05,-2.49506e-05,1.97113,1.97116,7.2169e-05,4.74188e-05,0.657099,0.657052,-2.58619e-05,-2.8321e-05,1.09506,1.09509,2.95424e-06,4.5292e-06,1.53313,1.53312
4,1.59655e-05,0.000104901,6.57062,6.57052,5.06284e-06,9.97965e-06,1.97117,1.97116,-3.10071e-05,-0.00012224,3.94219,3.94231,3.17415e-05,6.25674e-05,1.97122,1.97116,0.000121181,7.96225e-05,0.657132,0.657052,-3.22537e-05,-3.53206e-05,1.09505,1.09509,7.57095e-06,1.16072e-05,1.53313,1.53312
5,5.91659e-06,3.88751e-05,6.57056,6.57052,2.25321e-05,4.44142e-05,1.9712,1.97116,-1.40495e-05,-5.53874e-05,3.94226,3.94231,7.0009e-06,1.37999e-05,1.97117,1.97116,-8.66756e-06,-5.69504e-06,0.657046,0.657052,1.93832e-05,2.12263e-05,1.09511,1.09509,2.60645e-05,3.996e-05,1.53316,1.53312
6,3.46566e-05,0.000227712,6.57075,6.57052,-1.37332e-05,-2.70703e-05,1.97113,1.97116,3.63362e-06,1.43249e-05,3.94233,3.94231,-5.63201e-06,-1.11016e-05,1.97115,1.97116,-1.61439e-05,-1.06074e-05,0.657041,0.657052,-8.25292e-05,-9.03767e-05,1.095,1.09509,2.20289e-05,3.3773e-05,1.53316,1.53312
7,3.78444e-05,0.000248657,6.57077,6.57052,-3.56376e-06,-7.02473e-06,1.97115,1.97116,1.12966e-05,4.45349e-05,3.94236,3.94231,1.24096e-05,2.44612e-05,1.97118,1.97116,0.000152033,9.98937e-05,0.657152,0.657052,-2.13577e-06,-2.33885e-06,1.09508,1.09509,1.64058e-05,2.51522e-05,1.53315,1.53312
8,5.77707e-05,0.000379584,6.5709,6.57052,4.57093e-05,9.01001e-05,1.97125,1.97116,4.01171e-05,0.000158154,3.94247,3.94231,-5.93433e-06,-1.16975e-05,1.97114,1.97116,-6.12137e-05,-4.02206e-05,0.657012,0.657052,-1.99504e-05,-2.18475e-05,1.09506,1.09509,2.43359e-05,3.73099e-05,1.53316,1.53312
9,9.96394e-05,0.000654683,6.57117,6.57052,7.9347e-05,0.000156405,1.97131,1.97116,7.1538e-05,0.000282025,3.94259,3.94231,-5.70214e-05,-0.000112398,1.97104,1.97116,3.11578e-05,2.04723e-05,0.657072,0.657052,-5.9892e-05,-6.5587e-05,1.09502,1.09509,-3.11158e-05,-4.77043e-05,1.53307,1.53312
