Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600Large;UT;00;3;0.48;0.29301;2;0;0;6;1.8;1.8;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px];exx;exy;eyy;e1;e2
0;0;0;0;0.0002058;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.1572e-18;-1.3379e-17;-1.4139e-23;7.5972e-18;-2.4133e-17
0.5;-5.6168e-06;0.00012892;-2.3876e-06;0.0002156;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.6496e-07;2.9723e-06;-2.2853e-06;0.00010854;-0.00010574
1;2.3716e-05;0.00013272;3.1917e-05;0.0002156;0;0;0;0;0;0;0;0;0;0;0;0;0;3.4769e-06;1.3464e-05;3.7239e-06;0.00011636;-9.9417e-05
1.499;-6.0401e-05;0.00010368;-2.6621e-05;0.0002352;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.3447e-05;-1.653e-05;-2.33e-05;9.7793e-05;-0.00012777
1.999;-9.8959e-05;8.9563e-05;-4.9676e-05;0.0002646;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.6105e-05;2.0623e-06;1.075e-06;0.00011113;-0.00013518
2.499;0.00012905;0.0001775;-0.00011501;0.0004214;0;0;0;0;0;0;0;0;0;0;0;0;0;2.5336e-05;-1.6229e-05;-9.2703e-07;0.00013374;-0.00012463
3;0.00032955;9.4694e-05;-4.3628e-05;0.0008036;0;0;0;0;0;0;0;0;0;0;0;0;0;4.658e-05;-9.227e-06;6.0057e-06;0.00016528;-0.00012793
3.499;0.00040297;0.00016783;-2.0301e-05;0.0017542;0;0;0;0;0;0;0;0;0;0;0;0;0;7.4225e-05;-2.5222e-05;5.6111e-08;0.00017093;-0.00012192
4;0.0007256;0.00015618;1.0264e-05;0.003381;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00012965;-2.3438e-05;-1.1271e-05;0.00022212;-0.00011591
4.5;0.0011655;0.00034444;-2.2253e-05;0.0059486;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00017855;-4.0507e-05;-1.5561e-05;0.00026384;-0.00012579
5;0.0013524;0.00037421;-0.00021472;0.0094276;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00022857;-6.2611e-05;-1.9649e-05;0.00030517;-0.00013921
5.499;0.0016125;0.00046874;-7.6077e-05;0.013544;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00025437;-7.0681e-05;-8.8443e-06;0.00032428;-0.00014059
5.999;0.0018855;0.00052601;-0.0001809;0.01862;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00031923;-0.00010494;-3.3501e-05;0.00039165;-0.00017736
6.499;0.002446;0.00062289;-0.0001233;0.025715;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00040631;-0.00010587;-3.6635e-05;0.00047651;-0.00017607
7;0.0030102;0.00081904;-9.7468e-05;0.03282;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00049944;-0.00010754;-5.648e-05;0.00057225;-0.00018035
7.499;0.0033994;0.00092995;-0.0002578;0.040641;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00055828;-0.00016733;-3.6203e-05;0.00062116;-0.00023022
7.999;0.0039736;0.0012147;-0.00029434;0.049892;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00065941;-0.00019542;-3.577e-05;0.00072016;-0.00025618
8.5;0.004528;0.0012998;-0.00025431;0.059956;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00074944;-0.00023118;-2.5468e-05;0.00080771;-0.00028945
8.999;0.0052233;0.0015005;-0.00045812;0.069943;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00085732;-0.00027957;-2.4319e-05;0.00091638;-0.00033862
9.499;0.0057337;0.0016296;-0.00047978;0.081458;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00096032;-0.00030802;-3.7434e-05;0.0010151;-0.00036284
10;0.006575;0.0018669;-0.00061537;0.092659;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0010954;-0.00035044;-1.9147e-05;0.0011466;-0.00040157
10.5;0.0074878;0.0022005;-0.00056636;0.10435;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0012515;-0.000377;-2.2042e-05;0.001301;-0.00042643
11;0.0083774;0.0023802;-0.0007047;0.11744;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001408;-0.00043605;-2.6405e-05;0.0014545;-0.00048256
11.5;0.0095773;0.002767;-0.00083524;0.1297;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001601;-0.00049648;-2.4369e-05;0.0016454;-0.00054091
11.999;0.010864;0.0031155;-0.00095402;0.14299;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0018154;-0.00060995;-3.4695e-05;0.0018574;-0.00065199
