Date of Test;Material;Sample Geometry;Orientation [°];Test Number;Nominal Speed [mm/min];Thickness [mm];Central Width [mm];Gauge Width / Diameter [mm];Pixel to mm ratio [mm/px];Extensometer 1-4 [mm];Extensometer 2-3 [mm];Extensometer 5-6 [mm];;;;;
09/07/21;DP600medium;NT6;00;4;0.0402;0.14143;1;2;0;3;0.09999;0.2;;;;;
;;;;;;;;;;;;;;;;;
Time [s];U1 [mm];U2 [mm];U3 [mm];Force [kN];Ambient Temperature [°C];DIC Zone X 1 [px];DIC Zone Y 1 [px];DIC Zone X 2 [px];DIC Zone Y 2 [px];DIC Zone X 3 [px];DIC Zone Y 3 [px];DIC Zone X 4 [px];DIC Zone Y 4 [px];DIC Zone X 5 [px];DIC Zone Y 5 [px];DIC Zone X 6 [px];DIC Zone Y 6 [px]
0;0;0;0;0.00178;0;0;0;0;0;0;0;0;0;0;0;0;0
0.501;7.6631e-05;-1.8729e-05;1.317e-07;0.00179;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0.0001205;-1.8464e-05;-7.3581e-05;0.00183;0;0;0;0;0;0;0;0;0;0;0;0;0
1.501;0.00052275;6.3558e-05;-8.1767e-05;0.00188;0;0;0;0;0;0;0;0;0;0;0;0;0
2.001;6.2231e-05;6.3136e-05;-4.5079e-05;0.00193;0;0;0;0;0;0;0;0;0;0;0;0;0
2.5;0.00013378;5.1011e-05;-3.7081e-05;0.00198;0;0;0;0;0;0;0;0;0;0;0;0;0
3.001;3.0984e-05;3.585e-05;-1.9566e-05;0.00201;0;0;0;0;0;0;0;0;0;0;0;0;0
3.5;0.00019658;4.8967e-05;-3.1195e-05;0.00207;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0.0001472;-3.339e-06;-5.433e-05;0.00212;0;0;0;0;0;0;0;0;0;0;0;0;0
4.5;0.00015498;-9.4363e-07;-7.7053e-05;0.00217;0;0;0;0;0;0;0;0;0;0;0;0;0
5.001;0.00025281;3.3766e-05;-3.2098e-05;0.00219;0;0;0;0;0;0;0;0;0;0;0;0;0
5.5;0.00022548;-3.1664e-05;-7.877e-05;0.00221;0;0;0;0;0;0;0;0;0;0;0;0;0
6.001;0.00023001;9.1196e-06;-4.0358e-05;0.00221;0;0;0;0;0;0;0;0;0;0;0;0;0
6.501;0.00015996;-2.4934e-05;-0.00014832;0.00221;0;0;0;0;0;0;0;0;0;0;0;0;0
7;0.00023468;-3.2109e-05;-5.9429e-05;0.00223;0;0;0;0;0;0;0;0;0;0;0;0;0
7.501;0.00021127;-4.613e-05;-5.7979e-05;0.00223;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0.00021612;-4.6568e-05;-6.3529e-05;0.00224;0;0;0;0;0;0;0;0;0;0;0;0;0
8.501;0.00017455;3.9482e-05;-7.6888e-05;0.00225;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0.00021664;5.2837e-06;-5.5072e-05;0.00227;0;0;0;0;0;0;0;0;0;0;0;0;0
9.501;0.00018475;6.0668e-05;-5.4579e-05;0.00228;0;0;0;0;0;0;0;0;0;0;0;0;0
10.001;0.00030685;5.9674e-05;-5.9003e-05;0.0023;0;0;0;0;0;0;0;0;0;0;0;0;0
10.501;0.00015707;5.5435e-05;-5.8881e-05;0.00232;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0.00023348;5.7066e-05;-5.2501e-05;0.00234;0;0;0;0;0;0;0;0;0;0;0;0;0
