
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L          U2_EXT_X05_Y1  

                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 1.E-03            25.                 0.                 0.                 4.7163E-12         0.         
               75.9604E-03        12.8773E-06         3.42374E-06      -21.3372E-06       -68.2974E-09         3.01101E-06        3.11439E-06      -15.2233E-06         1.24065E-06       29.906E-06         39.5564E-06        39.5564E-06         0.               134.183E-03        295.735E-03          0.                 1.E-03            25.                 6.12358E-06      323.178E-09        316.25E-03          24.6849E-12 
              155.788E-03          1.48556E-03      -24.1224E-06       -60.747E-06         31.0755E-06        25.2565E-06         1.57462E-03       30.2942E-06         1.45484E-03        1.60612E-03        1.5059E-03         1.5059E-03         0.               684.256E-03       -833.634E-03          0.                 1.E-03            25.                12.5589E-06      -249.216E-06        374.945E-03          3.20375E-09
              235.554E-03          3.07912           56.8419E-03      -239.507E-06         56.5069E-03      -336.654E-06         27.7065E-03        27.7025E-03        55.4423E-03         3.08018            3.03871            3.03871            0.               347.004E-03        984.901E-03          0.                 1.E-03            25.                18.9893E-06      -407.776E-03        341.619E-03          2.1972E-06 
              315.318E-03          5.13135           94.4532E-03       104.528E-06        100.622E-03       -653.87E-06          97.2555E-03        97.0204E-03        99.0845E-03         5.13312            5.03507            5.03507            0.               352.807E-03        999.322E-03          0.                 1.E-03            25.                25.4195E-06      -574.374E-03        340.585E-03          3.48807E-06
              395.082E-03          6.78442          122.316E-03        193.326E-06        120.1E-03           -1.12352E-03      110.262E-03        110.098E-03        118.019E-03          6.78667            6.67261            6.67261            0.               350.427E-03        998.036E-03          0.                 1.E-03            25.                31.8497E-06      -636.53E-03         245.184E-03          4.48505E-06
              474.845E-03          7.51009          135.832E-03        -50.0469E-06       144.976E-03         -1.00148E-03      274.431E-03        142.464E-03        274.438E-03          7.5126             7.30504            7.30504            0.               361.828E-03        970.117E-03          0.                 1.E-03            25.                38.2798E-06      -625.808E-03        869.007E-03          4.76371E-06
              554.609E-03          8.95128          159.335E-03        333.782E-06        174.947E-03       -772.36E-06         200.023E-03        172.033E-03        200.045E-03          8.95418            8.76817            8.76817            0.               354.55E-03         994.716E-03          0.                 1.E-03            25.                44.71E-06        -658.955E-03        927.464E-03          5.40726E-06
              634.372E-03          8.65661          152.892E-03          1.82036E-03      172.76E-03         -93.4638E-06        93.6043E-03        93.6037E-03       170.006E-03          8.65936            8.52781            8.52781            0.               348.779E-03        985.182E-03          0.                 1.E-03            25.                51.1402E-06      -648.677E-03        901.027E-03          5.21419E-06
