
                  X                 S11                S12                S13                S22                S23                S33                SP1                SP2                SP3              SDV_Seq            SDV_Svm             SDV_D            SDV_TRIAX           SDV_LODE           SDV_EQPS         SDV_EQPSdot           SDV_T                U2                RF2                RF2L            U2_EXT_Y1    

                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 1.E-03            25.                 0.                 0.                44.3938E-12         0.         
               83.5761E-03        42.1005E-06         9.84678E-09     -209.885E-06         27.1889E-06        -9.76519E-09       48.5548E-06      -164.582E-06         27.1889E-06       255.237E-06        364.026E-06        364.026E-06          0.               107.908E-03         95.2042E-03         0.                 1.E-03            25.                 9.27923E-06        1.2079E-06       452.656E-03       -130.056E-12  
              169.395E-03         43.7726E-03         4.40116E-06      474.464E-06         17.1561E-03        -2.09387E-06       13.0783E-03        13.071E-03         17.1561E-03        43.78E-03          28.8839E-03        28.8839E-03         0.               854.074E-03        765.485E-03          0.                 1.E-03            25.                18.8075E-06        -6.71657E-03      276.477E-03         79.5923E-09 
              255.161E-03          3.11439           91.4511E-06       440.689E-06          1.05772           53.4438E-06       151.247E-03        151.247E-03          1.05772            3.11439            2.62981            2.62981            0.               547.993E-03        421.06E-03           0.                 1.E-03            25.                28.3298E-06      -538.864E-03        184.082E-03          2.87867E-06
              340.882E-03          3.08878         -168.824E-06         -1.85077E-03     -360.452E-03       -154.423E-06       -159.136E-03       -360.452E-03       -159.137E-03          3.08878            3.35311            3.35311            0.               255.404E-03        900.652E-03          0.                 1.E-03            25.                37.8472E-06      -460.295E-03        203.638E-03          3.18405E-06
              426.563E-03          3.6306           892.779E-06        681.574E-06         52.2026E-03        29.991E-06        172.338E-03         52.2024E-03       172.338E-03          3.6306             3.51987            3.51987            0.               365.084E-03        943.54E-03           0.                 1.E-03            25.                47.3602E-06      -569.435E-03        946.622E-03          3.61087E-06
              512.213E-03          3.73101           -1.38951E-03       -1.65317E-03        1.00207          593.271E-06         91.936E-03         91.9349E-03         1.00207            3.73101            3.28012            3.28012            0.               490.329E-03        536.533E-03          0.                 1.E-03            25.                56.8697E-06      -598.141E-03        730.33E-03           3.29547E-06
              597.845E-03          4.90227          236.859E-06         -2.68822E-03      791.117E-03        709.805E-06        -59.138E-03        -59.14E-03         791.118E-03          4.90227            4.59565            4.59565            0.               408.665E-03        692.665E-03          0.                 1.E-03            25.                66.3771E-06      -790.597E-03        744.494E-03          4.6633E-06 
              683.466E-03          5.72805         -580.276E-06          2.55313E-03     -178.493E-03       -181.24E-06         141.865E-03       -178.493E-03        141.864E-03          5.72805            5.75306            5.75306            0.               329.762E-03        907.862E-03          0.                 1.E-03            25.                75.8834E-06      -944.455E-03        806.445E-03          5.83738E-06
              769.081E-03          6.74021            1.10136E-03      141.697E-06          1.67868         -468.796E-06        -36.5262E-03       -36.5264E-03         1.67868            6.74021            6.10267            6.10267            0.               457.852E-03        530.415E-03          0.                 1.E-03            25.                85.389E-06         -1.0413           872.296E-03          6.08618E-06
              854.693E-03          6.81761          316.515E-06       -144.163E-06          1.38415          560.607E-06       -115.688E-03       -115.689E-03          1.38415            6.81761            6.31833            6.31833            0.               426.593E-03        604.559E-03          0.                 1.E-03            25.                94.8943E-06        -1.11796            1.50538            6.35333E-06
              940.303E-03          7.70869          339.001E-06       -985.351E-06        296.528E-03        946.021E-06        145.07E-03         145.064E-03        296.534E-03          7.70869            7.48904            7.48904            0.               362.765E-03        966.545E-03          0.                 1.E-03            25.               104.399E-06         -1.1954             1.12328            7.67062E-06
                1.02591            9.85964          106.897E-06          1.45989E-03      751.382E-03        118.904E-06        -56.8213E-03       -56.8215E-03       751.382E-03          9.85964            9.53807            9.53807            0.               368.845E-03        859.724E-03          0.                 1.E-03            25.               113.904E-06         -1.55793            1.21773            9.40862E-06
                1.11152            9.27796         -389.393E-06       -393.072E-06          1.42621          -70.3091E-06       -32.0354E-03       -32.0355E-03         1.42621            9.27796            8.67331            8.67331            0.               410.152E-03        720.923E-03          0.                 1.E-03            25.               123.409E-06         -1.4894             1.33483            8.86161E-06
                1.19713           10.2558           212.316E-06        863.06E-06           2.06913         -962.645E-06       -119.133E-03       -119.134E-03          2.06913           10.2558             9.47231            9.47231            0.               429.526E-03        615.304E-03          0.                 1.E-03            25.               132.914E-06         -1.60573            1.71729            9.47721E-06
                1.28274           10.4616          -392.537E-06       -256.403E-06        603.114E-03       -304.966E-06       -181.664E-03       -181.664E-03        603.114E-03         10.4616            10.2734            10.2734             0.               353.115E-03        873.56E-03           0.                 1.E-03            25.               142.419E-06         -1.59579            1.95814           10.1376E-06 
                1.36834           11.507           -450.213E-06         -1.01224E-03        1.44714         -113.595E-06        206.551E-03        206.55E-03           1.44714           11.507             10.734             10.734              0.               408.689E-03        808.52E-03           0.                 1.E-03            25.               151.923E-06         -1.81907            1.66407           11.1353E-06 
                1.45395           13.7164            -1.11917E-03     -815.781E-06          1.62351          121.121E-06       -606.718E-06       -606.775E-06          1.62351           13.7164            12.9814            12.9814             0.               393.88E-03         792.661E-03          0.                 1.E-03            25.               161.428E-06         -2.22378            1.65765           13.0998E-06 
                1.53955           12.2103           139.941E-06        791.116E-06          1.8023           -43.6063E-06      -171.086E-03       -171.086E-03          1.8023            12.2103            11.5222            11.5222             0.               400.432E-03        715.675E-03          0.                 1.E-03            25.               170.933E-06         -1.97177            2.06921           11.7285E-06 
                1.62516           12.9911            42.8078E-06       453.244E-06          1.63549         -903.379E-06        -24.8565E-03       -24.857E-03          1.63549           12.9911            12.2703            12.2703             0.               396.668E-03        775.676E-03          0.                 1.E-03            25.               180.437E-06         -2.05292            2.51886           12.4164E-06 
                1.71076           13.6545          -211.147E-06        125.472E-06          2.45844         -328.73E-06          80.3368E-03        80.3368E-03         2.45844           13.6545            12.5552            12.5552             0.               429.923E-03        685.292E-03          0.                 1.E-03            25.               189.941E-06         -2.1785             2.26262           12.9888E-06 
                1.79637           15.888           -301.491E-06        -60.6411E-06         1.78644          298.658E-06       -116.459E-03       -116.459E-03          1.78644           15.888             15.143             15.143              0.               386.494E-03        791.744E-03          0.                 1.E-03            25.               199.446E-06         -2.49845            2.28839           15.2642E-06 
