
                  X               SDV_EQPS           SDV_Seq            SDV_Qeq             MISES      

                0.                 0.                 0.                 0.                 0.         
              538.171E-06          0.               107.62             107.62             107.62       
                1.07806E-03        0.               215.511            215.511            215.511      
                1.66102E-03      208.761E-06        290.185            290.185            290.185      
                2.30405E-03      691.412E-06        322.001            322.001            322.001      
                2.95937E-03        1.23153E-03      344.697            344.697            344.697      
                3.62137E-03        1.80296E-03      362.376            362.376            362.376      
                4.2867E-03         2.39305E-03      376.9              376.9              376.9        
                4.95212E-03        2.99372E-03      389.236            389.236            389.236      
                5.61745E-03        3.60175E-03      399.997            399.997            399.997      
                6.28269E-03        4.21521E-03      409.567            409.567            409.567      
                6.94785E-03        4.8328E-03       418.204            418.204            418.204      
                7.61292E-03        5.45364E-03      426.09             426.09             426.09       
                8.2779E-03         6.07704E-03      433.357            433.357            433.357      
                8.94279E-03        6.70253E-03      440.103            440.103            440.103      
                9.6076E-03         7.32971E-03      446.407            446.407            446.407      
               10.2723E-03         7.95828E-03      452.329            452.329            452.329      
               10.937E-03          8.58801E-03      457.916            457.916            457.916      
               11.6015E-03         9.21869E-03      463.209            463.209            463.209      
               12.266E-03          9.85016E-03      468.241            468.241            468.241      
               12.9304E-03        10.4823E-03       473.039            473.039            473.039      
               13.5946E-03        11.1149E-03       477.625            477.625            477.625      
               14.2588E-03        11.748E-03        482.021            482.021            482.021      
               14.923E-03         12.3815E-03       486.242            486.242            486.242      
               15.587E-03         13.0152E-03       490.304            490.304            490.304      
               16.2509E-03        13.6492E-03       494.219            494.219            494.219      
               16.9148E-03        14.2833E-03       497.999            497.999            497.999      
               17.5786E-03        14.9176E-03       501.654            501.654            501.654      
               18.2422E-03        15.5519E-03       505.192            505.192            505.192      
               18.9058E-03        16.1862E-03       508.622            508.622            508.622      
               19.5693E-03        16.8206E-03       511.951            511.951            511.951      
               20.2327E-03        17.4549E-03       515.184            515.184            515.184      
               20.8961E-03        18.0891E-03       518.328            518.328            518.328      
               21.5593E-03        18.7233E-03       521.389            521.389            521.389      
               22.2225E-03        19.3573E-03       524.37             524.37             524.37       
               22.8855E-03        19.9912E-03       527.276            527.276            527.276      
               23.5485E-03        20.625E-03        530.111            530.111            530.111      
               24.2114E-03        21.2586E-03       532.879            532.879            532.879      
               24.8742E-03        21.892E-03        535.583            535.583            535.583      
               25.5369E-03        22.5252E-03       538.227            538.227            538.227      
               26.1996E-03        23.1582E-03       540.812            540.812            540.812      
               26.8621E-03        23.7909E-03       543.343            543.343            543.343      
               27.5246E-03        24.4235E-03       545.82             545.82             545.82       
               28.1869E-03        25.0558E-03       548.247            548.247            548.247      
               28.8492E-03        25.6878E-03       550.625            550.625            550.625      
               29.5114E-03        26.3195E-03       552.958            552.958            552.958      
               30.1735E-03        26.951E-03        555.245            555.245            555.245      
               30.8355E-03        27.5822E-03       557.49             557.49             557.49       
               31.4974E-03        28.2131E-03       559.694            559.694            559.694      
               32.1593E-03        28.8437E-03       561.858            561.858            561.858      
               32.821E-03         29.474E-03        563.985            563.985            563.985      
               33.4827E-03        30.104E-03        566.074            566.074            566.074      
               34.1443E-03        30.7336E-03       568.128            568.128            568.128      
               34.8057E-03        31.363E-03        570.148            570.148            570.148      
               35.4671E-03        31.992E-03        572.135            572.135            572.135      
               36.1284E-03        32.6207E-03       574.089            574.089            574.089      
               36.7896E-03        33.249E-03        576.013            576.013            576.013      
               37.4508E-03        33.877E-03        577.907            577.907            577.907      
               38.1118E-03        34.5046E-03       579.772            579.772            579.772      
               38.7728E-03        35.1319E-03       581.609            581.609            581.609      
               39.4336E-03        35.7589E-03       583.419            583.419            583.419      
               40.0944E-03        36.3855E-03       585.202            585.202            585.202      
               40.7551E-03        37.0117E-03       586.959            586.959            586.959      
               41.4157E-03        37.6376E-03       588.692            588.692            588.692      
               42.0762E-03        38.2631E-03       590.4              590.4              590.4        
               42.7366E-03        38.8882E-03       592.085            592.085            592.085      
               43.3969E-03        39.5129E-03       593.746            593.746            593.746      
               44.0572E-03        40.1373E-03       595.386            595.386            595.386      
               44.7173E-03        40.7613E-03       597.003            597.003            597.003      
               45.3774E-03        41.3849E-03       598.6              598.6              598.6        
               46.0373E-03        42.0082E-03       600.176            600.176            600.176      
