Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0,0,-0.0017465,0,0,0.28924,4,2
0.5,-4.1937e-05,-0.001731,8.3014e-06,0,0,0,0
0.999,5.5858e-05,-0.001715,0.00022391,0,0,0,0
1.499,-2.9313e-05,-0.0016898,-7.2831e-05,0,0,0,0
2,4.2682e-05,-0.0016562,-0.00022505,0,0,0,0
2.5,0.00014093,-0.0015833,-6.8266e-05,0,0,0,0
2.999,0.00018836,-0.0014069,-3.6875e-05,0,0,0,0
3.499,0.00035304,-0.0010779,0.00038931,0,0,0,0
3.999,0.00039868,-0.000637,0.00028665,0,0,0,0
4.5,0.00048177,-0.00013716,-0.00047526,0,0,0,0
5,0.00049188,0.00038919,4.5798e-05,0,0,0,0
5.5,0.00048314,0.00091697,-0.00036598,0,0,0,0
6,0.00048007,0.0014182,-0.00032847,0,0,0,0
6.499,0.00044431,0.0018872,5.8811e-05,0,0,0,0
7,0.00059256,0.0022903,-7.0661e-05,0,0,0,0
7.5,0.00046458,0.0025773,0.00040197,0,0,0,0
7.999,0.00052035,0.002744,0.00013342,0,0,0,0
8.5,0.00062797,0.0028981,0.00019909,0,0,0,0
9,0.00065578,0.0031865,0.00013019,0,0,0,0
9.5,0.00076822,0.0036863,0.00035546,0,0,0,0
10,0.00095969,0.0043793,0.0002414,0,0,0,0
10.499,0.00087804,0.005194,0.00027604,0,0,0,0
11,0.0010354,0.0060901,0.00012963,0,0,0,0
11.499,0.0010043,0.0070111,0.00019042,0,0,0,0
12,0.0011137,0.0080096,0.00014941,0,0,0,0
12.5,0.0012386,0.0091127,0.00023775,0,0,0,0
13,0.0012893,0.010307,0.00017951,0,0,0,0
13.499,0.0014133,0.011483,0.00023852,0,0,0,0
14,0.0014942,0.012656,0.00018777,0,0,0,0
14.499,0.0015414,0.013938,0.00035831,0,0,0,0
15,0.0016924,0.015401,0.00022329,0,0,0,0
15.499,0.0016955,0.017079,0.0004115,0,0,0,0
16,0.001828,0.018963,0.00036623,0,0,0,0
16.5,0.0018523,0.021021,0.00033557,0,0,0,0
16.999,0.0020287,0.023052,0.00050055,0,0,0,0
17.499,0.0019901,0.025053,0.00030268,0,0,0,0
18,0.0021469,0.027089,0.00068035,0,0,0,0
18.5,0.0021992,0.029148,0.0008851,0,0,0,0
19,0.0022789,0.031095,0.0007627,0,0,0,0
19.5,0.0023527,0.03298,0.00089934,0,0,0,0
20,0.0024845,0.034858,0.00093166,0,0,0,0
20.5,0.002472,0.036682,0.00058571,0,0,0,0
20.999,0.0025651,0.038413,0.00081276,0,0,0,0
21.5,0.0027815,0.040125,0.0010206,0,0,0,0
22,0.0027404,0.041891,0.00087366,0,0,0,0
22.499,0.0028057,0.043622,0.0010412,0,0,0,0
22.999,0.0028838,0.045328,0.00063423,0,0,0,0
23.5,0.0028939,0.04709,0.00085877,0,0,0,0
23.999,0.0029474,0.048956,0.00076784,0,0,0,0
