Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.64,0,-0.005123,0,0,1.1245,20.044,5.2046
1.14,-8e-05,0.0046656,0.00027696,-5.0001e-05,0,0,0
1.64,0.000705,0.016008,0.00027896,-0.00016701,0,0,0
2.14,0.001057,0.040432,0.00041092,-0.00010501,0,0,0
2.64,0.001384,0.068996,0.00026696,0.00010399,0,0,0
3.14,0.00182,0.093137,0.00040792,-5.5002e-05,0,0,0
3.64,0.002004,0.11071,0.00022697,-3.6001e-05,0,0,0
4.14,0.001967,0.12586,0.00031495,-1.8e-05,0,0,0
4.64,0.002371,0.14315,0.00034894,-2.4e-05,0,0,0
5.14,0.002844,0.163,0.0004559,0.00014499,0,0,0
5.64,0.002928,0.18285,0.00043291,2e-05,0,0,0
6.14,0.003122,0.20071,0.00041391,8e-06,0,0,0
6.64,0.00336,0.21442,0.00035694,8.6996e-05,0,0,0
7.14,0.003323,0.22343,0.00034794,4.1999e-05,0,0,0
7.64,0.003609,0.23072,0.00033694,3.7999e-05,0,0,0
8.14,0.003751,0.24172,0.00031395,0.00013699,0,0,0
8.64,0.003974,0.25585,0.00035894,7.8997e-05,0,0,0
9.14,0.004336,0.27115,0.00046989,0.00016699,0,0,0
9.64,0.004512,0.287,0.00043391,0.00016899,0,0,0
10.14,0.005139,0.30314,0.0004419,0.00024697,0,0,0
10.64,0.005168,0.31771,0.00039592,0.00018098,0,0,0
11.14,0.00547,0.33215,0.0004419,0.00029196,0,0,0
11.64,0.005707,0.34714,0.00057983,0.00030795,0,0,0
12.14,0.006203,0.36171,0.00055385,0.00037793,0,0,0
12.64,0.006382,0.37615,0.00064079,0.00022997,0,0,0
13.14,0.00664,0.39114,0.00058083,0.00039592,0,0,0
13.64,0.006956,0.40686,0.00071474,0.00014799,0,0,0
14.14,0.007189,0.423,0.00084264,0.00020498,0,0,0
14.64,0.007329,0.43914,0.00059782,0.00033194,0,0,0
15.14,0.007487,0.45371,0.00071474,0.00029196,0,0,0
15.64,0.007648,0.46815,0.00058783,0.00026197,0,0,0
16.14,0.007765,0.48343,0.00060082,0.00041591,0,0,0
16.64,0.007829,0.49843,0.00080168,0.0004429,0,0,0
17.14,0.007947,0.51343,0.00088561,0.00040992,0,0,0
17.64,0.008188,0.52914,0.0006308,0.00041991,0,0,0
18.14,0.008319,0.54557,0.00059782,0.00036893,0,0,0
18.64,0.008712,0.56229,0.00064079,0.00056684,0,0,0
19.14,0.009071,0.57885,0.0006308,0.0004399,0,0,0
19.64,0.009293,0.59429,0.00066778,0.00029196,0,0,0
20.14,0.009417,0.60986,0.00061081,0.00045989,0,0,0
20.64,0.009884,0.62585,0.00079568,0.00041991,0,0,0
21.14,0.010327,0.64129,0.00080168,0.00042291,0,0,0
21.64,0.010552,0.65686,0.00066778,0.00064079,0,0,0
22.14,0.010961,0.67285,0.0007717,0.00057084,0,0,0
22.64,0.011378,0.68943,0.00099351,0.00061381,0,0,0
23.14,0.012046,0.70671,0.00061381,0.00048688,0,0,0
23.64,0.012375,0.72414,0.00086962,0.00058783,0,0,0
24.14,0.012751,0.73971,0.00087262,0.00080168,0,0,0
24.64,0.013177,0.75543,0.0010135,0.00060382,0,0,0
25.14,0.013231,0.77157,0.00092657,0.00088261,0,0,0
