Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.57,0,-0.0050652,0,0,1.12,20,9.9932
1.07,0.000192,0.0010359,-4.9001e-05,0,0,0,0
1.57,0.000633,0.0088715,-5.3001e-05,0,0,0,0
2.07,0.000963,0.028855,-0.00010701,0,0,0,0
2.57,0.001724,0.055145,-3.1e-05,0,0,0,0
3.07,0.002025,0.080282,4.6999e-05,0,0,0,0
3.57,0.002051,0.099705,3e-05,0,0,0,0
4.08,0.002348,0.11358,7e-06,0,0,0,0
4.57,0.002645,0.12843,0.00014299,0,0,0,0
5.08,0.003113,0.14685,-1.3e-05,0,0,0,0
5.57,0.003207,0.16471,8.2997e-05,0,0,0,0
6.08,0.003666,0.18243,5e-06,0,0,0,0
6.58,0.004044,0.20057,-0.00016301,0,0,0,0
7.08,0.004393,0.21886,0.00013599,0,0,0,0
7.57,0.004591,0.23528,0.00029396,0,0,0,0
8.07,0.004686,0.24771,7.6997e-05,0,0,0,0
8.57,0.004951,0.25615,0.00012199,0,0,0,0
9.07,0.00527,0.26572,4.4999e-05,0,0,0,0
9.57,0.005324,0.27814,0.00018798,0,0,0,0
10.07,0.005849,0.29129,0.00029296,0,0,0,0
10.57,0.006167,0.30457,0.00015499,0,0,0,0
11.07,0.006726,0.31843,0.00025197,0,0,0,0
11.57,0.00709,0.33286,0.00023597,0,0,0,0
12.07,0.007491,0.348,0.00015899,0,0,0,0
12.57,0.007878,0.36314,0.00028496,0,0,0,0
13.07,0.008282,0.377,0.00023297,0,0,0,0
13.57,0.008455,0.39,0.00024497,0,0,0,0
14.07,0.008977,0.40386,0.00030595,0,0,0,0
14.57,0.009015,0.41843,0.00024197,0,0,0,0
15.07,0.009383,0.43357,0.00022198,0,0,0,0
15.57,0.009649,0.44843,0.00037893,0,0,0,0
16.07,0.009746,0.46386,0.00028896,0,0,0,0
16.57,0.010095,0.47914,0.00031895,0,0,0,0
17.07,0.010297,0.49486,0.00033894,0,0,0,0
17.57,0.010505,0.50985,0.00025497,0,0,0,0
18.07,0.010666,0.52515,0.00020098,0,0,0,0
18.57,0.011065,0.54014,0.00032595,0,0,0,0
19.07,0.011435,0.555,0.00031895,0,0,0,0
19.57,0.01166,0.56986,0.00032895,0,0,0,0
20.07,0.012109,0.58485,0.00031595,0,0,0,0
20.57,0.012549,0.60043,0.00022797,0,0,0,0
21.07,0.012861,0.61671,0.00042591,0,0,0,0
21.57,0.013483,0.63314,0.00041591,0,0,0,0
22.07,0.013932,0.648,0.0004529,0,0,0,0
22.57,0.01452,0.662,0.00043291,0,0,0,0
23.07,0.015262,0.67686,0.00046989,0,0,0,0
23.57,0.01548,0.69214,0.00047988,0,0,0,0
24.07,0.016138,0.70786,0.00066078,0,0,0,0
24.57,0.016538,0.72343,0.00058383,0,0,0,0
25.07,0.016645,0.73957,0.00051687,0,0,0,0
