Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.68,0,-0.005423,0,0,1.1171,19.986,0
1.18,-1.8e-05,-0.0021456,0,0,0,0,0
1.68,0.00184,0.0017179,0,0,0,0,0
2.17,0.003774,0.01,0,0,0,0,0
2.67,0.005678,0.020859,0,0,0,0,0
3.17,0.007827,0.032141,0,0,0,0,0
3.67,0.009552,0.043573,0,0,0,0,0
4.17,0.011318,0.054141,0,0,0,0,0
4.67,0.013268,0.064859,0,0,0,0,0
5.17,0.015015,0.075141,0,0,0,0,0
5.67,0.016836,0.085573,0,0,0,0,0
6.17,0.018595,0.095714,0,0,0,0,0
6.68,0.020336,0.10543,0,0,0,0,0
7.17,0.022064,0.11486,0,0,0,0,0
7.67,0.023783,0.12385,0,0,0,0,0
8.18,0.02483,0.132,0,0,0,0,0
8.68,0.026145,0.139,0,0,0,0,0
9.18,0.027555,0.146,0,0,0,0,0
9.68,0.029052,0.15357,0,0,0,0,0
10.18,0.030762,0.162,0,0,0,0,0
10.68,0.032328,0.17043,0,0,0,0,0
11.18,0.034096,0.178,0,0,0,0,0
11.68,0.035799,0.18557,0,0,0,0,0
12.17,0.037403,0.19343,0,0,0,0,0
12.68,0.039138,0.201,0,0,0,0,0
13.17,0.041065,0.208,0,0,0,0,0
13.68,0.042694,0.21529,0,0,0,0,0
14.18,0.044513,0.22214,0,0,0,0,0
14.67,0.046525,0.22857,0,0,0,0,0
15.18,0.048382,0.23443,0,0,0,0,0
15.68,0.050417,0.24029,0,0,0,0,0
16.18,0.052723,0.246,0,0,0,0,0
16.68,0.054765,0.25171,0,0,0,0,0
17.18,0.057062,0.257,0,0,0,0,0
17.68,0.059379,0.26229,0,0,0,0,0
18.17,0.061465,0.26714,0,0,0,0,0
18.68,0.063868,0.27129,0,0,0,0,0
19.18,0.066289,0.275,0,0,0,0,0
19.68,0.06865,0.279,0,0,0,0,0
20.18,0.071202,0.28271,0,0,0,0,0
20.68,0.073762,0.28629,0,0,0,0,0
21.18,0.076187,0.28971,0,0,0,0,0
21.68,0.078824,0.29329,0,0,0,0,0
22.18,0.08141,0.29643,0,0,0,0,0
22.68,0.08395,0.29957,0,0,0,0,0
23.18,0.086806,0.30271,0,0,0,0,0
23.67,0.089598,0.306,0,0,0,0,0
24.18,0.092171,0.30871,0,0,0,0,0
24.67,0.094875,0.31129,0,0,0,0,0
25.17,0.097572,0.31371,0,0,0,0,0
25.68,0.10051,0.31629,0,0,0,0,0
26.17,0.10313,0.319,0,0,0,0,0
26.68,0.10607,0.322,0,0,0,0,0
27.17,0.10851,0.32471,0,0,0,0,0
27.67,0.11146,0.327,0,0,0,0,0
28.18,0.11427,0.32929,0,0,0,0,0
28.68,0.11711,0.33171,0,0,0,0,0
29.18,0.11993,0.334,0,0,0,0,0
29.68,0.1229,0.336,0,0,0,0,0
30.18,0.12566,0.338,0,0,0,0,0
30.68,0.12868,0.34029,0,0,0,0,0
31.18,0.13096,0.34271,0,0,0,0,0
31.68,0.13415,0.345,0,0,0,0,0
32.17,0.13737,0.347,0,0,0,0,0
32.67,0.14012,0.349,0,0,0,0,0
33.17,0.14326,0.351,0,0,0,0,0
33.67,0.14592,0.353,0,0,0,0,0
34.17,0.14919,0.355,0,0,0,0,0
34.67,0.15218,0.357,0,0,0,0,0
35.17,0.15504,0.359,0,0,0,0,0
35.67,0.15793,0.361,0,0,0,0,0
36.17,0.16075,0.363,0,0,0,0,0
36.67,0.16369,0.365,0,0,0,0,0
37.17,0.16676,0.367,0,0,0,0,0
37.67,0.16947,0.36871,0,0,0,0,0
38.17,0.17271,0.37029,0,0,0,0,0
38.67,0.17543,0.372,0,0,0,0,0
39.17,0.17817,0.37371,0,0,0,0,0
39.67,0.18142,0.37529,0,0,0,0,0
40.17,0.18431,0.377,0,0,0,0,0
40.67,0.18735,0.379,0,0,0,0,0
41.17,0.1902,0.38071,0,0,0,0,0
41.67,0.19331,0.38229,0,0,0,0,0
42.17,0.19623,0.38371,0,0,0,0,0
42.67,0.19917,0.38529,0,0,0,0,0
43.17,0.20229,0.38671,0,0,0,0,0
43.67,0.20526,0.38829,0,0,0,0,0
44.17,0.20838,0.39,0,0,0,0,0
44.67,0.21134,0.39171,0,0,0,0,0
45.17,0.21436,0.39329,0,0,0,0,0
45.67,0.21753,0.39471,0,0,0,0,0
46.17,0.22034,0.39629,0,0,0,0,0
46.67,0.22361,0.39771,0,0,0,0,0
47.17,0.22642,0.399,0,0,0,0,0
47.67,0.22942,0.40029,0,0,0,0,0
48.17,0.23268,0.40171,0,0,0,0,0
48.67,0.23553,0.403,0,0,0,0,0
49.17,0.23885,0.40429,0,0,0,0,0
49.67,0.24173,0.406,0,0,0,0,0
50.17,0.2448,0.40771,0,0,0,0,0
50.67,0.24801,0.409,0,0,0,0,0
51.17,0.25086,0.41029,0,0,0,0,0
51.67,0.25418,0.41171,0,0,0,0,0
52.17,0.257,0.413,0,0,0,0,0
52.67,0.26022,0.414,0,0,0,0,0
53.17,0.26337,0.41529,0,0,0,0,0
53.67,0.26632,0.41671,0,0,0,0,0
54.17,0.26949,0.418,0,0,0,0,0
54.67,0.2725,0.41929,0,0,0,0,0
55.17,0.27582,0.42071,0,0,0,0,0
55.67,0.27878,0.422,0,0,0,0,0
56.17,0.28174,0.423,0,0,0,0,0
56.67,0.28502,0.424,0,0,0,0,0
57.17,0.28811,0.425,0,0,0,0,0
57.67,0.29139,0.42629,0,0,0,0,0
58.17,0.29445,0.42771,0,0,0,0,0
58.67,0.29762,0.429,0,0,0,0,0
59.17,0.30071,0.43,0,0,0,0,0
59.67,0.30378,0.431,0,0,0,0,0
60.17,0.30705,0.432,0,0,0,0,0
60.67,0.3101,0.43329,0,0,0,0,0
61.17,0.31332,0.43471,0,0,0,0,0
61.67,0.31644,0.436,0,0,0,0,0
62.17,0.31946,0.437,0,0,0,0,0
62.67,0.32266,0.438,0,0,0,0,0
63.17,0.3258,0.439,0,0,0,0,0
63.67,0.32909,0.44,0,0,0,0,0
64.17,0.33205,0.441,0,0,0,0,0
64.67,0.33526,0.442,0,0,0,0,0
65.17,0.33835,0.443,0,0,0,0,0
