Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.58,0,-0.0053866,0,0,1.1206,19.908,0
1.08,-8.8e-05,-0.0023795,0,0,0,0,0
1.58,0.002086,0.0012905,0,0,0,0,0
2.08,0.004107,0.01,0,0,0,0,0
2.58,0.005974,0.020427,0,0,0,0,0
3.08,0.007917,0.030859,0,0,0,0,0
3.58,0.009951,0.041714,0,0,0,0,0
4.08,0.011655,0.052141,0,0,0,0,0
4.58,0.013025,0.061,0,0,0,0,0
5.08,0.01427,0.068714,0,0,0,0,0
5.58,0.015906,0.076286,0,0,0,0,0
6.08,0.017582,0.084286,0,0,0,0,0
6.58,0.01921,0.092714,0,0,0,0,0
7.08,0.020852,0.101,0,0,0,0,0
7.58,0.02268,0.10929,0,0,0,0,0
8.08,0.024267,0.11829,0,0,0,0,0
8.58,0.025999,0.12714,0,0,0,0,0
9.08,0.027773,0.13557,0,0,0,0,0
9.58,0.02952,0.14371,0,0,0,0,0
10.08,0.031129,0.15143,0,0,0,0,0
10.58,0.03293,0.15886,0,0,0,0,0
11.08,0.034741,0.16643,0,0,0,0,0
11.58,0.03641,0.17371,0,0,0,0,0
12.08,0.038208,0.18086,0,0,0,0,0
12.58,0.040156,0.18871,0,0,0,0,0
13.08,0.04189,0.19643,0,0,0,0,0
13.58,0.043768,0.20329,0,0,0,0,0
14.08,0.045886,0.20971,0,0,0,0,0
14.58,0.047773,0.21571,0,0,0,0,0
15.08,0.049845,0.22157,0,0,0,0,0
15.58,0.05202,0.22743,0,0,0,0,0
16.08,0.054123,0.233,0,0,0,0,0
16.58,0.056297,0.23829,0,0,0,0,0
17.08,0.058627,0.24371,0,0,0,0,0
17.58,0.060837,0.249,0,0,0,0,0
18.08,0.063228,0.254,0,0,0,0,0
18.58,0.065739,0.25843,0,0,0,0,0
19.08,0.0681,0.26229,0,0,0,0,0
19.58,0.070695,0.266,0,0,0,0,0
20.08,0.073144,0.27,0,0,0,0,0
20.58,0.075653,0.27343,0,0,0,0,0
