Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.68,0,-0.0052953,0,0,1.1251,19.972,0
1.18,-6.4e-05,-0.0024451,0,0,0,0,0
1.68,0.002021,0.0010042,0,0,0,0,0
2.18,0.004087,0.0087137,0,0,0,0,0
2.67,0.006154,0.018,0,0,0,0,0
3.17,0.008302,0.027573,0,0,0,0,0
3.67,0.010306,0.037141,0,0,0,0,0
4.17,0.012232,0.046286,0,0,0,0,0
4.67,0.014461,0.055573,0,0,0,0,0
5.17,0.016384,0.065714,0,0,0,0,0
5.67,0.018409,0.075427,0,0,0,0,0
6.18,0.02036,0.084286,0,0,0,0,0
6.67,0.022253,0.093,0,0,0,0,0
7.17,0.024102,0.10171,0,0,0,0,0
7.67,0.026058,0.11057,0,0,0,0,0
8.18,0.028291,0.11943,0,0,0,0,0
8.68,0.030054,0.12771,0,0,0,0,0
9.18,0.032117,0.13557,0,0,0,0,0
9.68,0.034028,0.144,0,0,0,0,0
10.18,0.035551,0.15185,0,0,0,0,0
10.68,0.036889,0.158,0,0,0,0,0
11.18,0.038512,0.16386,0,0,0,0,0
11.68,0.040205,0.17043,0,0,0,0,0
12.18,0.042125,0.17729,0,0,0,0,0
12.68,0.043965,0.18371,0,0,0,0,0
13.18,0.046022,0.19,0,0,0,0,0
13.68,0.047765,0.19629,0,0,0,0,0
14.18,0.049838,0.203,0,0,0,0,0
14.68,0.051721,0.20971,0,0,0,0,0
15.18,0.053569,0.21571,0,0,0,0,0
15.68,0.055691,0.22157,0,0,0,0,0
16.18,0.057592,0.22743,0,0,0,0,0
16.68,0.059633,0.23329,0,0,0,0,0
17.18,0.061716,0.23871,0,0,0,0,0
17.68,0.063769,0.244,0,0,0,0,0
18.18,0.06594,0.24929,0,0,0,0,0
18.68,0.06815,0.255,0,0,0,0,0
19.18,0.070262,0.26071,0,0,0,0,0
19.68,0.072411,0.26571,0,0,0,0,0
20.18,0.074742,0.27029,0,0,0,0,0
20.68,0.076967,0.275,0,0,0,0,0
21.18,0.079277,0.27971,0,0,0,0,0
21.68,0.081687,0.284,0,0,0,0,0
22.18,0.083823,0.288,0,0,0,0,0
22.68,0.08627,0.29229,0,0,0,0,0
23.18,0.088821,0.297,0,0,0,0,0
23.68,0.091262,0.30143,0,0,0,0,0
24.18,0.093725,0.305,0,0,0,0,0
24.68,0.096113,0.30857,0,0,0,0,0
25.18,0.098527,0.31243,0,0,0,0,0
25.68,0.10128,0.31629,0,0,0,0,0
26.18,0.10378,0.31971,0,0,0,0,0
