Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.62,0,-0.0044595,0,0,1.1172,19.977,0
1.12,-7e-06,-0.0019118,0,0,0,0,0
1.62,0.001922,0.0011452,0,0,0,0,0
2.12,0.003824,0.0085726,0,0,0,0,0
2.62,0.005904,0.018573,0,0,0,0,0
3.12,0.007963,0.029714,0,0,0,0,0
3.62,0.009817,0.040427,0,0,0,0,0
4.12,0.011657,0.05,0,0,0,0,0
4.62,0.0137,0.059573,0,0,0,0,0
5.12,0.015585,0.069427,0,0,0,0,0
5.62,0.017408,0.079573,0,0,0,0,0
6.12,0.019289,0.089141,0,0,0,0,0
6.62,0.021174,0.098859,0,0,0,0,0
7.12,0.022935,0.10814,0,0,0,0,0
7.62,0.024587,0.117,0,0,0,0,0
8.12,0.025844,0.12443,0,0,0,0,0
8.62,0.02719,0.131,0,0,0,0,0
9.12,0.028572,0.13786,0,0,0,0,0
9.62,0.030425,0.14543,0,0,0,0,0
10.12,0.032046,0.15357,0,0,0,0,0
10.62,0.033664,0.16143,0,0,0,0,0
11.12,0.035548,0.169,0,0,0,0,0
11.62,0.03722,0.17629,0,0,0,0,0
12.12,0.03896,0.184,0,0,0,0,0
12.62,0.041034,0.19143,0,0,0,0,0
13.12,0.042732,0.19829,0,0,0,0,0
13.62,0.044519,0.205,0,0,0,0,0
14.12,0.046467,0.21171,0,0,0,0,0
14.62,0.048409,0.21829,0,0,0,0,0
15.12,0.050315,0.225,0,0,0,0,0
15.62,0.052483,0.23143,0,0,0,0,0
16.12,0.054649,0.237,0,0,0,0,0
16.62,0.056679,0.24229,0,0,0,0,0
17.12,0.058994,0.24743,0,0,0,0,0
17.62,0.061292,0.252,0,0,0,0,0
18.12,0.063454,0.25629,0,0,0,0,0
18.62,0.065929,0.26071,0,0,0,0,0
19.12,0.068313,0.26529,0,0,0,0,0
19.62,0.070682,0.26971,0,0,0,0,0
20.12,0.073289,0.27371,0,0,0,0,0
20.62,0.075584,0.277,0,0,0,0,0
21.12,0.078213,0.28029,0,0,0,0,0
21.62,0.080773,0.28343,0,0,0,0,0
22.12,0.083258,0.28657,0,0,0,0,0
22.62,0.08602,0.28971,0,0,0,0,0
23.12,0.088558,0.293,0,0,0,0,0
23.62,0.091258,0.29571,0,0,0,0,0
24.12,0.094102,0.29857,0,0,0,0,0
24.62,0.096714,0.30143,0,0,0,0,0
25.12,0.099494,0.30429,0,0,0,0,0
25.62,0.10217,0.30671,0,0,0,0,0
26.12,0.10484,0.30929,0,0,0,0,0
26.62,0.10781,0.31143,0,0,0,0,0
27.12,0.11056,0.31357,0,0,0,0,0
27.62,0.11342,0.316,0,0,0,0,0
28.12,0.11628,0.31871,0,0,0,0,0
28.62,0.119,0.321,0,0,0,0,0
29.12,0.1219,0.32329,0,0,0,0,0
29.62,0.12466,0.32543,0,0,0,0,0
30.12,0.12752,0.32729,0,0,0,0,0
30.62,0.13048,0.32929,0,0,0,0,0
31.12,0.13326,0.33143,0,0,0,0,0
31.62,0.1363,0.33357,0,0,0,0,0
32.12,0.13913,0.33571,0,0,0,0,0
32.62,0.14211,0.33771,0,0,0,0,0
33.12,0.14513,0.33986,0,0,0,0,0
33.62,0.14796,0.34214,0,0,0,0,0
34.12,0.15095,0.34429,0,0,0,0,0
34.62,0.15379,0.346,0,0,0,0,0
35.12,0.15689,0.348,0,0,0,0,0
35.62,0.15986,0.34971,0,0,0,0,0
36.12,0.1626,0.35129,0,0,0,0,0
36.62,0.16567,0.353,0,0,0,0,0
37.12,0.16851,0.355,0,0,0,0,0
37.62,0.17147,0.357,0,0,0,0,0
38.12,0.17449,0.35871,0,0,0,0,0
38.62,0.17734,0.36029,0,0,0,0,0
39.12,0.18051,0.36171,0,0,0,0,0
39.62,0.18337,0.36329,0,0,0,0,0
40.12,0.18633,0.36471,0,0,0,0,0
40.62,0.18928,0.36629,0,0,0,0,0
41.12,0.19211,0.368,0,0,0,0,0
41.62,0.19534,0.36971,0,0,0,0,0
42.12,0.19818,0.37129,0,0,0,0,0
42.62,0.20132,0.373,0,0,0,0,0
43.12,0.20433,0.37471,0,0,0,0,0
43.62,0.20727,0.37629,0,0,0,0,0
44.12,0.21041,0.37771,0,0,0,0,0
44.62,0.21339,0.379,0,0,0,0,0
45.12,0.21645,0.38029,0,0,0,0,0
45.62,0.21937,0.38171,0,0,0,0,0
46.12,0.22257,0.38329,0,0,0,0,0
46.62,0.22545,0.385,0,0,0,0,0
47.12,0.22847,0.38671,0,0,0,0,0
47.62,0.23163,0.388,0,0,0,0,0
48.12,0.23463,0.389,0,0,0,0,0
48.62,0.23772,0.39029,0,0,0,0,0
49.12,0.24087,0.39171,0,0,0,0,0
49.62,0.2438,0.393,0,0,0,0,0
50.12,0.24701,0.39429,0,0,0,0,0
50.62,0.25004,0.39571,0,0,0,0,0
51.12,0.25312,0.397,0,0,0,0,0
51.62,0.25625,0.398,0,0,0,0,0
52.12,0.25922,0.39929,0,0,0,0,0
52.62,0.26244,0.40071,0,0,0,0,0
53.12,0.26546,0.402,0,0,0,0,0
53.62,0.2686,0.403,0,0,0,0,0
