Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.64,0,-0.0059123,0,0,1.1222,19.968,0
1.14,-1.6e-05,-0.0043436,0,0,0,0,0
1.64,0.001387,-0.0021369,0,0,0,0,0
2.14,0.003195,0.0047137,0,0,0,0,0
2.64,0.00524,0.014859,0,0,0,0,0
3.14,0.007074,0.025141,0,0,0,0,0
3.64,0.009133,0.035573,0,0,0,0,0
4.14,0.010999,0.045427,0,0,0,0,0
4.64,0.012728,0.055,0,0,0,0,0
5.14,0.013987,0.062855,0,0,0,0,0
5.64,0.01528,0.069573,0,0,0,0,0
6.14,0.017018,0.076573,0,0,0,0,0
6.64,0.018159,0.084714,0,0,0,0,0
7.14,0.019897,0.093286,0,0,0,0,0
7.64,0.021294,0.10171,0,0,0,0,0
8.14,0.023429,0.11029,0,0,0,0,0
8.64,0.024063,0.11843,0,0,0,0,0
9.14,0.026603,0.12657,0,0,0,0,0
9.64,0.028275,0.13443,0,0,0,0,0
10.14,0.02983,0.142,0,0,0,0,0
10.64,0.031356,0.14929,0,0,0,0,0
11.14,0.033112,0.15671,0,0,0,0,0
11.64,0.034783,0.16429,0,0,0,0,0
12.14,0.036323,0.17171,0,0,0,0,0
12.64,0.037794,0.179,0,0,0,0,0
13.14,0.039905,0.18571,0,0,0,0,0
13.64,0.041461,0.19257,0,0,0,0,0
14.14,0.043393,0.19943,0,0,0,0,0
14.64,0.04519,0.20571,0,0,0,0,0
15.14,0.047062,0.21157,0,0,0,0,0
15.64,0.049065,0.21743,0,0,0,0,0
16.14,0.051051,0.22357,0,0,0,0,0
16.64,0.053035,0.22943,0,0,0,0,0
17.14,0.055055,0.23529,0,0,0,0,0
17.64,0.057233,0.24043,0,0,0,0,0
18.14,0.059254,0.24557,0,0,0,0,0
18.64,0.061319,0.25043,0,0,0,0,0
19.14,0.063558,0.255,0,0,0,0,0
19.64,0.065734,0.259,0,0,0,0,0
20.14,0.068061,0.263,0,0,0,0,0
20.64,0.070534,0.267,0,0,0,0,0
21.14,0.07273,0.271,0,0,0,0,0
21.64,0.075384,0.27471,0,0,0,0,0
22.14,0.077817,0.278,0,0,0,0,0
22.64,0.08034,0.281,0,0,0,0,0
23.14,0.083135,0.284,0,0,0,0,0
23.64,0.085735,0.28671,0,0,0,0,0
24.14,0.088488,0.28929,0,0,0,0,0
24.64,0.091261,0.292,0,0,0,0,0
25.14,0.093873,0.29471,0,0,0,0,0
25.64,0.096715,0.29729,0,0,0,0,0
26.14,0.099441,0.29971,0,0,0,0,0
26.64,0.10214,0.30229,0,0,0,0,0
27.14,0.10504,0.30471,0,0,0,0,0
27.64,0.10779,0.307,0,0,0,0,0
28.14,0.11057,0.309,0,0,0,0,0
28.64,0.11342,0.31129,0,0,0,0,0
29.14,0.11611,0.31343,0,0,0,0,0
29.64,0.11905,0.31529,0,0,0,0,0
30.14,0.12184,0.31729,0,0,0,0,0
30.64,0.12468,0.31943,0,0,0,0,0
31.14,0.1277,0.32129,0,0,0,0,0
31.64,0.13046,0.32329,0,0,0,0,0
32.14,0.13341,0.32543,0,0,0,0,0
32.64,0.13616,0.32729,0,0,0,0,0
33.14,0.13916,0.329,0,0,0,0,0
33.64,0.14208,0.331,0,0,0,0,0
34.14,0.14501,0.333,0,0,0,0,0
34.64,0.14785,0.335,0,0,0,0,0
35.14,0.15079,0.33671,0,0,0,0,0
35.64,0.1539,0.33829,0,0,0,0,0
36.14,0.15681,0.34,0,0,0,0,0
36.64,0.15963,0.34171,0,0,0,0,0
37.14,0.16275,0.34329,0,0,0,0,0
37.64,0.16559,0.345,0,0,0,0,0
38.14,0.16872,0.34671,0,0,0,0,0
38.64,0.17179,0.34829,0,0,0,0,0
39.14,0.17469,0.35,0,0,0,0,0
39.64,0.17764,0.35171,0,0,0,0,0
40.14,0.18053,0.353,0,0,0,0,0
40.64,0.18366,0.35429,0,0,0,0,0
41.14,0.18645,0.35571,0,0,0,0,0
41.64,0.18959,0.35729,0,0,0,0,0
42.14,0.19265,0.35871,0,0,0,0,0
42.64,0.19562,0.36029,0,0,0,0,0
43.14,0.19861,0.36171,0,0,0,0,0
43.64,0.20169,0.36329,0,0,0,0,0
44.14,0.20462,0.36471,0,0,0,0,0
44.64,0.20776,0.366,0,0,0,0,0
45.14,0.21065,0.36729,0,0,0,0,0
45.64,0.21383,0.36871,0,0,0,0,0
46.14,0.21683,0.37,0,0,0,0,0
46.64,0.21986,0.37129,0,0,0,0,0
47.14,0.22286,0.37271,0,0,0,0,0
47.64,0.22589,0.37429,0,0,0,0,0
48.14,0.22901,0.37571,0,0,0,0,0
48.64,0.23194,0.377,0,0,0,0,0
49.14,0.23508,0.378,0,0,0,0,0
49.64,0.23799,0.37929,0,0,0,0,0
50.14,0.24103,0.38071,0,0,0,0,0
50.64,0.24431,0.382,0,0,0,0,0
51.14,0.24718,0.383,0,0,0,0,0
51.64,0.25049,0.384,0,0,0,0,0
52.14,0.25367,0.385,0,0,0,0,0
52.64,0.25658,0.38629,0,0,0,0,0
53.14,0.25954,0.38771,0,0,0,0,0
53.64,0.26262,0.389,0,0,0,0,0
54.14,0.26582,0.39,0,0,0,0,0
54.64,0.26885,0.391,0,0,0,0,0
55.14,0.27193,0.392,0,0,0,0,0
55.64,0.2751,0.393,0,0,0,0,0
56.14,0.27808,0.394,0,0,0,0,0
56.64,0.28126,0.395,0,0,0,0,0
57.14,0.2843,0.39629,0,0,0,0,0
57.64,0.28749,0.39771,0,0,0,0,0
58.14,0.29062,0.39871,0,0,0,0,0
58.64,0.29367,0.39957,0,0,0,0,0
59.14,0.29696,0.40071,0,0,0,0,0
59.64,0.30001,0.40171,0,0,0,0,0
60.14,0.30333,0.40257,0,0,0,0,0
60.64,0.30631,0.40343,0,0,0,0,0
61.14,0.30926,0.40457,0,0,0,0,0
61.64,0.31274,0.40571,0,0,0,0,0
62.14,0.31563,0.407,0,0,0,0,0
62.64,0.31883,0.40771,0,0,0,0,0
63.14,0.3218,0.40857,0,0,0,0,0
63.64,0.325,0.40943,0,0,0,0,0
64.14,0.32815,0.41029,0,0,0,0,0
64.64,0.33124,0.411,0,0,0,0,0
65.14,0.33454,0.412,0,0,0,0,0
65.64,0.33752,0.413,0,0,0,0,0
66.14,0.34065,0.414,0,0,0,0,0
66.64,0.34377,0.415,0,0,0,0,0
67.14,0.3467,0.416,0,0,0,0,0
67.64,0.35011,0.417,0,0,0,0,0
68.14,0.35335,0.418,0,0,0,0,0
68.64,0.35635,0.41871,0,0,0,0,0
69.14,0.35963,0.41929,0,0,0,0,0
69.64,0.36262,0.42,0,0,0,0,0
70.14,0.366,0.421,0,0,0,0,0
70.64,0.36883,0.422,0,0,0,0,0
71.14,0.37241,0.423,0,0,0,0,0
71.64,0.37496,0.42371,0,0,0,0,0
72.14,0.37814,0.42429,0,0,0,0,0
72.64,0.38147,0.425,0,0,0,0,0
73.14,0.38473,0.42571,0,0,0,0,0
73.64,0.38779,0.42629,0,0,0,0,0
74.14,0.39006,0.427,0,0,0,0,0
74.64,0.39421,0.428,0,0,0,0,0
75.14,0.39716,0.429,0,0,0,0,0
75.64,0.40063,0.42971,0,0,0,0,0
76.14,0.40354,0.43029,0,0,0,0,0
76.64,0.40679,0.431,0,0,0,0,0
77.14,0.40981,0.432,0,0,0,0,0
77.64,0.41313,0.43271,0,0,0,0,0
78.14,0.41644,0.43329,0,0,0,0,0
78.64,0.41926,0.434,0,0,0,0,0
79.14,0.42269,0.435,0,0,0,0,0
79.64,0.42582,0.43571,0,0,0,0,0
80.14,0.42888,0.43629,0,0,0,0,0
80.64,0.43205,0.437,0,0,0,0,0
81.14,0.4355,0.438,0,0,0,0,0
81.64,0.4387,0.43871,0,0,0,0,0
82.14,0.44179,0.43929,0,0,0,0,0
82.64,0.44501,0.43971,0,0,0,0,0
83.14,0.44812,0.44029,0,0,0,0,0
83.64,0.45114,0.441,0,0,0,0,0
84.14,0.45458,0.442,0,0,0,0,0
84.64,0.45769,0.44271,0,0,0,0,0
85.14,0.46097,0.44329,0,0,0,0,0
85.64,0.4641,0.444,0,0,0,0,0
86.14,0.4673,0.44471,0,0,0,0,0
86.64,0.47057,0.44529,0,0,0,0,0
87.14,0.47373,0.44571,0,0,0,0,0
87.64,0.47706,0.44629,0,0,0,0,0
88.14,0.48,0.447,0,0,0,0,0
88.64,0.48334,0.448,0,0,0,0,0
89.14,0.48653,0.44871,0,0,0,0,0
89.64,0.48972,0.44929,0,0,0,0,0
90.14,0.49303,0.44971,0,0,0,0,0
90.64,0.49615,0.45029,0,0,0,0,0
91.14,0.49941,0.45071,0,0,0,0,0
91.64,0.50248,0.45129,0,0,0,0,0
92.14,0.50579,0.452,0,0,0,0,0
92.64,0.50899,0.45271,0,0,0,0,0
93.14,0.51218,0.45329,0,0,0,0,0
93.64,0.51556,0.45371,0,0,0,0,0
94.14,0.51882,0.45429,0,0,0,0,0
94.64,0.52209,0.455,0,0,0,0,0
95.14,0.52532,0.45571,0,0,0,0,0
95.64,0.5286,0.45629,0,0,0,0,0
96.14,0.53177,0.45671,0,0,0,0,0
96.64,0.53497,0.45729,0,0,0,0,0
97.14,0.53836,0.458,0,0,0,0,0
97.64,0.54143,0.45871,0,0,0,0,0
98.14,0.54476,0.45929,0,0,0,0,0
98.64,0.54782,0.45971,0,0,0,0,0
99.14,0.55115,0.46029,0,0,0,0,0
99.64,0.55442,0.461,0,0,0,0,0
100.14,0.55751,0.46171,0,0,0,0,0
100.64,0.56088,0.46229,0,0,0,0,0
