Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.62000000,0.00000000,-0.00200000,0.00000000,-0.17979398,0.00000000,-0.17979398,0.00000000,0.00098401,117.08407805,-0.00019632,-0.00078769,0.83133003,1.10940000,10.02690000,77230.82613104
1.12000000,0.00033600,-0.00200000,0.00002022,-0.17979398,0.00002022,-0.17979762,0.00004044,0.00139999,117.94576741,-0.00042158,-0.00097841,0.00000000,0.00000000,0.00000000,0.00000000
1.62000000,0.00338600,0.05600000,0.00010911,5.03423149,0.00010911,5.03478078,0.00017777,0.00181091,118.80757267,-0.00066311,-0.00114780,0.00000000,0.00000000,0.00000000,0.00000000
2.12000000,0.00584100,0.15600000,0.00016700,14.02393058,0.00016699,14.02627257,0.00011576,0.00222297,120.03183094,-0.00084732,-0.00137564,0.00000000,0.00000000,0.00000000,0.00000000
2.62000000,0.00831100,0.25900000,0.00026367,23.28332063,0.00026363,23.28945967,0.00019329,0.00257275,121.06868399,-0.00102959,-0.00154317,0.00000000,0.00000000,0.00000000,0.00000000
3.12000000,0.01131400,0.33400000,0.00037389,30.02559495,0.00037382,30.03682119,0.00022037,0.00300681,122.02610678,-0.00127789,-0.00172891,0.00000000,0.00000000,0.00000000,0.00000000
3.62000000,0.01339500,0.39500000,0.00043678,35.50931139,0.00043668,35.52482107,0.00012573,0.00345857,123.25811150,-0.00153434,-0.00192423,0.00000000,0.00000000,0.00000000,0.00000000
4.12000000,0.01561800,0.48300000,0.00047156,43.42024659,0.00047144,43.44072165,0.00006952,0.00375220,124.38097762,-0.00164705,-0.00210515,0.00000000,0.00000000,0.00000000,0.00000000
4.62000000,0.01872700,0.57500000,0.00059867,51.69076975,0.00059849,51.72171529,0.00025409,0.00419213,125.25113916,-0.00191820,-0.00227392,0.00000000,0.00000000,0.00000000,0.00000000
5.12000000,0.02217400,0.65000000,0.00075833,58.43304406,0.00075805,58.47735579,0.00031912,0.00463768,126.12277457,-0.00219530,-0.00244238,0.00000000,0.00000000,0.00000000,0.00000000
