Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.59,0,-0.018201,0,0,1.5207,20,4.8394
1.09,-0.000244,-0.021271,-2.4e-05,-5.5002e-05,0,0,0
1.59,0.000145,-0.023996,-0.00011201,0.00010999,0,0,0
2.09,-9.9e-05,-0.013407,-5.0001e-05,-0.00011001,0,0,0
2.59,0.000189,0.01271,-3.9001e-05,-0.00017602,0,0,0
3.09,0.000313,0.046859,-0.00017301,-2.3e-05,0,0,0
3.59,0.000267,0.075705,-0.00014501,9.4995e-05,0,0,0
4.09,0.000203,0.10244,-4.4001e-05,2.9e-05,0,0,0
4.59,0.000655,0.128,-0.00012501,0.00011799,0,0,0
5.09,0.000566,0.15658,-0.00010401,0.00026996,0,0,0
5.59,0.000335,0.18213,8.3996e-05,0.00011899,0,0,0
6.09,0.000488,0.20644,-0.00013701,0.00012899,0,0,0
6.59,0.000208,0.22613,-9.7005e-05,9.0996e-05,0,0,0
7.09,0.000354,0.244,6.2998e-05,4e-06,0,0,0
7.59,0.000365,0.25885,-0.00015901,2.8e-05,0,0,0
8.09,0.00051,0.276,-9.2004e-05,0.00015699,0,0,0
8.59,0.000437,0.29385,-0.00021802,0.00014599,0,0,0
9.09,0.000349,0.31343,-0.00027204,-1.1e-05,0,0,0
9.59,0.000552,0.33114,-0.00023603,3.1999e-05,0,0,0
10.09,0.000565,0.35001,-0.00015301,0.00016599,0,0,0
10.59,0.000589,0.36942,-0.00028904,4.0999e-05,0,0,0
11.09,0.000599,0.39043,-0.00020402,7.9997e-05,0,0,0
11.59,0.000757,0.40928,-0.00011201,-4.0001e-05,0,0,0
12.09,0.000812,0.42843,-8.8004e-05,-4.3001e-05,0,0,0
12.59,0.000939,0.44571,-0.00021002,1.7e-05,0,0,0
13.09,0.001066,0.46329,-0.00010701,0.00014899,0,0,0
13.59,0.001156,0.48057,0.00019498,-1.9e-05,0,0,0
14.09,0.001242,0.50058,-0.00011501,-4.5001e-05,0,0,0
14.59,0.001296,0.51928,-1e-05,0.00019798,0,0,0
15.09,0.001536,0.53872,0.00012899,0.00024497,0,0,0
15.59,0.001516,0.55599,6.5998e-05,0.00013599,0,0,0
