Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.6,0,-0.018766,0,0,1.5199,20,10.897
1.1,2.8e-05,-0.021241,-3.6001e-05,0,0,0,0
1.6,6.5e-05,-0.023282,0.00024897,0,0,0,0
2.1,0.000234,-0.011693,-3.3001e-05,0,0,0,0
2.6,0.00046,0.014423,7.2997e-05,0,0,0,0
3.1,0.000288,0.049863,-0.00016301,0,0,0,0
3.6,0.000647,0.080701,3.3999e-05,0,0,0,0
4.1,0.000485,0.10815,1.4e-05,0,0,0,0
4.6,0.000713,0.132,-0.00019002,0,0,0,0
5.1,0.000349,0.15629,-0.00015901,0,0,0,0
5.6,0.000342,0.177,-5e-06,0,0,0,0
6.1,0.000446,0.19586,1e-05,0,0,0,0
6.6,0.000424,0.21171,-0.00012101,0,0,0,0
7.1,0.000578,0.22872,-0.00022903,0,0,0,0
7.6,0.000472,0.24556,-0.00016101,0,0,0,0
8.1,0.00065,0.26472,-0.00012501,0,0,0,0
8.6,0.000634,0.28371,-0.00020102,0,0,0,0
9.1,0.000798,0.30415,-0.00012601,0,0,0,0
9.6,0.000666,0.32171,-0.00025003,0,0,0,0
10.1,0.000741,0.339,-0.00010201,0,0,0,0
10.6,0.000935,0.35614,-0.00023603,0,0,0,0
11.1,0.00085,0.37515,-0.00016901,0,0,0,0
11.6,0.000993,0.39357,-3.3001e-05,0,0,0,0
12.1,0.001337,0.41329,-7.4003e-05,0,0,0,0
12.6,0.001333,0.43156,-8.5004e-05,0,0,0,0
13.1,0.00152,0.44958,-1.2e-05,0,0,0,0
13.6,0.001617,0.46657,0.00012799,0,0,0,0
14.1,0.001761,0.48515,1.5e-05,0,0,0,0
14.6,0.001846,0.50285,-0.00015201,0,0,0,0
15.1,0.001813,0.52143,0.00016199,0,0,0,0
15.6,0.002071,0.53814,-3e-06,0,0,0,0
16.1,0.0023,0.55601,3.5999e-05,0,0,0,0
16.6,0.002303,0.57328,0.00023797,0,0,0,0
17.1,0.002075,0.59272,-7.6003e-05,0,0,0,0
