Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.58000000,0.00000000,-0.01300000,0.00000000,-0.85234723,0.00000000,-0.85234723,0.00000000,0.00066132,357.25530763,0.00014740,-0.00080873,0.81500747,1.52520000,10.00000000,245987.64074562
1.08000000,-0.00019200,-0.01700000,-0.00000467,-1.11460792,-0.00000467,-1.11460272,-0.00000933,0.00096078,360.65514247,-0.00000437,-0.00095642,0.00000000,0.00000000,0.00000000,0.00000000
1.58000000,0.00086900,-0.02000000,0.00001922,-1.31130344,0.00001922,-1.31132864,0.00004778,0.00101773,367.19584779,0.00008258,-0.00110031,0.00000000,0.00000000,0.00000000,0.00000000
2.08000000,0.00114000,0.06000000,0.00003122,3.93391031,0.00003122,3.93403313,0.00002400,0.00113485,370.33485398,0.00008630,-0.00122115,0.00000000,0.00000000,0.00000000,0.00000000
2.58000000,0.00193800,0.20800000,0.00003533,13.63755573,0.00003533,13.63803759,0.00000822,0.00141127,375.44516788,-0.00009690,-0.00131436,0.00000000,0.00000000,0.00000000,0.00000000
3.08000000,0.00275000,0.34100000,0.00006844,22.35772358,0.00006844,22.35925384,0.00006622,0.00157272,379.26247851,-0.00019045,-0.00138227,0.00000000,0.00000000,0.00000000,0.00000000
3.58000000,0.00247600,0.43900000,0.00009044,28.78311041,0.00009044,28.78571368,0.00004400,0.00177060,383.88619317,-0.00031712,-0.00145348,0.00000000,0.00000000,0.00000000,0.00000000
4.08000000,0.00294300,0.55700000,0.00007278,36.51980068,0.00007278,36.52245851,-0.00003533,0.00199178,387.46596749,-0.00048006,-0.00151172,0.00000000,0.00000000,0.00000000,0.00000000
4.58000000,0.00386000,0.62800000,0.00010011,41.17492788,0.00010011,41.17904995,0.00005466,0.00218048,391.69424593,-0.00060811,-0.00157237,0.00000000,0.00000000,0.00000000,0.00000000
5.08000000,0.00465500,0.77600000,0.00011656,50.87857330,0.00011655,50.88450348,0.00003289,0.00247633,394.18543489,-0.00084593,-0.00163039,0.00000000,0.00000000,0.00000000,0.00000000
5.58000000,0.00488300,0.87500000,0.00015600,57.36952531,0.00015599,57.37847495,0.00007888,0.00273215,398.90602174,-0.00102331,-0.00170884,0.00000000,0.00000000,0.00000000,0.00000000
6.08000000,0.00519800,1.00200000,0.00014567,65.69630212,0.00014566,65.70587189,-0.00002066,0.00283857,401.91868661,-0.00104594,-0.00179263,0.00000000,0.00000000,0.00000000,0.00000000
6.58000000,0.00666700,1.10300000,0.00016256,72.31838447,0.00016254,72.33014023,0.00003377,0.00316911,405.55123612,-0.00128365,-0.00188545,0.00000000,0.00000000,0.00000000,0.00000000
7.08000000,0.00745500,1.23000000,0.00025233,80.64516129,0.00025230,80.66551075,0.00017952,0.00356527,408.42049830,-0.00155224,-0.00201302,0.00000000,0.00000000,0.00000000,0.00000000
7.58000000,0.00761100,1.30700000,0.00022589,85.69367952,0.00022586,85.71303677,-0.00005288,0.00365180,411.75904417,-0.00148791,-0.00216389,0.00000000,0.00000000,0.00000000,0.00000000
8.08000000,0.00875600,1.43500000,0.00024978,94.08602151,0.00024975,94.10952210,0.00004777,0.00392342,413.85359370,-0.00162380,-0.00229962,0.00000000,0.00000000,0.00000000,0.00000000
