,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,1.55809,0.519362,-3.33067e-16,0.899562,-3.04394e-17,1.96331e-18,6.74997e-06,2.49999e-07,-2.99999e-06,1.12583e-05,-1.83385e-22,-1.05877e-22,0.0,6.749992781163172e-06,1.1258363374899716e-05,0.0,2.499990312543332e-07,0.0,-2.999985500018454e-06
1,2e-05,3.11616,1.03872,1.11022e-16,1.79912,-3.35356e-17,-9.59302e-18,1.34999e-05,5.00011e-07,-5.99996e-06,2.25164e-05,-1.8338e-22,-1.05874e-22,0.0,1.3499991124099608e-05,2.2516653495952e-05,0.0,5.000111249486849e-07,0.0,-5.9999420002343484e-06
2,3.5e-05,5.45324,1.81775,-5.55112e-16,3.14843,-8.98792e-17,-8.11981e-17,2.36246e-05,8.75006e-07,-1.04998e-05,3.94034e-05,-3.66722e-22,-2.11727e-22,0.0,2.3624879063044446e-05,3.9404176324087103e-05,0.0,8.750063829054966e-07,0.0,-1.0499744877323636e-05
3,5.75e-05,8.95879,2.98626,-4.10783e-15,5.17236,-7.74908e-17,-3.49706e-17,3.88114e-05,1.43749e-06,-1.72495e-05,6.47335e-05,2.65468e-21,-6.29197e-21,0.0,3.8812153172029795e-05,6.473559525832506e-05,0.0,1.4374910330960944e-06,0.0,-1.7249351228265652e-05
4,9.125e-05,14.217,4.73899,-2.94209e-14,8.20817,-2.36397e-16,-1.6579e-16,6.1591e-05,2.28117e-06,-2.73738e-05,0.000102728,3.40809e-22,-5.67178e-21,0.0,6.159289676466173e-05,0.00010273327670162757,0.0,2.2811726019256184e-06,0.0,-2.737342534098186e-05
5,0.00014188,22.1039,7.36797,-1.54654e-13,12.7617,-2.36381e-16,-1.65781e-16,9.57588e-05,3.54668e-06,-4.25596e-05,0.000159716,-9.7103e-21,1.00435e-20,0.0,9.576338502026438e-05,0.00015972875527947572,0.0,3.5466862895461304e-06,0.0,-4.255869435310089e-05
6,0.00021781,33.9336,11.3112,-7.98583e-13,19.5916,-3.44497e-16,-3.84502e-16,0.000147007,5.4448e-06,-6.53367e-05,0.000245194,-2.47895e-21,-9.25628e-21,0.0,0.00014701780605852477,0.00024522406250571116,0.0,5.44481482300796e-06,0.0,-6.533456560431361e-05
7,0.00033172,51.6764,17.2255,-4.03866e-12,29.8354,-4.12114e-16,-2.6724e-16,0.000223873,8.29167e-06,-9.94992e-05,0.000373398,-9.25517e-21,2.48185e-21,0.0,0.00022389806143019442,0.00037346772171087395,0.0,8.291704375995579e-06,0.0,-9.949425011879232e-05
8,0.00050258,78.2868,26.0956,-2.04451e-11,45.1989,-1.09705e-15,-9.7529e-16,0.000339155,1.25613e-05,-0.000150736,0.000565677,-3.02443e-20,-1.8101e-21,0.0,0.0003392125195595952,0.0005658370254069123,0.0,1.256137889349418e-05,0.0,-0.00015072463989995732
9,0.00075887,118.194,39.398,-1.03419e-10,68.2393,-2.03413e-15,-1.51631e-15,0.000512041,1.89646e-05,-0.000227574,0.000854034,-3.02299e-20,-1.80056e-21,0.0,0.0005121721153706904,0.00085439879087712,0.0,1.896477982921141e-05,0.0,-0.0002275481070015406
10,0.0011433,178.035,59.3451,-5.23072e-10,102.789,-2.06942e-15,-9.11488e-16,0.000771287,2.85663e-05,-0.000342794,0.00128643,-5.05598e-20,3.34272e-20,0.0,0.0007715845183038361,0.0012872578060059148,0.0,2.8566708020649756e-05,0.0,-0.00034273525284966855
11,0.00172,267.755,89.2515,-2.64421e-09,154.588,-2.39073e-15,-3.5978e-15,0.00115997,4.29618e-05,-0.000515542,0.00193471,-2.33919e-20,-1.35053e-20,0.0,0.0011606430254049727,0.001936582758945704,0.0,4.29627228712981e-05,0.0,-0.0005154091310572984
12,0.0019362,301.386,100.462,-2.35814e-10,174.005,-3.12928e-15,-3.399e-15,0.00130567,4.83583e-05,-0.000580297,0.00217772,-1.97334e-20,-7.40258e-20,0.0,0.0013065227581743333,0.002180092954430002,0.0,4.835946928150037e-05,0.0,-0.0005801286602598044
13,0.0022606,351.819,117.273,-2.63856e-10,203.123,-2.52361e-15,-3.36191e-15,0.00152416,5.64505e-05,-0.000677403,0.00254214,-6.67115e-20,-1.01155e-19,0.0,0.001525322122197803,0.002545373977717258,0.0,5.6452093359471434e-05,0.0,-0.0006771736143862395
14,0.002291,356.547,118.849,-2.09832e-14,205.852,-3.78272e-15,-3.34643e-15,0.00154464,5.72089e-05,-0.000686505,0.0025763,-1.95026e-19,1.26805e-20,0.0,0.0015458335708313786,0.0025796215126367983,0.0,5.7210536460239325e-05,0.0,-0.0006862694093570099
15,0.002291,356.547,118.849,-2.09832e-14,205.852,-3.78272e-15,-3.34643e-15,0.00154464,5.72089e-05,-0.000686505,0.0025763,-1.95026e-19,1.26805e-20,0.0,0.0015458335708313786,0.0025796215126367983,0.0,5.7210536460239325e-05,0.0,-0.0006862694093570099
