Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.6,0,-0.011456,0,0,1.0263,19.975,10.01
1.1,-0.000128,-0.012672,0.00015099,0,0,0,0
1.6,2e-06,-0.013568,0.00014699,0,0,0,0
2.1,3.4e-05,-0.0065601,6.0998e-05,0,0,0,0
2.6,0.000676,0.0077095,0.00024397,0,0,0,0
3.1,0.000463,0.028008,-0.00015401,0,0,0,0
3.6,0.00064,0.049137,0.00012099,0,0,0,0
4.1,0.000848,0.070859,4.0999e-05,0,0,0,0
4.6,0.000946,0.088137,0.00019498,0,0,0,0
5.1,0.00129,0.10515,5.4998e-05,0,0,0,0
5.6,0.001214,0.12056,4.1999e-05,0,0,0,0
6.1,0.001527,0.13572,-4.8001e-05,0,0,0,0
6.6,0.001815,0.14914,-7e-06,0,0,0,0
7.1,0.001714,0.16472,0.00018998,0,0,0,0
7.6,0.002348,0.17914,0.00025897,0,0,0,0
8.1,0.002091,0.19272,0.00019098,0,0,0,0
8.6,0.001954,0.20514,0.00031695,0,0,0,0
9.1,0.003024,0.21886,0.00023097,0,0,0,0
9.6,0.003174,0.23243,0.00010199,0,0,0,0
10.1,0.003272,0.24657,0.00011099,0,0,0,0
10.6,0.003586,0.26014,0.00025297,0,0,0,0
11.1,0.004245,0.27386,-2.4e-05,0,0,0,0
11.6,0.004316,0.28628,0.00023097,0,0,0,0
12.1,0.005159,0.29986,-9.5005e-05,0,0,0,0
12.6,0.005222,0.314,0.00012899,0,0,0,0
13.1,0.005245,0.32915,-6.4002e-05,0,0,0,0
13.6,0.005495,0.34171,0.00014599,0,0,0,0
14.1,0.005769,0.35515,-4.1001e-05,0,0,0,0
14.6,0.00466,0.36814,-1.3e-05,0,0,0,0
15.1,0.005648,0.38229,-2.4e-05,0,0,0,0
15.6,0.0058,0.39557,0.00026397,0,0,0,0
16.1,0.005766,0.40785,3.1e-05,0,0,0,0
16.6,0.006233,0.41986,0.00021698,0,0,0,0
17.1,0.0069,0.43328,0.00012899,0,0,0,0
17.6,0.006345,0.44585,0.00042291,0,0,0,0
18.1,0.006795,0.45786,0.00024997,0,0,0,0
18.6,0.007444,0.47128,0.00030095,0,0,0,0
19.1,0.007942,0.48643,0.00021298,0,0,0,0
19.6,0.008294,0.49942,0.0004429,0,0,0,0
20.1,0.008571,0.51115,0.00031795,0,0,0,0
20.6,0.009326,0.52286,0.00029496,0,0,0,0
21.1,0.009915,0.53614,0.00048088,0,0,0,0
21.6,0.010043,0.54957,0.0004399,0,0,0,0
22.1,0.010128,0.56157,0.00031095,0,0,0,0
22.6,0.010645,0.57458,0.00020298,0,0,0,0
23.1,0.011302,0.588,0.00019598,0,0,0,0
23.6,0.011224,0.60215,0.00010199,0,0,0,0
24.1,0.01137,0.61514,0.00016599,0,0,0,0
24.6,0.012104,0.62857,0.00014899,0,0,0,0
25.1,0.011431,0.64057,0.00010199,0,0,0,0
25.6,0.01116,0.65358,0.00024697,0,0,0,0
26.1,0.011498,0.66728,0.00021698,0,0,0,0
26.6,0.011197,0.68157,0.00023397,0,0,0,0
27.1,0.011725,0.69357,0.00030095,0,0,0,0
27.6,0.012974,0.70658,0.00032795,0,0,0,0
28.1,0.012297,0.71942,0.00040292,0,0,0,0
28.6,0.012943,0.73272,0.00031095,0,0,0,0
29.1,0.012517,0.74543,0.00055784,0,0,0,0
29.6,0.013353,0.76015,0.00058183,0,0,0,0
30.1,0.014171,0.774,0.0006258,0,0,0,0
30.6,0.01452,0.78743,0.00065978,0,0,0,0
