Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];Width[mm];Inner width
0;0;0.0003;0;0;1.022;20;0
0.5;-0.001443619;0.0016;0;0;0;0;0
1.0001;-1.05E-03;-0.0003;0;0;0;0;0
1.5001;-0.000357399;0;0;0;0;0;0
2.0001;-7.60302E-05;0.001;0;0;0;0;0
2.5;2.21144E-05;0.0019;0;0;0;0;0
3;-0.000613595;0.0007;0;0;0;0;0
3.5;-0.001036637;0.0016;0;0;0;0;0
4.0003;-7.92E-04;0.0003;0;0;0;0;0
4.5003;-0.000922623;0;0;0;0;0;0
5;-0.000156012;-0.0019;0;0;0;0;0
5.5001;-9.88E-05;-0.0003;0;0;0;0;0
6;-0.000277099;0.0022;0;0;0;0;0
6.5;-0.002610903;0.0025;0;0;0;0;0
7.0003;-0.000920966;-0.0009;0;0;0;0;0
7.5001;-0.000560763;0;0;0;0;0;0
7.9999;-0.001147209;0.0041;0;0;0;0;0
8.5001;0.001527296;0.0067;0;0;0;0;0
9.0002;0.003616758;0.0221;0;0;0;0;0
9.5002;0.006496475;0.0319;0;0;0;0;0
9.9999;0.010387528;0.0427;0;0;0;0;0
10.5;0.011457814;0.0515;0;0;0;0;0
11;0.015783316;0.0626;0;0;0;0;0
11.5002;0.021167188;0.0695;0;0;0;0;0
11.9999;0.021506806;0.0812;0;0;0;0;0
12.4998;0.023779301;0.0882;0;0;0;0;0
13;0.027390642;0.0989;0;0;0;0;0
13.4998;0.028896079;0.1053;0;0;0;0;0
13.9999;0.03115366;0.11;0;0;0;0;0
14.4999;0.035961219;0.1249;0;0;0;0;0
15;0.038258951;0.1271;0;0;0;0;0
15.4998;0.040358545;0.1334;0;0;0;0;0
15.9999;0.044253167;0.1425;0;0;0;0;0
16.4999;4.65E-02;0.1514;0;0;0;0;0
16.9999;0.049125985;0.1549;0;0;0;0;0
17.4998;0.052837828;0.159;0;0;0;0;0
17.9997;0.055044681;0.1681;0;0;0;0;0
18.4997;0.0594067;0.1691;0;0;0;0;0
19;0.062231482;0.1805;0;0;0;0;0
19.4998;6.40E-02;0.1836;0;0;0;0;0
19.9999;0.067594322;0.1824;0;0;0;0;0
20.4997;0.071330192;0.1868;0;0;0;0;0
21;0.074595541;0.1906;0;0;0;0;0
21.4998;0.077479528;0.1918;0;0;0;0;0
22;0.081547432;0.1941;0;0;0;0;0
22.4997;0.08395529;0.1928;0;0;0;0;0
22.9997;8.67E-02;0.1956;0;0;0;0;0
23.4999;0.089839316;0.1937;0;0;0;0;0
24;0.09263663;0.1969;0;0;0;0;0
24.4999;0.095844558;0.1997;0;0;0;0;0
24.9996;9.90E-02;0.1953;0;0;0;0;0
25.4996;0.103244218;0.1944;0;0;0;0;0
25.9999;0.107379741;0.2001;0;0;0;0;0
26.4999;0.109672948;0.1988;0;0;0;0;0
26.9997;0.113365736;0.1969;0;0;0;0;0
27.4996;1.16E-01;0.1975;0;0;0;0;0
27.9997;1.20E-01;0.1994;0;0;0;0;0
28.4996;0.122701522;0.201;0;0;0;0;0
28.9996;0.126577917;0.1975;0;0;0;0;0
29.4998;0.129136752;0.1997;0;0;0;0;0
29.9995;1.32E-01;0.1956;0;0;0;0;0
30.4995;0.136211324;0.1969;0;0;0;0;0
30.9996;0.139503886;0.1972;0;0;0;0;0
31.4996;1.43E-01;0.195;0;0;0;0;0
31.9996;0.14619289;0.1963;0;0;0;0;0
32.4995;0.149993573;0.1903;0;0;0;0;0
32.9995;0.152464524;0.1953;0;0;0;0;0
33.4995;0.156563911;0.195;0;0;0;0;0
33.9995;1.59E-01;0.1937;0;0;0;0;0
34.4998;1.63E-01;0.1963;0;0;0;0;0
34.9996;1.66E-01;0.1953;0;0;0;0;0
35.4996;1.69E-01;0.1922;0;0;0;0;0
35.9997;1.72E-01;0.1893;0;0;0;0;0
36.4995;0.175163469;0.1909;0;0;0;0;0
36.9995;1.79E-01;0.1922;0;0;0;0;0
37.4996;0.182560325;0.1922;0;0;0;0;0
37.9994;0.185544624;0.1906;0;0;0;0;0
38.4994;0.189411268;0.1896;0;0;0;0;0
38.9995;1.92E-01;0.1877;0;0;0;0;0
39.4994;0.19513718;0.1874;0;0;0;0;0
39.9994;0.197476018;0.1852;0;0;0;0;0
40.4993;0.203667543;0.1871;0;0;0;0;0
40.9996;0.205371436;0.1849;0;0;0;0;0
41.4997;2.08E-01;0.1874;0;0;0;0;0
41.9994;0.212045463;0.1833;0;0;0;0;0
42.4993;0.215439547;0.1849;0;0;0;0;0
42.9995;0.219118123;0.1802;0;0;0;0;0
43.4993;2.23E-01;0.1893;0;0;0;0;0
43.9994;2.25E-01;0.1839;0;0;0;0;0
44.4994;0.228773772;0.1821;0;0;0;0;0
44.9994;2.32E-01;0.1855;0;0;0;0;0
45.4994;2.35E-01;0.1817;0;0;0;0;0
45.9995;2.38E-01;0.1805;0;0;0;0;0
46.4996;0.241720198;0.1798;0;0;0;0;0
46.9993;2.44E-01;0.1814;0;0;0;0;0
47.4992;0.248329985;0.1811;0;0;0;0;0
47.9992;0.25144799;0.177;0;0;0;0;0
48.4992;0.254278443;0.1795;0;0;0;0;0
48.9993;2.59E-01;0.1792;0;0;0;0;0
49.4993;0.261902625;0.176;0;0;0;0;0
49.9994;2.66E-01;0.1754;0;0;0;0;0
50.4992;2.68E-01;0.1726;0;0;0;0;0
50.9993;2.72E-01;0.1741;0;0;0;0;0
51.4995;0.274848988;0.1723;0;0;0;0;0
51.9993;2.78E-01;0.177;0;0;0;0;0
52.4993;0.280595357;0.1767;0;0;0;0;0
52.9992;0.28548226;0.1729;0;0;0;0;0
53.4991;0.288804201;0.1748;0;0;0;0;0
53.9992;0.292560337;0.1729;0;0;0;0;0
54.4992;0.295477208;0.1697;0;0;0;0;0
54.9991;0.29900844;0.1723;0;0;0;0;0
55.4991;0.302411765;0.1732;0;0;0;0;0
55.9994;0.305186582;0.1719;0;0;0;0;0
56.4994;0.30830465;0.1688;0;0;0;0;0
56.9992;3.13E-01;0.1688;0;0;0;0;0
57.4993;0.314382608;0.164;0;0;0;0;0
57.9991;3.19E-01;0.1685;0;0;0;0;0
58.4991;0.321776724;0.1681;0;0;0;0;0
58.9991;0.325008933;0.1675;0;0;0;0;0
59.4991;0.327988834;0.1662;0;0;0;0;0
59.999;0.331617382;0.1707;0;0;0;0;0
60.499;0.334930847;0.1694;0;0;0;0;0
60.9991;0.338410776;0.1669;0;0;0;0;0
61.4991;0.341968838;0.1653;0;0;0;0;0
61.9991;3.44E-01;0.1675;0;0;0;0;0
62.4992;3.48E-01;0.165;0;0;0;0;0
62.999;0.352342982;0.1659;0;0;0;0;0
63.4992;0.35527534;0.1628;0;0;0;0;0
63.999;0.358360333;0.164;0;0;0;0;0
64.4992;0.361694383;0.1653;0;0;0;0;0
64.999;3.65E-01;0.164;0;0;0;0;0
65.4989;0.369220548;0.165;0;0;0;0;0
65.9992;0.371309053;0.1662;0;0;0;0;0
66.499;0.374651579;0.1609;0;0;0;0;0
66.9993;3.79E-01;0.1634;0;0;0;0;0
67.4991;3.82E-01;0.1628;0;0;0;0;0
67.9989;0.38537949;0.1637;0;0;0;0;0
68.4994;0.386646066;0.1634;0;0;0;0;0
68.999;0.390664962;0.165;0;0;0;0;0
69.4993;3.95E-01;0.1612;0;0;0;0;0
69.9991;0.396776442;0.1609;0;0;0;0;0
70.4988;0.402889834;0.1602;0;0;0;0;0
70.9989;0.406230002;0.1596;0;0;0;0;0
