Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.59000000,0.00000000,-0.01000000,0.00000000,-0.99303880,0.00000000,-0.99303880,0.00000000,0.00053264,276.94835142,0.00075261,-0.00128524,0.71581875,1.00500000,10.02000000,78694.00009898
1.09000000,0.00005400,-0.01200000,-0.00002533,-1.19164656,-0.00002533,-1.19161637,-0.00005067,0.00081850,281.33379212,0.00053907,-0.00135758,0.00000000,0.00000000,0.00000000,0.00000000
1.59000000,0.00021000,-0.01300000,-0.00003444,-1.29095044,-0.00003445,-1.29090597,-0.00001822,0.00111155,283.82081886,0.00035826,-0.00146981,0.00000000,0.00000000,0.00000000,0.00000000
2.09000000,0.00196500,0.00300000,0.00002600,0.29791164,0.00002600,0.29791939,0.00012089,0.00121252,288.35844937,0.00037458,-0.00158711,0.00000000,0.00000000,0.00000000,0.00000000
2.59000000,0.00436500,0.11700000,0.00007833,11.61855394,0.00007833,11.61946406,0.00010466,0.00154852,290.46052485,0.00016188,-0.00171040,0.00000000,0.00000000,0.00000000,0.00000000
3.09000000,0.00643100,0.20700000,0.00012011,20.55590312,0.00012010,20.55837211,0.00008355,0.00191650,294.37867191,-0.00013239,-0.00178411,0.00000000,0.00000000,0.00000000,0.00000000
3.59000000,0.00783300,0.30200000,0.00017944,29.98977170,0.00017943,29.99515320,0.00011865,0.00208394,296.23373171,-0.00017149,-0.00191245,0.00000000,0.00000000,0.00000000,0.00000000
4.09000000,0.01025400,0.36800000,0.00025056,36.54382777,0.00025052,36.55298403,0.00014219,0.00229329,299.70748087,-0.00030096,-0.00199233,0.00000000,0.00000000,0.00000000,0.00000000
4.59000000,0.01302800,0.44900000,0.00035733,44.58744203,0.00035727,44.60337461,0.00021349,0.00272645,301.54445930,-0.00059966,-0.00212679,0.00000000,0.00000000,0.00000000,0.00000000
5.09000000,0.01450700,0.49600000,0.00037044,49.25472438,0.00037038,49.27297052,0.00002621,0.00299598,304.73916716,-0.00072282,-0.00227316,0.00000000,0.00000000,0.00000000,0.00000000
5.59000000,0.01646800,0.58900000,0.00044678,58.48998520,0.00044668,58.51611723,0.00015260,0.00328794,306.23492854,-0.00089204,-0.00239589,0.00000000,0.00000000,0.00000000,0.00000000
6.09000000,0.02017600,0.63600000,0.00059522,63.15726755,0.00059505,63.19486016,0.00029673,0.00359667,308.74174614,-0.00108715,-0.00250952,0.00000000,0.00000000,0.00000000,0.00000000
6.59000000,0.02268700,0.73200000,0.00067533,72.69044002,0.00067511,72.73953029,0.00016012,0.00387800,310.73902892,-0.00125233,-0.00262567,0.00000000,0.00000000,0.00000000,0.00000000
7.09000000,0.02421900,0.78100000,0.00066778,77.55633013,0.00066755,77.60812052,-0.00001510,0.00429377,312.98089973,-0.00152715,-0.00276662,0.00000000,0.00000000,0.00000000,0.00000000
7.59000000,0.02750300,0.87900000,0.00078722,87.28811035,0.00078691,87.35682549,0.00023872,0.00464838,314.80287805,-0.00171086,-0.00293753,0.00000000,0.00000000,0.00000000,0.00000000
8.09000000,0.03032100,0.92700000,0.00097144,92.05469658,0.00097097,92.14412260,0.00036812,0.00489248,316.79235781,-0.00183972,-0.00305276,0.00000000,0.00000000,0.00000000,0.00000000
8.59000000,0.03290100,1.00900000,0.00094800,100.19761472,0.00094755,100.29260206,-0.00004684,0.00523891,318.11083472,-0.00208246,-0.00315645,0.00000000,0.00000000,0.00000000,0.00000000
9.09000000,0.03603600,1.07500000,0.00101522,106.75167079,0.00101471,106.86004746,0.00013431,0.00568643,320.47005343,-0.00236654,-0.00331989,0.00000000,0.00000000,0.00000000,0.00000000
9.59000000,0.03839300,1.15700000,0.00122944,114.89458893,0.00122869,115.03584545,0.00042796,0.00597090,321.97241782,-0.00246296,-0.00350794,0.00000000,0.00000000,0.00000000,0.00000000
