Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.64,0,-0.0078792,0,0,1.5254,19.983,4.9262
1.14,-3e-05,-0.0088174,0,1.7e-05,0,0,0
1.64,8.2e-05,-0.0088506,-0.00010601,1.6e-05,0,0,0
2.14,-7.1e-05,0.0051578,0.00024397,6.8998e-05,0,0,0
2.64,0.000253,0.034432,-0.00018502,6.5998e-05,0,0,0
3.14,0.000266,0.069564,4.5999e-05,9.1996e-05,0,0,0
3.64,0.000331,0.10215,5.0999e-05,-0.00019302,0,0,0
4.14,0.000394,0.12842,-2.1e-05,-0.00010201,0,0,0
4.64,0.000309,0.15043,4.8999e-05,-3.2001e-05,0,0,0
5.14,0.000461,0.16742,0.00014999,-0.00021102,0,0,0
5.64,0.000308,0.18572,-5.2001e-05,-9.4004e-05,0,0,0
6.14,0.000594,0.20471,6.6998e-05,-0.00012801,0,0,0
6.64,0.000459,0.22543,0.00025197,-0.00027704,0,0,0
7.14,0.000491,0.24342,1.6e-05,-2.4e-05,0,0,0
7.64,0.000554,0.26158,0.00029396,-8.2003e-05,0,0,0
8.14,0.000464,0.27957,0.00012199,6.2998e-05,0,0,0
8.64,0.000602,0.29943,0.00018798,8.4996e-05,0,0,0
9.14,0.000624,0.31828,9.3996e-05,6.1998e-05,0,0,0
9.64,0.000692,0.33886,0.00013799,-3.1e-05,0,0,0
10.14,0.000706,0.35828,0.00011199,-4.3001e-05,0,0,0
10.64,0.000845,0.37729,4.0999e-05,-5e-06,0,0,0
11.14,0.000682,0.39485,3.5999e-05,-5.1001e-05,0,0,0
11.64,0.001044,0.41443,6.0998e-05,-5.8002e-05,0,0,0
12.14,0.001006,0.43357,6.6998e-05,9.4995e-05,0,0,0
12.64,0.000853,0.45315,0.00013599,-7.4003e-05,0,0,0
13.14,0.001042,0.47071,7.6997e-05,8.8996e-05,0,0,0
13.64,0.001358,0.48915,8.8996e-05,5.3999e-05,0,0,0
14.14,0.001424,0.50685,0.00017898,3e-05,0,0,0
14.64,0.001179,0.52644,-0.00015201,7.8997e-05,0,0,0
15.14,0.001136,0.54571,2.3e-05,0.00010599,0,0,0
15.64,0.001179,0.56615,3.5999e-05,7.9997e-05,0,0,0
16.14,0.001175,0.58342,9.2996e-05,-9.3004e-05,0,0,0
16.64,0.001347,0.60086,7.2997e-05,3.9999e-05,0,0,0
17.14,0.00147,0.61885,0.00010599,0,0,0,0
17.64,0.001367,0.63886,0.00010599,-1.3e-05,0,0,0
18.14,0.001433,0.65814,0.00019898,3.5999e-05,0,0,0
18.64,0.001294,0.67986,0.00012199,-0.00012201,0,0,0
19.14,0.001334,0.70071,-5.3001e-05,0.00017498,0,0,0
19.64,0.001503,0.72115,5.5998e-05,-0.00015601,0,0,0
20.14,0.00152,0.74,1.3e-05,0.00020198,0,0,0
20.64,0.001529,0.761,0.00016899,-3e-05,0,0,0
21.14,0.001496,0.78128,8.8996e-05,0.00011599,0,0,0
21.64,0.001847,0.80215,0.00010599,4.9999e-05,0,0,0
22.14,0.001652,0.82071,0.00038393,0.00014599,0,0,0
22.64,0.002,0.84101,0.00024197,0.00020498,0,0,0
23.14,0.001755,0.86099,0.00017898,0.00029096,0,0,0
23.64,0.002225,0.88301,0.00025197,3.2999e-05,0,0,0
24.14,0.002311,0.90414,6.5998e-05,0.00022797,0,0,0
24.64,0.002407,0.92672,0.00029096,0.00034094,0,0,0
25.14,0.002456,0.94614,0.00010299,0.00028496,0,0,0
25.64,0.002698,0.96586,-0.00011601,0.00040092,0,0,0
26.14,0.00242,0.98528,-0.00018502,0.00016199,0,0,0
26.64,0.002595,1.0064,2e-05,6.2998e-05,0,0,0
27.14,0.002536,1.0269,-0.00031805,0.00032095,0,0,0
27.64,0.002602,1.0496,1e-05,0.00019498,0,0,0
28.14,0.002562,1.071,-2e-05,0.00038393,0,0,0
28.64,0.002509,1.0919,-9.9005e-05,6.5998e-05,0,0,0
29.14,0.002662,1.1113,-1e-05,0.00027496,0,0,0
29.64,0.002821,1.1324,0.00019498,0.00021198,0,0,0
30.14,0.002569,1.1529,0.00023497,5.5998e-05,0,0,0
30.64,0.002794,1.1741,0.00018898,0.00021198,0,0,0
31.14,0.003145,1.1937,0.00024497,0.00027496,0,0,0
31.64,0.002913,1.2147,0.00025197,0.00030795,0,0,0
32.14,0.002923,1.235,0.00038093,0.00019498,0,0,0
32.64,0.003258,1.257,0.00022497,0.00037393,0,0,0
33.14,0.003287,1.2784,0.00033394,0.0004539,0,0,0
33.64,0.003354,1.3011,1e-05,0.00031095,0,0,0
34.14,0.003433,1.3204,0.00013899,0.00025497,0,0,0
34.64,0.00382,1.3396,0.00012199,0.00036093,0,0,0
35.14,0.004019,1.3586,0.00021198,0.00037693,0,0,0
35.64,0.004009,1.3797,0.00013599,0.00059882,0,0,0
36.14,0.004188,1.4006,0.00011599,0.0004469,0,0,0
36.64,0.004194,1.4236,0.00033794,0.0006288,0,0,0
37.14,0.0043,1.445,0.00027496,0.00025797,0,0,0
37.64,0.004314,1.4659,0.00019198,0.00032795,0,0,0
38.14,0.004429,1.4853,0.00037693,0.00033095,0,0,0
38.64,0.003943,1.5067,0.00023797,0.00040092,0,0,0
39.14,0.004006,1.5273,0.00025497,0.00036393,0,0,0
39.64,0.003887,1.5487,0.00039692,0.00017898,0,0,0
40.14,0.004075,1.5679,0.00027496,0.00025497,0,0,0
40.64,0.004079,1.5883,0.00029096,0.00042991,0,0,0
41.14,0.004337,1.608,0.00032795,0.00038693,0,0,0
41.64,0.004145,1.63,0.00026796,0.00033095,0,0,0
42.14,0.004254,1.6511,0.00040092,0.00050987,0,0,0
42.64,0.004463,1.6734,0.00039692,0.00048988,0,0,0
43.14,0.004549,1.6924,0.00042991,0.00046689,0,0,0
43.64,0.004724,1.7116,0.00041092,0.00076771,0,0,0
44.14,0.005042,1.7306,0.00032795,0.00064879,0,0,0
44.64,0.00535,1.7514,0.00071774,0.00066178,0,0,0
45.14,0.005347,1.7716,0.00054585,0.00055884,0,0,0
45.64,0.005757,1.7936,0.00028796,0.00049288,0,0,0
46.14,0.005704,1.8143,0.00049988,0.00094955,0,0,0
46.64,0.005942,1.8346,0.00027096,0.00046989,0,0,0
47.14,0.00583,1.8536,0.00060282,0.0004539,0,0,0
47.64,0.006019,1.8744,0.0004469,0.00075072,0,0,0
48.14,0.005714,1.8946,0.00038093,0.00047289,0,0,0
48.64,0.005959,1.9157,0.00037693,0.00058283,0,0,0
49.14,0.005674,1.9349,0.00046689,0.00035394,0,0,0
49.64,0.005578,1.9553,0.00039692,0.00036393,0,0,0
50.14,0.005502,1.9747,0.0006358,0.00043391,0,0,0
50.64,0.005539,1.9963,0.00053985,0.00051587,0,0,0
51.14,0.005502,2.0171,0.00052286,0.00061181,0,0,0
51.64,0.005499,2.0394,0.00061581,0.00049288,0,0,0
52.14,0.005529,2.0581,0.00050687,0.00049988,0,0,0
52.64,0.005906,2.0769,0.00065179,0.00064179,0,0,0
53.14,0.005754,2.0956,0.00069176,0.00059282,0,0,0
