Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.63,0,-0.016168,0,0,1.5223,20,19.943
1.13,-0.000173,-0.018745,-1.1e-05,0,0,0,0
1.63,2e-05,-0.02071,7.4997e-05,0,0,0,0
2.13,0.000169,-0.0079791,6.2998e-05,0,0,0,0
2.63,0.000419,0.017133,0.00029796,0,0,0,0
3.13,0.00031,0.048149,-0.00020702,0,0,0,0
3.63,0.000476,0.07671,0.00017299,0,0,0,0
4.13,0.000585,0.10758,0.00016799,0,0,0,0
4.63,0.000499,0.13485,6.2998e-05,0,0,0,0
5.13,0.000443,0.16044,0.00017698,0,0,0,0
5.63,0.000696,0.18056,4.3999e-05,0,0,0,0
6.13,0.000627,0.198,0.00019698,0,0,0,0
6.63,0.000678,0.21243,0.00010199,0,0,0,0
7.13,0.000799,0.22943,4.3999e-05,0,0,0,0
7.63,0.00105,0.24685,5.3999e-05,0,0,0,0
8.13,0.000837,0.26572,0.00010999,0,0,0,0
8.63,0.00092,0.28314,-0.00011001,0,0,0,0
9.13,0.001102,0.30201,-0.00013301,0,0,0,0
9.63,0.001224,0.32114,5.7998e-05,0,0,0,0
10.13,0.000997,0.34143,-9.5005e-05,0,0,0,0
10.63,0.001093,0.35985,-0.00014001,0,0,0,0
11.13,0.001025,0.37915,-0.00013701,0,0,0,0
11.63,0.001139,0.39671,2.1e-05,0,0,0,0
12.13,0.001231,0.41429,-4.4001e-05,0,0,0,0
12.63,0.001362,0.43157,5e-06,0,0,0,0
13.13,0.001429,0.45158,0.00016599,0,0,0,0
13.63,0.001997,0.47028,-0.00017402,0,0,0,0
14.13,0.00201,0.48944,6.5998e-05,0,0,0,0
14.63,0.002022,0.50656,-1.3e-05,0,0,0,0
15.13,0.002262,0.52429,-1.7e-05,0,0,0,0
15.63,0.002293,0.54085,0.00030495,0,0,0,0
16.13,0.002314,0.55943,0.00011299,0,0,0,0
16.63,0.002457,0.57757,3.9999e-05,0,0,0,0
17.13,0.002286,0.59615,1e-05,0,0,0,0
17.63,0.002395,0.613,0.00011299,0,0,0,0
18.13,0.002536,0.63144,5.9998e-05,0,0,0,0
18.63,0.002472,0.651,-1.3e-05,0,0,0,0
19.13,0.002583,0.67215,7.2997e-05,0,0,0,0
19.63,0.002403,0.69157,0.00017199,0,0,0,0
20.13,0.00262,0.71172,-2e-05,0,0,0,0
20.63,0.002589,0.73014,-4.3001e-05,0,0,0,0
21.13,0.002954,0.74886,0.00017898,0,0,0,0
21.63,0.003094,0.76757,0.00012299,0,0,0,0
22.13,0.003156,0.78958,-7.9003e-05,0,0,0,0
22.63,0.003498,0.81028,-8.9004e-05,0,0,0,0
23.13,0.003633,0.83144,-6.0002e-05,0,0,0,0
