Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.60000000,0.00000000,-0.01300000,0.00000000,-0.85089671,0.00000000,-0.85089671,0.00000000,0.00060201,346.57105498,0.00014944,-0.00075145,0.87095827,1.52780000,10.00000000,246068.64439102
1.10000000,0.00017700,-0.01600000,0.00001144,-1.04725749,0.00001144,-1.04726948,0.00002289,0.00060959,352.68490640,0.00027787,-0.00088747,0.00000000,0.00000000,0.00000000,0.00000000
1.60000000,0.00119200,-0.01900000,0.00002656,-1.24361827,0.00002656,-1.24365130,0.00003022,0.00074134,357.39786441,0.00028338,-0.00102472,0.00000000,0.00000000,0.00000000,0.00000000
2.10000000,0.00170100,0.01200000,0.00000356,0.78544312,0.00000356,0.78544591,-0.00004600,0.00100952,364.26566195,0.00014906,-0.00115858,0.00000000,0.00000000,0.00000000,0.00000000
2.60000000,0.00221000,0.20700000,0.00003400,13.54889383,0.00003400,13.54935450,0.00006089,0.00115202,367.47404176,0.00011585,-0.00126787,0.00000000,0.00000000,0.00000000,0.00000000
3.10000000,0.00285900,0.32200000,0.00008111,21.07605708,0.00008111,21.07776658,0.00009422,0.00125122,372.83769544,0.00008301,-0.00133423,0.00000000,0.00000000,0.00000000,0.00000000
3.60000000,0.00330700,0.44100000,0.00007978,28.86503469,0.00007977,28.86733748,-0.00000267,0.00148467,376.93781254,-0.00008662,-0.00139806,0.00000000,0.00000000,0.00000000,0.00000000
4.10000000,0.00359500,0.53400000,0.00007833,34.95221888,0.00007833,34.95495680,-0.00000289,0.00167043,381.81139530,-0.00025250,-0.00141793,0.00000000,0.00000000,0.00000000,0.00000000
4.60000000,0.00429400,0.65100000,0.00012689,42.61028930,0.00012688,42.61569608,0.00009710,0.00188343,385.57864265,-0.00036467,-0.00151876,0.00000000,0.00000000,0.00000000,0.00000000
5.10000000,0.00567400,0.72600000,0.00019311,47.51930881,0.00019309,47.52848532,0.00013242,0.00212585,390.08329328,-0.00054839,-0.00157746,0.00000000,0.00000000,0.00000000,0.00000000
