PlasticStrain,PlasticStress,YoungModulus
0.0,128.5622854,91294.44609315332
0.0003429800000000001,129.60735623,0
0.0005815399999999997,130.91253934,0
0.0009318499999999997,131.86898637,0
0.0013445799999999997,133.10769287,0
0.0015954999999999997,134.1434304,0
0.0019119600000000003,135.00628992,0
0.0023709899999999995,135.88911301,0
0.0027051299999999996,137.02930178,0
0.00305384,137.80725319,0
0.0034348099999999995,138.68152281,0
0.0037778899999999995,139.55116125,0
0.00420385,140.4330644,0
0.00457897,141.39992491,0
0.00484447,142.2604445,0
0.00529339,143.05626274,0
0.00570759,143.7562624,0
0.006015350000000001,144.71606733,0
0.0064015700000000005,145.41317353,0
0.006786530000000001,146.11062583,0
0.007139380000000001,146.98719535,0
0.0075755200000000005,147.69333307,0
0.00788753,148.56507139,0
0.0082559,149.35403595,0
0.008723370000000001,150.15849225,0
0.00905722,150.7597869,0
0.00937614,151.63483212,0
0.00981251,152.25264525,0
0.01017766,152.95202177,0
0.01054509,153.74423937,0
0.01093572,154.44860417,0
0.01124783,155.23335726,0
0.011679700000000001,155.85313574,0
0.012064730000000001,156.65035339,0
0.012377850000000001,157.34466862,0
0.012793190000000001,158.05560761,0
0.01319374,158.76477194,0
0.013525950000000002,159.37129394,0
0.013895709999999999,160.16885758,0
0.014271510000000001,160.78328296,0
0.01462759,161.48735092,0
0.015027330000000002,162.19901329,0
0.015372239999999999,162.90227967,0
0.01570864,163.41965428,0
0.01612844,164.22865568,0
0.016525250000000002,164.84938732,0
0.01685754,165.3672977,0
0.01722594,166.16945172,0
0.01758346,166.69235916,0
0.01797454,167.406669,0
0.01833426,168.02349749,0
0.01865961,168.72772491,0
0.01904569,169.25709572,0
0.0194435,169.97455701,0
0.01979291,170.49852447,0
0.02014824,171.11677897,0
0.02053822,171.83438627,0
0.0208655,172.35571597,0
0.02126252,173.07551948,0
0.02161717,173.69543653,0
0.02200805,174.32211363,0
0.022392620000000002,174.85502156,0
0.02267081,175.46278239,0
0.02305522,175.99642529,0
0.02343225,176.52915486,0
0.02380416,177.15463532,0
0.02415558,177.68360678,0
0.02452222,178.40234741,0
0.02488282,179.02713832,0
0.02523028,179.55658638,0
0.025613630000000002,180.09286781,0
0.02597734,180.71947509,0
0.02633513,181.2519255,0
0.02670495,181.69337372,0
0.02706823,182.32112532,0
0.02744728,182.85858003,0
0.027796,183.48451425,0
0.02815299,184.01869762,0
0.02850994,184.55324141,0
0.02887758,185.09013413,0
0.029258,185.72359238,0
0.029612199999999998,186.16493213,0
0.02994708,186.69682701,0
0.03034282,187.24049043,0
0.03069529,187.77641741,0
0.031058429999999998,188.31472033,0
0.0314309,188.94918573,0
0.03176997,189.38965026,0
0.03211243,189.83104458,0
0.03249295,190.37410871,0
0.03288761,190.92027423,0
0.03323329,191.36325007,0
0.03357401,191.89979004,0
0.03392174,192.43803521,0
0.03430503,192.98352096,0
0.03468102,193.52798965,0
0.03502253,193.97176359,0
0.03539595,194.42204429,0
0.03573938,194.96122406,0
0.03611623,195.41283102,0
0.03646784,195.85979957,0
0.03685721,196.40904819,0
0.03719431,196.85379518,0
0.03756914,197.4009133,0
0.0379296,197.94556909,0
0.03828414,198.39472862,0
0.03862917,198.74756285,0
0.0389714,199.28958507,0
0.03936826,199.7481097,0
0.03972226,200.19836754,0
0.04006758,200.74204926,0
0.04043334,201.10040546,0
0.0408153,201.55721493,0
0.04114604,202.09895041,0
0.04151713,202.55421788,0
0.04188808,203.00977141,0
0.04223394,203.46052255,0
0.04262583,203.92098061,0
0.04298352,204.27960957,0
0.04334538,204.82970757,0
0.04371346,205.19101319,0
0.04407984,205.64747516,0
0.04441087,206.09694176,0
0.04480544,206.55985158,0
0.04516927,206.9213464,0
0.04550911,207.46890239,0
0.0458975,207.83606075,0
0.04623271,208.19236932,0
0.04658759,208.64852465,0
0.04696493,209.01414377,0
0.04734782,209.47676375,0
0.04767278,210.02313511,0
0.04803908,210.38726856,0
0.04841227,210.75310152,0
0.04873339,211.29960369,0
0.0491534,211.58016106,0
0.04946502,212.02947954,0
0.04984824,212.39848847,0
0.050244,212.86630126,0
0.05059527,213.22903021,0
0.05094851,213.68835675,0
0.05132768,214.05757553,0
0.0516821,214.42172611,0
0.05205251,214.88560671,0
0.05240311,215.24944209,0
0.05277814,215.61879433,0
0.05315867,216.08574946,0
0.05351586,216.45176768,0
0.053894,216.82258108,0
0.05425655,217.28652028,0
0.05462031,217.65473278,0
0.05493971,217.91715003,0
0.05534044,218.39026518,0
0.05568628,218.75527143,0
0.05607054,219.12895213,0
0.05640559,219.49205859,0
0.05678956,219.86617444,0
0.05716287,220.23819319,0
0.05753467,220.7067249,0
0.05791818,221.08154613,0
0.05825395,221.34935287,0
0.05864631,221.82330877,0
0.05902014,222.09999229,0
0.0593717,222.46866358,0
0.05976143,222.84610174,0
0.06009871,223.21206117,0
0.06048804000000001,223.5899183,0
0.0608682,223.86905493,0
0.061222509999999994,224.2395196,0
0.0615975,224.61488397,0
0.06196550000000001,224.98892652,0
0.062329850000000006,225.36239006,0
0.0627127,225.64317995,0
0.06306983,226.01547071,0
0.06343717,226.39032001,0
0.06380436,226.76538584,0
0.06417844,227.14226896,0
0.06453629,227.41840915,0
0.06491836,227.70025468,0
0.06528021,228.17239173,0
0.06566189,228.4545847,0
0.06601928,228.73139072,0
0.06638889,229.10864895,0
0.06677226,229.4893281,0
0.06713614,229.76822404,0
0.06751571,230.14850444,0
0.06788271,230.42851069,0
0.06824967,230.7086851,0
0.06862064,231.18536507,0
0.0689941,231.46747738,0
0.06936053,231.74813597,0
0.06974758,232.03376919,0
0.07010547,232.41064568,0
0.07048185,232.69419635,0
0.07084635,233.07307499,0
0.07120869,233.35373987,0
0.07157777,233.63615798,0
0.07195558,234.01883852,0
0.07234496,234.30642721,0
0.07271698,234.59012037,0
0.07307725,234.96937065,0
0.07347303,235.25906871,0
0.07382743,235.53918136,0
0.07421964,235.82841012,0
0.07460326,236.21409684,0
0.07496082,236.49552751,0
0.07533183,236.78032699,0
0.0757027,237.06527351,0
0.07607899,237.45013966,0
0.0764359,237.73215763,0
0.07683724,238.02496011,0
0.07721436,238.31216945,0
0.07759144,238.59955293,0
0.07792039,238.8755869,0
0.07832111,239.16900264,0
0.0786771,239.4518664,0
0.07905696,239.74064786,0
0.07946057,240.03533675,0
0.07981288,240.31785511,0
0.08021143,240.71057607,0
0.08054433,240.88989366,0
0.08104957,241.20994722,0
0.08131259,241.47156623,0
0.08169151,241.76142603,0
0.08207019,242.05141235,0
0.08245896,242.34404001,0
0.08283733,242.63433057,0
0.08319854,242.92062333,0
