,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00117118,4.4396e-07,6.43152e-05,0.00117118,7.60632e-09,1.521264e-08,1.5212639920853764e-08
2,0.00336714,1.276384e-06,0.0001849064,0.00336714,2.18682e-08,4.37364e-08,4.373639910073418e-08
3,0.00830806,3.14934e-06,0.000456236,0.00830806,5.39574e-08,1.079148e-07,1.079147941621523e-07
4,0.0194251,7.3635e-06,0.0010667279999999999,0.0194251,1.26158e-07,2.52316e-07,2.523159682616678e-07
5,0.0444385,1.684534e-05,0.002440336,0.0444385,2.8861e-07,5.7722e-07,5.772198334284068e-07
6,0.100719,3.81794e-05,0.0055309600000000006,0.100719,6.54126e-07,1.308252e-06,1.308251144304223e-06
7,0.227349,8.61812e-05,0.0124848,0.227349,1.47654e-06,2.95308e-06,2.9530756397577103e-06
8,0.512267,0.0001941854,0.02813092,0.512267,3.32697e-06,6.65394e-06,6.653917862740327e-06
9,1.15333,0.000437194,0.0633344,1.15333,7.49049e-06,1.498098e-05,1.498086778631869e-05
10,2.59573,0.000983966,0.14254,2.59573,1.68586e-05,3.37172e-05,3.3716631587994104e-05
11,5.84113,0.0022142,0.3207424,5.84113,3.79377e-05,7.58754e-05,7.587252160752758e-05
12,13.1433,0.0300952,4.35028,13.1433,0.000515704,0.001031408,0.001030876464224217
13,24.8551,0.0748948,7.11692,24.8551,0.00281106,0.00562212,0.005606374869794325
14,36.5669,0.1196944,7.74736,36.5669,0.00512218,0.01024436,0.010192242184321744
15,48.2787,0.164494,8.1796,48.2787,0.0073519,0.0147038,0.014596747245133863
16,59.9905,0.209294,8.51416,59.9905,0.00959387,0.01918774,0.019005976721026163
17,71.7023,0.254094,8.78688,71.7023,0.0118605,0.023721,0.02344402855559149
18,83.4141,0.298892,9.01604,83.4141,0.0141627,0.0283254,0.027931653910698125
19,95.1259,0.343692,9.209200000000001,95.1259,0.0164689,0.0329378,0.03240697535270131
20,106.838,0.388492,9.37496,106.838,0.0187729,0.0375458,0.03685811672668631
21,118.549,0.433292,9.52088,118.549,0.0210987,0.0421974,0.04133136876716345
22,130.261,0.478092,9.650559999999999,130.261,0.0234525,0.046905,0.04583819233711623
23,141.973,0.52289,9.767520000000001,141.973,0.0258606,0.0517212,0.050428060180367315
24,153.685,0.56769,9.87376,153.685,0.0283348,0.0566696,0.05512207524246298
25,165.397,0.61249,9.97072,165.397,0.0308852,0.0617704,0.05993770358917998
26,177.108,0.65729,10.0594,177.108,0.0335167,0.0670334,0.06488227454759704
27,188.82,0.70209,10.14064,188.82,0.0362362,0.0724724,0.06996663722316891
28,200.532,0.746888,10.21508,200.532,0.0390502,0.0781004,0.0752006035859626
29,212.244,0.791688,10.28324,212.244,0.0419686,0.0839372,0.08059996775990409
30,223.956,0.836488,10.34576,223.956,0.0449956,0.0899912,0.08616962281396694
31,235.667,0.881288,10.40288,235.667,0.0481414,0.0962828,0.09192518443909614
32,247.379,0.926088,10.45496,247.379,0.0514154,0.1028308,0.09788032868573351
33,259.091,0.970886,10.50228,259.091,0.054828,0.109656,0.10405005738233271
34,270.803,1.015686,10.54508,270.803,0.0583912,0.1167824,0.11045169358947075
35,282.515,1.060486,10.58352,282.515,0.0621181,0.1242362,0.11710387174344312
36,294.226,1.105286,10.61776,294.226,0.0660242,0.1320484,0.12402873505071717
37,305.938,1.150086,10.647920000000001,305.938,0.0701267,0.1402534,0.13125051840746355
38,317.65,1.194884,10.67416,317.65,0.074446,0.148892,0.13879799967076478
39,329.362,1.239684,10.69648,329.362,0.0790058,0.1580116,0.14670439637178817
40,341.074,1.284484,10.714879999999999,341.074,0.0838337,0.1676674,0.15500808358015733
41,352.785,1.329284,10.729479999999999,352.785,0.0889629,0.1779258,0.16375509513011033
42,364.497,1.374084,10.740120000000001,364.497,0.0944332,0.1888664,0.17300024806488296
43,376.209,1.418882,10.746799999999999,376.209,0.100293,0.200586,0.182809770931369
44,387.921,1.463682,10.74964,387.921,0.106571,0.213142,0.19321368823810803
45,399.633,1.508482,10.74808,399.633,0.113293,0.226586,0.20423470048082384
46,411.344,1.553282,10.74232,411.344,0.120475,0.24095,0.21587721532216453
47,423.056,1.598082,10.73232,423.056,0.128163,0.256326,0.22819158850778598
48,434.768,1.64288,10.71796,434.768,0.136402,0.272804,0.24122234071406318
49,446.48,1.68768,10.69912,446.48,0.145241,0.290482,0.2550157919971173
50,458.192,1.73248,10.67568,458.192,0.154732,0.309464,0.2696178931787991
51,469.903,1.77728,10.6474,469.903,0.164926,0.329852,0.28506765784629595
52,481.615,1.82208,10.614,481.615,0.175876,0.351752,0.30140152884241145
53,493.327,1.866878,10.5752,493.327,0.187635,0.37527,0.3186500754780829
54,505.039,1.911678,10.530479999999999,505.039,0.200255,0.40051,0.33683645599956746
55,516.751,1.956478,10.47936,516.751,0.213783,0.427566,0.35597089615524563
56,528.462,2.00128,10.42124,528.462,0.228259,0.456518,0.3760486557343967
57,540.174,2.04608,10.355360000000001,540.174,0.243714,0.487428,0.3970484539048227
58,551.886,2.09088,10.28076,551.886,0.260166,0.520332,0.41892873206041137
59,563.598,2.13568,10.19636,563.598,0.277616,0.555232,0.44162473064403907
60,575.31,2.18048,10.101,575.31,0.296054,0.592108,0.465058924317197
61,585.59,2.2198,10.007280000000002,585.59,0.313026,0.626052,0.48615499093406256
