,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00088316,5.122e-07,9.5829e-06
2,0.00253908,1.47258e-06,2.75508e-05
3,0.00626492,3.63342e-06,6.797880000000001e-05
4,0.014648,8.49532e-06,0.0001589414
5,0.0335101,1.94346e-05,0.00036360799999999997
6,0.0759496,4.40479e-05,0.000824106
7,0.171439,9.9428e-05,0.001860228
8,0.386289,0.000224033,0.0041915
9,0.869702,0.000504395,0.00943688
10,1.95738,0.00113521,0.021239
11,4.40466,0.00255454,0.0477938
12,9.91103,0.0347211,0.639168
13,18.7426,0.0864067,1.154284
14,27.5742,0.138092,1.318748
15,36.4058,0.189778,1.424942
16,45.2374,0.241464,1.505464
17,54.069,0.293149,1.570078
18,62.9006,0.344835,1.6236959999999998
19,71.7322,0.39652,1.669346
20,80.5638,0.448206,1.7095060000000002
21,89.3954,0.499892,1.7456099999999999
22,98.227,0.551577,1.77848
23,107.059,0.603263,1.808756
24,115.89,0.654949,1.836848
25,124.722,0.706634,1.863108
26,133.553,0.75832,1.887772
27,142.385,0.810006,1.911058
28,151.217,0.861691,1.933126
29,160.048,0.913377,1.9541199999999999
30,168.88,0.965062,1.974142
31,177.711,1.01675,1.993314
32,186.543,1.06843,2.01174
33,195.375,1.12012,2.02946
34,204.206,1.17181,2.04656
35,213.038,1.22349,2.06308
36,221.869,1.27518,2.07904
37,230.701,1.32686,2.09452
38,239.533,1.37855,2.10954
39,248.364,1.43023,2.12416
40,257.196,1.48192,2.1384000000000003
41,266.027,1.5336,2.15238
42,274.859,1.58529,2.16602
43,283.691,1.63698,2.1792800000000003
44,292.522,1.68866,2.19218
45,301.354,1.74035,2.2047800000000004
46,310.185,1.79203,2.21706
47,319.017,1.84372,2.22912
48,327.849,1.8954,2.24094
49,336.68,1.94709,2.25252
50,345.512,1.99878,2.26392
51,354.343,2.05046,2.2752
52,363.175,2.10215,2.2864
53,372.007,2.15383,2.2975
54,380.838,2.20552,2.30854
55,389.67,2.2572,2.31956
56,398.501,2.30889,2.33048
57,407.333,2.36057,2.34132
58,416.165,2.41226,2.35206
59,424.996,2.46395,2.3627
60,433.828,2.51563,2.37326
61,441.58,2.561,2.38248
