Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.61,0,-0.0055942,0,0,1.1282,20.038,5.2911
1.11,0.000136,0.0018318,-8.4004e-05,0.00017498,0,0,0
1.61,0.00048,0.011158,-1.7e-05,0.00021898,0,0,0
2.11,0.000806,0.033568,-9.0004e-05,0.00016099,0,0,0
2.61,0.001241,0.062718,-3e-06,0.00018798,0,0,0
3.11,0.001513,0.089564,8.7996e-05,0.00039092,0,0,0
3.61,0.001504,0.11014,-0.00012301,0.00020398,0,0,0
4.11,0.002252,0.125,-0.00025803,0.00013999,0,0,0
4.61,0.002534,0.14115,0.00017598,0.00012099,0,0,0
5.11,0.002679,0.15985,0.00026097,0.00028596,0,0,0
5.61,0.002907,0.178,-1.4e-05,0.00022298,0,0,0
6.11,0.002965,0.195,-0.00010701,0.00022997,0,0,0
6.61,0.002944,0.20799,8.2997e-05,0.00018298,0,0,0
7.11,0.002928,0.21643,0.00017698,0.00028896,0,0,0
7.61,0.003163,0.225,2.9e-05,0.00020198,0,0,0
8.11,0.003503,0.23771,-2e-05,0.00027696,0,0,0
8.61,0.003148,0.252,0.00011199,0.00020398,0,0,0
9.11,0.003911,0.26686,7e-06,0.00030395,0,0,0
9.61,0.003957,0.28185,0.00019198,0.00035994,0,0,0
10.11,0.004394,0.29629,0.00017898,0.00028896,0,0,0
10.61,0.004709,0.31086,6.8998e-05,0.00028396,0,0,0
11.11,0.00499,0.327,0.00014899,0.00024597,0,0,0
11.61,0.005154,0.34285,1e-05,0.0004449,0,0,0
12.11,0.005553,0.35843,1.3e-05,0.0004409,0,0,0
12.61,0.005954,0.37357,0.00028996,0.0004359,0,0,0
13.11,0.006046,0.38829,0.00015799,0.00036893,0,0,0
13.61,0.00646,0.40315,0.00020498,0.00059782,0,0,0
14.11,0.006556,0.41885,0.00028496,0.00038593,0,0,0
14.61,0.006768,0.43371,0.00027896,0.00061081,0,0,0
15.11,0.006879,0.44843,0.00033194,0.0004569,0,0,0
15.61,0.007282,0.465,0.00032895,0.00052986,0,0,0
16.11,0.007225,0.48185,0.00028196,0.00040592,0,0,0
16.61,0.007282,0.497,0.00023797,0.00060382,0,0,0
17.11,0.007487,0.51215,0.00042591,0.00052386,0,0,0
17.61,0.007722,0.52814,0.00038892,0.00057683,0,0,0
18.11,0.007772,0.54486,0.00026896,0.00050687,0,0,0
18.61,0.008081,0.56114,0.00046689,0.00058083,0,0,0
19.11,0.008225,0.57757,0.00057084,0.00055085,0,0,0
19.61,0.008517,0.59343,0.00038593,0.00053386,0,0,0
20.11,0.00892,0.60986,0.00049388,0.00056084,0,0,0
20.61,0.009293,0.62614,0.00026496,0.00073173,0,0,0
21.11,0.009457,0.64171,0.00051986,0.00057384,0,0,0
21.61,0.009887,0.65743,0.00054085,0.00069176,0,0,0
22.11,0.010347,0.67357,0.00061081,0.00061081,0,0,0
22.61,0.010622,0.69015,0.00056384,0.00086563,0,0,0
23.11,0.011257,0.70614,0.00078869,0.00072474,0,0,0
23.61,0.011619,0.722,0.00068776,0.00080568,0,0,0
24.11,0.01219,0.73786,0.00073473,0.00084864,0,0,0
24.61,0.012489,0.75529,0.0007757,0.0008926,0,0,0
25.11,0.01268,0.77257,0.00090959,0.00091258,0,0,0
25.61,0.012952,0.78829,0.00084264,0.00092957,0,0,0
