Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.59,0,-0.0045575,0,0,1.1167,20,10
1.09,0.000266,0.0036359,2.1e-05,0,0,0,0
1.59,0.000663,0.013295,9.7995e-05,0,0,0,0
2.09,0.001222,0.035718,0.00017498,0,0,0,0
2.59,0.001442,0.064714,0.00020898,0,0,0,0
3.09,0.002156,0.091851,0.00021798,0,0,0,0
3.59,0.0023,0.11114,9.2996e-05,0,0,0,0
4.09,0.002435,0.12586,0.00010099,0,0,0,0
4.59,0.002931,0.14114,0.00014599,0,0,0,0
5.09,0.003132,0.15829,9.1996e-05,0,0,0,0
5.59,0.003321,0.17615,0.00026097,0,0,0,0
6.09,0.003853,0.19543,0.00020798,0,0,0,0
6.59,0.004118,0.21242,0.00025297,0,0,0,0
7.09,0.004207,0.22357,0.00013199,0,0,0,0
7.59,0.004119,0.23029,0.00026397,0,0,0,0
8.09,0.004593,0.23858,0.00034094,0,0,0,0
8.59,0.00398,0.25129,0.00028096,0,0,0,0
9.09,0.004858,0.26614,0.00030295,0,0,0,0
9.59,0.005216,0.28029,0.00023497,0,0,0,0
10.09,0.005891,0.29457,0.00015299,0,0,0,0
10.59,0.006025,0.30914,0.00018098,0,0,0,0
11.09,0.006392,0.32415,0.00035094,0,0,0,0
11.59,0.006699,0.33971,0.00037593,0,0,0,0
12.09,0.007142,0.35514,0.00038992,0,0,0,0
12.59,0.007392,0.369,0.00030395,0,0,0,0
13.09,0.007771,0.38315,0.00053686,0,0,0,0
13.59,0.008126,0.39785,0.00046989,0,0,0,0
14.09,0.008644,0.412,0.0004529,0,0,0,0
14.59,0.008893,0.42615,0.00041991,0,0,0,0
15.09,0.009172,0.442,0.00037893,0,0,0,0
15.59,0.009122,0.45785,0.00058783,0,0,0,0
16.09,0.009202,0.47315,0.0004529,0,0,0,0
16.59,0.009266,0.48814,0.00033194,0,0,0,0
17.09,0.009628,0.503,0.00034594,0,0,0,0
17.59,0.009702,0.51786,0.00035594,0,0,0,0
18.09,0.009947,0.53314,0.00031895,0,0,0,0
18.59,0.010229,0.548,0.00042591,0,0,0,0
19.09,0.01072,0.56315,0.00060782,0,0,0,0
19.59,0.010679,0.57971,0.00050987,0,0,0,0
20.09,0.011216,0.59614,0.00047988,0,0,0,0
20.59,0.01166,0.61215,0.00039992,0,0,0,0
21.09,0.011995,0.62785,0.00040292,0,0,0,0
21.59,0.012331,0.643,0.00065479,0,0,0,0
22.09,0.012459,0.65786,0.00051986,0,0,0,0
22.59,0.013442,0.67314,0.00038593,0,0,0,0
23.09,0.013791,0.688,0.00049988,0,0,0,0
23.59,0.014312,0.70315,0.00069776,0,0,0,0
24.09,0.014795,0.71971,0.00069776,0,0,0,0
24.59,0.015235,0.73614,0.0004499,0,0,0,0
25.09,0.01549,0.75215,0.00056384,0,0,0,0
25.59,0.015903,0.76785,0.00058083,0,0,0,0
26.09,0.016058,0.783,0.00064779,0,0,0,0
26.59,0.016272,0.79786,0.00055385,0,0,0,0
27.09,0.016363,0.81314,0.00072174,0,0,0,0
27.59,0.016605,0.828,0.00066478,0,0,0,0
28.09,0.016833,0.84286,0.00059782,0,0,0,0
28.59,0.017034,0.85929,0.0007757,0,0,0,0
29.09,0.017518,0.87585,0.00065079,0,0,0,0
29.59,0.01774,0.89186,0.00061381,0,0,0,0
30.09,0.017887,0.90714,0.00072873,0,0,0,0
30.59,0.018112,0.922,0.00075871,0,0,0,0
31.09,0.018643,0.93686,0.00066778,0,0,0,0
31.59,0.019116,0.95185,0.00086563,0,0,0,0
32.09,0.01927,0.96629,0.00058783,0,0,0,0
32.59,0.019777,0.98086,0.00076171,0,0,0,0
33.09,0.019932,0.997,0.00083565,0,0,0,0
33.59,0.020926,1.0131,0.0007787,0,0,0,0
34.09,0.021748,1.0289,0.00098651,0,0,0,0
34.59,0.022107,1.0441,0.00087562,0,0,0,0
35.09,0.022547,1.0587,0.00085863,0,0,0,0
35.59,0.022936,1.0731,0.00079169,0,0,0,0
36.09,0.023165,1.0881,0.00098651,0,0,0,0
36.59,0.023924,1.1027,0.00095954,0,0,0,0
37.09,0.024296,1.1171,0.0010574,0,0,0,0
37.59,0.024709,1.133,0.00098651,0,0,0,0
38.09,0.024575,1.1489,0.00094955,0,0,0,0
38.59,0.025146,1.1639,0.00092257,0,0,0,0
39.09,0.025515,1.1784,0.00086962,0,0,0,0
39.59,0.025861,1.1927,0.00098651,0,0,0,0
40.09,0.026166,1.2069,0.00092957,0,0,0,0
40.59,0.026623,1.2211,0.00098352,0,0,0,0
41.09,0.026985,1.2353,0.00095654,0,0,0,0
41.59,0.027529,1.2496,0.00094655,0,0,0,0
42.09,0.027966,1.2647,0.0010235,0,0,0,0
42.59,0.028506,1.2794,0.0010105,0,0,0,0
43.09,0.029305,1.2939,0.0010774,0,0,0,0
43.59,0.029815,1.3081,0.0012183,0,0,0,0
44.09,0.030463,1.3217,0.0012113,0,0,0,0
44.59,0.031011,1.3349,0.0012582,0,0,0,0
45.09,0.031712,1.3484,0.0013551,0,0,0,0
45.59,0.032239,1.3617,0.0014929,0,0,0,0
46.09,0.033025,1.3746,0.0014959,0,0,0,0
46.59,0.033612,1.3883,0.0013151,0,0,0,0
47.09,0.034304,1.4016,0.0015468,0,0,0,0
47.59,0.035106,1.4133,0.0017974,0,0,0,0
48.09,0.035942,1.4249,0.0017874,0,0,0,0
48.59,0.036671,1.4366,0.0018782,0,0,0,0
49.09,0.037634,1.4481,0.0019222,0,0,0,0
49.59,0.038665,1.4589,0.0021836,0,0,0,0
50.09,0.040065,1.469,0.0021936,0,0,0,0
50.59,0.041613,1.4786,0.002465,0,0,0,0
51.09,0.043019,1.4884,0.0025886,0,0,0,0
51.59,0.044486,1.498,0.0027353,0,0,0,0
52.09,0.046121,1.5073,0.002826,0,0,0,0
52.59,0.04784,1.5164,0.0031102,0,0,0,0
53.09,0.049432,1.5247,0.0034421,0,0,0,0
53.59,0.050818,1.5326,0.0036962,0,0,0,0
54.09,0.052527,1.5404,0.0039273,0,0,0,0
54.59,0.054085,1.548,0.004001,0,0,0,0
55.09,0.055693,1.5553,0.0044222,0,0,0,0
55.59,0.057412,1.563,0.0046621,0,0,0,0
56.09,0.059157,1.5707,0.0050064,0,0,0,0
56.59,0.060739,1.5783,0.0053606,0,0,0,0
57.09,0.062535,1.5854,0.0056878,0,0,0,0
57.59,0.064851,1.592,0.0060586,0,0,0,0
58.09,0.066453,1.5983,0.0061451,0,0,0,0
58.59,0.0689,1.6047,0.0065257,0,0,0,0
59.09,0.070955,1.611,0.006472,0,0,0,0
59.59,0.0731,1.6173,0.0068286,0,0,0,0
60.09,0.07495,1.624,0.0069091,0,0,0,0
60.59,0.07681,1.6304,0.0070253,0,0,0,0
61.09,0.07881,1.6369,0.0071653,0,0,0,0
61.59,0.080476,1.6431,0.0071851,0,0,0,0
62.09,0.082718,1.649,0.0074254,0,0,0,0
62.59,0.084786,1.6546,0.0076457,0,0,0,0
63.09,0.08675,1.6604,0.0079513,0,0,0,0
63.59,0.088875,1.666,0.0080852,0,0,0,0
64.09,0.090974,1.6713,0.0083381,0,0,0,0
64.59,0.093354,1.677,0.008478,0,0,0,0
65.09,0.095677,1.6827,0.0088577,0,0,0,0
65.59,0.098057,1.6886,0.0092402,0,0,0,0
66.09,0.10015,1.6944,0.009576,0,0,0,0
66.59,0.10235,1.6997,0.0098087,0,0,0,0
67.09,0.10443,1.7046,0.010187,0,0,0,0
67.59,0.1065,1.7097,0.01049,0,0,0,0
68.09,0.10861,1.7147,0.010679,0,0,0,0
68.59,0.11075,1.7196,0.010832,0,0,0,0
69.09,0.11284,1.7247,0.010978,0,0,0,0
69.59,0.11524,1.7303,0.011339,0,0,0,0
70.09,0.11767,1.7357,0.011393,0,0,0,0
70.59,0.1201,1.741,0.011343,0,0,0,0
71.09,0.12259,1.7457,0.011383,0,0,0,0
71.59,0.12515,1.7506,0.011413,0,0,0,0
72.09,0.12734,1.7554,0.011669,0,0,0,0
72.59,0.12962,1.76,0.011721,0,0,0,0
73.09,0.13198,1.7646,0.011762,0,0,0,0
73.59,0.13439,1.7697,0.012087,0,0,0,0
74.09,0.13653,1.7747,0.012278,0,0,0,0
74.59,0.13872,1.7796,0.012507,0,0,0,0
75.09,0.14116,1.7841,0.012786,0,0,0,0
75.59,0.14355,1.7886,0.013161,0,0,0,0
76.09,0.14577,1.793,0.013406,0,0,0,0
76.59,0.14833,1.7977,0.013674,0,0,0,0
77.09,0.15101,1.802,0.013992,0,0,0,0
77.59,0.15376,1.8063,0.014216,0,0,0,0
78.09,0.15609,1.811,0.014608,0,0,0,0
78.59,0.15844,1.8157,0.014776,0,0,0,0
79.09,0.16088,1.8203,0.015071,0,0,0,0
79.59,0.16305,1.8247,0.015096,0,0,0,0
80.09,0.16549,1.829,0.015223,0,0,0,0
80.59,0.16783,1.8333,0.015292,0,0,0,0
81.09,0.17027,1.8377,0.015424,0,0,0,0
81.59,0.17283,1.842,0.01557,0,0,0,0
82.09,0.17519,1.846,0.01552,0,0,0,0
82.59,0.17778,1.8503,0.015712,0,0,0,0
83.09,0.18079,1.8547,0.015692,0,0,0,0
83.59,0.1833,1.8593,0.01597,0,0,0,0
84.09,0.18585,1.8634,0.016102,0,0,0,0
84.59,0.18829,1.8673,0.016501,0,0,0,0
85.09,0.19068,1.8713,0.016663,0,0,0,0
85.59,0.19312,1.8757,0.016792,0,0,0,0
86.09,0.19542,1.8797,0.017214,0,0,0,0
86.59,0.19778,1.8836,0.017363,0,0,0,0
87.09,0.2002,1.888,0.017699,0,0,0,0
87.59,0.20287,1.8921,0.017983,0,0,0,0
88.09,0.20551,1.8961,0.018178,0,0,0,0
88.59,0.20819,1.9001,0.018537,0,0,0,0
89.09,0.21112,1.9043,0.018685,0,0,0,0
89.59,0.21383,1.908,0.018744,0,0,0,0
90.09,0.21602,1.912,0.018883,0,0,0,0
90.59,0.21859,1.9157,0.019028,0,0,0,0
91.09,0.22099,1.9196,0.01914,0,0,0,0
91.59,0.22328,1.9237,0.019298,0,0,0,0
92.09,0.22592,1.928,0.019317,0,0,0,0
92.59,0.22844,1.932,0.019567,0,0,0,0
93.09,0.23106,1.9357,0.019567,0,0,0,0
93.59,0.23369,1.9393,0.019627,0,0,0,0
94.09,0.23633,1.943,0.019844,0,0,0,0
94.59,0.23919,1.9467,0.020134,0,0,0,0
95.09,0.24196,1.9503,0.020292,0,0,0,0
95.59,0.24459,1.954,0.020673,0,0,0,0
96.09,0.24704,1.958,0.020742,0,0,0,0
96.59,0.24944,1.9614,0.021052,0,0,0,0
97.09,0.25198,1.9649,0.021088,0,0,0,0
97.59,0.25433,1.9684,0.021436,0,0,0,0
98.09,0.25715,1.9723,0.02184,0,0,0,0
98.59,0.2594,1.976,0.021936,0,0,0,0
99.09,0.26185,1.9797,0.021939,0,0,0,0
99.59,0.26461,1.983,0.022195,0,0,0,0
100.09,0.26763,1.9863,0.022543,0,0,0,0
100.59,0.2704,1.99,0.022543,0,0,0,0
101.09,0.27315,1.9937,0.022743,0,0,0,0
101.59,0.27581,1.9973,0.022812,0,0,0,0
102.09,0.2783,2.001,0.02309,0,0,0,0
102.59,0.28078,2.0047,0.023041,0,0,0,0
103.09,0.28324,2.008,0.023324,0,0,0,0
103.59,0.2857,2.011,0.023467,0,0,0,0
104.09,0.28808,2.0143,0.023718,0,0,0,0
104.59,0.29078,2.0177,0.023812,0,0,0,0
105.09,0.29365,2.0213,0.023996,0,0,0,0
105.59,0.29665,2.0247,0.024146,0,0,0,0
106.09,0.29934,2.028,0.024363,0,0,0,0
106.59,0.30205,2.0313,0.024648,0,0,0,0
107.09,0.3048,2.0347,0.024831,0,0,0,0
107.59,0.30754,2.038,0.025054,0,0,0,0
108.09,0.30979,2.041,0.02529,0,0,0,0
108.59,0.31223,2.044,0.025388,0,0,0,0
109.09,0.31474,2.0473,0.025555,0,0,0,0
109.59,0.31737,2.051,0.025709,0,0,0,0
110.09,0.32004,2.0547,0.02599,0,0,0,0
110.59,0.32283,2.058,0.026101,0,0,0,0
111.09,0.32567,2.061,0.026307,0,0,0,0
111.59,0.3284,2.064,0.026402,0,0,0,0
112.09,0.33123,2.067,0.026585,0,0,0,0
112.59,0.33407,2.0703,0.026723,0,0,0,0
113.09,0.33663,2.0734,0.026948,0,0,0,0
113.59,0.33917,2.0766,0.027026,0,0,0,0
114.09,0.34166,2.0797,0.027222,0,0,0,0
114.59,0.34435,2.083,0.027419,0,0,0,0
115.09,0.3468,2.086,0.027647,0,0,0,0
115.59,0.34956,2.089,0.027843,0,0,0,0
116.09,0.35234,2.092,0.027973,0,0,0,0
116.59,0.35523,2.095,0.028365,0,0,0,0
117.09,0.35802,2.098,0.02843,0,0,0,0
117.59,0.36086,2.101,0.028528,0,0,0,0
118.09,0.36374,2.104,0.028724,0,0,0,0
118.59,0.36644,2.107,0.028822,0,0,0,0
119.09,0.36901,2.11,0.029083,0,0,0,0
119.59,0.37142,2.113,0.029181,0,0,0,0
120.09,0.3741,2.116,0.029474,0,0,0,0
120.59,0.37676,2.119,0.029571,0,0,0,0
121.09,0.37933,2.122,0.029735,0,0,0,0
121.59,0.38212,2.125,0.029898,0,0,0,0
122.09,0.38526,2.1277,0.030094,0,0,0,0
122.59,0.38817,2.1303,0.030191,0,0,0,0
123.09,0.39113,2.133,0.030419,0,0,0,0
123.59,0.39397,2.136,0.03068,0,0,0,0
124.09,0.39656,2.139,0.030842,0,0,0,0
124.59,0.3992,2.142,0.030972,0,0,0,0
125.09,0.4017,2.1447,0.031298,0,0,0,0
125.59,0.40416,2.1476,0.031493,0,0,0,0
126.09,0.40709,2.1504,0.031558,0,0,0,0
126.59,0.40966,2.1533,0.031753,0,0,0,0
127.09,0.41245,2.156,0.032013,0,0,0,0
127.59,0.4155,2.1587,0.032306,0,0,0,0
128.09,0.41842,2.1616,0.032371,0,0,0,0
128.59,0.42152,2.1647,0.032436,0,0,0,0
129.09,0.42435,2.1677,0.032631,0,0,0,0
129.59,0.42704,2.17,0.032988,0,0,0,0
130.09,0.42984,2.1726,0.032956,0,0,0,0
130.59,0.4325,2.1754,0.033183,0,0,0,0
131.09,0.43506,2.178,0.033281,0,0,0,0
131.59,0.4377,2.1803,0.033475,0,0,0,0
132.09,0.44043,2.183,0.033605,0,0,0,0
132.59,0.44341,2.1857,0.033736,0,0,0,0
133.09,0.44622,2.1883,0.034124,0,0,0,0
133.59,0.44921,2.191,0.034319,0,0,0,0
134.09,0.45194,2.1937,0.034351,0,0,0,0
134.59,0.4547,2.1963,0.034644,0,0,0,0
135.09,0.45766,2.199,0.034838,0,0,0,0
135.59,0.46025,2.2017,0.034936,0,0,0,0
136.09,0.46293,2.2043,0.03513,0,0,0,0
136.59,0.46568,2.2067,0.035325,0,0,0,0
137.09,0.46818,2.2093,0.035389,0,0,0,0
137.59,0.47114,2.212,0.035648,0,0,0,0
138.09,0.47369,2.2147,0.035778,0,0,0,0
138.59,0.47653,2.2173,0.036005,0,0,0,0
139.09,0.47938,2.2197,0.036166,0,0,0,0
139.59,0.48266,2.2223,0.036523,0,0,0,0
140.09,0.48557,2.2247,0.036619,0,0,0,0
140.59,0.48823,2.2273,0.036685,0,0,0,0
141.09,0.49094,2.2297,0.036814,0,0,0,0
141.59,0.49373,2.2323,0.036911,0,0,0,0
142.09,0.49623,2.235,0.037073,0,0,0,0
142.59,0.49885,2.2377,0.037396,0,0,0,0
143.09,0.50174,2.24,0.037493,0,0,0,0
143.59,0.50446,2.2423,0.037655,0,0,0,0
144.09,0.50726,2.2447,0.03772,0,0,0,0
144.59,0.51034,2.247,0.038139,0,0,0,0
145.09,0.51348,2.249,0.038108,0,0,0,0
145.59,0.51635,2.2513,0.038495,0,0,0,0
146.09,0.51922,2.2537,0.038592,0,0,0,0
146.59,0.52174,2.2563,0.038753,0,0,0,0
147.09,0.5245,2.2587,0.038979,0,0,0,0
147.59,0.52701,2.261,0.039174,0,0,0,0
148.09,0.52985,2.2633,0.039431,0,0,0,0
148.59,0.53246,2.2657,0.039496,0,0,0,0
149.09,0.53513,2.268,0.039754,0,0,0,0
149.59,0.53825,2.2703,0.039916,0,0,0,0
150.09,0.54126,2.2727,0.040013,0,0,0,0
150.59,0.54396,2.275,0.040238,0,0,0,0
151.09,0.54712,2.2773,0.040464,0,0,0,0
151.59,0.5499,2.2797,0.04056,0,0,0,0
152.09,0.55274,2.282,0.040754,0,0,0,0
152.59,0.55519,2.284,0.040883,0,0,0,0
153.09,0.55795,2.286,0.041011,0,0,0,0
153.59,0.56054,2.288,0.041076,0,0,0,0
154.09,0.56338,2.2903,0.041334,0,0,0,0
154.59,0.56616,2.2927,0.041592,0,0,0,0
155.09,0.56906,2.295,0.041817,0,0,0,0
155.59,0.57218,2.2973,0.041849,0,0,0,0
156.09,0.57515,2.2997,0.042139,0,0,0,0
156.59,0.57804,2.302,0.042364,0,0,0,0
157.09,0.58088,2.304,0.042493,0,0,0,0
157.59,0.58357,2.306,0.042718,0,0,0,0
158.09,0.58611,2.308,0.042911,0,0,0,0
158.59,0.58895,2.3103,0.043169,0,0,0,0
159.09,0.59162,2.3127,0.043233,0,0,0,0
159.59,0.59419,2.315,0.043489,0,0,0,0
160.09,0.59719,2.317,0.043522,0,0,0,0
160.59,0.60003,2.319,0.043844,0,0,0,0
161.09,0.60299,2.321,0.044003,0,0,0,0
161.59,0.60595,2.3233,0.044164,0,0,0,0
162.09,0.60893,2.3254,0.044197,0,0,0,0
162.59,0.61177,2.3273,0.044389,0,0,0,0
163.09,0.61446,2.3293,0.044518,0,0,0,0
163.59,0.61716,2.3317,0.044743,0,0,0,0
164.09,0.61981,2.334,0.044871,0,0,0,0
164.59,0.62249,2.336,0.045096,0,0,0,0
165.09,0.62537,2.338,0.045224,0,0,0,0
165.59,0.62803,2.34,0.045384,0,0,0,0
166.09,0.63129,2.342,0.045609,0,0,0,0
166.59,0.63434,2.344,0.045833,0,0,0,0
167.09,0.63738,2.346,0.046154,0,0,0,0
167.59,0.64045,2.348,0.046346,0,0,0,0
168.09,0.64316,2.35,0.046282,0,0,0,0
168.59,0.64587,2.352,0.046603,0,0,0,0
169.09,0.64862,2.3543,0.046924,0,0,0,0
169.59,0.65137,2.3564,0.046988,0,0,0,0
170.09,0.65397,2.3583,0.047276,0,0,0,0
170.59,0.65681,2.36,0.047276,0,0,0,0
171.09,0.65968,2.362,0.047467,0,0,0,0
171.59,0.66239,2.364,0.047755,0,0,0,0
172.09,0.66561,2.366,0.048076,0,0,0,0
172.59,0.66885,2.368,0.048076,0,0,0,0
173.09,0.67164,2.37,0.048332,0,0,0,0
173.59,0.67454,2.372,0.04846,0,0,0,0
174.09,0.67729,2.374,0.048747,0,0,0,0
174.59,0.68003,2.376,0.048843,0,0,0,0
175.09,0.68265,2.378,0.049131,0,0,0,0
175.59,0.68545,2.38,0.049227,0,0,0,0
176.09,0.6883,2.3817,0.049419,0,0,0,0
176.59,0.69121,2.3836,0.049706,0,0,0,0
177.09,0.69418,2.3857,0.049642,0,0,0,0
177.59,0.69727,2.3877,0.049866,0,0,0,0
178.09,0.70039,2.3893,0.050089,0,0,0,0
178.59,0.70301,2.391,0.050473,0,0,0,0
179.09,0.70588,2.393,0.050409,0,0,0,0
179.59,0.70854,2.395,0.05076,0,0,0,0
180.09,0.71119,2.397,0.050952,0,0,0,0
180.59,0.71402,2.399,0.051175,0,0,0,0
181.09,0.7166,2.401,0.05127,0,0,0,0
181.59,0.71964,2.403,0.051462,0,0,0,0
182.09,0.72238,2.405,0.051685,0,0,0,0
182.59,0.72549,2.4067,0.051876,0,0,0,0
183.09,0.72874,2.4083,0.052004,0,0,0,0
183.59,0.73174,2.41,0.052131,0,0,0,0
184.09,0.73475,2.412,0.052291,0,0,0,0
184.59,0.73739,2.4137,0.052609,0,0,0,0
185.09,0.74012,2.4153,0.052704,0,0,0,0
185.59,0.74285,2.417,0.052927,0,0,0,0
186.09,0.74545,2.419,0.053087,0,0,0,0
186.59,0.74819,2.421,0.053342,0,0,0,0
187.09,0.751,2.423,0.053373,0,0,0,0
187.59,0.75409,2.4247,0.053691,0,0,0,0
188.09,0.75711,2.4263,0.053723,0,0,0,0
188.59,0.76009,2.428,0.053978,0,0,0,0
189.09,0.76321,2.4297,0.0542,0,0,0,0
189.59,0.76613,2.4313,0.054264,0,0,0,0
190.09,0.76886,2.433,0.054645,0,0,0,0
190.59,0.77152,2.435,0.054836,0,0,0,0
191.09,0.77438,2.4367,0.055122,0,0,0,0
191.59,0.77687,2.4383,0.055345,0,0,0,0
192.09,0.77969,2.44,0.055439,0,0,0,0
192.59,0.7826,2.4417,0.055598,0,0,0,0
193.09,0.78558,2.4433,0.055821,0,0,0,0
193.59,0.78877,2.445,0.056012,0,0,0,0
194.09,0.79152,2.4467,0.056138,0,0,0,0
194.59,0.79456,2.4483,0.056456,0,0,0,0
195.09,0.79755,2.45,0.056519,0,0,0,0
195.59,0.8003,2.452,0.056868,0,0,0,0
