Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.59000000,0.00000000,-0.00100000,0.00000000,-0.08959253,0.00000000,-0.08959253,0.00000000,0.00080138,119.81426545,-0.00012116,-0.00068022,0.78073493,1.11660000,9.99610000,82946.46398571
1.09000000,0.00061000,-0.00200000,0.00001767,-0.17918505,0.00001767,-0.17918822,0.00003533,0.00117362,121.92903771,-0.00032043,-0.00085318,0.00000000,0.00000000,0.00000000,0.00000000
1.59000000,0.00434200,0.06500000,0.00011978,5.82351423,0.00011977,5.82421176,0.00020421,0.00149682,123.22904097,-0.00048732,-0.00100950,0.00000000,0.00000000,0.00000000,0.00000000
2.09000000,0.00675600,0.16200000,0.00020689,14.51398931,0.00020687,14.51699209,0.00017419,0.00189515,124.53929271,-0.00072903,-0.00116612,0.00000000,0.00000000,0.00000000,0.00000000
2.59000000,0.00933400,0.24600000,0.00027244,22.03976155,0.00027241,22.04576616,0.00013108,0.00227104,125.93790317,-0.00094600,-0.00132503,0.00000000,0.00000000,0.00000000,0.00000000
3.09000000,0.01205900,0.33300000,0.00039133,29.83431136,0.00039126,29.84598652,0.00023770,0.00271388,126.98551001,-0.00119732,-0.00151656,0.00000000,0.00000000,0.00000000,0.00000000
3.59000000,0.01402700,0.39700000,0.00044444,35.56823307,0.00044435,35.58404117,0.00010618,0.00315804,128.21462312,-0.00147382,-0.00168423,0.00000000,0.00000000,0.00000000,0.00000000
4.09000000,0.01625600,0.48600000,0.00049922,43.54196793,0.00049910,43.56370505,0.00010950,0.00345244,129.15473425,-0.00161822,-0.00183422,0.00000000,0.00000000,0.00000000,0.00000000
4.59000000,0.01947600,0.56100000,0.00061411,50.26140743,0.00061392,50.29227352,0.00022965,0.00387974,130.29327787,-0.00187471,-0.00200504,0.00000000,0.00000000,0.00000000,0.00000000
5.09000000,0.02247000,0.65500000,0.00074011,58.68310493,0.00073984,58.72653695,0.00025183,0.00433941,131.16612255,-0.00219560,-0.00214381,0.00000000,0.00000000,0.00000000,0.00000000
5.59000000,0.02534400,0.73100000,0.00079122,65.49213695,0.00079091,65.54395579,0.00010214,0.00471246,132.20900928,-0.00236190,-0.00235057,0.00000000,0.00000000,0.00000000,0.00000000
6.09000000,0.02825700,0.82700000,0.00086578,74.09301951,0.00086540,74.15716760,0.00014899,0.00507897,133.07103890,-0.00257616,-0.00250281,0.00000000,0.00000000,0.00000000,0.00000000
6.59000000,0.03150700,0.90300000,0.00102611,80.90205153,0.00102559,80.98506603,0.00032036,0.00549553,133.94041970,-0.00282477,-0.00267077,0.00000000,0.00000000,0.00000000,0.00000000
7.09000000,0.03480900,0.97900000,0.00116778,87.71108355,0.00116710,87.81351061,0.00028302,0.00592559,134.90281468,-0.00308527,-0.00284032,0.00000000,0.00000000,0.00000000,0.00000000
7.59000000,0.03861500,1.07100000,0.00120489,95.95359600,0.00120416,96.06920942,0.00007413,0.00634638,135.77426774,-0.00335790,-0.00298848,0.00000000,0.00000000,0.00000000,0.00000000
8.09000000,0.04281600,1.13900000,0.00133144,102.04588781,0.00133056,102.18175624,0.00025279,0.00670061,136.72788304,-0.00355061,-0.00314999,0.00000000,0.00000000,0.00000000,0.00000000
8.59000000,0.04775500,1.21500000,0.00161489,108.85491983,0.00161359,109.03070844,0.00056605,0.00705416,137.50093488,-0.00370431,-0.00334986,0.00000000,0.00000000,0.00000000,0.00000000
