Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.68,0,-0.0056784,0,0,1.119,19.97,0
1.18,-4.1e-05,-0.0025467,0,0,0,0,0
1.68,0.001838,0.0011452,0,0,0,0,0
2.18,0.00379,0.0095726,0,0,0,0,0
2.68,0.005754,0.020573,0,0,0,0,0
3.18,0.007758,0.031855,0,0,0,0,0
3.68,0.009642,0.042286,0,0,0,0,0
4.18,0.011452,0.052573,0,0,0,0,0
4.68,0.013263,0.063714,0,0,0,0,0
5.18,0.015045,0.074714,0,0,0,0,0
5.68,0.016683,0.085286,0,0,0,0,0
6.18,0.018497,0.095427,0,0,0,0,0
6.68,0.020576,0.10471,0,0,0,0,0
7.18,0.021816,0.113,0,0,0,0,0
7.68,0.022877,0.12071,0,0,0,0,0
8.18,0.024457,0.128,0,0,0,0,0
8.68,0.025857,0.13557,0,0,0,0,0
9.18,0.027368,0.144,0,0,0,0,0
9.68,0.029127,0.15271,0,0,0,0,0
10.18,0.030677,0.16129,0,0,0,0,0
10.68,0.032265,0.16943,0,0,0,0,0
11.18,0.034099,0.177,0,0,0,0,0
11.68,0.03579,0.18457,0,0,0,0,0
12.18,0.037403,0.19214,0,0,0,0,0
12.68,0.039341,0.19929,0,0,0,0,0
13.18,0.040987,0.20629,0,0,0,0,0
13.68,0.042678,0.21371,0,0,0,0,0
14.18,0.044464,0.22071,0,0,0,0,0
14.68,0.046415,0.22729,0,0,0,0,0
15.18,0.04835,0.23371,0,0,0,0,0
15.68,0.050375,0.23971,0,0,0,0,0
16.18,0.052549,0.24529,0,0,0,0,0
16.68,0.054631,0.25071,0,0,0,0,0
17.18,0.05679,0.25571,0,0,0,0,0
17.68,0.059167,0.26057,0,0,0,0,0
18.18,0.061335,0.26543,0,0,0,0,0
18.68,0.063705,0.27,0,0,0,0,0
19.18,0.06614,0.274,0,0,0,0,0
19.68,0.068314,0.278,0,0,0,0,0
20.18,0.070933,0.28171,0,0,0,0,0
20.68,0.073296,0.28529,0,0,0,0,0
21.18,0.075761,0.28871,0,0,0,0,0
21.68,0.078543,0.292,0,0,0,0,0
22.18,0.081068,0.29529,0,0,0,0,0
22.68,0.083811,0.299,0,0,0,0,0
23.18,0.086494,0.30243,0,0,0,0,0
23.68,0.089039,0.30529,0,0,0,0,0
24.18,0.091901,0.308,0,0,0,0,0
24.68,0.094501,0.31071,0,0,0,0,0
25.18,0.097102,0.31329,0,0,0,0,0
25.68,0.099992,0.316,0,0,0,0,0
26.18,0.10269,0.31871,0,0,0,0,0
26.68,0.10556,0.32129,0,0,0,0,0
27.18,0.10843,0.324,0,0,0,0,0
27.68,0.11108,0.32671,0,0,0,0,0
28.18,0.11395,0.329,0,0,0,0,0
28.68,0.11678,0.33129,0,0,0,0,0
29.18,0.11968,0.33371,0,0,0,0,0
29.68,0.12247,0.336,0,0,0,0,0
30.18,0.12522,0.338,0,0,0,0,0
30.68,0.12817,0.34,0,0,0,0,0
31.18,0.13098,0.34229,0,0,0,0,0
31.68,0.13386,0.34471,0,0,0,0,0
32.18,0.13682,0.347,0,0,0,0,0
32.68,0.13952,0.349,0,0,0,0,0
33.18,0.14259,0.351,0,0,0,0,0
33.68,0.14544,0.353,0,0,0,0,0
34.18,0.14851,0.355,0,0,0,0,0
34.68,0.15137,0.357,0,0,0,0,0
35.18,0.15435,0.359,0,0,0,0,0
35.68,0.1574,0.361,0,0,0,0,0
36.18,0.16024,0.363,0,0,0,0,0
36.68,0.16321,0.36471,0,0,0,0,0
37.18,0.16625,0.36657,0,0,0,0,0
37.68,0.16906,0.36843,0,0,0,0,0
38.18,0.17206,0.37029,0,0,0,0,0
38.68,0.17497,0.372,0,0,0,0,0
39.18,0.17797,0.37371,0,0,0,0,0
39.68,0.18076,0.37529,0,0,0,0,0
40.18,0.18373,0.37671,0,0,0,0,0
40.68,0.18688,0.37829,0,0,0,0,0
41.18,0.1897,0.38,0,0,0,0,0
41.68,0.19279,0.382,0,0,0,0,0
42.18,0.1958,0.38371,0,0,0,0,0
42.68,0.19877,0.38529,0,0,0,0,0
43.18,0.20191,0.387,0,0,0,0,0
43.68,0.20485,0.38871,0,0,0,0,0
44.18,0.20798,0.39,0,0,0,0,0
44.68,0.21084,0.39129,0,0,0,0,0
45.18,0.21386,0.393,0,0,0,0,0
45.68,0.21707,0.39471,0,0,0,0,0
46.18,0.21994,0.39629,0,0,0,0,0
46.68,0.22299,0.39771,0,0,0,0,0
47.18,0.22597,0.39929,0,0,0,0,0
47.68,0.2291,0.40071,0,0,0,0,0
48.18,0.23222,0.402,0,0,0,0,0
48.68,0.23517,0.40329,0,0,0,0,0
49.18,0.2383,0.40471,0,0,0,0,0
49.68,0.24135,0.406,0,0,0,0,0
50.18,0.24451,0.40729,0,0,0,0,0
50.68,0.2475,0.40871,0,0,0,0,0
51.18,0.25069,0.41,0,0,0,0,0
51.68,0.25373,0.41129,0,0,0,0,0
52.18,0.25662,0.41271,0,0,0,0,0
52.68,0.25971,0.41429,0,0,0,0,0
53.18,0.26274,0.41571,0,0,0,0,0
53.68,0.26593,0.417,0,0,0,0,0
54.18,0.26911,0.418,0,0,0,0,0
54.68,0.27209,0.419,0,0,0,0,0
