Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.58,0,-0.0056967,0,0,1.125,19.985,0
1.08,0.000241,-0.0019487,0,0,0,0,0
1.58,0.00243,0.0025768,0,0,0,0,0
2.08,0.004365,0.012141,0,0,0,0,0
2.58,0.006378,0.023,0,0,0,0,0
3.08,0.008448,0.033573,0,0,0,0,0
3.58,0.010273,0.045286,0,0,0,0,0
4.08,0.012182,0.056855,0,0,0,0,0
4.58,0.014129,0.067859,0,0,0,0,0
5.08,0.016057,0.078141,0,0,0,0,0
5.58,0.017933,0.088,0,0,0,0,0
6.08,0.019991,0.097573,0,0,0,0,0
6.58,0.021776,0.10743,0,0,0,0,0
7.08,0.023798,0.11671,0,0,0,0,0
7.58,0.025649,0.125,0,0,0,0,0
8.08,0.026787,0.13271,0,0,0,0,0
8.58,0.028349,0.14,0,0,0,0,0
9.08,0.030098,0.147,0,0,0,0,0
9.58,0.031964,0.15429,0,0,0,0,0
10.08,0.033703,0.16171,0,0,0,0,0
10.58,0.03563,0.16957,0,0,0,0,0
11.08,0.037585,0.17714,0,0,0,0,0
11.58,0.03946,0.18429,0,0,0,0,0
12.08,0.041478,0.19129,0,0,0,0,0
12.58,0.04364,0.199,0,0,0,0,0
13.08,0.045497,0.20614,0,0,0,0,0
13.58,0.047606,0.21286,0,0,0,0,0
14.08,0.049711,0.21914,0,0,0,0,0
14.58,0.051811,0.22529,0,0,0,0,0
15.08,0.054055,0.23129,0,0,0,0,0
15.58,0.05627,0.23743,0,0,0,0,0
16.08,0.058234,0.243,0,0,0,0,0
16.58,0.060533,0.24829,0,0,0,0,0
17.08,0.062883,0.254,0,0,0,0,0
17.58,0.065123,0.25943,0,0,0,0,0
18.08,0.067409,0.26429,0,0,0,0,0
18.58,0.070046,0.269,0,0,0,0,0
19.08,0.072576,0.27371,0,0,0,0,0
19.58,0.07515,0.278,0,0,0,0,0
20.08,0.077642,0.28171,0,0,0,0,0
20.58,0.08016,0.28529,0,0,0,0,0
21.08,0.08269,0.289,0,0,0,0,0
21.58,0.085446,0.293,0,0,0,0,0
22.08,0.088238,0.29671,0,0,0,0,0
22.58,0.090972,0.3,0,0,0,0,0
23.08,0.093524,0.303,0,0,0,0,0
23.58,0.096453,0.30571,0,0,0,0,0
24.08,0.099072,0.30829,0,0,0,0,0
24.58,0.10192,0.311,0,0,0,0,0
25.08,0.10484,0.31371,0,0,0,0,0
25.58,0.10768,0.31629,0,0,0,0,0
26.08,0.11052,0.319,0,0,0,0,0
26.58,0.11335,0.32143,0,0,0,0,0
27.08,0.1163,0.32357,0,0,0,0,0
27.58,0.11903,0.32571,0,0,0,0,0
28.08,0.12187,0.328,0,0,0,0,0
28.58,0.12484,0.33,0,0,0,0,0
29.08,0.12756,0.332,0,0,0,0,0
29.58,0.13042,0.334,0,0,0,0,0
30.08,0.13344,0.33629,0,0,0,0,0
30.58,0.13637,0.33843,0,0,0,0,0
31.08,0.13942,0.34057,0,0,0,0,0
31.58,0.14233,0.34271,0,0,0,0,0
32.08,0.14529,0.345,0,0,0,0,0
32.58,0.14834,0.347,0,0,0,0,0
33.08,0.15119,0.349,0,0,0,0,0
33.58,0.15437,0.35071,0,0,0,0,0
34.08,0.15724,0.35229,0,0,0,0,0
34.58,0.16029,0.35371,0,0,0,0,0
35.08,0.16334,0.35529,0,0,0,0,0
35.58,0.16614,0.357,0,0,0,0,0
36.08,0.16927,0.359,0,0,0,0,0
36.58,0.17214,0.36071,0,0,0,0,0
37.08,0.1752,0.36229,0,0,0,0,0
37.58,0.17824,0.364,0,0,0,0,0
38.08,0.18107,0.36571,0,0,0,0,0
38.58,0.18415,0.36729,0,0,0,0,0
39.08,0.18713,0.36871,0,0,0,0,0
39.58,0.19022,0.37029,0,0,0,0,0
40.08,0.19328,0.372,0,0,0,0,0
40.58,0.19624,0.37371,0,0,0,0,0
41.08,0.19936,0.37529,0,0,0,0,0
41.58,0.20235,0.37671,0,0,0,0,0
42.08,0.20552,0.37829,0,0,0,0,0
42.58,0.20859,0.37971,0,0,0,0,0
43.08,0.2115,0.381,0,0,0,0,0
43.58,0.21475,0.38229,0,0,0,0,0
44.08,0.21774,0.38371,0,0,0,0,0
44.58,0.22081,0.38529,0,0,0,0,0
45.08,0.22382,0.38671,0,0,0,0,0
45.58,0.2267,0.388,0,0,0,0,0
46.08,0.23001,0.389,0,0,0,0,0
46.58,0.23303,0.39029,0,0,0,0,0
47.08,0.23614,0.39171,0,0,0,0,0
47.58,0.23912,0.393,0,0,0,0,0
48.08,0.2422,0.39429,0,0,0,0,0
48.58,0.24536,0.39571,0,0,0,0,0
49.08,0.24835,0.397,0,0,0,0,0
49.58,0.25159,0.39829,0,0,0,0,0
50.08,0.25467,0.39971,0,0,0,0,0
50.58,0.25767,0.401,0,0,0,0,0
51.08,0.26073,0.402,0,0,0,0,0
51.58,0.2638,0.403,0,0,0,0,0
52.08,0.26708,0.404,0,0,0,0,0
52.58,0.27019,0.405,0,0,0,0,0
53.08,0.27343,0.40629,0,0,0,0,0
53.58,0.27635,0.40771,0,0,0,0,0
54.08,0.27959,0.409,0,0,0,0,0
54.58,0.28267,0.41,0,0,0,0,0
55.08,0.28579,0.411,0,0,0,0,0
55.58,0.28916,0.41229,0,0,0,0,0
56.08,0.29204,0.41371,0,0,0,0,0
56.58,0.29536,0.41471,0,0,0,0,0
57.08,0.2986,0.41529,0,0,0,0,0
57.58,0.30169,0.41629,0,0,0,0,0
58.08,0.30493,0.41771,0,0,0,0,0
58.58,0.30791,0.419,0,0,0,0,0
59.08,0.3112,0.42,0,0,0,0,0
59.58,0.31427,0.421,0,0,0,0,0
60.08,0.31745,0.422,0,0,0,0,0
60.58,0.32066,0.423,0,0,0,0,0
61.08,0.32374,0.424,0,0,0,0,0
61.58,0.32686,0.425,0,0,0,0,0
62.08,0.32993,0.426,0,0,0,0,0
62.58,0.33326,0.427,0,0,0,0,0
63.08,0.33628,0.428,0,0,0,0,0
63.58,0.33946,0.429,0,0,0,0,0
64.08,0.34275,0.42971,0,0,0,0,0
64.58,0.34577,0.43029,0,0,0,0,0
65.08,0.34906,0.431,0,0,0,0,0
65.58,0.35212,0.432,0,0,0,0,0
66.08,0.35541,0.433,0,0,0,0,0
66.58,0.35853,0.434,0,0,0,0,0
67.08,0.36171,0.435,0,0,0,0,0
67.58,0.36501,0.436,0,0,0,0,0
68.08,0.36804,0.437,0,0,0,0,0
68.58,0.37133,0.43771,0,0,0,0,0
69.08,0.37438,0.43829,0,0,0,0,0
69.58,0.37762,0.439,0,0,0,0,0
70.08,0.38076,0.44,0,0,0,0,0
70.58,0.38393,0.441,0,0,0,0,0
71.08,0.38718,0.442,0,0,0,0,0
71.58,0.39022,0.44271,0,0,0,0,0
72.08,0.3934,0.44329,0,0,0,0,0
72.58,0.39652,0.444,0,0,0,0,0
73.08,0.39975,0.445,0,0,0,0,0
73.58,0.40274,0.446,0,0,0,0,0
74.08,0.40594,0.44671,0,0,0,0,0
74.58,0.40935,0.44729,0,0,0,0,0
75.08,0.41242,0.448,0,0,0,0,0
75.58,0.41569,0.449,0,0,0,0,0
76.08,0.41883,0.44971,0,0,0,0,0
76.58,0.42206,0.45029,0,0,0,0,0
77.08,0.42537,0.451,0,0,0,0,0
77.58,0.42843,0.45171,0,0,0,0,0
78.08,0.43175,0.45229,0,0,0,0,0
78.58,0.4348,0.453,0,0,0,0,0
79.08,0.43807,0.454,0,0,0,0,0
79.58,0.44123,0.455,0,0,0,0,0
80.08,0.44441,0.45571,0,0,0,0,0
80.58,0.44769,0.45629,0,0,0,0,0
81.08,0.45085,0.457,0,0,0,0,0
81.58,0.45403,0.45771,0,0,0,0,0
