Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.63,0,-0.0051129,0,0,1.1263,19.927,0
1.13,-1.9e-05,-0.0025764,0,0,0,0,0
1.63,0.002115,0.00043155,0,0,0,0,0
2.13,0.004024,0.0072863,0,0,0,0,0
2.63,0.006109,0.016573,0,0,0,0,0
3.13,0.008433,0.027,0,0,0,0,0
3.63,0.01036,0.037141,0,0,0,0,0
4.13,0.012395,0.046573,0,0,0,0,0
4.63,0.014371,0.055714,0,0,0,0,0
5.13,0.016249,0.064714,0,0,0,0,0
5.63,0.018102,0.073286,0,0,0,0,0
6.13,0.019831,0.081141,0,0,0,0,0
6.63,0.021165,0.088,0,0,0,0,0
7.13,0.022729,0.094573,0,0,0,0,0
7.63,0.024514,0.10229,0,0,0,0,0
8.13,0.026195,0.11043,0,0,0,0,0
8.63,0.027876,0.11857,0,0,0,0,0
9.13,0.029773,0.12643,0,0,0,0,0
9.63,0.031511,0.134,0,0,0,0,0
10.13,0.03322,0.14129,0,0,0,0,0
10.63,0.035265,0.14871,0,0,0,0,0
11.13,0.037091,0.156,0,0,0,0,0
11.63,0.038864,0.16329,0,0,0,0,0
12.13,0.040821,0.17071,0,0,0,0,0
12.63,0.042539,0.17771,0,0,0,0,0
13.13,0.044376,0.18457,0,0,0,0,0
13.63,0.046358,0.19143,0,0,0,0,0
14.13,0.048329,0.19771,0,0,0,0,0
14.63,0.05022,0.20357,0,0,0,0,0
15.13,0.052302,0.20971,0,0,0,0,0
15.63,0.054445,0.21543,0,0,0,0,0
16.13,0.056291,0.22086,0,0,0,0,0
16.63,0.058902,0.22643,0,0,0,0,0
17.13,0.060892,0.232,0,0,0,0,0
17.63,0.063111,0.237,0,0,0,0,0
18.13,0.065461,0.24171,0,0,0,0,0
18.63,0.067808,0.246,0,0,0,0,0
19.13,0.070183,0.25029,0,0,0,0,0
19.63,0.072884,0.25443,0,0,0,0,0
20.13,0.074928,0.25829,0,0,0,0,0
20.63,0.077345,0.262,0,0,0,0,0
21.13,0.080024,0.26571,0,0,0,0,0
21.63,0.082459,0.26929,0,0,0,0,0
22.13,0.085035,0.27271,0,0,0,0,0
22.63,0.0876,0.276,0,0,0,0,0
23.13,0.090293,0.279,0,0,0,0,0
23.63,0.092918,0.282,0,0,0,0,0
24.13,0.095867,0.285,0,0,0,0,0
24.63,0.098272,0.28771,0,0,0,0,0
25.13,0.10122,0.29029,0,0,0,0,0
