Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.68,0,-0.0061677,0,0,1.1228,19.975,0
1.18,-3.9e-05,-0.0037446,0,0,0,0,0
1.68,0.002111,-0.00070952,0,0,0,0,0
2.18,0.003961,0.0067137,0,0,0,0,0
2.68,0.00619,0.016573,0,0,0,0,0
3.18,0.008013,0.026427,0,0,0,0,0
3.68,0.010039,0.035714,0,0,0,0,0
4.18,0.012007,0.044859,0,0,0,0,0
4.68,0.014108,0.054141,0,0,0,0,0
5.18,0.01598,0.063,0,0,0,0,0
5.68,0.017773,0.071286,0,0,0,0,0
6.18,0.019244,0.079427,0,0,0,0,0
6.68,0.020755,0.087,0,0,0,0,0
7.18,0.02224,0.094286,0,0,0,0,0
7.68,0.023947,0.10171,0,0,0,0,0
8.18,0.025803,0.10929,0,0,0,0,0
8.68,0.027338,0.11729,0,0,0,0,0
9.18,0.029366,0.12543,0,0,0,0,0
9.68,0.031018,0.133,0,0,0,0,0
10.18,0.032771,0.14029,0,0,0,0,0
10.68,0.03452,0.148,0,0,0,0,0
11.18,0.036389,0.15571,0,0,0,0,0
11.68,0.038229,0.16329,0,0,0,0,0
12.18,0.039919,0.17043,0,0,0,0,0
12.68,0.042,0.177,0,0,0,0,0
13.18,0.043986,0.18357,0,0,0,0,0
13.68,0.045712,0.19043,0,0,0,0,0
14.18,0.047756,0.19671,0,0,0,0,0
14.68,0.049537,0.20257,0,0,0,0,0
15.18,0.051654,0.209,0,0,0,0,0
15.68,0.053794,0.21514,0,0,0,0,0
16.18,0.055833,0.22057,0,0,0,0,0
16.68,0.058131,0.22571,0,0,0,0,0
17.18,0.060416,0.23071,0,0,0,0,0
17.68,0.062585,0.23529,0,0,0,0,0
18.18,0.064946,0.23943,0,0,0,0,0
18.68,0.067396,0.24329,0,0,0,0,0
19.18,0.069677,0.247,0,0,0,0,0
19.68,0.072416,0.251,0,0,0,0,0
20.18,0.07492,0.25471,0,0,0,0,0
20.68,0.077289,0.25829,0,0,0,0,0
21.18,0.079913,0.26171,0,0,0,0,0
21.68,0.082533,0.265,0,0,0,0,0
22.18,0.085191,0.268,0,0,0,0,0
22.68,0.087878,0.271,0,0,0,0,0
23.18,0.09032,0.27371,0,0,0,0,0
23.68,0.093092,0.27629,0,0,0,0,0
24.18,0.095852,0.279,0,0,0,0,0
24.68,0.098477,0.282,0,0,0,0,0
25.18,0.10141,0.28471,0,0,0,0,0
25.68,0.10418,0.287,0,0,0,0,0
26.18,0.1068,0.289,0,0,0,0,0
26.68,0.10962,0.29129,0,0,0,0,0
27.18,0.11247,0.29371,0,0,0,0,0
27.68,0.11538,0.296,0,0,0,0,0
28.18,0.11812,0.298,0,0,0,0,0
28.68,0.12088,0.3,0,0,0,0,0
