Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.62,0,-0.0056055,0,0,1.1269,19.958,0
1.12,-2.2e-05,-0.0030144,0,0,0,0,0
1.62,0.001951,0.00029048,0,0,0,0,0
2.12,0.003995,0.0084274,0,0,0,0,0
2.62,0.006193,0.018286,0,0,0,0,0
3.12,0.008319,0.028286,0,0,0,0,0
3.62,0.010058,0.039,0,0,0,0,0
4.12,0.012006,0.049427,0,0,0,0,0
4.62,0.014145,0.058714,0,0,0,0,0
5.12,0.015972,0.067573,0,0,0,0,0
5.62,0.017393,0.075568,0,0,0,0,0
6.12,0.018836,0.082573,0,0,0,0,0
6.62,0.020353,0.089286,0,0,0,0,0
7.12,0.021879,0.096427,0,0,0,0,0
7.62,0.023691,0.10415,0,0,0,0,0
8.12,0.025358,0.11243,0,0,0,0,0
8.62,0.026929,0.12071,0,0,0,0,0
9.12,0.028743,0.128,0,0,0,0,0
9.62,0.030547,0.13557,0,0,0,0,0
10.12,0.032277,0.14343,0,0,0,0,0
10.62,0.034108,0.15129,0,0,0,0,0
11.12,0.036037,0.15871,0,0,0,0,0
11.62,0.037817,0.16571,0,0,0,0,0
12.12,0.039542,0.17257,0,0,0,0,0
12.62,0.041684,0.17943,0,0,0,0,0
13.12,0.043537,0.18657,0,0,0,0,0
13.62,0.045232,0.19343,0,0,0,0,0
14.12,0.047209,0.20029,0,0,0,0,0
14.62,0.0491,0.20643,0,0,0,0,0
15.12,0.051075,0.21257,0,0,0,0,0
15.62,0.053233,0.21843,0,0,0,0,0
16.12,0.055246,0.224,0,0,0,0,0
16.62,0.057323,0.22929,0,0,0,0,0
17.12,0.059542,0.235,0,0,0,0,0
17.62,0.061583,0.24071,0,0,0,0,0
18.12,0.063904,0.24571,0,0,0,0,0
18.62,0.066288,0.25057,0,0,0,0,0
19.12,0.068462,0.25543,0,0,0,0,0
19.62,0.070969,0.26,0,0,0,0,0
20.12,0.073183,0.264,0,0,0,0,0
20.62,0.075788,0.268,0,0,0,0,0
21.12,0.078002,0.272,0,0,0,0,0
21.62,0.080544,0.276,0,0,0,0,0
22.12,0.082944,0.27971,0,0,0,0,0
22.62,0.085561,0.283,0,0,0,0,0
23.12,0.088,0.286,0,0,0,0,0
23.62,0.090709,0.289,0,0,0,0,0
24.12,0.093424,0.292,0,0,0,0,0
24.62,0.096149,0.295,0,0,0,0,0
25.12,0.098432,0.29771,0,0,0,0,0
25.62,0.10158,0.30029,0,0,0,0,0
26.12,0.10421,0.303,0,0,0,0,0
26.62,0.10716,0.30571,0,0,0,0,0
27.12,0.10985,0.30829,0,0,0,0,0
27.62,0.1127,0.31071,0,0,0,0,0
28.12,0.11538,0.313,0,0,0,0,0
28.62,0.11818,0.31529,0,0,0,0,0
29.12,0.12128,0.31771,0,0,0,0,0
29.62,0.12367,0.32,0,0,0,0,0
