Time[s],Displacement longi[mm],Force[kN],Effective Strain,N/A,Thickness[mm],OuterWidth[mm],N/A
0.63,0,-0.0063318,0,0,1.1234,19.973,0
1.13,0.000161,-0.0032113,0,0,0,0,0
1.63,0.002071,0.00043155,0,0,0,0,0
2.13,0.003611,0.0077137,0,0,0,0,0
2.63,0.005474,0.016,0,0,0,0,0
3.13,0.007229,0.024573,0,0,0,0,0
3.63,0.008852,0.033427,0,0,0,0,0
4.13,0.010576,0.042573,0,0,0,0,0
4.63,0.012343,0.051141,0,0,0,0,0
5.13,0.014059,0.059859,0,0,0,0,0
5.63,0.015587,0.068427,0,0,0,0,0
6.13,0.01731,0.077286,0,0,0,0,0
6.63,0.01889,0.085714,0,0,0,0,0
7.13,0.020512,0.093714,0,0,0,0,0
7.63,0.022328,0.10157,0,0,0,0,0
8.13,0.023942,0.10971,0,0,0,0,0
8.63,0.025566,0.11829,0,0,0,0,0
9.13,0.027353,0.12643,0,0,0,0,0
9.63,0.029048,0.13429,0,0,0,0,0
10.13,0.030636,0.14171,0,0,0,0,0
10.63,0.032415,0.14957,0,0,0,0,0
11.13,0.034049,0.15714,0,0,0,0,0
11.63,0.035702,0.16429,0,0,0,0,0
12.13,0.037318,0.17129,0,0,0,0,0
12.63,0.039203,0.17843,0,0,0,0,0
13.13,0.040928,0.18557,0,0,0,0,0
13.63,0.042742,0.19243,0,0,0,0,0
14.13,0.044885,0.19929,0,0,0,0,0
14.63,0.04669,0.20571,0,0,0,0,0
15.13,0.048628,0.212,0,0,0,0,0
15.63,0.050734,0.21771,0,0,0,0,0
16.13,0.052669,0.223,0,0,0,0,0
16.63,0.054762,0.22829,0,0,0,0,0
17.13,0.057033,0.23371,0,0,0,0,0
17.63,0.059015,0.239,0,0,0,0,0
18.13,0.061197,0.24371,0,0,0,0,0
18.63,0.06363,0.24829,0,0,0,0,0
19.13,0.065958,0.25271,0,0,0,0,0
19.63,0.068399,0.257,0,0,0,0,0
20.13,0.070929,0.26071,0,0,0,0,0
20.63,0.073282,0.264,0,0,0,0,0
21.13,0.075893,0.26729,0,0,0,0,0
21.63,0.078411,0.27071,0,0,0,0,0
22.13,0.080974,0.274,0,0,0,0,0
22.63,0.083693,0.27671,0,0,0,0,0
23.13,0.086368,0.27957,0,0,0,0,0
23.63,0.088964,0.28243,0,0,0,0,0
24.13,0.091685,0.28529,0,0,0,0,0
24.63,0.094427,0.28771,0,0,0,0,0
25.13,0.097323,0.29029,0,0,0,0,0
25.63,0.099839,0.29271,0,0,0,0,0
26.13,0.10274,0.29529,0,0,0,0,0
26.63,0.10562,0.29771,0,0,0,0,0
27.13,0.10844,0.3,0,0,0,0,0
27.63,0.11121,0.30229,0,0,0,0,0
28.13,0.11403,0.30471,0,0,0,0,0
28.63,0.11673,0.307,0,0,0,0,0
29.13,0.11968,0.309,0,0,0,0,0
29.63,0.12242,0.311,0,0,0,0,0
30.13,0.12544,0.313,0,0,0,0,0
30.63,0.12828,0.315,0,0,0,0,0
31.13,0.13112,0.31729,0,0,0,0,0
31.63,0.13414,0.31943,0,0,0,0,0
32.13,0.13694,0.32157,0,0,0,0,0
32.63,0.14002,0.32343,0,0,0,0,0
33.13,0.14283,0.32557,0,0,0,0,0
33.63,0.14582,0.32743,0,0,0,0,0
34.13,0.14879,0.32929,0,0,0,0,0
34.63,0.15169,0.331,0,0,0,0,0
35.13,0.15472,0.333,0,0,0,0,0
35.63,0.15761,0.335,0,0,0,0,0
36.13,0.16049,0.33671,0,0,0,0,0
36.63,0.16356,0.33829,0,0,0,0,0
37.13,0.16639,0.34,0,0,0,0,0
37.63,0.16943,0.34171,0,0,0,0,0
38.13,0.17238,0.34329,0,0,0,0,0
38.63,0.17537,0.34471,0,0,0,0,0
39.13,0.17832,0.34629,0,0,0,0,0
39.63,0.1811,0.348,0,0,0,0,0
40.13,0.18407,0.34971,0,0,0,0,0
40.63,0.18718,0.35129,0,0,0,0,0
41.13,0.19019,0.353,0,0,0,0,0
41.63,0.19329,0.35471,0,0,0,0,0
42.13,0.19616,0.356,0,0,0,0,0
42.63,0.19925,0.35729,0,0,0,0,0
43.13,0.20228,0.35871,0,0,0,0,0
43.63,0.20536,0.36029,0,0,0,0,0
44.13,0.2084,0.36171,0,0,0,0,0
44.63,0.21135,0.36329,0,0,0,0,0
45.13,0.21451,0.36471,0,0,0,0,0
45.63,0.2174,0.36629,0,0,0,0,0
46.13,0.22048,0.36771,0,0,0,0,0
46.63,0.22352,0.369,0,0,0,0,0
47.13,0.2266,0.37,0,0,0,0,0
47.63,0.22981,0.37129,0,0,0,0,0
48.13,0.23281,0.37271,0,0,0,0,0
48.63,0.23589,0.37429,0,0,0,0,0
49.13,0.23877,0.37571,0,0,0,0,0
49.63,0.24192,0.377,0,0,0,0,0
50.13,0.24505,0.37829,0,0,0,0,0
50.63,0.24802,0.37943,0,0,0,0,0
51.13,0.25125,0.38057,0,0,0,0,0
51.63,0.25433,0.38171,0,0,0,0,0
52.13,0.2574,0.383,0,0,0,0,0
52.63,0.26046,0.384,0,0,0,0,0
53.13,0.26348,0.38529,0,0,0,0,0
53.63,0.26664,0.38671,0,0,0,0,0
54.13,0.26972,0.388,0,0,0,0,0
54.63,0.27284,0.389,0,0,0,0,0
55.13,0.27594,0.39,0,0,0,0,0
55.63,0.27892,0.39129,0,0,0,0,0
56.13,0.2822,0.39271,0,0,0,0,0
56.63,0.28526,0.394,0,0,0,0,0
57.13,0.28849,0.395,0,0,0,0,0
57.63,0.29167,0.396,0,0,0,0,0
58.13,0.29474,0.397,0,0,0,0,0
58.63,0.29806,0.398,0,0,0,0,0
59.13,0.30106,0.399,0,0,0,0,0
59.63,0.30444,0.4,0,0,0,0,0
60.13,0.30744,0.401,0,0,0,0,0
60.63,0.31067,0.402,0,0,0,0,0
61.13,0.31379,0.403,0,0,0,0,0
61.63,0.31686,0.404,0,0,0,0,0
62.13,0.32012,0.405,0,0,0,0,0
62.63,0.32323,0.406,0,0,0,0,0
63.13,0.32634,0.407,0,0,0,0,0
63.63,0.32937,0.408,0,0,0,0,0
64.13,0.33261,0.409,0,0,0,0,0
64.63,0.33574,0.41,0,0,0,0,0
65.13,0.33884,0.411,0,0,0,0,0
65.63,0.34216,0.412,0,0,0,0,0
66.13,0.34507,0.413,0,0,0,0,0
66.63,0.34825,0.414,0,0,0,0,0
67.13,0.35153,0.415,0,0,0,0,0
67.63,0.3546,0.416,0,0,0,0,0
68.13,0.35794,0.417,0,0,0,0,0
68.63,0.36083,0.41771,0,0,0,0,0
69.13,0.36441,0.41829,0,0,0,0,0
69.63,0.36741,0.419,0,0,0,0,0
70.13,0.37074,0.42,0,0,0,0,0
70.63,0.37386,0.421,0,0,0,0,0
71.13,0.37692,0.422,0,0,0,0,0
71.63,0.38016,0.42271,0,0,0,0,0
72.13,0.38323,0.42329,0,0,0,0,0
72.63,0.38643,0.424,0,0,0,0,0
73.13,0.38964,0.425,0,0,0,0,0
73.63,0.3928,0.426,0,0,0,0,0
74.13,0.39594,0.42671,0,0,0,0,0
74.63,0.39905,0.42729,0,0,0,0,0
75.13,0.40233,0.428,0,0,0,0,0
75.63,0.4055,0.429,0,0,0,0,0
76.13,0.40874,0.43,0,0,0,0,0
76.63,0.41185,0.43071,0,0,0,0,0
77.13,0.415,0.43129,0,0,0,0,0
77.63,0.4183,0.432,0,0,0,0,0
78.13,0.42143,0.433,0,0,0,0,0
78.63,0.42476,0.43371,0,0,0,0,0
79.13,0.42793,0.43429,0,0,0,0,0
79.63,0.43114,0.435,0,0,0,0,0
80.13,0.43428,0.436,0,0,0,0,0
80.63,0.43745,0.43671,0,0,0,0,0
81.13,0.44068,0.43729,0,0,0,0,0
81.63,0.44392,0.438,0,0,0,0,0
82.13,0.44714,0.439,0,0,0,0,0
82.63,0.45015,0.43971,0,0,0,0,0
83.13,0.45348,0.44029,0,0,0,0,0
83.63,0.4568,0.44071,0,0,0,0,0
84.13,0.45988,0.44129,0,0,0,0,0
84.63,0.46314,0.442,0,0,0,0,0
85.13,0.46626,0.443,0,0,0,0,0
85.63,0.4696,0.44371,0,0,0,0,0
86.13,0.47281,0.44429,0,0,0,0,0
86.63,0.47592,0.445,0,0,0,0,0
87.13,0.4793,0.44571,0,0,0,0,0
87.63,0.48237,0.44629,0,0,0,0,0
88.13,0.48571,0.447,0,0,0,0,0
88.63,0.48888,0.44771,0,0,0,0,0
89.13,0.4921,0.44829,0,0,0,0,0
89.63,0.49524,0.44871,0,0,0,0,0
90.13,0.49839,0.44929,0,0,0,0,0
90.63,0.5018,0.45,0,0,0,0,0
91.13,0.50474,0.45071,0,0,0,0,0
91.63,0.50819,0.45129,0,0,0,0,0
92.13,0.51131,0.452,0,0,0,0,0
92.63,0.51461,0.45271,0,0,0,0,0
93.13,0.518,0.45329,0,0,0,0,0
93.63,0.5211,0.45371,0,0,0,0,0
94.13,0.52448,0.45429,0,0,0,0,0
94.63,0.52761,0.455,0,0,0,0,0
95.13,0.53095,0.45571,0,0,0,0,0
95.63,0.53421,0.45629,0,0,0,0,0
96.13,0.53738,0.457,0,0,0,0,0
96.63,0.5407,0.45771,0,0,0,0,0
97.13,0.5439,0.45829,0,0,0,0,0
97.63,0.54723,0.45871,0,0,0,0,0
98.13,0.55028,0.45929,0,0,0,0,0
98.63,0.55358,0.45971,0,0,0,0,0
99.13,0.55687,0.46029,0,0,0,0,0
99.63,0.56009,0.461,0,0,0,0,0
100.13,0.56334,0.46171,0,0,0,0,0
100.63,0.56652,0.46229,0,0,0,0,0
101.13,0.56991,0.46271,0,0,0,0,0
101.63,0.57313,0.46329,0,0,0,0,0
102.13,0.57647,0.46371,0,0,0,0,0
102.63,0.57969,0.46429,0,0,0,0,0
103.13,0.58296,0.465,0,0,0,0,0
103.63,0.58626,0.46571,0,0,0,0,0
104.13,0.58947,0.46629,0,0,0,0,0
104.63,0.59279,0.46671,0,0,0,0,0
105.13,0.59599,0.46729,0,0,0,0,0
105.63,0.59935,0.46771,0,0,0,0,0
106.13,0.60252,0.46829,0,0,0,0,0
106.63,0.60583,0.46871,0,0,0,0,0
107.13,0.60906,0.46929,0,0,0,0,0
107.63,0.61236,0.46971,0,0,0,0,0
108.13,0.61569,0.47029,0,0,0,0,0
108.63,0.6188,0.47071,0,0,0,0,0
109.13,0.62214,0.47129,0,0,0,0,0
109.63,0.62543,0.472,0,0,0,0,0
110.13,0.62857,0.47271,0,0,0,0,0
110.63,0.63197,0.47329,0,0,0,0,0
111.13,0.63511,0.47371,0,0,0,0,0
111.63,0.63861,0.474,0,0,0,0,0
112.13,0.64179,0.47429,0,0,0,0,0
112.63,0.64529,0.475,0,0,0,0,0
113.13,0.64833,0.47571,0,0,0,0,0
113.63,0.65155,0.476,0,0,0,0,0
114.13,0.65485,0.47629,0,0,0,0,0
114.63,0.65802,0.477,0,0,0,0,0
115.13,0.66132,0.47771,0,0,0,0,0
115.63,0.66449,0.47829,0,0,0,0,0
116.13,0.6679,0.47871,0,0,0,0,0
116.63,0.671,0.479,0,0,0,0,0
117.13,0.67423,0.47929,0,0,0,0,0
117.63,0.67768,0.48,0,0,0,0,0
118.13,0.68076,0.48071,0,0,0,0,0
118.63,0.68421,0.48129,0,0,0,0,0
119.13,0.68732,0.48171,0,0,0,0,0
119.63,0.69073,0.482,0,0,0,0,0
120.13,0.69388,0.48229,0,0,0,0,0
120.63,0.69713,0.48271,0,0,0,0,0
121.13,0.70049,0.48329,0,0,0,0,0
121.63,0.70371,0.48371,0,0,0,0,0
122.13,0.70713,0.48429,0,0,0,0,0
122.63,0.71029,0.48471,0,0,0,0,0
123.13,0.71374,0.48529,0,0,0,0,0
123.63,0.71651,0.48571,0,0,0,0,0
124.13,0.71995,0.486,0,0,0,0,0
124.63,0.72321,0.48629,0,0,0,0,0
125.13,0.72635,0.487,0,0,0,0,0
125.63,0.72973,0.48771,0,0,0,0,0
126.13,0.73298,0.48829,0,0,0,0,0
126.63,0.73623,0.48871,0,0,0,0,0
127.13,0.73959,0.489,0,0,0,0,0
127.63,0.74271,0.48929,0,0,0,0,0
128.13,0.74612,0.48971,0,0,0,0,0
128.63,0.74923,0.49029,0,0,0,0,0
129.13,0.75268,0.49071,0,0,0,0,0
129.63,0.75553,0.49129,0,0,0,0,0
130.13,0.75907,0.49171,0,0,0,0,0
130.63,0.76245,0.492,0,0,0,0,0
