Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];OuterWidth[mm];InnerWidth[mm]
0;0;-0.0085;0;0;1.017;20;10
0.4759;-0.007046283;0.0086;-0.0006388;0;0;0;0
0.9761;-0.003502027;-0.0019;-0.000547518;0;0;0;0
1.4761;-0.002648511;0.0098;-0.000974159;0;0;0;0
1.976;0.004069052;-0.0016;-0.00020002;0;0;0;0
2.476;-0.000977399;-0.0098;-0.002063531;0;0;0;0
2.9761;-0.001264767;-0.0148;0.000692742;0;0;0;0
3.476;0.002296836;0.0029;0.000668198;0;0;0;0
3.976;0.000973369;0.0022;0.001957732;0;0;0;0
4.476;-0.000260733;-0.0016;-0.002487301;0;0;0;0
4.976;-0.001479416;0.0104;0.002171325;0;0;0;0
5.476;0.001807085;0.0007;0.001845664;0;0;0;0
5.9762;0.000630281;-0.0003;0.000513903;0;0;0;0
6.4758;0.000141406;0.0266;0.002720857;0;0;0;0
6.9759;-0.000123708;-0.0054;-0.000280741;0;0;0;0
7.4758;-0.003637825;0.0022;-0.00233606;0;0;0;0
7.9759;-0.002326975;0.0057;0.000468311;0;0;0;0
8.4759;-0.001734893;-0.0028;-0.001515182;0;0;0;0
8.9759;-0.00135746;-0.0035;-0.000145625;0;0;0;0
9.4759;-0.001517089;0.0051;0.000708521;0;0;0;0
9.9759;0.001935174;-0.0006;-0.00029478;0;0;0;0
10.4759;-0.002113727;-0.005;-0.00227979;0;0;0;0
10.9759;-0.001862631;-0.0003;-0.002837355;0;0;0;0
11.4757;-9.28687E-06;0.0044;0.00062086;0;0;0;0
11.9757;-0.001112497;0.0111;0.001467344;0;0;0;0
12.4757;0.001973022;0.0086;-0.001046161;0;0;0;0
12.9757;-0.000374278;0.0433;0.001602225;0;0;0;0
13.4759;0.002050471;0.1109;-0.000680934;0;0;0;0
13.9757;0.002505528;0.1394;-0.000254418;0;0;0;0
14.4757;0.004641859;0.1884;-0.000215813;0;0;0;0
14.9757;0.003106546;0.2538;0.000192964;0;0;0;0
15.4757;0.009326648;0.2876;-2.10529E-05;0;0;0;0
15.9757;0.011671846;0.3473;-0.000672156;0;0;0;0
16.4756;0.013301429;0.3862;-0.001302602;0;0;0;0
16.9756;0.015829736;0.4229;-0.00124639;0;0;0;0
17.4758;0.016671862;0.4763;-0.000536986;0;0;0;0
17.9757;0.016649959;0.5028;0.001546172;0;0;0;0
18.4757;0.018477721;0.5733;0.00068047;0;0;0;0
18.9756;0.021294271;0.59;0.001702059;0;0;0;0
19.4757;0.022120803;0.6599;-0.000178963;0;0;0;0
19.9757;0.0232524;0.6848;-0.000238625;0;0;0;0
20.4757;0.02801639;0.7221;0.000168407;0;0;0;0
20.9755;0.025382072;0.7967;-0.000816122;0;0;0;0
21.4755;0.031206167;0.8128;-0.000180718;0;0;0;0
21.9757;0.026793677;0.8757;-0.000166681;0;0;0;0
22.4755;0.032918982;0.8937;-0.000542252;0;0;0;0
22.9756;0.034911103;0.9408;0.002433878;0;0;0;0
23.4757;0.036943877;0.9885;6.84187E-05;0;0;0;0
23.9755;0.03482209;1.0322;0.000603327;0;0;0;0
24.4756;0.036661241;1.0928;0.000903101;0;0;0;0
24.9755;0.040850321;1.1241;0.000890831;0;0;0;0
25.4755;0.040907269;1.1838;0.000931145;0;0;0;0
25.9756;0.045603622;1.2132;0.000335032;0;0;0;0
26.4756;0.04665409;1.2414;4.21044E-05;0;0;0;0
26.9756;0.049136488;1.3289;-0.000321104;0;0;0;0
27.4756;0.051101976;1.3336;-0.000716046;0;0;0;0
27.9756;0.048932878;1.3946;0.001202785;0;0;0;0
28.4755;0.051898544;1.4307;0.002967522;0;0;0;0
28.9755;0.05375697;1.4777;0.00251088;0;0;0;0
29.4754;0.055815326;1.5138;0.001286891;0;0;0;0
29.9755;0.06030071;1.5409;0.000424471;0;0;0;0
30.4755;0.060899275;1.5893;0.000988984;0;0;0;0
30.9754;0.061038053;1.6253;0.001150215;0;0;0;0
31.4755;0.059753836;1.6702;0.001194024;0;0;0;0
31.9755;0.064581958;1.7103;-0.000286006;0;0;0;0
32.4755;0.063617525;1.7347;0.001211546;0;0;0;0
32.9755;0.067523619;1.778;0.005080057;0;0;0;0
33.4754;0.074203508;1.8178;0.000720793;0;0;0;0
33.9754;0.070840784;1.844;0.000748842;0;0;0;0
34.4754;0.074803825;1.8646;0.002976268;0;0;0;0
34.9753;0.073540811;1.9072;0.001624995;0;0;0;0
35.4754;0.075213324;1.9385;0.000943414;0;0;0;0
35.9754;0.080169184;1.9622;0.000629626;0;0;0;0
36.4752;0.081669627;2.0128;0.001279882;0;0;0;0
