Time[s];Displacement[mm];Force[kN];AxStrain_1;AxStrain_2;Thickness[mm];Width[mm];Inner width
0;0;0.0054;0;0;1.022;20;0
0.5;0.001465159;0.001;0;0;0;0;0
1;-6.20E-04;0.0051;0;0;0;0;0
1.4999;0.000362498;-0.0016;0;0;0;0;0
2;-0.00111254;0.0038;0;0;0;0;0
2.5;-0.000262123;-0.0079;0;0;0;0;0
2.9999;-0.001308383;0.0003;0;0;0;0;0
3.4999;-0.002538441;-0.0041;0;0;0;0;0
3.9999;-4.06E-04;0.0063;0;0;0;0;0
4.5001;0.001482685;0.0149;0;0;0;0;0
5.0002;0.004919405;0.0259;0;0;0;0;0
5.5001;8.14E-03;0.0411;0;0;0;0;0
6.0001;0.010872196;0.0481;0;0;0;0;0
6.4998;0.013862613;0.0673;0;0;0;0;0
6.9998;0.016241856;0.074;0;0;0;0;0
7.4999;0.018829114;0.0872;0;0;0;0;0
7.9998;0.021547849;0.0929;0;0;0;0;0
8.4998;0.025764755;0.1128;0;0;0;0;0
9;0.027348835;0.1173;0;0;0;0;0
9.4997;0.030451034;0.1217;0;0;0;0;0
10;0.032994956;0.1438;0;0;0;0;0
10.4998;0.03560229;0.152;0;0;0;0;0
10.9998;0.038762611;0.1571;0;0;0;0;0
11.4999;0.041596506;0.1732;0;0;0;0;0
11.9997;0.044964907;0.1745;0;0;0;0;0
12.4997;0.04807571;0.1896;0;0;0;0;0
12.9999;0.050010689;0.1975;0;0;0;0;0
13.4999;0.05354294;0.2032;0;0;0;0;0
13.9997;0.055477346;0.2159;0;0;0;0;0
14.4997;0.059466097;0.219;0;0;0;0;0
14.9998;0.061965217;0.2323;0;0;0;0;0
15.5;0.065814526;0.243;0;0;0;0;0
15.9997;0.06817516;0.2475;0;0;0;0;0
16.4997;7.12E-02;0.2576;0;0;0;0;0
16.9996;0.074159689;0.2623;0;0;0;0;0
17.4996;0.077592394;0.2721;0;0;0;0;0
17.9998;0.079538016;0.2762;0;0;0;0;0
18.4998;0.083124183;0.2737;0;0;0;0;0
18.9997;0.085469139;0.2901;0;0;0;0;0
19.4998;8.94E-02;0.2895;0;0;0;0;0
19.9999;0.092010161;0.3006;0;0;0;0;0
20.4999;0.093853942;0.3094;0;0;0;0;0
20.9996;0.096617351;0.3119;0;0;0;0;0
21.4996;0.101360096;0.3145;0;0;0;0;0
21.9995;0.104676493;0.3258;0;0;0;0;0
22.4995;0.106627277;0.329;0;0;0;0;0
22.9995;1.12E-01;0.3277;0;0;0;0;0
23.4997;0.114085506;0.342;0;0;0;0;0
23.9998;0.117827366;0.3397;0;0;0;0;0
24.4995;0.119847489;0.3378;0;0;0;0;0
24.9998;1.22E-01;0.3492;0;0;0;0;0
25.4995;0.126079929;0.3514;0;0;0;0;0
25.9996;0.129724409;0.3578;0;0;0;0;0
26.4995;0.132370873;0.3634;0;0;0;0;0
26.9994;0.136526343;0.3657;0;0;0;0;0
27.4994;1.39E-01;0.3638;0;0;0;0;0
27.9994;1.42E-01;0.3698;0;0;0;0;0
28.4994;0.145645;0.3739;0;0;0;0;0
28.9995;0.147832415;0.3698;0;0;0;0;0
29.4994;0.152270465;0.3815;0;0;0;0;0
29.9997;1.54E-01;0.3799;0;0;0;0;0
30.4994;0.158779686;0.3834;0;0;0;0;0
30.9995;0.160462548;0.3862;0;0;0;0;0
31.4996;1.66E-01;0.3856;0;0;0;0;0
31.9994;0.167377986;0.395;0;0;0;0;0
32.4995;0.171600054;0.3957;0;0;0;0;0
32.9995;0.173539366;0.4026;0;0;0;0;0
33.4993;0.177624096;0.3995;0;0;0;0;0
33.9996;1.81E-01;0.402;0;0;0;0;0
34.4996;1.84E-01;0.4026;0;0;0;0;0
34.9996;1.89E-01;0.415;0;0;0;0;0
35.4994;1.91E-01;0.4061;0;0;0;0;0
35.9994;1.95E-01;0.4162;0;0;0;0;0
36.4993;0.19687007;0.4178;0;0;0;0;0
36.9994;2.01E-01;0.4077;0;0;0;0;0
37.4992;0.203236216;0.4225;0;0;0;0;0
37.9995;0.206691163;0.4191;0;0;0;0;0
38.4992;0.2107323;0.4219;0;0;0;0;0
38.9993;2.13E-01;0.4241;0;0;0;0;0
39.4992;0.215589122;0.4304;0;0;0;0;0
39.9995;0.220110404;0.4276;0;0;0;0;0
40.4993;0.223060033;0.4339;0;0;0;0;0
40.9993;0.226414795;0.4279;0;0;0;0;0
41.4993;2.29E-01;0.4371;0;0;0;0;0
41.9993;0.232884057;0.4361;0;0;0;0;0
42.4992;0.236220211;0.4371;0;0;0;0;0
42.9994;0.239388562;0.4415;0;0;0;0;0
43.4992;2.43E-01;0.4383;0;0;0;0;0
43.9992;2.46E-01;0.4415;0;0;0;0;0
44.4992;0.249109726;0.4412;0;0;0;0;0
44.9992;2.54E-01;0.4431;0;0;0;0;0
45.4992;2.56E-01;0.4434;0;0;0;0;0
45.9992;2.60E-01;0.4399;0;0;0;0;0
46.4992;0.263099225;0.4459;0;0;0;0;0
46.9991;2.66E-01;0.4497;0;0;0;0;0
47.4993;0.269708566;0.451;0;0;0;0;0
47.9991;0.272525636;0.4475;0;0;0;0;0
48.4991;0.276001678;0.4554;0;0;0;0;0
48.9992;2.79E-01;0.451;0;0;0;0;0
49.4991;0.282994484;0.4532;0;0;0;0;0
49.9991;2.85E-01;0.45;0;0;0;0;0
50.4991;2.88E-01;0.4529;0;0;0;0;0
50.9994;2.92E-01;0.4611;0;0;0;0;0
51.4991;0.295740032;0.4583;0;0;0;0;0
51.999;2.98E-01;0.457;0;0;0;0;0
52.499;0.302515646;0.4545;0;0;0;0;0
52.9992;0.305748683;0.4595;0;0;0;0;0
53.499;0.309235304;0.4541;0;0;0;0;0
53.9993;0.311969588;0.4614;0;0;0;0;0
54.4992;0.31539165;0.4602;0;0;0;0;0
54.9991;0.318475813;0.4567;0;0;0;0;0
55.499;0.322119338;0.4655;0;0;0;0;0
55.999;0.325088214;0.4583;0;0;0;0;0
56.499;0.32896327;0.4617;0;0;0;0;0
56.9991;3.32E-01;0.4602;0;0;0;0;0
57.4989;0.335489188;0.4617;0;0;0;0;0
57.9989;3.39E-01;0.4589;0;0;0;0;0
58.4991;0.342266841;0.4602;0;0;0;0;0
58.999;0.346425242;0.4646;0;0;0;0;0
59.4991;0.349526358;0.4602;0;0;0;0;0
59.9992;0.353495927;0.4639;0;0;0;0;0
60.499;0.355993326;0.4636;0;0;0;0;0
60.999;0.358949328;0.4639;0;0;0;0;0
61.4989;0.362344049;0.4583;0;0;0;0;0
61.9989;3.65E-01;0.4665;0;0;0;0;0
62.4988;3.68E-01;0.463;0;0;0;0;0
62.9988;0.372409165;0.4579;0;0;0;0;0
