Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],Diameter[mm]
0.59,0,-0.017095,0,0,1.5263,20,4.8913
1.09,2.1e-05,-0.020212,0.00018298,0.00020598,0,0,0
1.59,3.8e-05,-0.022564,0.00036393,8.6996e-05,0,0,0
2.09,1.9e-05,-0.0092654,9.0996e-05,-0.00017902,0,0,0
2.59,0.00017,0.017133,0.00035594,-0.00012301,0,0,0
3.09,0.000184,0.05144,7.4997e-05,-0.00024903,0,0,0
3.59,0.000145,0.082129,0.00028896,-0.00038908,0,0,0
4.09,0.000335,0.11172,0.00019298,-0.00025703,0,0,0
4.59,0.000366,0.13771,0.00038892,-0.00031905,0,0,0
5.09,0.000401,0.16629,0.00034694,-0.00026203,0,0,0
5.59,0.00027,0.19113,0.00030795,-0.00031105,0,0,0
6.09,0.000435,0.21272,0.00033095,-0.00023503,0,0,0
6.59,0.000473,0.23085,0.00040292,-0.00021402,0,0,0
7.09,0.000392,0.24986,0.00038693,-0.00012701,0,0,0
7.59,0.000461,0.26757,0.00051687,-5e-06,0,0,0
8.09,0.000504,0.28543,0.00032195,0,0,0,0
8.59,0.000586,0.30285,0.00035294,-2e-05,0,0,0
9.09,0.000595,0.32115,0.0004509,7.7997e-05,0,0,0
9.59,0.00051,0.33771,0.00041791,0.00013199,0,0,0
10.09,0.000603,0.35572,0.00035294,0.00030095,0,0,0
10.59,0.000554,0.37442,0.00031895,0.00053286,0,0,0
11.09,0.000552,0.39415,0.00029496,0.0004389,0,0,0
11.59,0.000666,0.411,0.00036293,0.0006348,0,0,0
12.09,0.000507,0.42915,0.00032195,0.00052686,0,0,0
12.59,0.000816,0.44685,0.00036593,0.00059682,0,0,0
13.09,0.000734,0.46529,0.0004509,0.00038892,0,0,0
13.59,0.000965,0.48257,0.00050387,0.00038293,0,0,0
14.09,0.000876,0.50258,0.00040892,0.00033994,0,0,0
14.59,0.000738,0.52128,0.00049688,0.00012299,0,0,0
15.09,0.000993,0.53958,0.00047689,0.00039792,0,0,0
15.59,0.00098,0.55657,0.00056584,-0.00010901,0,0,0
16.09,0.001073,0.57572,0.00031795,-2e-05,0,0,0
16.59,0.001043,0.59457,0.00037393,-0.00017902,0,0,0
17.09,0.001102,0.61443,0.00040692,-0.00034706,0,0,0
17.59,0.001188,0.63357,0.00040392,-0.00029804,0,0,0
18.09,0.00099,0.65372,0.00036393,-0.00041409,0,0,0
18.59,0.001198,0.67214,0.00039392,-0.00025103,0,0,0
19.09,0.001238,0.69201,0.00042691,-0.00025803,0,0,0
19.59,0.001175,0.71242,0.00037393,-4.3001e-05,0,0,0
20.09,0.001159,0.73443,0.0004469,0.00013299,0,0,0
20.59,0.001539,0.75314,0.00038693,0.00025497,0,0,0
21.09,0.001377,0.77301,0.00030495,0.00066178,0,0,0
21.59,0.001241,0.79228,0.00048288,0.00068876,0,0,0
22.09,0.001453,0.81258,0.00039692,0.00079468,0,0,0
22.59,0.001533,0.83157,0.00040092,0.0006288,0,0,0
23.09,0.001635,0.85386,0.00035394,0.00073173,0,0,0
23.59,0.001493,0.87499,0.0004439,0.00093057,0,0,0
24.09,0.00193,0.89558,0.00039392,0.00074172,0,0,0
24.59,0.00191,0.91485,0.00025797,0.00078769,0,0,0
25.09,0.002066,0.93615,0.00030095,0.00081467,0,0,0
25.59,0.002208,0.95657,0.00055585,0.00046389,0,0,0
26.09,0.001841,0.97743,0.00015599,0.00049388,0,0,0
26.59,0.002215,0.99785,0.00020198,0.00034194,0,0,0
27.09,0.002225,1.0191,0.00037093,-0.00010501,0,0,0
27.59,0.002105,1.0384,0.00047289,5.6998e-05,0,0,0
28.09,0.002192,1.059,0.00025797,-0.00018202,0,0,0
28.59,0.00241,1.0804,0.00034094,-0.00011501,0,0,0
29.09,0.002307,1.1034,0.00028796,-0.00041008,0,0,0
29.59,0.002274,1.1231,0.00036693,-0.00023103,0,0,0
