"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E17",,,,"E18",,,,"E19",,,,"E2",,,,"E20",,,,"E21",,,,"E22",,,,"E23",,,,"E24",,,,"E25",,,,"E26",,,,"E27",,,,"E28",,,,"E29",,,,"E3",,,,"E30",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,10.8,10.8,0,0,0.360049,0.360049,0,0,1.80004,1.80004,0,0,0.360049,0.360049,0,0,0.35998,0.35998,0,0,0.720029,0.720029,0,0,0.719961,0.719961,0,0,1.08001,1.08001,0,0,1.08001,1.08001,0,0,1.43999,1.43999,0,0,1.44006,1.44006,0,0,1.79997,1.79997,0,0,0.35998,0.35998,0,0,1.80004,1.80004,0,0,0.360049,0.360049,0,0,0.35998,0.35998,0,0,0.720029,0.720029,0,0,0.71996,0.71996,0,0,1.08001,1.08001,0,0,1.08001,1.08001,0,0,1.43999,1.43999,0,0,1.43999,1.43999,0,0,1.79997,1.79997,0,0,0.720028,0.720028,0,0,1.80004,1.80004,0,0,0.719961,0.719961,0,0,1.08001,1.08001,0,0,1.07994,1.07994,0,0,1.43999,1.43999,0,0,1.44006,1.44006,0,0,1.79997,1.79997
1,-3.78621e-05,-0.000408913,10.7996,10.8,-1.32869e-05,-4.78392e-06,0.360044,0.360049,-7.90895e-05,-0.000142364,1.7999,1.80004,-0.000190048,-6.84265e-05,0.35998,0.360049,-8.09176e-05,-2.91287e-05,0.359951,0.35998,-2.66234e-05,-1.91696e-05,0.72001,0.720029,-4.6294e-05,-3.33299e-05,0.719927,0.719961,-0.000169871,-0.000183462,1.07983,1.08001,2.47243e-05,2.67024e-05,1.08004,1.08001,-3.3123e-05,-4.76968e-05,1.43994,1.43999,-6.25495e-05,-9.00749e-05,1.43997,1.44006,-0.000111165,-0.000200093,1.79977,1.79997,-3.19123e-05,-1.14878e-05,0.359969,0.35998,8.09818e-06,1.4577e-05,1.80005,1.80004,2.58022e-05,9.29006e-06,0.360058,0.360049,-3.61082e-05,-1.29982e-05,0.359967,0.35998,-9.56347e-05,-6.88598e-05,0.71996,0.720029,-1.18536e-05,-8.53409e-06,0.719951,0.71996,-3.05365e-05,-3.29796e-05,1.07998,1.08001,3.56308e-05,3.84816e-05,1.08005,1.08001,-8.04266e-05,-0.000115814,1.43987,1.43999,1.76241e-05,2.53785e-05,1.44001,1.43999,-5.36618e-05,-9.65896e-05,1.79987,1.79997,-2.22601e-05,-1.60279e-05,0.720012,0.720028,-0.00010714,-0.000192856,1.79985,1.80004,-0.0001616,-0.000116345,0.719845,0.719961,-4.65227e-05,-5.02449e-05,1.07996,1.08001,-0.000129375,-0.000139717,1.0798,1.07994,-8.47055e-05,-0.000121975,1.43987,1.43999,-3.25712e-05,-4.69045e-05,1.44001,1.44006,-1.60704e-05,-2.89262e-05,1.79994,1.79997
2,3.66782e-05,0.000396127,10.8004,10.8,-0.000287323,-0.00010345,0.359945,0.360049,-2.21518e-05,-3.9874e-05,1.8,1.80004,3.2298e-05,1.16288e-05,0.36006,0.360049,0.000251365,9.04866e-05,0.360071,0.35998,-1.59781e-05,-1.15047e-05,0.720018,0.720029,9.25913e-05,6.66621e-05,0.720027,0.719961,5.02221e-05,5.42403e-05,1.08006,1.08001,0.000117303,0.000126689,1.08014,1.08001,2.32498e-05,3.34794e-05,1.44002,1.43999,8.57538e-05,0.00012349,1.44018,1.44006,3.71403e-05,6.68514e-05,1.80004,1.79997,1.2299e-06,4.42742e-07,0.359981,0.35998,4.93079e-05,8.8756e-05,1.80013,1.80004,-0.000112747,-4.05943e-05,0.360008,0.360049,6.39341e-05,2.3015e-05,0.360003,0.35998,2.94969e-05,2.12386e-05,0.720051,0.720029,2.57044e-05,1.85061e-05,0.719979,0.71996,5.82606e-05,6.29219e-05,1.08007,1.08001,5.12827e-05,5.53858e-05,1.08007,1.08001,3.41896e-07,4.92326e-07,1.43999,1.43999,0.00010318,0.000148578,1.44014,1.43999,0.000103881,0.000186983,1.80016,1.79997,-6.41193e-05,-4.61677e-05,0.719982,0.720028,-3.78685e-06,-6.81647e-06,1.80003,1.80004,9.82601e-05,7.07434e-05,0.720032,0.719961,0.000134134,0.000144866,1.08015,1.08001,3.26666e-05,3.5278e-05,1.07998,1.07994,4.21094e-05,6.0637e-05,1.44005,1.43999,9.36034e-05,0.000134794,1.44019,1.44006,3.2386e-05,5.82939e-05,1.80003,1.79997
3,-1.04022e-05,-0.000112344,10.7999,10.8,-0.000185784,-6.68914e-05,0.359982,0.360049,-8.1546e-05,-0.000146786,1.79989,1.80004,-0.000101146,-3.64176e-05,0.360012,0.360049,-7.3349e-05,-2.64042e-05,0.359954,0.35998,6.2153e-05,4.4752e-05,0.720074,0.720029,-0.000141258,-0.0001017,0.719859,0.719961,-0.000115421,-0.000124656,1.07988,1.08001,3.14942e-05,3.4014e-05,1.08004,1.08001,-1.46374e-05,-2.10778e-05,1.43997,1.43999,9.39543e-05,0.0001353,1.44019,1.44006,-3.3274e-06,-5.98922e-06,1.79996,1.79997,-3.66416e-05,-1.31903e-05,0.359967,0.35998,1.42853e-05,2.57141e-05,1.80006,1.80004,7.11044e-05,2.56011e-05,0.360074,0.360049,0.000196927,7.089e-05,0.360051,0.35998,-0.000101582,-7.31423e-05,0.719956,0.720029,-0.000208756,-0.000150296,0.71981,0.71996,-5.67576e-06,-6.12987e-06,1.08,1.08001,8.85388e-05,9.56227e-05,1.08011,1.08001,7.5578e-06,1.08832e-05,1.44,1.43999,2.16302e-05,3.11473e-05,1.44002,1.43999,4.99946e-05,8.99887e-05,1.80006,1.79997,3.43382e-05,2.47245e-05,0.720053,0.720028,-4.06512e-05,-7.31738e-05,1.79997,1.80004,8.67123e-05,6.24295e-05,0.720023,0.719961,4.06343e-05,4.38854e-05,1.08005,1.08001,-1.44875e-05,-1.56456e-05,1.07993,1.07994,-1.05432e-05,-1.51821e-05,1.43997,1.43999,-2.51279e-05,-3.61856e-05,1.44002,1.44006,-3.814e-05,-6.86508e-05,1.7999,1.79997
4,8.0433e-05,0.00086868,10.8009,10.8,-0.000121483,-4.37399e-05,0.360005,0.360049,4.51142e-05,8.12072e-05,1.80012,1.80004,-0.000208427,-7.50438e-05,0.359974,0.360049,0.000658676,0.000237111,0.360218,0.35998,7.83609e-05,5.64222e-05,0.720086,0.720029,0.000112565,8.10422e-05,0.720042,0.719961,2.5255e-06,2.72756e-06,1.08001,1.08001,0.000118136,0.000127588,1.08014,1.08001,5.15019e-05,7.41622e-05,1.44006,1.43999,7.47576e-05,0.000107655,1.44017,1.44006,9.69948e-05,0.000174588,1.80014,1.79997,9.99862e-05,3.59931e-05,0.360016,0.35998,0.000144852,0.00026074,1.8003,1.80004,0.000351505,0.000126559,0.360175,0.360049,0.000225085,8.10262e-05,0.360061,0.35998,-3.39018e-05,-2.44103e-05,0.720005,0.720029,-3.92233e-05,-2.82392e-05,0.719932,0.71996,0.000153993,0.000166314,1.08018,1.08001,0.000150486,0.000162526,1.08017,1.08001,8.78448e-05,0.000126496,1.44012,1.43999,0.000131808,0.000189802,1.44018,1.43999,6.82867e-05,0.000122914,1.80009,1.79997,-1.32501e-05,-9.54042e-06,0.720019,0.720028,5.232e-05,9.4178e-05,1.80013,1.80004,0.000197325,0.000142066,0.720103,0.719961,0.000292187,0.000315565,1.08033,1.08001,8.06398e-05,8.70863e-05,1.08003,1.07994,0.000115756,0.000166688,1.44016,1.43999,5.77437e-05,8.31543e-05,1.44014,1.44006,0.000139276,0.000250693,1.80022,1.79997
5,-3.09848e-05,-0.000334637,10.7997,10.8,-0.000306218,-0.000110253,0.359939,0.360049,-0.000128576,-0.000231442,1.79981,1.80004,-0.000412841,-0.000148643,0.3599,0.360049,0.000184294,6.63421e-05,0.360047,0.35998,-0.00013652,-9.82986e-05,0.719931,0.720029,6.1645e-05,4.4382e-05,0.720005,0.719961,-0.000189748,-0.000204929,1.0798,1.08001,1.79587e-05,1.93955e-05,1.08003,1.08001,-5.84796e-05,-8.42101e-05,1.43991,1.43999,-1.63956e-05,-2.36106e-05,1.44003,1.44006,-5.95276e-05,-0.000107148,1.79986,1.79997,-0.00016407,-5.90619e-05,0.359921,0.35998,-3.97664e-06,-7.15811e-06,1.80003,1.80004,0.000188663,6.7928e-05,0.360117,0.360049,-0.000370515,-0.000133378,0.359847,0.35998,-5.43448e-05,-3.91299e-05,0.71999,0.720029,-0.000281983,-0.000203017,0.719757,0.71996,-8.64472e-05,-9.33637e-05,1.07992,1.08001,7.62793e-05,8.23824e-05,1.08009,1.08001,-1.42689e-05,-2.0547e-05,1.43997,1.43999,1.70662e-05,2.45752e-05,1.44001,1.43999,1.03126e-05,1.85623e-05,1.79999,1.79997,-0.000104137,-7.49813e-05,0.719953,0.720028,-0.000171161,-0.000308097,1.79973,1.80004,-0.000279497,-0.000201227,0.71976,0.719961,0.000183772,0.000198475,1.08021,1.08001,-8.29536e-05,-8.9585e-05,1.07985,1.07994,-0.000120102,-0.000172945,1.43982,1.43999,-3.83889e-05,-5.52822e-05,1.44,1.44006,-1.50876e-05,-2.71573e-05,1.79994,1.79997
6,5.06045e-05,0.000546531,10.8006,10.8,-0.000122819,-4.42207e-05,0.360005,0.360049,-6.15232e-06,-1.10744e-05,1.80003,1.80004,-0.000321366,-0.000115708,0.359933,0.360049,0.000166182,5.98221e-05,0.36004,0.35998,-8.41366e-05,-6.05808e-05,0.719969,0.720029,7.35005e-05,5.29175e-05,0.720014,0.719961,-6.2642e-05,-6.76539e-05,1.07994,1.08001,7.46491e-05,8.06217e-05,1.08009,1.08001,-1.39166e-05,-2.00397e-05,1.43997,1.43999,0.000142392,0.000205053,1.44026,1.44006,-2.66262e-05,-4.79263e-05,1.79992,1.79997,0.000337862,0.000121624,0.360102,0.35998,4.60519e-05,8.28952e-05,1.80012,1.80004,1.10383e-05,3.97432e-06,0.360053,0.360049,0.000184471,6.6406e-05,0.360047,0.35998,7.31812e-05,5.26926e-05,0.720082,0.720029,-7.76909e-05,-5.59344e-05,0.719904,0.71996,1.06759e-05,1.153e-05,1.08002,1.08001,0.000130636,0.000141088,1.08015,1.08001,6.15201e-05,8.85883e-05,1.44008,1.43999,9.01585e-05,0.000129827,1.44012,1.43999,1.2479e-05,2.24619e-05,1.79999,1.79997,-7.01164e-05,-5.04858e-05,0.719978,0.720028,1.01294e-06,1.82333e-06,1.80004,1.80004,0.00015802,0.000113768,0.720075,0.719961,0.000130572,0.000141019,1.08015,1.08001,-0.000110942,-0.000119811,1.07982,1.07994,-1.36696e-05,-1.96841e-05,1.43997,1.43999,1.41618e-05,2.03938e-05,1.44008,1.44006,3.29434e-05,5.92971e-05,1.80003,1.79997
7,3.86656e-05,0.00041759,10.8005,10.8,-7.48302e-05,-2.69425e-05,0.360022,0.360049,-3.32603e-05,-5.98699e-05,1.79998,1.80004,-0.000238443,-8.58511e-05,0.359963,0.360049,0.000385721,0.000138852,0.360119,0.35998,0.000122583,8.8263e-05,0.720118,0.720029,7.55974e-05,5.44272e-05,0.720015,0.719961,-7.79186e-05,-8.41528e-05,1.07992,1.08001,6.51773e-05,7.0392e-05,1.08008,1.08001,-1.13963e-05,-1.64106e-05,1.43997,1.43999,0.000111002,0.000159849,1.44022,1.44006,-5.1439e-05,-9.25885e-05,1.79988,1.79997,0.000295697,0.000106445,0.360087,0.35998,4.7709e-05,8.5878e-05,1.80012,1.80004,9.11466e-05,3.28172e-05,0.360082,0.360049,0.000205655,7.40317e-05,0.360054,0.35998,0.000252332,0.000181687,0.720211,0.720029,-0.00026101,-0.000187916,0.719772,0.71996,-9.95404e-06,-1.07505e-05,1.08,1.08001,2.78311e-05,3.00578e-05,1.08004,1.08001,3.33686e-05,4.80504e-05,1.44004,1.43999,5.94269e-05,8.5574e-05,1.44007,1.43999,4.91477e-05,8.84644e-05,1.80006,1.79997,4.97976e-05,3.58557e-05,0.720064,0.720028,3.70178e-06,6.66335e-06,1.80005,1.80004,-1.30588e-05,-9.40183e-06,0.719951,0.719961,0.000114097,0.000123226,1.08013,1.08001,-1.89353e-05,-2.0449e-05,1.07992,1.07994,1.71703e-05,2.4725e-05,1.44001,1.43999,0.000107437,0.000154716,1.44021,1.44006,7.9011e-05,0.000142217,1.80011,1.79997
8,2.5552e-05,0.000275963,10.8003,10.8,-0.000143064,-5.151e-05,0.359997,0.360049,-4.50743e-06,-8.11354e-06,1.80003,1.80004,-4.91904e-05,-1.77109e-05,0.360031,0.360049,0.000486682,0.000175196,0.360156,0.35998,-5.75283e-05,-4.14221e-05,0.719988,0.720029,0.000246052,0.000177148,0.720138,0.719961,8.79548e-05,9.49919e-05,1.0801,1.08001,9.46456e-05,0.000102218,1.08011,1.08001,2.32018e-05,3.34103e-05,1.44002,1.43999,0.000178429,0.000256948,1.44032,1.44006,3.10377e-06,5.58669e-06,1.79998,1.79997,7.16788e-06,2.5803e-06,0.359983,0.35998,2.64427e-05,4.75979e-05,1.80009,1.80004,0.000278386,0.000100233,0.360149,0.360049,0.000140139,5.04473e-05,0.360031,0.35998,0.000343092,0.000247036,0.720276,0.720029,-0.000194156,-0.000139784,0.71982,0.71996,-3.19294e-05,-3.4484e-05,1.07997,1.08001,7.81232e-05,8.43739e-05,1.08009,1.08001,1.23808e-06,1.78283e-06,1.43999,1.43999,8.44711e-05,0.000121637,1.44011,1.43999,6.20984e-05,0.000111775,1.80008,1.79997,-9.37886e-05,-6.75304e-05,0.719961,0.720028,-1.33036e-05,-2.39469e-05,1.80001,1.80004,-0.000393118,-0.00028303,0.719678,0.719961,0.000225818,0.000243886,1.08025,1.08001,1.40772e-05,1.52025e-05,1.07996,1.07994,1.02411e-06,1.4747e-06,1.43999,1.43999,8.14769e-05,0.000117331,1.44018,1.44006,-1.63345e-05,-2.94017e-05,1.79994,1.79997
9,5.08258e-05,0.000548921,10.8006,10.8,0.000101262,3.64593e-05,0.360085,0.360049,0.000102596,0.000184677,1.80022,1.80004,-3.15072e-05,-1.13441e-05,0.360038,0.360049,0.000239906,8.63616e-05,0.360067,0.35998,-8.73739e-05,-6.29117e-05,0.719966,0.720029,0.000154712,0.000111387,0.720072,0.719961,1.83483e-05,1.98163e-05,1.08003,1.08001,0.000261435,0.000282352,1.08029,1.08001,6.40425e-05,9.22205e-05,1.44008,1.43999,0.000155395,0.000223778,1.44028,1.44006,1.87379e-05,3.37276e-05,1.8,1.79997,0.000131635,4.73861e-05,0.360028,0.35998,0.000182679,0.000328828,1.80037,1.80004,-0.000162364,-5.8459e-05,0.35999,0.360049,0.000196738,7.08217e-05,0.360051,0.35998,4.5343e-05,3.26483e-05,0.720062,0.720029,-8.98702e-05,-6.47029e-05,0.719895,0.71996,2.59964e-05,2.80763e-05,1.08004,1.08001,0.000211071,0.000227959,1.08024,1.08001,7.49971e-07,1.07995e-06,1.43999,1.43999,4.24959e-05,6.11936e-05,1.44005,1.43999,5.01328e-05,9.02376e-05,1.80006,1.79997,-0.000246283,-0.000177331,0.719851,0.720028,0.000102726,0.000184912,1.80022,1.80004,-0.000144165,-0.000103793,0.719857,0.719961,0.000112272,0.000121255,1.08013,1.08001,-0.000132124,-0.000142686,1.0798,1.07994,6.18034e-05,8.89963e-05,1.44008,1.43999,3.79489e-05,5.46487e-05,1.44011,1.44006,5.58915e-05,0.000100603,1.80007,1.79997
