"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.12636,6.12636,0,0,0.204209,0.204209,0,0,0.408425,0.408425,0,0,0.612634,0.612634,0,0,0.81685,0.81685,0,0,1.02106,1.02106,0,0,1.22527,1.22527,0,0,1.42948,1.42948,0,0,1.63369,1.63369,0,0,0.408456,0.408456,0,0,0.612626,0.612626,0,0,0.816873,0.816873,0,0,1.02104,1.02104,0,0,1.22529,1.22529,0,0,1.42946,1.42946,0,0,1.63371,1.63371,0,0,0.204208,0.204208
1,-5.12908e-06,-3.14226e-05,6.12633,6.12636,-0.000394164,-8.04917e-05,0.204128,0.204209,-0.000145991,-5.96263e-05,0.408365,0.408425,5.38472e-05,3.29886e-05,0.612667,0.612634,-1.47984e-05,-1.20881e-05,0.816838,0.81685,-1.74679e-05,-1.78357e-05,1.02104,1.02106,-1.74794e-05,-2.1417e-05,1.22525,1.22527,3.26558e-06,4.6681e-06,1.42949,1.42948,-3.78277e-05,-6.17988e-05,1.63363,1.63369,-3.70184e-05,-1.51204e-05,0.408441,0.408456,9.54644e-05,5.8484e-05,0.612684,0.612626,2.98177e-06,2.43573e-06,0.816876,0.816873,5.89081e-05,6.01478e-05,1.0211,1.02104,-6.05468e-06,-7.41874e-06,1.22528,1.22529,-1.12299e-05,-1.60527e-05,1.42944,1.42946,-3.00395e-05,-4.90757e-05,1.63366,1.63371,0.000165834,3.38648e-05,0.204242,0.204208
2,-2.81459e-05,-0.000172432,6.12619,6.12636,-0.000455584,-9.30341e-05,0.204116,0.204209,-0.000159587,-6.51795e-05,0.40836,0.408425,0.000119444,7.31754e-05,0.612707,0.612634,-6.75915e-05,-5.52121e-05,0.816795,0.81685,3.17814e-05,3.24506e-05,1.02109,1.02106,-3.97529e-05,-4.87079e-05,1.22522,1.22527,-3.75685e-05,-5.37035e-05,1.42943,1.42948,-6.5618e-06,-1.072e-05,1.63368,1.63369,-0.000104361,-4.26271e-05,0.408413,0.408456,5.24663e-05,3.21422e-05,0.612658,0.612626,4.7682e-05,3.89502e-05,0.816912,0.816873,-7.41977e-06,-7.57591e-06,1.02104,1.02104,-4.58303e-05,-5.61554e-05,1.22523,1.22529,-2.70305e-05,-3.86391e-05,1.42942,1.42946,-5.03984e-05,-8.23363e-05,1.63363,1.63371,0.000150137,3.06593e-05,0.204239,0.204208
3,5.75057e-05,0.000352301,6.12672,6.12636,-0.000131196,-2.67914e-05,0.204182,0.204209,4.86415e-05,1.98664e-05,0.408445,0.408425,-3.51924e-05,-2.156e-05,0.612612,0.612634,5.23569e-05,4.27678e-05,0.816893,0.81685,-3.4402e-06,-3.51264e-06,1.02106,1.02106,1.24476e-05,1.52516e-05,1.22528,1.22527,1.56719e-05,2.24027e-05,1.42951,1.42948,2.19616e-05,3.58786e-05,1.63373,1.63369,-5.08572e-05,-2.07729e-05,0.408435,0.408456,0.0001028,6.29777e-05,0.612689,0.612626,9.0527e-05,7.39491e-05,0.816947,0.816873,6.86956e-05,7.01412e-05,1.02111,1.02104,5.35889e-05,6.5662e-05,1.22536,1.22529,5.92182e-05,8.465e-05,1.42955,1.42946,2.04712e-05,3.3444e-05,1.63374,1.63371,-0.00024796,-5.06354e-05,0.204158,0.204208
4,-1.39415e-05,-8.54107e-05,6.12628,6.12636,-0.000199022,-4.0642e-05,0.204168,0.204209,-0.000181127,-7.39767e-05,0.408351,0.408425,2.49164e-05,1.52646e-05,0.612649,0.612634,-7.87538e-05,-6.43301e-05,0.816786,0.81685,-1.08045e-05,-1.1032e-05,1.02105,1.02106,-6.42084e-05,-7.86725e-05,1.22519,1.22527,1.53918e-05,2.20023e-05,1.42951,1.42948,-2.49699e-05,-4.07931e-05,1.63365,1.63369,-0.000199906,-8.16527e-05,0.408374,0.408456,2.34348e-05,1.43568e-05,0.61264,0.612626,-2.88001e-05,-2.3526e-05,0.81685,0.816873,4.90716e-05,5.01043e-05,1.02109,1.02104,-6.20933e-06,-7.60823e-06,1.22528,1.22529,-1.06457e-05,-1.52176e-05,1.42945,1.42946,-6.51322e-05,-0.000106407,1.6336,1.63371,-0.000102715,-2.09753e-05,0.204187,0.204208
5,1.54423e-05,9.4605e-05,6.12646,6.12636,-0.0002122,-4.3333e-05,0.204165,0.204209,-6.85121e-05,-2.79821e-05,0.408397,0.408425,-9.82395e-07,-6.01848e-07,0.612633,0.612634,-4.38338e-05,-3.58056e-05,0.816814,0.81685,-2.2079e-05,-2.2544e-05,1.02104,1.02106,-1.89307e-06,-2.31951e-06,1.22527,1.22527,1.2434e-05,1.77741e-05,1.4295,1.42948,-2.21225e-05,-3.61414e-05,1.63366,1.63369,0.000112055,4.57696e-05,0.408502,0.408456,-7.22952e-06,-4.42899e-06,0.612621,0.612626,1.03614e-05,8.46397e-06,0.816882,0.816873,-1.46849e-05,-1.49939e-05,1.02103,1.02104,-3.59222e-05,-4.40151e-05,1.22525,1.22529,-3.22878e-05,-4.61541e-05,1.42941,1.42946,4.88897e-06,7.98715e-06,1.63372,1.63371,-0.000399578,-8.15971e-05,0.204127,0.204208
6,4.27192e-05,0.000261714,6.12663,6.12636,-0.000555572,-0.000113453,0.204095,0.204209,7.75664e-05,3.16801e-05,0.408457,0.408425,5.83046e-05,3.57193e-05,0.612669,0.612634,6.44921e-06,5.26803e-06,0.816855,0.81685,-7.69537e-05,-7.85743e-05,1.02098,1.02106,1.28125e-05,1.56988e-05,1.22528,1.22527,2.47605e-05,3.53947e-05,1.42952,1.42948,-1.22612e-05,-2.0031e-05,1.63367,1.63369,4.51788e-05,1.84535e-05,0.408474,0.408456,8.49798e-05,5.20608e-05,0.612678,0.612626,-1.23282e-05,-1.00706e-05,0.816863,0.816873,0.000167454,0.000170978,1.02121,1.02104,4.48246e-05,5.49232e-05,1.22535,1.22529,9.38027e-05,0.000134087,1.42959,1.42946,5.2717e-05,8.61242e-05,1.63379,1.63371,-0.000313506,-6.40206e-05,0.204144,0.204208
7,8.51316e-05,0.000521547,6.12689,6.12636,-0.000529269,-0.000108081,0.2041,0.204209,9.05743e-05,3.69928e-05,0.408462,0.408425,4.78232e-05,2.92981e-05,0.612663,0.612634,-4.06799e-05,-3.32294e-05,0.816817,0.81685,-5.89921e-05,-6.02344e-05,1.021,1.02106,5.15579e-06,6.31722e-06,1.22527,1.22527,3.22815e-05,4.61459e-05,1.42953,1.42948,3.57969e-05,5.84811e-05,1.63375,1.63369,2.58247e-05,1.05483e-05,0.408466,0.408456,0.000110775,6.78633e-05,0.612694,0.612626,2.35842e-05,1.92653e-05,0.816893,0.816873,0.000232307,0.000237195,1.02128,1.02104,5.57507e-05,6.83108e-05,1.22536,1.22529,0.000104894,0.000149941,1.42961,1.42946,1.01938e-05,1.66537e-05,1.63372,1.63371,-0.000405604,-8.28278e-05,0.204126,0.204208
8,5.89013e-05,0.000360851,6.12673,6.12636,-0.000714643,-0.000145936,0.204063,0.204209,-8.57478e-05,-3.50215e-05,0.40839,0.408425,4.73516e-05,2.90092e-05,0.612663,0.612634,-6.64776e-05,-5.43022e-05,0.816796,0.81685,-7.13755e-05,-7.28786e-05,1.02099,1.02106,-1.04769e-05,-1.28369e-05,1.22525,1.22527,-1.09215e-05,-1.56121e-05,1.42947,1.42948,9.2018e-07,1.50329e-06,1.63369,1.63369,-1.6248e-05,-6.6366e-06,0.408449,0.408456,-6.96371e-06,-4.26615e-06,0.612621,0.612626,-2.63332e-06,-2.15109e-06,0.816871,0.816873,7.73074e-05,7.89342e-05,1.02112,1.02104,4.3373e-06,5.31445e-06,1.2253,1.22529,-5.77691e-05,-8.25787e-05,1.42938,1.42946,3.69522e-05,6.03691e-05,1.63377,1.63371,-0.000158978,-3.24646e-05,0.204176,0.204208
9,8.38908e-05,0.000513946,6.12688,6.12636,-0.000458685,-9.36675e-05,0.204115,0.204209,-9.79982e-05,-4.00249e-05,0.408385,0.408425,-2.97641e-05,-1.82345e-05,0.612615,0.612634,-5.72588e-05,-4.67718e-05,0.816803,0.81685,-7.0297e-05,-7.17773e-05,1.02099,1.02106,7.87007e-06,9.64294e-06,1.22528,1.22527,-2.46063e-05,-3.51743e-05,1.42945,1.42948,2.49613e-05,4.07791e-05,1.63373,1.63369,-0.000112165,-4.58144e-05,0.40841,0.408456,0.000112636,6.9004e-05,0.612695,0.612626,-7.49352e-05,-6.12126e-05,0.816812,0.816873,0.000235666,0.000240625,1.02128,1.02104,0.00013268,0.000162571,1.22545,1.22529,9.5293e-05,0.000136218,1.4296,1.42946,3.67478e-05,6.00352e-05,1.63377,1.63371,-0.000143431,-2.92899e-05,0.204179,0.204208
