"E0",,,,,"E1",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,6.22208,6.22208,0,0,1.86662,1.86662,0,0,3.73325,3.73325,0,0,1.86662,1.86662,0,0,0.622208,0.622208,0,0,1.03701,1.03701,0,0,1.45182,1.45182
1,-9.36132e-07,-5.82469e-06,6.22208,6.22208,7.16243e-05,0.000133696,1.86676,1.86662,6.2269e-06,2.32466e-05,3.73327,3.73325,-1.32642e-06,-2.47593e-06,1.86662,1.86662,2.1287e-06,1.32449e-06,0.62221,0.622208,3.66127e-05,3.79679e-05,1.03705,1.03701,-2.39084e-05,-3.47107e-05,1.45178,1.45182
2,3.95266e-06,2.45938e-05,6.22211,6.22208,7.37331e-05,0.000137632,1.86676,1.86662,-1.75439e-05,-6.54957e-05,3.73318,3.73325,1.77318e-05,3.30986e-05,1.86666,1.86662,-6.65471e-05,-4.14062e-05,0.622167,0.622208,-2.89709e-05,-3.00433e-05,1.03698,1.03701,6.11244e-05,8.87416e-05,1.45191,1.45182
3,-1.00669e-05,-6.26369e-05,6.22202,6.22208,5.76012e-05,0.00010752,1.86673,1.86662,-1.96011e-05,-7.31757e-05,3.73318,3.73325,-1.47894e-05,-2.76064e-05,1.8666,1.86662,-1.99347e-05,-1.24035e-05,0.622196,0.622208,2.98833e-05,3.09894e-05,1.03704,1.03701,-1.53074e-05,-2.22236e-05,1.4518,1.45182
4,-1.64932e-05,-0.000102622,6.22198,6.22208,4.9757e-05,9.28776e-05,1.86672,1.86662,-4.1956e-05,-0.000156632,3.73309,3.73325,-2.75978e-05,-5.15147e-05,1.86657,1.86662,-5.2828e-05,-3.287e-05,0.622175,0.622208,-5.37351e-06,-5.5724e-06,1.03701,1.03701,-2.49145e-05,-3.61714e-05,1.45178,1.45182
5,2.15081e-05,0.000133825,6.22222,6.22208,9.86098e-05,0.000184067,1.86681,1.86662,2.41992e-05,9.03418e-05,3.73334,3.73325,-6.38972e-05,-0.000119272,1.86651,1.86662,-2.41174e-05,-1.5006e-05,0.622193,0.622208,5.279e-05,5.47439e-05,1.03707,1.03701,-1.21695e-05,-1.76679e-05,1.4518,1.45182
6,5.49255e-05,0.000341751,6.22242,6.22208,5.26075e-05,9.81985e-05,1.86672,1.86662,4.46973e-05,0.000166866,3.73342,3.73325,-2.4238e-05,-4.52433e-05,1.86658,1.86662,3.47913e-05,2.16474e-05,0.62223,0.622208,5.80777e-05,6.02274e-05,1.03707,1.03701,6.52428e-06,9.47208e-06,1.45183,1.45182
7,6.71618e-05,0.000417886,6.2225,6.22208,9.32391e-05,0.000174042,1.8668,1.86662,5.40358e-05,0.000201729,3.73345,3.73325,-1.12782e-05,-2.10522e-05,1.8666,1.86662,5.38781e-05,3.35234e-05,0.622242,0.622208,-1.39207e-05,-1.44359e-05,1.037,1.03701,-2.16224e-05,-3.13918e-05,1.45179,1.45182
8,0.000120934,0.000752459,6.22283,6.22208,8.67689e-05,0.000161965,1.86679,1.86662,0.000125009,0.00046669,3.73372,3.73325,5.70251e-06,1.06444e-05,1.86664,1.86662,5.82034e-05,3.62147e-05,0.622245,0.622208,-4.64049e-05,-4.81225e-05,1.03697,1.03701,-7.91886e-05,-0.000114968,1.4517,1.45182
9,0.000194257,0.00120869,6.22329,6.22208,0.000191356,0.00035719,1.86698,1.86662,0.00019215,0.000717345,3.73397,3.73325,-1.23628e-05,-2.30768e-05,1.8666,1.86662,0.00011164,6.94635e-05,0.622278,0.622208,-4.04865e-05,-4.1985e-05,1.03697,1.03701,-5.87943e-05,-8.53587e-05,1.45173,1.45182
10,0.000225394,0.00140242,6.22348,6.22208,0.000207895,0.000388063,1.86701,1.86662,0.000206207,0.000769821,3.73402,3.73325,-0.000119288,-0.000222666,1.8664,1.86662,6.75031e-05,4.2001e-05,0.62225,0.622208,-8.80704e-05,-9.13302e-05,1.03692,1.03701,-5.13919e-05,-7.46118e-05,1.45174,1.45182
