"E0",,,,,"E1",,,,"E10",,,,"E11",,,,"E12",,,,"E13",,,,"E14",,,,"E15",,,,"E16",,,,"E2",,,,"E3",,,,"E4",,,,"E5",,,,"E6",,,,"E7",,,,"E8",,,,"E9",,,
"Index [1]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]","ΔL/L0 [1]","ΔL [mm]","L1 [mm]","L0 [mm]"
0,0,0,3.09159,3.09159,0,0,0.103043,0.103043,0,0,0.206108,0.206108,0,0,0.309159,0.309159,0,0,0.412213,0.412213,0,0,0.515267,0.515267,0,0,0.618321,0.618321,0,0,0.721375,0.721375,0,0,0.824426,0.824426,0,0,0.206124,0.206124,0,0,0.309162,0.309162,0,0,0.412211,0.412211,0,0,0.51526,0.51526,0,0,0.618327,0.618327,0,0,0.721376,0.721376,0,0,0.824422,0.824422,0,0,0.103054,0.103054
1,2.55436e-05,7.89706e-05,3.09167,3.09159,-0.000187306,-1.93004e-05,0.103023,0.103043,6.58502e-07,1.35723e-07,0.206109,0.206108,-3.13733e-05,-9.69934e-06,0.309149,0.309159,7.69595e-05,3.17237e-05,0.412245,0.412213,6.78313e-05,3.49512e-05,0.515302,0.515267,-6.78562e-05,-4.19569e-05,0.618279,0.618321,3.91443e-05,2.82377e-05,0.721404,0.721375,3.00675e-05,2.47884e-05,0.824451,0.824426,-0.000213801,-4.40695e-05,0.20608,0.206124,-1.35085e-05,-4.17632e-06,0.309158,0.309162,0.000126698,5.22265e-05,0.412263,0.412211,0.000103678,5.34211e-05,0.515313,0.51526,-7.37865e-05,-4.56242e-05,0.618281,0.618327,-6.29561e-05,-4.5415e-05,0.72133,0.721376,-1.01817e-05,-8.39399e-06,0.824413,0.824422,0.000142952,1.47318e-05,0.103069,0.103054
2,4.01666e-05,0.000124179,3.09172,3.09159,-0.000184661,-1.90279e-05,0.103023,0.103043,-0.0003679,-7.58272e-05,0.206033,0.206108,-4.98653e-05,-1.54163e-05,0.309143,0.309159,5.44127e-05,2.24296e-05,0.412235,0.412213,3.193e-05,1.64525e-05,0.515284,0.515267,-9.17485e-05,-5.67301e-05,0.618265,0.618321,4.70452e-05,3.39372e-05,0.721409,0.721375,7.95839e-05,6.5611e-05,0.824491,0.824426,-0.000469751,-9.68268e-05,0.206027,0.206124,-7.48562e-05,-2.31427e-05,0.309139,0.309162,1.67985e-05,6.92453e-06,0.412218,0.412211,-2.8701e-05,-1.47885e-05,0.515245,0.51526,-4.24707e-05,-2.62608e-05,0.618301,0.618327,-6.16728e-05,-4.44893e-05,0.721331,0.721376,6.704e-06,5.52692e-06,0.824427,0.824422,-5.0648e-05,-5.21949e-06,0.103049,0.103054
3,0.000174249,0.000538706,3.09213,3.09159,0.000635649,6.54989e-05,0.103108,0.103043,-0.00040883,-8.42632e-05,0.206024,0.206108,-0.000279458,-8.63968e-05,0.309072,0.309159,2.48773e-05,1.02548e-05,0.412223,0.412213,-6.23609e-05,-3.21325e-05,0.515235,0.515267,-9.0008e-05,-5.56539e-05,0.618266,0.618321,6.3699e-05,4.59509e-05,0.721421,0.721375,6.10351e-05,5.03189e-05,0.824476,0.824426,5.02264e-05,1.03529e-05,0.206134,0.206124,2.32696e-05,7.19408e-06,0.30917,0.309162,0.000211763,8.7291e-05,0.412298,0.412211,0.000191632,9.87402e-05,0.515358,0.51526,0.000279083,0.000172564,0.6185,0.618327,7.12861e-05,5.1424e-05,0.721427,0.721376,0.000179746,0.000148186,0.82457,0.824422,-0.000340883,-3.51294e-05,0.103019,0.103054
4,2.07437e-05,6.4131e-05,3.09166,3.09159,0.00063142,6.50631e-05,0.103108,0.103043,-0.00022539,-4.64548e-05,0.206062,0.206108,-0.000290636,-8.98526e-05,0.309069,0.309159,6.09093e-05,2.51076e-05,0.412238,0.412213,7.12762e-05,3.67263e-05,0.515304,0.515267,-2.03982e-05,-1.26127e-05,0.618309,0.618321,7.92236e-05,5.71499e-05,0.721433,0.721375,3.53824e-05,2.91702e-05,0.824455,0.824426,-0.00024374,-5.02407e-05,0.206074,0.206124,-0.000301717,-9.32796e-05,0.309069,0.309162,0.000100618,4.14759e-05,0.412252,0.412211,-2.01943e-05,-1.04053e-05,0.515249,0.51526,-0.000109367,-6.76248e-05,0.618259,0.618327,-7.51932e-05,-5.42425e-05,0.721321,0.721376,-5.47247e-05,-4.51162e-05,0.824377,0.824422,-0.000801966,-8.26459e-05,0.102972,0.103054
5,4.45946e-05,0.000137868,3.09173,3.09159,0.000510161,5.25683e-05,0.103095,0.103043,-0.000185404,-3.82133e-05,0.20607,0.206108,-0.000142082,-4.39258e-05,0.309115,0.309159,4.18156e-05,1.72369e-05,0.41223,0.412213,0.00024035,0.000123844,0.515391,0.515267,-7.47695e-05,-4.62316e-05,0.618275,0.618321,7.17541e-05,5.17617e-05,0.721427,0.721375,-4.30144e-05,-3.54622e-05,0.82439,0.824426,-0.00034188,-7.04696e-05,0.206053,0.206124,-0.000242881,-7.50898e-05,0.309087,0.309162,4.28461e-05,1.76616e-05,0.412229,0.412211,-5.01582e-05,-2.58445e-05,0.515234,0.51526,5.75706e-05,3.55975e-05,0.618363,0.618327,-3.56725e-05,-2.57333e-05,0.72135,0.721376,6.85995e-05,5.65549e-05,0.824478,0.824422,-0.000271308,-2.79594e-05,0.103026,0.103054
6,1.03281e-05,3.19302e-05,3.09163,3.09159,0.000358534,3.69442e-05,0.103079,0.103043,-9.78291e-05,-2.01634e-05,0.206088,0.206108,-0.00019093,-5.90278e-05,0.3091,0.309159,5.07066e-05,2.09019e-05,0.412234,0.412213,3.24119e-05,1.67008e-05,0.515284,0.515267,-1.4623e-05,-9.04169e-06,0.618312,0.618321,8.70018e-05,6.2761e-05,0.721438,0.721375,3.76816e-05,3.10657e-05,0.824457,0.824426,-0.000167574,-3.45409e-05,0.206089,0.206124,-0.0003125,-9.66131e-05,0.309066,0.309162,1.37763e-05,5.67876e-06,0.412217,0.412211,-0.000156286,-8.0528e-05,0.515179,0.51526,-8.51008e-05,-5.26201e-05,0.618274,0.618327,-1.92543e-05,-1.38896e-05,0.721362,0.721376,-1.14724e-05,-9.45807e-06,0.824412,0.824422,-0.000488881,-5.03812e-05,0.103004,0.103054
7,6.5525e-05,0.000202577,3.0918,3.09159,0.00048972,5.04619e-05,0.103093,0.103043,-0.000155972,-3.21471e-05,0.206076,0.206108,-6.55134e-05,-2.0254e-05,0.309138,0.309159,0.000106017,4.37017e-05,0.412257,0.412213,-2.49971e-06,-1.28802e-06,0.515266,0.515267,3.80782e-05,2.35446e-05,0.618345,0.618321,7.32898e-05,5.28694e-05,0.721428,0.721375,2.10416e-05,1.73473e-05,0.824443,0.824426,9.85731e-05,2.03183e-05,0.206144,0.206124,-0.000195199,-6.03483e-05,0.309102,0.309162,5.20773e-05,2.14668e-05,0.412232,0.412211,-6.97379e-05,-3.59331e-05,0.515224,0.51526,-4.61964e-05,-2.85645e-05,0.618298,0.618327,-5.07567e-05,-3.66146e-05,0.721339,0.721376,1.04586e-05,8.62226e-06,0.82443,0.824422,0.000138389,1.42616e-05,0.103068,0.103054
8,4.90659e-05,0.000151692,3.09175,3.09159,-3.3393e-05,-3.4409e-06,0.103039,0.103043,-0.000271649,-5.59891e-05,0.206052,0.206108,-0.000167905,-5.19093e-05,0.309107,0.309159,-1.60694e-05,-6.62403e-06,0.412206,0.412213,8.75541e-05,4.51137e-05,0.515312,0.515267,4.09305e-05,2.53082e-05,0.618347,0.618321,4.64071e-05,3.3477e-05,0.721409,0.721375,4.90678e-05,4.04527e-05,0.824466,0.824426,-0.000119332,-2.45972e-05,0.206099,0.206124,-0.00029813,-9.21707e-05,0.30907,0.309162,0.000142755,5.88453e-05,0.41227,0.412211,7.65732e-06,3.94551e-06,0.515263,0.51526,6.03561e-05,3.73198e-05,0.618364,0.618327,-3.69608e-05,-2.66626e-05,0.721349,0.721376,-3.71892e-07,-3.06596e-07,0.824422,0.824422,2.01833e-05,2.07998e-06,0.103056,0.103054
9,5.16612e-05,0.000159716,3.09175,3.09159,-9.43723e-06,-9.72436e-07,0.103042,0.103043,-0.000385259,-7.94052e-05,0.206029,0.206108,3.42458e-05,1.05874e-05,0.309169,0.309159,0.000116474,4.8012e-05,0.412261,0.412213,4.45063e-05,2.29326e-05,0.51529,0.515267,9.19679e-05,5.68657e-05,0.618378,0.618321,7.35483e-05,5.3056e-05,0.721429,0.721375,5.05782e-05,4.16979e-05,0.824467,0.824426,-0.000209506,-4.31843e-05,0.206081,0.206124,-0.000166316,-5.14187e-05,0.309111,0.309162,0.000120718,4.97615e-05,0.412261,0.412211,-0.000115459,-5.94912e-05,0.5152,0.51526,-6.8819e-05,-4.25526e-05,0.618284,0.618327,4.0939e-05,2.95324e-05,0.721405,0.721376,3.63194e-05,2.99425e-05,0.824452,0.824422,0.000203172,2.09377e-05,0.103075,0.103054
