Time[s],Displacement[mm],Force[kN],AxStrain_1,AxStrain_2,Thickness[mm],OuterWidth[mm],InnerWidth[mm]
0.62,0,-0.018675,0,0,1.5309,20,10
1.12,0.000135,-0.020307,0.00029896,0,0,0,0
1.62,5.4e-05,-0.021568,0.00037093,0,0,0,0
2.12,0.000379,-0.0099791,0.00021098,0,0,0,0
2.62,0.000509,0.015996,0.00027396,0,0,0,0
3.12,0.000498,0.049859,0.00023697,0,0,0,0
3.62,0.00061,0.078705,0.00028496,0,0,0,0
4.12,0.000762,0.10515,0.00028096,0,0,0,0
4.62,0.000687,0.13057,0.0004519,0,0,0,0
5.12,0.00093,0.15815,0.00029696,0,0,0,0
5.62,0.000925,0.18428,0.00028996,0,0,0,0
6.12,0.001119,0.21186,0.00032695,0,0,0,0
6.62,0.000893,0.23685,0.00041991,0,0,0,0
7.12,0.001007,0.25986,0.00032895,0,0,0,0
7.62,0.001251,0.27942,0.00019898,0,0,0,0
8.12,0.0011,0.29886,0.00035094,0,0,0,0
8.62,0.001111,0.31557,0.00033694,0,0,0,0
9.12,0.001317,0.33243,0.00027096,0,0,0,0
9.62,0.001146,0.348,0.00027296,0,0,0,0
10.12,0.001232,0.36572,0.00026397,0,0,0,0
10.62,0.001348,0.38328,0.00027296,0,0,0,0
11.12,0.001447,0.40272,0.00022897,0,0,0,0
11.62,0.001627,0.42171,0.00013499,0,0,0,0
12.12,0.001591,0.44186,0.00023097,0,0,0,0
12.62,0.002063,0.45871,0.00012499,0,0,0,0
13.12,0.002061,0.47558,0.00014699,0,0,0,0
13.62,0.002447,0.49257,8.5996e-05,0,0,0,0
14.12,0.002454,0.51115,4.2999e-05,0,0,0,0
14.62,0.002412,0.52914,3e-05,0,0,0,0
15.12,0.002285,0.549,0.00022897,0,0,0,0
15.62,0.002791,0.56756,0.00039092,0,0,0,0
16.12,0.002648,0.58558,0.00026197,0,0,0,0
16.62,0.002579,0.60285,0.00051587,0,0,0,0
17.12,0.002622,0.62215,0.00032395,0,0,0,0
17.62,0.002642,0.64085,0.00024497,0,0,0,0
18.12,0.002615,0.66072,0.00025797,0,0,0,0
18.62,0.002533,0.67914,0.00025197,0,0,0,0
19.12,0.002691,0.69872,0.00030495,0,0,0,0
19.62,0.002529,0.71756,0.00036093,0,0,0,0
20.12,0.002768,0.73872,0.00020898,0,0,0,0
20.62,0.002662,0.75942,0.00024797,0,0,0,0
21.12,0.002807,0.78115,0.00030795,0,0,0,0
21.62,0.002936,0.79971,0.00015899,0,0,0,0
22.12,0.002999,0.81858,0.00023197,0,0,0,0
22.62,0.003016,0.83757,0.00016599,0,0,0,0
23.12,0.003171,0.85815,9.2996e-05,0,0,0,0
23.62,0.003539,0.87785,0.00031095,0,0,0,0
24.12,0.003744,0.89986,0.00024497,0,0,0,0
24.62,0.004029,0.92071,0.00026197,0,0,0,0
25.12,0.004294,0.94115,0.00018898,0,0,0,0
25.62,0.004343,0.96,0.00024797,0,0,0,0
26.12,0.004608,0.98072,0.00015599,0,0,0,0
26.62,0.004512,1.0006,0.00043391,0,0,0,0
27.12,0.004774,1.0214,0.00022797,0,0,0,0
27.62,0.004797,1.0404,0.00029796,0,0,0,0
28.12,0.004436,1.0607,0.00026496,0,0,0,0
28.62,0.004526,1.0803,0.00035394,0,0,0,0
29.12,0.004284,1.1017,0.00046289,0,0,0,0
29.62,0.004115,1.1224,0.00047289,0,0,0,0
30.12,0.004585,1.1444,0.00041691,0,0,0,0
30.62,0.004459,1.1634,0.00029796,0,0,0,0
31.12,0.004443,1.1826,0.00041391,0,0,0,0
31.62,0.004453,1.2016,0.00037393,0,0,0,0
32.12,0.004688,1.2227,0.00034094,0,0,0,0
32.62,0.004641,1.2433,0.00027496,0,0,0,0
33.12,0.005049,1.2659,0.00047289,0,0,0,0
33.62,0.005108,1.287,0.00020198,0,0,0,0
34.12,0.005257,1.3076,0.00020198,0,0,0,0
34.62,0.005383,1.3266,0.00017898,0,0,0,0
35.12,0.005813,1.3474,0.00028496,0,0,0,0
35.62,0.006187,1.3679,0.00023797,0,0,0,0
36.12,0.006379,1.3891,0.00028796,0,0,0,0
36.62,0.006661,1.4084,0.00016199,0,0,0,0
37.12,0.006797,1.4287,0.00054985,0,0,0,0
37.62,0.006876,1.4483,0.00049988,0,0,0,0
38.12,0.006754,1.47,0.00049288,0,0,0,0
38.62,0.006737,1.4911,0.00043391,0,0,0,0
39.12,0.006595,1.5134,0.0004439,0,0,0,0
39.62,0.006568,1.5324,0.00061181,0,0,0,0
40.12,0.006439,1.5516,0.00058283,0,0,0,0
40.62,0.006386,1.5706,0.00050687,0,0,0,0
41.12,0.006363,1.5914,0.00056284,0,0,0,0
41.62,0.006317,1.6116,0.00059282,0,0,0,0
42.12,0.006641,1.6336,0.00055884,0,0,0,0
42.62,0.006485,1.6543,0.00033794,0,0,0,0
43.12,0.006565,1.6746,0.00048988,0,0,0,0
43.62,0.006903,1.6939,0.00058583,0,0,0,0
44.12,0.006893,1.7151,0.00041391,0,0,0,0
44.62,0.007426,1.7356,0.00049688,0,0,0,0
45.12,0.007849,1.7564,0.00040692,0,0,0,0
45.62,0.007925,1.7751,0.00039692,0,0,0,0
46.12,0.008687,1.7953,0.00027796,0,0,0,0
46.62,0.0087,1.815,0.00048988,0,0,0,0
47.12,0.008962,1.8367,0.00039092,0,0,0,0
47.62,0.009372,1.8574,0.00064579,0,0,0,0
48.12,0.009107,1.8794,0.00058883,0,0,0,0
48.62,0.009193,1.8981,0.00071774,0,0,0,0
49.12,0.008879,1.9169,0.00054985,0,0,0,0
49.62,0.008508,1.9356,0.00053286,0,0,0,0
50.12,0.008776,1.9564,0.00065479,0,0,0,0
50.62,0.008462,1.9766,0.00067477,0,0,0,0
51.12,0.008541,1.9986,0.00073773,0,0,0,0
51.62,0.008303,2.019,0.00060582,0,0,0,0
52.12,0.008535,2.0389,0.0006388,0,0,0,0
52.62,0.008704,2.0576,0.00070475,0,0,0,0
53.12,0.0088,2.0781,0.00047988,0,0,0,0
53.62,0.008819,2.0979,0.00057284,0,0,0,0
54.12,0.008988,2.1184,0.00048288,0,0,0,0
54.62,0.009452,2.1371,0.00074772,0,0,0,0
55.12,0.009922,2.157,0.00055884,0,0,0,0
55.62,0.010081,2.1774,0.00053586,0,0,0,0
56.12,0.010412,2.2006,0.00055884,0,0,0,0
56.62,0.011008,2.2213,0.00053985,0,0,0,0
57.12,0.011292,2.2401,0.00050287,0,0,0,0
57.62,0.011501,2.2596,0.00048288,0,0,0,0
58.12,0.011488,2.28,0.00060582,0,0,0,0
58.62,0.011614,2.2996,0.00087062,0,0,0,0
59.12,0.01164,2.3181,0.00086662,0,0,0,0
59.62,0.011077,2.3389,0.00060282,0,0,0,0
60.12,0.011177,2.3589,0.00070775,0,0,0,0
60.62,0.010988,2.3791,0.00074472,0,0,0,0
61.12,0.010899,2.3989,0.00068177,0,0,0,0
61.62,0.01062,2.4194,0.00067177,0,0,0,0
62.12,0.010677,2.4381,0.00074172,0,0,0,0
62.62,0.01073,2.458,0.00080368,0,0,0,0
63.12,0.010756,2.4784,0.00072774,0,0,0,0
63.62,0.010822,2.5004,0.00068876,0,0,0,0
