Time[s],Displacement longi[mm],Force[kN],N/A,N/A,N/A,Thickness[mm],OuterWidth[mm],N/A
0.58,0,-0.015339,0,0,0,1.5221,20,
1.08,0.000111,-0.0097292,0,0,0,0,0,
1.58,0.001457,-0.0027053,0,0,0,0,0,
2.08,0.002352,0.016145,0,0,0,0,0,
2.58,0.003262,0.038137,0,0,0,0,0,
3.08,0.004125,0.058145,0,0,0,0,0,
3.58,0.0048,0.074423,0,0,0,0,0,
4.08,0.005549,0.091436,0,0,0,0,0,
4.58,0.006381,0.10871,0,0,0,0,0,
5.08,0.007146,0.12686,0,0,0,0,0,
5.58,0.007783,0.14171,0,0,0,0,0,
6.08,0.00848,0.15744,0,0,0,0,0,
6.58,0.009277,0.17256,0,0,0,0,0,
7.08,0.009876,0.188,0,0,0,0,0,
7.58,0.01049,0.20214,0,0,0,0,0,
8.09,0.011266,0.21872,0,0,0,0,0,
8.59,0.011988,0.23414,0,0,0,0,0,
9.09,0.012685,0.24929,0,0,0,0,0,
9.59,0.013356,0.26357,0,0,0,0,0,
10.09,0.014154,0.27915,0,0,0,0,0,
10.59,0.014845,0.29414,0,0,0,0,0,
11.09,0.015481,0.30957,0,0,0,0,0,
11.59,0.016215,0.32443,0,0,0,0,0,
12.09,0.016975,0.33986,0,0,0,0,0,
12.59,0.017618,0.354,0,0,0,0,0,
13.09,0.018378,0.36915,0,0,0,0,0,
13.58,0.019018,0.385,0,0,0,0,0,
14.08,0.019875,0.40186,0,0,0,0,0,
14.59,0.020571,0.416,0,0,0,0,0,
15.09,0.021285,0.43086,0,0,0,0,0,
15.59,0.021986,0.44514,0,0,0,0,0,
16.09,0.022828,0.46,0,0,0,0,0,
16.59,0.023553,0.47385,0,0,0,0,0,
17.09,0.024243,0.49,0,0,0,0,0,
17.59,0.024973,0.50514,0,0,0,0,0,
18.09,0.025897,0.52,0,0,0,0,0,
18.59,0.026651,0.53385,0,0,0,0,0,
19.08,0.027396,0.54915,0,0,0,0,0,
19.59,0.028246,0.56385,0,0,0,0,0,
20.09,0.029121,0.57915,0,0,0,0,0,
20.59,0.029881,0.59414,0,0,0,0,0,
21.09,0.030692,0.60957,0,0,0,0,0,
21.59,0.031634,0.62328,0,0,0,0,0,
22.09,0.032475,0.63758,0,0,0,0,0,
22.59,0.033266,0.65257,0,0,0,0,0,
23.09,0.034191,0.66857,0,0,0,0,0,
23.58,0.035163,0.68228,0,0,0,0,0,
24.09,0.036006,0.69658,0,0,0,0,0,
24.58,0.036884,0.71042,0,0,0,0,0,
25.08,0.03794,0.72472,0,0,0,0,0,
25.59,0.038912,0.73814,0,0,0,0,0,
26.09,0.039824,0.75372,0,0,0,0,0,
26.59,0.040836,0.76814,0,0,0,0,0,
27.09,0.041885,0.78172,0,0,0,0,0,
27.58,0.042859,0.79443,0,0,0,0,0,
28.09,0.043873,0.80857,0,0,0,0,0,
28.58,0.045015,0.82214,0,0,0,0,0,
29.09,0.046084,0.83586,0,0,0,0,0,
29.59,0.047133,0.84914,0,0,0,0,0,
30.08,0.048337,0.86286,0,0,0,0,0,
30.59,0.049457,0.87528,0,0,0,0,0,
31.08,0.050595,0.88829,0,0,0,0,0,
31.58,0.051797,0.90157,0,0,0,0,0,
32.08,0.053102,0.91557,0,0,0,0,0,
32.58,0.054305,0.92728,0,0,0,0,0,
33.09,0.05557,0.93958,0,0,0,0,0,
33.58,0.056951,0.95142,0,0,0,0,0,
34.08,0.058122,0.96343,0,0,0,0,0,
34.58,0.059492,0.97443,0,0,0,0,0,
35.08,0.060923,0.98743,0,0,0,0,0,
35.58,0.062224,0.99942,0,0,0,0,0,
36.08,0.063643,1.0107,0,0,0,0,0,
36.58,0.065185,1.0211,0,0,0,0,0,
37.09,0.066568,1.0326,0,0,0,0,0,
37.58,0.068041,1.0434,0,0,0,0,0,
38.09,0.069666,1.0546,0,0,0,0,0,
38.58,0.071139,1.0654,0,0,0,0,0,
39.08,0.072723,1.0763,0,0,0,0,0,
39.58,0.07443,1.0859,0,0,0,0,0,
40.08,0.075958,1.0957,0,0,0,0,0,
40.58,0.077617,1.1059,0,0,0,0,0,
41.08,0.079331,1.1166,0,0,0,0,0,
41.58,0.080915,1.1256,0,0,0,0,0,
42.08,0.082711,1.135,0,0,0,0,0,
42.58,0.084425,1.144,0,0,0,0,0,
43.09,0.086091,1.1531,0,0,0,0,0,
43.59,0.087971,1.1614,0,0,0,0,0,
44.09,0.089816,1.1706,0,0,0,0,0,
44.59,0.091605,1.1794,0,0,0,0,0,
45.09,0.09356,1.1886,0,0,0,0,0,
45.58,0.095343,1.1966,0,0,0,0,0,
46.08,0.097202,1.205,0,0,0,0,0,
46.58,0.099192,1.2136,0,0,0,0,0,
47.09,0.10105,1.2226,0,0,0,0,0,
47.58,0.10306,1.2304,0,0,0,0,0,
48.08,0.10509,1.2386,0,0,0,0,0,
48.58,0.10694,1.2459,0,0,0,0,0,
49.08,0.10906,1.2534,0,0,0,0,0,
49.58,0.11091,1.2611,0,0,0,0,0,
50.08,0.11292,1.2693,0,0,0,0,0,
50.58,0.11509,1.2761,0,0,0,0,0,
51.08,0.1171,1.2834,0,0,0,0,0,
51.58,0.11921,1.2903,0,0,0,0,0,
52.08,0.12131,1.2974,0,0,0,0,0,
52.58,0.12339,1.3041,0,0,0,0,0,
53.08,0.12562,1.3119,0,0,0,0,0,
53.58,0.12768,1.3189,0,0,0,0,0,
54.08,0.12985,1.3256,0,0,0,0,0,
54.58,0.13209,1.3317,0,0,0,0,0,
55.08,0.13415,1.3386,0,0,0,0,0,
55.58,0.13648,1.3451,0,0,0,0,0,
56.08,0.1386,1.3519,0,0,0,0,0,
56.58,0.14079,1.3581,0,0,0,0,0,
57.08,0.14308,1.3646,0,0,0,0,0,
57.58,0.14519,1.3701,0,0,0,0,0,
58.08,0.14752,1.3761,0,0,0,0,0,
58.58,0.14973,1.3824,0,0,0,0,0,
59.08,0.15196,1.389,0,0,0,0,0,
59.58,0.15426,1.3944,0,0,0,0,0,
60.08,0.15641,1.3999,0,0,0,0,0,
60.58,0.15877,1.4051,0,0,0,0,0,
61.08,0.16098,1.4109,0,0,0,0,0,
61.58,0.16324,1.4161,0,0,0,0,0,
62.08,0.1656,1.4219,0,0,0,0,0,
62.58,0.16783,1.4271,0,0,0,0,0,
63.08,0.17025,1.4326,0,0,0,0,0,
63.58,0.17256,1.4377,0,0,0,0,0,
64.08,0.17491,1.4433,0,0,0,0,0,
64.58,0.17728,1.4487,0,0,0,0,0,
65.08,0.17955,1.4543,0,0,0,0,0,
65.58,0.18199,1.4594,0,0,0,0,0,
66.08,0.18431,1.4646,0,0,0,0,0,
66.58,0.18668,1.4691,0,0,0,0,0,
67.08,0.1891,1.4739,0,0,0,0,0,
67.58,0.19135,1.4787,0,0,0,0,0,
68.08,0.19386,1.484,0,0,0,0,0,
68.58,0.19622,1.4884,0,0,0,0,0,
69.08,0.19866,1.4931,0,0,0,0,0,
69.58,0.2011,1.4979,0,0,0,0,0,
70.08,0.20344,1.5026,0,0,0,0,0,
70.58,0.20599,1.5067,0,0,0,0,0,
71.08,0.20836,1.5116,0,0,0,0,0,
71.58,0.2108,1.5161,0,0,0,0,0,
72.08,0.2133,1.5206,0,0,0,0,0,
72.58,0.21568,1.5247,0,0,0,0,0,
73.08,0.21824,1.5293,0,0,0,0,0,
73.58,0.22067,1.5337,0,0,0,0,0,
74.08,0.22323,1.5383,0,0,0,0,0,
74.58,0.22566,1.5427,0,0,0,0,0,
75.08,0.22816,1.547,0,0,0,0,0,
75.58,0.23075,1.5507,0,0,0,0,0,
76.08,0.23313,1.5546,0,0,0,0,0,
76.58,0.23574,1.5587,0,0,0,0,0,
77.08,0.23821,1.5633,0,0,0,0,0,
77.58,0.24075,1.5671,0,0,0,0,0,
78.08,0.24332,1.5711,0,0,0,0,0,
78.58,0.24579,1.5749,0,0,0,0,0,
79.08,0.24843,1.5789,0,0,0,0,0,
79.58,0.25085,1.5824,0,0,0,0,0,
80.08,0.2535,1.5866,0,0,0,0,0,
80.58,0.25606,1.5904,0,0,0,0,0,
81.08,0.25856,1.5943,0,0,0,0,0,
81.58,0.26122,1.5977,0,0,0,0,0,
82.08,0.26374,1.6016,0,0,0,0,0,
