Time[s],Displacement longi[mm],Force[kN],N/A,N/A,N/A,Thickness[mm],OuterWidth[mm],N/A
0.59,0,-0.030795,0,0,0,1.5075,20,
1.09,8.3e-05,-0.024363,0,0,0,0,0,
1.59,0.001468,-0.01671,0,0,0,0,0,
2.09,0.00257,0.004581,0,0,0,0,0,
2.59,0.00369,0.02956,0,0,0,0,0,
3.09,0.004828,0.055867,0,0,0,0,0,
3.59,0.005929,0.078846,0,0,0,0,0,
4.09,0.00696,0.10358,0,0,0,0,0,
4.59,0.007918,0.12513,0,0,0,0,0,
5.09,0.008914,0.14715,0,0,0,0,0,
5.59,0.010007,0.16728,0,0,0,0,0,
6.09,0.011003,0.18915,0,0,0,0,0,
6.59,0.011858,0.20957,0,0,0,0,0,
7.09,0.012724,0.23043,0,0,0,0,0,
7.59,0.013655,0.25028,0,0,0,0,0,
8.09,0.014611,0.26986,0,0,0,0,0,
8.59,0.015346,0.28757,0,0,0,0,0,
9.09,0.01605,0.30457,0,0,0,0,0,
9.59,0.016759,0.32014,0,0,0,0,0,
10.09,0.017588,0.33615,0,0,0,0,0,
10.59,0.018362,0.351,0,0,0,0,0,
11.09,0.019071,0.36715,0,0,0,0,0,
11.59,0.019873,0.38285,0,0,0,0,0,
12.09,0.020779,0.40015,0,0,0,0,0,
12.59,0.021543,0.41585,0,0,0,0,0,
13.09,0.022286,0.43315,0,0,0,0,0,
13.59,0.023179,0.44885,0,0,0,0,0,
14.09,0.024064,0.465,0,0,0,0,0,
14.59,0.024798,0.48014,0,0,0,0,0,
15.09,0.02558,0.49571,0,0,0,0,0,
15.59,0.026532,0.51229,0,0,0,0,0,
16.09,0.027387,0.52885,0,0,0,0,0,
16.59,0.028187,0.54586,0,0,0,0,0,
17.09,0.029104,0.56228,0,0,0,0,0,
17.59,0.030137,0.57757,0,0,0,0,0,
18.09,0.030973,0.59129,0,0,0,0,0,
18.59,0.031797,0.60614,0,0,0,0,0,
19.09,0.032846,0.62286,0,0,0,0,0,
19.59,0.033822,0.63885,0,0,0,0,0,
20.09,0.034755,0.656,0,0,0,0,0,
20.59,0.035699,0.67185,0,0,0,0,0,
21.09,0.036865,0.687,0,0,0,0,0,
21.59,0.03778,0.70114,0,0,0,0,0,
22.09,0.038754,0.718,0,0,0,0,0,
22.59,0.039901,0.73385,0,0,0,0,0,
23.09,0.041,0.749,0,0,0,0,0,
23.59,0.042013,0.76285,0,0,0,0,0,
24.09,0.043259,0.77815,0,0,0,0,0,
24.59,0.044442,0.79285,0,0,0,0,0,
25.09,0.045487,0.80786,0,0,0,0,0,
25.59,0.046713,0.82185,0,0,0,0,0,
26.09,0.047986,0.83615,0,0,0,0,0,
26.59,0.04915,0.849,0,0,0,0,0,
27.09,0.050464,0.86286,0,0,0,0,0,
