Time[s],Displacement[mm],Force[kN],EngStrain_longi,EngStress[MPa],TrueStrain,TrueStress[MPa],TrueStrainRate[1/s],PlasticStrain_longi,PlasticStress[MPa],PlasticStrain_thick,PlasticStrain_width,R-Value,Thickness[mm],Width[mm], Young's Modulus [MPa]
0.00000000,0.00000000,-0.01980000,0.00000000,-1.32727262,0.00000000,-1.32727262,0.00000000,0.00051473,424.58283279,0.00045262,-0.00096736,0.88240029,1.49660000,9.96780000,241203.37242429
0.50000000,0.00095700,0.15330000,0.00005256,10.27630767,0.00005255,10.27684775,0.00010511,0.00068199,428.78947013,0.00029349,-0.00097548,0.00000000,0.00000000,0.00000000,0.00000000
1.00000000,0.00148100,0.28890000,0.00006156,19.36611407,0.00006155,19.36730616,0.00001800,0.00071331,434.00971083,0.00027219,-0.00098550,0.00000000,0.00000000,0.00000000,0.00000000
1.50000000,0.00209500,0.42200000,0.00006500,28.28833553,0.00006500,28.29017428,0.00000689,0.00069118,437.86652286,0.00030039,-0.00099156,0.00000000,0.00000000,0.00000000,0.00000000
2.00000000,0.00290300,0.52810000,0.00007478,35.40063980,0.00007477,35.40328698,0.00001955,0.00084997,442.23459634,0.00011343,-0.00096340,0.00000000,0.00000000,0.00000000,0.00000000
2.50000000,0.00317400,0.63420000,0.00010856,42.51294407,0.00010855,42.51755908,0.00006755,0.00095633,446.58076289,-0.00000560,-0.00095073,0.00000000,0.00000000,0.00000000,0.00000000
3.00000000,0.00349900,0.75460000,0.00012922,50.58383411,0.00012921,50.59037066,0.00004133,0.00097827,450.62706355,0.00004436,-0.00102263,0.00000000,0.00000000,0.00000000,0.00000000
3.50000000,0.00442800,0.86140000,0.00012167,57.74306215,0.00012166,57.75008756,-0.00001511,0.00103316,455.59180396,0.00008300,-0.00111616,0.00000000,0.00000000,0.00000000,0.00000000
4.00000000,0.00552000,0.98980000,0.00018778,66.35022396,0.00018776,66.36268306,0.00013220,0.00118764,459.31579197,-0.00001713,-0.00117050,0.00000000,0.00000000,0.00000000,0.00000000
4.50000000,0.00545600,1.09190000,0.00016822,73.19439234,0.00016821,73.20670527,-0.00003910,0.00125604,463.81009243,0.00009362,-0.00134966,0.00000000,0.00000000,0.00000000,0.00000000
5.00000000,0.00620700,1.21390000,0.00021556,81.37253674,0.00021553,81.39007704,0.00009465,0.00128126,467.90738004,0.00014605,-0.00142731,0.00000000,0.00000000,0.00000000,0.00000000
5.50000000,0.00780900,1.30640000,0.00025133,87.57317901,0.00025130,87.59518907,0.00007154,0.00140488,472.59103262,0.00006963,-0.00147451,0.00000000,0.00000000,0.00000000,0.00000000
6.00000000,0.00818500,1.42530000,0.00026933,95.54351810,0.00026930,95.56925115,0.00003599,0.00155186,476.26882060,-0.00007559,-0.00147627,0.00000000,0.00000000,0.00000000,0.00000000
6.50000000,0.00779300,1.51620000,0.00025733,101.63690601,0.00025730,101.66306057,-0.00002399,0.00163757,480.23535590,-0.00010003,-0.00153753,0.00000000,0.00000000,0.00000000,0.00000000
7.00000000,0.00938600,1.61030000,0.00029833,107.94480263,0.00029829,107.97700616,0.00008198,0.00174166,484.26561086,-0.00020666,-0.00153500,0.00000000,0.00000000,0.00000000,0.00000000
7.50000000,0.01096900,1.71310000,0.00038511,114.83589479,0.00038504,114.88011937,0.00017350,0.00181514,487.63417191,-0.00025110,-0.00156404,0.00000000,0.00000000,0.00000000,0.00000000
8.00000000,0.01052300,1.79370000,0.00032722,120.23883281,0.00032717,120.27817763,-0.00011574,0.00193944,492.10801837,-0.00036063,-0.00157881,0.00000000,0.00000000,0.00000000,0.00000000
8.50000000,0.01106500,1.89900000,0.00038667,127.29750990,0.00038659,127.34673161,0.00011885,0.00210973,495.58688925,-0.00041928,-0.00169045,0.00000000,0.00000000,0.00000000,0.00000000
9.00000000,0.01253700,1.97950000,0.00040889,132.69374452,0.00040881,132.74800152,0.00004443,0.00219016,499.87937110,-0.00042064,-0.00176952,0.00000000,0.00000000,0.00000000,0.00000000
9.50000000,0.01305900,2.08160000,0.00045244,139.53791291,0.00045234,139.60104606,0.00008707,0.00228035,502.93545522,-0.00039811,-0.00188223,0.00000000,0.00000000,0.00000000,0.00000000
10.00000000,0.01280400,2.16370000,0.00043078,145.04140188,0.00043069,145.10388250,-0.00004331,0.00244400,507.00177365,-0.00044202,-0.00200198,0.00000000,0.00000000,0.00000000,0.00000000
10.50000000,0.01418200,2.25940000,0.00046278,151.45655286,0.00046267,151.52664358,0.00006397,0.00265944,510.40043343,-0.00056816,-0.00209127,0.00000000,0.00000000,0.00000000,0.00000000
11.00000000,0.01562400,2.34320000,0.00056389,157.07399958,0.00056373,157.16257186,0.00020212,0.00270935,514.03286098,-0.00055373,-0.00215562,0.00000000,0.00000000,0.00000000,0.00000000
11.50000000,0.01528100,2.42850000,0.00052489,162.79199726,0.00052475,162.87744497,-0.00007796,0.00280079,517.53195104,-0.00057584,-0.00222495,0.00000000,0.00000000,0.00000000,0.00000000
12.00000000,0.01559800,2.51780000,0.00051900,168.77813082,0.00051887,168.86572667,-0.00001177,0.00306659,520.52146359,-0.00078763,-0.00227896,0.00000000,0.00000000,0.00000000,0.00000000
12.50000000,0.01750000,2.59440000,0.00059900,173.91293296,0.00059882,174.01710681,0.00015991,0.00320794,524.52867742,-0.00086370,-0.00234423,0.00000000,0.00000000,0.00000000,0.00000000
13.00000000,0.01833700,2.68690000,0.00061533,180.11357523,0.00061514,180.22440511,0.00003265,0.00324237,527.45989578,-0.00087947,-0.00236289,0.00000000,0.00000000,0.00000000,0.00000000
13.50000000,0.01801800,2.77140000,0.00059067,185.77794573,0.00059049,185.88767857,-0.00004930,0.00348308,530.98111985,-0.00100785,-0.00247523,0.00000000,0.00000000,0.00000000,0.00000000
14.00000000,0.01863500,2.86150000,0.00060678,191.81770647,0.00060659,191.93409719,0.00003220,0.00372769,534.45887463,-0.00113847,-0.00258921,0.00000000,0.00000000,0.00000000,0.00000000
14.50000000,0.02068300,2.93570000,0.00067822,196.79162708,0.00067799,196.92509553,0.00014280,0.00381589,537.84730503,-0.00118402,-0.00263187,0.00000000,0.00000000,0.00000000,0.00000000
15.00000000,0.02102400,3.02900000,0.00069378,203.04589652,0.00069354,203.18676525,0.00003109,0.00394886,540.45573318,-0.00119406,-0.00275480,0.00000000,0.00000000,0.00000000,0.00000000
15.50000000,0.02064900,3.10390000,0.00066633,208.06674091,0.00066611,208.20538271,-0.00005485,0.00420906,543.78378148,-0.00129710,-0.00291196,0.00000000,0.00000000,0.00000000,0.00000000
16.00000000,0.02208800,3.18210000,0.00071822,213.30879740,0.00071796,213.46200052,0.00010371,0.00438359,547.05987261,-0.00141062,-0.00297297,0.00000000,0.00000000,0.00000000,0.00000000
16.50000000,0.02326200,3.27060000,0.00078933,219.24130378,0.00078902,219.41435825,0.00014212,0.00449668,549.93100230,-0.00145019,-0.00304650,0.00000000,0.00000000,0.00000000,0.00000000
