,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00110428,3.949e-07,1.2118779999999999e-05
2,0.00317481,1.13534e-06,3.48416e-05
3,0.00783349,2.80132e-06,8.59676e-05
4,0.0183155,6.54979e-06,0.00020100199999999998
5,0.0419001,1.49838e-05,0.000459828
6,0.0949654,3.39604e-05,0.001042184
7,0.214362,7.66578e-05,0.00235248
8,0.483005,0.000172727,0.00530066
9,1.08745,0.000388882,0.01193396
10,2.44746,0.000875232,0.0268586
11,5.50747,0.00196952,0.060437
12,12.3925,0.0267695,0.805944
13,14.458,0.0342231,0.991158
14,16.5235,0.0416767,1.0562580000000001
15,18.589,0.0491303,1.079994
16,21.6873,0.0603106,1.107364
17,25.5601,0.0742861,1.135008
18,34.274,0.105731,1.1856479999999998
19,45.3168,0.14558,1.237664
20,56.3596,0.185429,1.28158
21,67.4024,0.225278,1.320096
22,78.4452,0.265127,1.3546179999999999
23,89.488,0.304976,1.38598
24,100.531,0.344825,1.414596
25,111.574,0.384674,1.438814
26,122.616,0.424523,1.4609020000000001
27,133.659,0.464372,1.4815260000000001
28,144.702,0.504221,1.501004
29,155.745,0.54407,1.5195260000000002
30,166.788,0.583919,1.53726
31,177.83,0.623768,1.5542580000000001
32,188.873,0.663617,1.570616
33,199.916,0.703466,1.586374
34,210.959,0.743315,1.601578
35,222.002,0.783164,1.616238
36,233.044,0.823013,1.6304100000000001
37,244.087,0.862862,1.644124
38,255.13,0.902711,1.657394
39,266.173,0.94256,1.67025
40,277.216,0.982409,1.6827159999999999
41,288.258,1.02226,1.6947999999999999
42,299.301,1.06211,1.706526
43,310.344,1.10196,1.717908
44,321.387,1.1418,1.72896
45,332.43,1.18165,1.7396939999999999
46,343.472,1.2215,1.750124
47,354.515,1.26135,1.76026
48,365.558,1.3012,1.770114
49,376.601,1.34105,1.779692
50,387.644,1.3809,1.789008
51,398.686,1.42075,1.798068
52,409.729,1.4606,1.806878
53,420.772,1.50045,1.8154480000000002
54,431.815,1.54029,1.823784
55,442.858,1.58014,1.831888
56,453.9,1.61999,1.83977
57,464.943,1.65984,1.847434
58,475.986,1.69969,1.854886
59,487.029,1.73954,1.862128
60,498.072,1.77939,1.8691659999999999
61,509.114,1.81924,1.876002
62,520.157,1.85909,1.88264
63,531.2,1.89894,1.8890799999999999
64,542.243,1.93878,1.895326
65,552.14,1.9745,1.9007619999999998
