,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00111816,6.2198e-07,2.5938200000000002e-05
2,0.00321471,1.78819e-06,7.457239999999999e-05
3,0.00793195,4.41217e-06,0.0001839992
4,0.0185457,1.03161e-05,0.00043021
5,0.0424267,2.36e-05,0.000984182
6,0.096159,5.34888e-05,0.00223062
7,0.217057,0.000120738,0.0050351
8,0.489076,0.00027205,0.0113451
9,1.10112,0.000612502,0.0255424
10,2.47822,0.00137852,0.057485
11,5.57669,0.00310205,0.12935
12,9.41106,0.0245534,1.0230700000000001
13,11.5679,0.0366599,1.44303
14,12.7443,0.0432634,1.477536
15,14.2149,0.0515178,1.510086
16,16.8619,0.0663758,1.557146
17,20.1707,0.0849483,1.605106
18,27.6154,0.126736,1.690568
19,38.797,0.1895,1.788942
20,49.9786,0.252263,1.867818
21,61.1602,0.315027,1.9336959999999999
22,72.3418,0.37779,1.9882
23,83.5234,0.440553,2.0358199999999997
24,94.705,0.503317,2.07922
25,105.887,0.56608,2.11916
26,112.875,0.605308,2.1411599999999997
27,116.369,0.624921,2.15194
28,120.562,0.648457,2.1649000000000003
29,122.528,0.65949,2.17066
30,126.066,0.679349,2.1809000000000003
31,130.488,0.704172,2.19246
32,131.815,0.711619,2.19638
33,133.805,0.72279,2.20176
34,135.795,0.73396,2.20748
35,137.785,0.745131,2.2126
36,140.273,0.759094,2.2180999999999997
37,140.623,0.761058,2.2191
38,141.252,0.764592,2.2207800000000004
39,142.04,0.76901,2.22276
40,143.81,0.778951,2.22708
41,144.093,0.780535,2.22786
42,144.109,0.780628,2.22792
