,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,0.228236,0.228236,0.0,0.228236,3.94329e-18,-6.57212e-18,1.75e-06,1.75e-06,-1.5e-06,6.49998e-06,-7.48677e-23,-7.48677e-23,0.0,1.7500015312421624e-06,6.500001124898347e-06,0.0,1.7500015312421624e-06,0.0,-1.4999988749986315e-06
1,2e-05,0.45647,0.45647,0.0,0.45647,-2.62881e-18,-7.88652e-18,3.49998e-06,3.49998e-06,-2.99999e-06,1.29999e-05,-5.24009e-22,-2.24668e-22,0.0,3.499986124921861e-06,1.2999984499106887e-05,0.0,3.499986124921861e-06,0.0,-2.999985500018454e-06
2,3.5e-05,0.798819,0.798819,5.55112e-17,0.798819,-5.25754e-18,-2.10307e-17,6.12495e-06,6.12495e-06,-5.24995e-06,2.27498e-05,-4.49201e-22,-4.49201e-22,0.0,6.1249687575148926e-06,2.2750058778608917e-05,0.0,6.1249687575148926e-06,0.0,-5.2499362190872034e-06
3,5.75e-05,1.31234,1.31234,1.66533e-16,1.31234,-2.89168e-17,-2.89168e-17,1.00624e-05,1.00624e-05,-8.6249e-06,3.73744e-05,-8.98391e-22,-8.98391e-22,0.0,1.0062450626069364e-05,3.737509843149134e-05,0.0,1.0062450626069364e-05,0.0,-8.624862805617362e-06
4,9.125e-05,2.08261,2.08261,-8.32667e-16,2.08261,-1.3143e-17,-4.46893e-17,1.59684e-05,1.59684e-05,-1.36872e-05,5.93111e-05,-8.98491e-22,2.99637e-22,0.0,1.5968527495635598e-05,5.931285893812088e-05,0.0,1.5968527495635598e-05,0.0,-1.3687106330650955e-05
5,0.00014188,3.23799,3.23799,-3.60822e-15,3.23799,-3.94303e-17,-3.94303e-17,2.48273e-05,2.48273e-05,-2.12805e-05,9.22155e-05,-1.79677e-21,5.99063e-22,0.0,2.482760819999541e-05,9.221975197992727e-05,0.0,2.482760819999541e-05,0.0,-2.1280273571733233e-05
6,0.00021781,4.971,4.971,-2.13718e-14,4.971,-6.04581e-17,-6.04581e-17,3.81151e-05,3.81151e-05,-3.26701e-05,0.00014157,-1.19768e-21,-1.19768e-21,0.0,3.8115826389573115e-05,0.00014158002150543858,0.0,3.8115826389573115e-05,0.0,-3.266956633807272e-05
7,0.00033172,7.57039,7.57039,-1.1019e-13,7.57039,-1.23543e-16,-8.14813e-17,5.8046e-05,5.8046e-05,-4.97538e-05,0.000215599,1.19857e-21,-3.5932e-21,0.0,5.804768470163424e-05,0.000215622243134872,0.0,5.804768470163424e-05,0.0,-4.9752562300220404e-05
8,0.00050258,11.4692,11.4692,-5.6094e-13,11.4692,-6.04368e-17,-1.86622e-16,8.79401e-05,8.79401e-05,-7.53773e-05,0.000326635,7.189e-21,-1.19786e-20,0.0,8.794396684397299e-05,0.0003266883510202323,0.0,8.794396684397299e-05,0.0,-7.537445920269281e-05
9,0.00075887,17.3168,17.3168,-2.84622e-12,17.3168,-1.86601e-16,-6.04162e-17,0.000132777,0.000132777,-0.000113809,0.00049317,-7.18639e-21,2.39778e-21,0.0,0.00013278581525599797,0.0004932916283180155,0.0,0.00013278581525599797,0.0,-0.00011380252400139401
