,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,0.652102,0.652102,0.0,0.0,0.0,-1.07332e-39,4.99999e-06,4.99999e-06,-4.2857e-06,0.0,0.0,0.0,0.0,5.000002500032963e-06,0.0,0.0,5.000002500032963e-06,0.0,-4.285690816452359e-06
1,2e-05,1.3042,1.3042,5.55112e-16,1.57453e-39,-7.43545e-18,-7.43545e-18,9.99995e-06,9.99995e-06,-8.57139e-06,0.0,0.0,0.0,0.0,9.999999999621423e-06,0.0,0.0,9.999999999621423e-06,0.0,-8.571353265707238e-06
2,3.5e-05,2.28234,2.28234,-3.33067e-16,4.72358e-39,7.43549e-18,7.43549e-18,1.74998e-05,1.74998e-05,-1.49999e-05,0.0,0.0,0.0,0.0,1.749995312239072e-05,0.0,0.0,1.749995312239072e-05,0.0,-1.4999787502079087e-05
3,5.75e-05,3.74954,3.74954,-2.33147e-15,4.72356e-39,7.43533e-18,7.43533e-18,2.87496e-05,2.87496e-05,-2.46425e-05,0.0,0.0,0.0,0.0,2.875001327362625e-05,0.0,0.0,2.875001327362625e-05,0.0,-2.464219637610121e-05
4,9.125e-05,5.95031,5.95031,-1.14353e-14,4.72354e-39,7.4351e-18,7.4351e-18,4.5624e-05,4.5624e-05,-3.91062e-05,0.0,0.0,0.0,0.0,4.56250407905312e-05,0.0,0.0,4.56250407905312e-05,0.0,-3.910543536256306e-05
5,0.00014188,9.25139,9.25139,-5.67324e-14,9.28955e-38,-5.20466e-17,-5.20466e-17,7.0935e-05,7.0935e-05,-6.08014e-05,0.0,0.0,0.0,0.0,7.093751594666742e-05,0.0,0.0,7.093751594666742e-05,0.0,-6.079955163229567e-05
6,0.00021781,14.2028,14.2028,-2.86771e-13,1.05492e-37,7.43702e-18,7.43702e-18,0.0001089,0.0001089,-9.33431e-05,0.0,0.0,0.0,0.0,0.00010890592982026881,0.0,0.0,0.00010890592982026881,0.0,-9.333874366834749e-05
7,0.00033172,21.6297,21.6297,-1.44762e-12,9.91942e-38,7.43623e-18,-5.20416e-17,0.000165846,0.000165846,-0.000142153,0.0,0.0,0.0,0.0,0.00016585975320815294,0.0,0.0,0.00016585975320815294,0.0,-0.00014214289674108205
8,0.00050258,32.7692,32.7692,-7.35578e-12,9.91951e-38,7.43505e-18,-5.20334e-17,0.000251258,0.000251258,-0.000215364,0.0,0.0,0.0,0.0,0.00025128956793518675,0.0,0.0,0.00025128956793518675,0.0,-0.00021534081083851575
9,0.00075887,49.4766,49.4766,-3.71986e-11,-5.93529e-37,-1.11507e-16,1.85859e-16,0.000379362,0.000379362,-0.000325167,0.0,0.0,0.0,0.0,0.0003794339668636848,0.0,0.0,0.0003794339668636848,0.0,-0.000325114138940763
10,0.0011433,74.5337,74.5337,-1.88246e-10,-5.93424e-37,-1.11467e-16,1.85793e-16,0.000571487,0.000571487,-0.000489846,0.0,0.0,0.0,0.0,0.0005716503298076603,0.0,0.0,0.0005716503298076603,0.0,-0.000489726045035388
11,0.00172,112.11,112.11,-9.52331e-10,-5.93266e-37,-1.11407e-16,1.85693e-16,0.000859606,0.000859606,-0.000736805,0.0,0.0,0.0,0.0,0.0008599755671241383,0.0,0.0,0.0008599755671241383,0.0,-0.0007365336258500221
12,0.0025849,130.705,130.335,-0.0466501,5.39213,-12.3987,-0.00410522,0.00129166,0.00129163,-0.00143979,3.39908e-12,0.000369354,1.84014e-08,0.000601645,0.0012924945520582654,3.3990588121923793e-12,0.00036942221958735644,0.0012924645132839085,1.840140018138925e-08,-0.0014387539996452148
13,0.0034499,129.141,128.602,-0.206471,8.98789,-21.7084,-0.0174172,0.00172373,0.00172347,-0.00231905,6.90478e-11,0.00102284,1.34936e-07,0.00155159,0.0017252164765284572,6.904787852590744e-11,0.001023363279227807,0.0017249560280061527,1.349360090330265e-07,-0.0023163630809832636
14,0.0040986,128.073,127.529,-0.121425,10.3884,-27.0988,-0.0213819,0.00204776,0.00204722,-0.00297588,4.1319e-10,0.00147248,5.60811e-07,0.00228021,0.002049858092394219,4.131899267179051e-10,0.0014735646309755879,0.0020493169856170557,5.608111572907859e-07,-0.002971456458177313
15,0.0047474,127.19,126.718,0.143556,11.1329,-31.825,-0.0211344,0.00237174,0.00237087,-0.00362981,1.18923e-09,0.00186223,1.2757e-06,0.00302402,0.0023745548001985473,1.1892300477711615e-09,0.0018639650271257135,0.0023736827347153877,1.2757008136521364e-06,-0.003623230203226857
16,0.0053961,126.103,125.73,-0.081241,11.5464,-35.7053,-0.0369382,0.00269564,0.00269442,-0.00428737,1.59667e-09,0.00221115,1.44098e-06,0.00378375,0.0026992765043394318,1.596669907399928e-09,0.0022135963949443394,0.0026980532119684764,1.4409810382698396e-06,-0.004278192349920218
17,0.0060448,125.494,125.232,-0.0696736,11.7901,-38.9625,-0.0436832,0.00301945,0.00301786,-0.00493944,2.33831e-09,0.002519,1.85107e-06,0.00455136,0.0030240131307104345,2.338309990079779e-09,0.002522175346172606,0.00302241832379746,1.8510717132436127e-06,-0.004927261026930085
